日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,2.81,2.85,2.91,2.81,32672,58677750.0,3.55,1.06,0.03,3.82
2010-01-05,2.88,2.83,2.88,2.78,26376,46753332.0,3.51,-0.7,-0.02,3.09
2010-01-06,2.83,2.8,2.86,2.78,19517,34568620.0,2.83,-1.06,-0.03,2.28
2010-01-07,2.79,2.71,2.8,2.71,28465,48944519.0,3.21,-3.21,-0.09,3.33
2010-01-08,2.7,2.69,2.74,2.65,21726,36763686.0,3.32,-0.74,-0.02,2.54
2010-01-11,2.7,2.73,2.77,2.68,24913,42819667.0,3.35,1.49,0.04,2.91
2010-01-12,2.75,2.85,2.86,2.67,35205,61270609.0,6.96,4.4,0.12,4.12
2010-01-13,2.79,2.86,2.9,2.77,45135,80587599.0,4.56,0.35,0.01,5.28
2010-01-14,2.87,3.03,3.03,2.83,81199,150006323.0,6.99,5.94,0.17,9.5
2010-01-15,3.03,3.03,3.1,3.01,71554,137349667.0,2.97,0.0,0.0,8.37
2010-01-18,3.03,3.08,3.15,3.03,51439,100038069.0,3.96,1.65,0.05,6.02
2010-01-19,3.08,3.08,3.12,3.02,39920,76911442.0,3.25,0.0,0.0,4.67
2010-01-20,3.07,2.89,3.07,2.88,34119,63559580.0,6.17,-6.17,-0.19,3.99
2010-01-21,2.9,3.06,3.07,2.85,46071,86713185.0,7.61,5.88,0.17,5.39
2010-01-22,3.0,2.94,3.06,2.85,38779,72025844.0,6.86,-3.92,-0.12,4.54
2010-01-25,2.87,2.95,2.97,2.87,20295,37271575.0,3.4,0.34,0.01,2.37
2010-01-26,2.91,2.76,2.96,2.73,19745,34994505.0,7.8,-6.44,-0.19,2.31
2010-01-27,2.76,2.74,2.83,2.73,12391,21642202.0,3.62,-0.72,-0.02,1.45
2010-01-28,2.75,2.74,2.78,2.72,12134,20952068.0,2.19,0.0,0.0,1.42
2010-01-29,2.71,2.76,2.78,2.71,14835,25648126.0,2.55,0.73,0.02,1.74
2010-02-01,2.73,2.69,2.75,2.62,22178,37140061.0,4.71,-2.54,-0.07,2.59
2010-02-02,2.7,2.62,2.73,2.62,16638,28050601.0,4.09,-2.6,-0.07,1.95
2010-02-03,2.63,2.61,2.66,2.49,18180,29456991.0,6.49,-0.38,-0.01,2.13
2010-02-04,2.6,2.68,2.73,2.58,15850,26762643.0,5.75,2.68,0.07,1.85
2010-02-05,2.58,2.64,2.64,2.58,10775,17724067.0,2.24,-1.49,-0.04,1.26
2010-02-08,2.63,2.63,2.68,2.62,6609,10997923.0,2.27,-0.38,-0.01,0.77
2010-02-09,2.61,2.63,2.67,2.6,5067,8391178.0,2.66,0.0,0.0,0.59
2010-02-10,2.64,2.66,2.67,2.62,6542,10885134.0,1.9,1.14,0.03,0.77
2010-02-11,2.66,2.72,2.73,2.65,11100,18857501.0,3.01,2.26,0.06,1.3
2010-02-12,2.73,2.72,2.77,2.69,9496,16198581.0,2.94,0.0,0.0,1.11
2010-02-22,2.72,2.68,2.72,2.67,8501,14380765.0,1.84,-1.47,-0.04,0.99
2010-02-23,2.67,2.68,2.68,2.62,8899,14798868.0,2.24,0.0,0.0,1.04
2010-02-24,2.67,2.76,2.78,2.63,15422,26633395.0,5.6,2.99,0.08,1.8
2010-02-25,2.77,2.88,2.88,2.77,22709,40159897.0,3.99,4.35,0.12,2.66
2010-02-26,2.87,2.87,2.9,2.85,18567,33559130.0,1.74,-0.35,-0.01,2.17
2010-03-01,2.87,2.89,2.91,2.84,18144,32864425.0,2.44,0.7,0.02,2.12
2010-03-02,2.9,2.93,2.99,2.89,32764,60543518.0,3.46,1.38,0.04,3.83
2010-03-03,2.91,2.89,2.96,2.86,34103,62001660.0,3.41,-1.37,-0.04,3.99
2010-03-04,2.89,2.75,2.9,2.73,23984,42532225.0,5.88,-4.84,-0.14,2.81
2010-03-05,2.76,2.76,2.81,2.72,11871,20524600.0,3.27,0.36,0.01,1.39
2010-03-08,2.78,2.76,2.78,2.74,11328,19636698.0,1.45,0.0,0.0,1.33
2010-03-09,2.76,2.79,2.85,2.7,24732,43113907.0,5.43,1.09,0.03,2.89
2010-03-10,2.8,2.73,2.81,2.72,16584,28699193.0,3.23,-2.15,-0.06,1.94
2010-03-11,2.74,2.7,2.74,2.69,11076,18880242.0,1.83,-1.1,-0.03,1.3
2010-03-12,2.72,2.62,2.73,2.62,15932,26648232.0,4.07,-2.96,-0.08,1.86
2010-03-15,2.62,2.59,2.64,2.54,11989,19476330.0,3.82,-1.15,-0.03,1.4
2010-03-16,2.59,2.62,2.62,2.56,8527,13939138.0,2.32,1.16,0.03,1.0
2010-03-17,2.63,2.67,2.68,2.61,11401,19089256.0,2.67,1.91,0.05,1.33
2010-03-18,2.68,2.71,2.73,2.67,12594,21396702.0,2.25,1.5,0.04,1.47
2010-03-19,2.72,2.71,2.75,2.68,12616,21485685.0,2.58,0.0,0.0,1.48
2010-03-22,2.71,2.76,2.76,2.71,12450,21393768.0,1.85,1.85,0.05,1.46
2010-03-23,2.76,2.72,2.77,2.7,10418,17861681.0,2.54,-1.45,-0.04,1.22
2010-03-24,2.73,2.73,2.76,2.71,10359,17796064.0,1.84,0.37,0.01,1.21
2010-03-25,2.72,2.82,2.85,2.7,41952,73874539.0,5.49,3.3,0.09,4.91
2010-03-26,2.84,2.8,2.84,2.78,29378,52003702.0,2.13,-0.71,-0.02,3.44
2010-03-29,2.8,2.86,2.88,2.79,28479,50695219.0,3.21,2.14,0.06,3.33
2010-03-30,2.86,2.82,2.87,2.82,16230,28929301.0,1.75,-1.4,-0.04,1.9
2010-03-31,2.83,2.81,2.84,2.8,14988,26562994.0,1.42,-0.35,-0.01,1.75
2010-04-01,2.81,2.84,2.85,2.81,23327,41579316.0,1.42,1.07,0.03,2.73
2010-04-02,2.85,2.92,2.93,2.85,33950,61935973.0,2.82,2.82,0.08,3.97
2010-04-06,2.94,2.89,2.94,2.87,22331,40692590.0,2.4,-1.03,-0.03,2.61
