日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2014-01-23,2.66,3.25,3.25,2.66,15266,41111072.0,26.94,48.4,1.06,9.86
2014-01-24,3.59,3.59,3.59,3.59,8660,25970590.0,0.0,10.46,0.34,5.6
2014-01-27,3.97,3.97,3.97,3.97,6469,21342385.0,0.0,10.58,0.38,4.18
2014-01-28,4.38,4.38,4.38,4.38,11891,43151241.0,0.0,10.33,0.41,7.68
2014-01-30,4.34,4.27,4.44,4.01,78381,272415216.0,9.82,-2.51,-0.11,50.65
2014-02-07,4.21,4.47,4.61,4.18,69216,252275405.0,10.07,4.68,0.2,44.73
2014-02-10,4.51,4.9,4.93,4.51,50011,196280077.0,9.4,9.62,0.43,32.32
2014-02-11,4.8,5.01,5.1,4.67,54438,218034178.0,8.78,2.24,0.11,35.18
2014-02-12,4.91,5.18,5.44,4.85,52923,223167971.0,11.78,3.39,0.17,34.2
2014-02-13,5.07,4.8,5.18,4.76,33299,136504745.0,8.11,-7.34,-0.38,21.52
2014-02-14,4.85,5.29,5.29,4.85,51669,217536873.0,9.17,10.21,0.49,33.39
2014-02-17,5.41,5.4,5.47,5.06,61434,265763023.0,7.75,2.08,0.11,39.7
2014-02-18,5.22,5.21,5.41,5.13,40506,175146311.0,5.19,-3.52,-0.19,26.18
2014-02-19,5.2,4.99,5.28,4.93,27610,115141938.0,6.72,-4.22,-0.22,17.84
2014-02-20,5.0,4.86,5.13,4.72,26692,108724798.0,8.22,-2.61,-0.13,17.25
2014-02-21,4.83,4.96,5.0,4.78,18078,73375890.0,4.53,2.06,0.1,11.68
2014-02-24,4.97,4.98,5.07,4.91,18627,76691574.0,3.23,0.4,0.02,12.04
2014-02-25,5.01,4.61,5.3,4.53,45068,185179014.0,15.46,-7.43,-0.37,29.12
2014-02-26,4.48,4.51,4.55,4.31,26740,98503601.0,5.21,-2.17,-0.1,17.28
2014-02-27,4.51,4.21,4.58,4.2,23516,85652392.0,8.43,-6.65,-0.3,15.2
2014-02-28,4.19,4.45,4.52,4.18,18770,67257534.0,8.08,5.7,0.24,12.13
2014-03-03,4.48,4.82,4.85,4.43,30195,116534046.0,9.44,8.31,0.37,19.51
2014-03-04,4.76,4.86,5.03,4.61,32050,127107203.0,8.71,0.83,0.04,20.71
2014-03-05,4.85,4.71,4.93,4.68,15041,59654805.0,5.14,-3.09,-0.15,9.72
2014-03-06,4.71,4.92,5.0,4.47,29863,117970284.0,11.25,4.46,0.21,19.3
2014-03-07,4.86,4.63,4.94,4.6,20007,78691180.0,6.91,-5.89,-0.29,12.93
2014-03-10,4.51,4.42,4.53,4.38,13120,48420187.0,3.24,-4.54,-0.21,8.48
2014-03-11,4.88,4.88,4.88,4.88,9645,38829481.0,0.0,10.41,0.46,6.23
2014-03-12,5.15,5.21,5.28,5.03,73413,312215632.0,5.12,6.76,0.33,47.44
2014-03-13,5.03,5.08,5.13,4.95,34716,144188906.0,3.45,-2.5,-0.13,22.43
2014-03-14,5.04,5.43,5.6,5.01,67907,305438176.0,11.61,6.89,0.35,43.88
2014-03-17,5.43,5.58,5.59,5.3,53900,241097764.0,5.34,2.76,0.15,34.83
2014-03-18,5.46,5.5,5.91,5.41,61695,284961024.0,8.96,-1.43,-0.08,39.87
2014-03-19,5.43,5.61,5.7,5.41,42827,195293025.0,5.27,2.0,0.11,27.68
2014-03-20,5.47,5.21,5.58,5.21,36838,163256473.0,6.6,-7.13,-0.4,23.81
2014-03-21,5.12,5.23,5.29,5.03,23619,100521487.0,4.99,0.38,0.02,15.26
2014-03-24,5.13,4.93,5.21,4.88,27974,115967834.0,6.31,-5.74,-0.3,18.08
2014-03-25,4.87,5.03,5.05,4.87,15479,63468502.0,3.65,2.03,0.1,10.0
2014-03-26,5.06,4.96,5.06,4.91,10762,44245067.0,2.98,-1.39,-0.07,6.95
2014-03-27,4.97,4.65,4.97,4.64,19069,76122230.0,6.65,-6.25,-0.31,12.32
2014-03-28,4.65,4.72,4.92,4.6,20026,78905631.0,6.88,1.51,0.07,12.94
2014-03-31,4.73,4.79,4.91,4.6,15276,60371659.0,6.57,1.48,0.07,9.87
2014-04-01,4.8,4.88,4.91,4.77,22299,89459520.0,2.92,1.88,0.09,14.41
