日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,5.78,5.67,5.8,5.67,124936,81074523.0,2.27,-0.87,-0.05,2.63
2010-01-05,5.67,5.59,5.68,5.49,175894,111542375.0,3.35,-1.41,-0.08,3.7
2010-01-06,5.57,5.67,5.78,5.5,215472,138761897.0,5.01,1.43,0.08,4.54
2010-01-07,5.67,5.46,5.7,5.4,171669,108555829.0,5.29,-3.7,-0.21,3.61
2010-01-08,5.45,5.49,5.51,5.37,122681,76264927.0,2.56,0.55,0.03,2.58
2010-01-11,5.46,5.4,5.6,5.36,149636,92679451.0,4.37,-1.64,-0.09,3.15
2010-01-12,5.4,5.51,5.54,5.35,129902,81263734.0,3.52,2.04,0.11,2.73
2010-01-13,5.37,5.46,5.55,5.33,149239,93217193.0,3.99,-0.91,-0.05,3.14
2010-01-14,5.46,5.77,5.81,5.43,293398,189558832.0,6.96,5.68,0.31,6.18
2010-01-15,5.77,5.78,5.87,5.72,260983,171923426.0,2.6,0.17,0.01,5.49
2010-01-18,5.78,5.96,6.02,5.73,254034,169415957.0,5.02,3.11,0.18,5.35
2010-01-19,5.93,5.9,6.01,5.85,163389,109184382.0,2.68,-1.01,-0.06,3.44
2010-01-20,5.92,5.92,6.22,5.74,411754,279571250.0,8.14,0.34,0.02,8.67
2010-01-21,5.9,5.94,6.04,5.84,192234,128967945.0,3.38,0.34,0.02,4.05
2010-01-22,5.88,5.65,5.92,5.57,174541,113608459.0,5.89,-4.88,-0.29,3.67
2010-01-25,5.65,5.48,5.65,5.47,109028,68762988.0,3.19,-3.01,-0.17,2.3
2010-01-26,5.48,5.28,5.54,5.23,105746,64833416.0,5.66,-3.65,-0.2,2.23
2010-01-27,5.28,5.07,5.34,4.95,113985,67334771.0,7.39,-3.98,-0.21,2.4
2010-01-28,5.03,5.28,5.31,4.93,121424,71636071.0,7.5,4.14,0.21,2.56
2010-01-29,5.22,5.26,5.41,5.16,90724,55183029.0,4.73,-0.38,-0.02,1.91
2010-02-01,5.27,5.16,5.27,5.02,71014,41797696.0,4.75,-1.9,-0.1,1.5
2010-02-02,5.16,5.21,5.31,5.15,84732,50941459.0,3.1,0.97,0.05,1.78
2010-02-03,5.18,5.33,5.35,5.01,95836,57636177.0,6.53,2.3,0.12,2.02
2010-02-04,5.27,5.38,5.45,5.22,115293,71011255.0,4.32,0.94,0.05,2.43
2010-02-05,5.23,5.54,5.71,5.18,205351,128487799.0,9.85,2.97,0.16,4.32
2010-02-08,5.52,5.55,5.62,5.44,106956,67396861.0,3.25,0.18,0.01,2.25
2010-02-09,5.67,5.6,6.01,5.58,214213,140423307.0,7.75,0.9,0.05,4.51
2010-02-10,5.52,5.55,5.64,5.47,85807,54091531.0,3.04,-0.89,-0.05,1.81
2010-02-11,5.54,5.48,5.59,5.45,51616,32481931.0,2.52,-1.26,-0.07,1.09
2010-02-12,5.49,5.5,5.55,5.46,49357,31017153.0,1.64,0.36,0.02,1.04
2010-02-22,5.54,5.63,5.75,5.48,125958,81029663.0,4.91,2.36,0.13,2.65
2010-02-23,5.66,5.79,5.82,5.55,145553,94337058.0,4.8,2.84,0.16,3.06
2010-02-24,5.85,5.87,5.96,5.78,189124,125579683.0,3.11,1.38,0.08,3.98
2010-02-25,5.88,5.94,6.01,5.82,230986,155184590.0,3.24,1.19,0.07,4.86
2010-02-26,5.95,5.92,6.09,5.88,250829,170069792.0,3.54,-0.34,-0.02,5.28
2010-03-01,5.93,6.46,6.51,5.92,597504,420516609.0,9.97,9.12,0.54,12.58
2010-03-02,6.42,6.29,6.42,6.2,463320,328892567.0,3.41,-2.63,-0.17,9.75
2010-03-03,6.27,6.69,6.76,6.22,622946,456556114.0,8.59,6.36,0.4,13.12
2010-04-07,7.44,7.44,7.44,7.44,74185,60980144.0,0.0,11.21,0.75,1.56
2010-04-08,7.72,7.81,8.25,7.52,1189882,1033707812.0,9.81,4.97,0.37,25.05
2010-04-09,7.99,7.73,8.12,7.62,683878,588511077.0,6.4,-1.02,-0.08,14.4
2010-04-12,7.7,7.25,7.71,7.1,802047,652641855.0,7.89,-6.21,-0.48,16.89
2010-04-13,7.13,7.09,7.22,6.76,527833,410253479.0,6.34,-2.21,-0.16,11.11
2010-04-14,6.98,7.16,7.26,6.94,326505,258017298.0,4.51,0.99,0.07,6.87
2010-04-15,7.16,6.83,7.16,6.82,257983,199026902.0,4.75,-4.61,-0.33,5.43
2010-04-16,6.77,6.83,6.98,6.65,190720,144846924.0,4.83,0.0,0.0,4.02
2010-04-19,6.69,6.24,6.69,6.21,294044,212769541.0,7.03,-8.64,-0.59,6.19
2010-04-20,6.24,6.27,6.36,5.95,229120,160078334.0,6.57,0.48,0.03,4.82
2010-04-21,6.3,6.44,6.5,6.2,266539,190143731.0,4.78,2.71,0.17,5.61
2010-04-23,6.32,6.46,6.6,6.22,255995,185327373.0,5.9,0.31,0.02,5.39
2010-04-26,6.47,6.19,6.51,6.15,202873,143315276.0,5.57,-4.18,-0.27,4.27
2010-04-27,6.21,5.98,6.21,5.78,180585,121641885.0,6.95,-3.39,-0.21,3.8
2010-04-28,5.93,6.05,6.11,5.81,134841,91417607.0,5.02,1.17,0.07,2.84
2010-04-29,6.09,5.83,6.12,5.82,118272,79973289.0,4.96,-3.64,-0.22,2.49
2010-04-30,5.79,5.68,5.89,5.56,131432,84665175.0,5.66,-2.57,-0.15,2.77
2010-05-04,5.5,5.47,5.66,5.42,106105,66808173.0,4.23,-3.7,-0.21,2.23
2010-05-05,5.47,5.74,5.76,5.39,133650,85362525.0,6.76,4.94,0.27,2.81
2010-05-06,5.76,5.53,5.84,5.52,131371,84839599.0,5.57,-3.66,-0.21,2.77
2010-05-07,5.41,5.56,5.65,5.34,96995,61317338.0,5.61,0.54,0.03,2.04
2010-05-10,5.56,5.73,5.8,5.5,107896,69627976.0,5.4,3.06,0.17,2.27
2010-05-11,5.83,5.56,5.89,5.52,111412,72226310.0,6.46,-2.97,-0.17,2.35
2010-05-12,5.52,5.67,5.68,5.4,103953,65995191.0,5.04,1.98,0.11,2.19
2010-05-13,5.7,5.82,5.85,5.6,159225,103693154.0,4.41,2.65,0.15,3.35
2010-05-14,5.77,5.68,5.78,5.66,105018,68201696.0,2.06,-2.41,-0.14,2.21
2010-05-17,5.57,5.07,5.7,5.03,149103,91860059.0,11.8,-10.74,-0.61,3.14
2010-05-18,5.07,5.01,5.17,4.54,188674,105675386.0,12.43,-1.18,-0.06,3.97
2010-05-19,4.87,4.81,4.96,4.68,110263,61892946.0,5.59,-3.99,-0.2,2.32
2010-05-20,4.77,4.58,4.87,4.57,89136,49103504.0,6.24,-4.78,-0.23,1.88
2010-05-21,4.34,4.65,4.66,4.33,96524,51196193.0,7.21,1.53,0.07,2.03
2010-05-24,4.77,5.05,5.13,4.73,183336,105565723.0,8.6,8.6,0.4,3.86
2010-05-25,4.94,4.86,5.01,4.81,114476,65082908.0,3.96,-3.76,-0.19,2.41
2010-05-26,4.91,4.93,5.01,4.83,80716,46175551.0,3.7,1.44,0.07,1.7
2010-05-27,4.88,5.06,5.14,4.77,136881,78930559.0,7.51,2.64,0.13,2.88
2010-05-28,5.12,5.05,5.14,4.98,91265,53149419.0,3.16,-0.2,-0.01,1.92
2010-05-31,5.09,5.09,5.29,5.0,205275,121909632.0,5.74,0.79,0.04,4.32
2010-06-01,5.01,4.96,5.1,4.81,98531,56261902.0,5.7,-2.55,-0.13,2.07
2010-06-02,4.88,5.05,5.08,4.84,83756,48367237.0,4.84,1.81,0.09,1.76
2010-06-03,5.08,4.88,5.1,4.87,90434,52008781.0,4.55,-3.37,-0.17,1.9
2010-06-07,4.71,4.65,4.81,4.54,95077,51722352.0,5.53,-4.71,-0.23,2.0
2010-06-08,4.66,4.71,4.77,4.61,71100,38842174.0,3.44,1.29,0.06,1.5
2010-06-09,4.71,4.84,4.85,4.61,101142,55797896.0,5.1,2.76,0.13,2.13
2010-06-10,4.82,4.79,4.86,4.75,68480,38134732.0,2.27,-1.03,-0.05,1.44
2010-06-11,4.81,4.76,4.86,4.73,53190,29537647.0,2.71,-0.63,-0.03,1.12
2010-06-17,4.78,4.91,5.02,4.78,114652,64970253.0,5.04,3.15,0.15,2.41
2010-06-18,4.85,4.97,5.16,4.79,181076,103793866.0,7.54,1.22,0.06,3.81
2010-06-21,5.08,5.28,5.3,4.99,234776,139240963.0,6.24,6.24,0.31,4.94
2010-06-22,5.23,5.17,5.25,5.15,137598,82043511.0,1.89,-2.08,-0.11,2.9
2010-06-23,5.13,5.13,5.24,5.05,103662,61050133.0,3.68,-0.77,-0.04,2.18
2010-06-24,5.04,5.08,5.22,5.04,91211,53710928.0,3.51,-0.97,-0.05,1.92
2010-06-25,5.0,4.85,5.06,4.79,88888,50584265.0,5.31,-4.53,-0.23,1.87
2010-06-28,4.83,4.8,4.91,4.76,45917,25684607.0,3.09,-1.03,-0.05,0.97
2010-06-29,4.81,4.4,4.86,4.38,94603,50537161.0,10.0,-8.33,-0.4,1.99
2010-06-30,4.41,4.38,4.52,4.38,70693,36854684.0,3.18,-0.45,-0.02,1.49
2010-07-01,4.38,4.41,4.49,4.36,47762,24800726.0,2.97,0.68,0.03,1.01
2010-07-02,4.41,4.43,4.48,4.01,79297,40097052.0,10.66,0.45,0.02,1.67
2010-07-05,4.35,4.29,4.36,4.13,53125,26747528.0,5.19,-3.16,-0.14,1.12
2010-07-06,4.24,4.38,4.42,4.24,71587,36665887.0,4.2,2.1,0.09,1.51
