日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,10.16,9.86,10.16,9.8,5881,13128187.0,3.6,-1.3,-0.13,0.51
2010-01-05,9.87,9.66,9.97,9.53,5418,11883922.0,4.46,-2.03,-0.2,0.47
2010-01-06,9.68,9.81,9.93,9.38,10785,23479656.0,5.69,1.55,0.15,0.94
2010-01-07,9.8,9.46,9.8,9.44,5453,11820613.0,3.67,-3.57,-0.35,0.48
2010-01-08,9.4,9.67,9.67,9.38,4304,9262907.0,3.07,2.22,0.21,0.38
2010-01-11,9.68,9.42,9.71,9.42,4378,9405629.0,3.0,-2.59,-0.25,0.38
2010-01-12,9.45,9.58,9.6,9.27,7448,15898408.0,3.5,1.7,0.16,0.65
2010-01-13,9.76,10.54,10.54,9.76,46118,108162272.0,8.14,10.02,0.96,4.03
2010-01-14,10.46,10.53,10.56,10.24,29847,70368752.0,3.04,-0.09,-0.01,2.61
2010-01-15,10.53,10.36,10.69,10.32,17500,41522208.0,3.51,-1.61,-0.17,1.53
2010-01-18,10.29,10.46,10.46,10.2,13146,30634784.0,2.51,0.97,0.1,1.15
2010-01-19,10.44,10.15,10.44,10.07,13958,32278618.0,3.54,-2.96,-0.31,1.22
2010-01-20,9.98,9.65,10.1,9.49,11494,25599880.0,6.01,-4.93,-0.5,1.0
2010-01-21,9.49,9.61,9.69,9.49,6234,13546573.0,2.07,-0.41,-0.04,0.54
2010-01-22,9.58,9.67,9.89,9.53,11839,26162906.0,3.75,0.62,0.06,1.03
2010-01-25,9.71,9.67,9.93,9.58,4870,10760212.0,3.62,0.0,0.0,0.43
2010-01-26,9.63,9.17,9.86,9.05,7880,16734960.0,8.38,-5.17,-0.5,0.69
2010-01-27,9.17,8.77,9.25,8.48,7421,14853259.0,8.4,-4.36,-0.4,0.65
2010-01-28,8.69,8.8,8.82,8.69,4140,8234077.5,1.48,0.34,0.03,0.36
2010-01-29,8.91,9.09,9.26,8.69,6953,14317010.0,6.48,3.3,0.29,0.61
2010-02-01,9.22,8.87,9.26,8.73,4874,9848603.0,5.83,-2.42,-0.22,0.43
2010-02-02,8.95,8.78,8.95,8.77,3698,7416670.0,2.03,-1.01,-0.09,0.32
2010-02-03,8.77,8.84,8.87,8.24,5960,11555930.0,7.18,0.68,0.06,0.52
2010-02-04,8.82,8.85,8.95,8.73,4116,8264430.0,2.49,0.11,0.01,0.36
2010-02-05,8.46,8.78,8.96,8.46,3383,6688784.5,5.65,-0.79,-0.07,0.3
2010-02-08,9.27,8.85,9.27,8.78,3113,6305252.0,5.58,0.8,0.07,0.27
2010-02-09,9.27,8.91,9.27,8.77,2900,5882566.0,5.65,0.68,0.06,0.25
2010-02-10,8.91,8.84,8.96,8.78,2557,5127742.0,2.02,-0.79,-0.07,0.22
2010-02-11,8.9,8.9,8.92,8.77,2240,4503261.5,1.7,0.68,0.06,0.2
2010-02-12,8.9,9.02,9.02,8.85,3454,6994557.0,1.91,1.35,0.12,0.3
2010-02-22,9.35,8.93,9.35,8.83,6554,13368410.0,5.76,-1.0,-0.09,0.57
2010-02-23,8.93,8.82,8.93,8.68,4142,8234303.5,2.8,-1.23,-0.11,0.36
2010-02-24,8.78,8.93,8.98,8.72,5143,10380214.0,2.95,1.25,0.11,0.45
2010-02-25,8.96,9.16,9.26,8.93,6044,12507004.0,3.7,2.58,0.23,0.53
2010-02-26,9.28,9.36,9.47,9.16,6971,14808138.0,3.38,2.18,0.2,0.61
2010-03-01,9.38,9.32,9.39,9.28,6064,12831902.0,1.18,-0.43,-0.04,0.53
2010-03-02,9.51,9.51,9.66,9.37,7563,16311093.0,3.11,2.04,0.19,0.66
2010-03-03,9.71,9.54,9.71,9.4,6249,13526800.0,3.26,0.32,0.03,0.55
2010-03-04,9.46,9.11,9.53,9.06,6377,13405693.0,4.93,-4.51,-0.43,0.56
2010-03-05,9.33,9.11,9.33,9.03,3738,7752909.5,3.29,0.0,0.0,0.33
2010-03-08,9.15,9.13,9.17,9.06,5186,10710648.0,1.21,0.22,0.02,0.45
2010-03-09,9.51,10.05,10.05,9.51,57378,130406344.0,5.91,10.08,0.92,5.01
2010-03-10,9.84,9.32,9.84,9.24,36388,78437096.0,5.97,-7.26,-0.73,3.18
2010-03-11,9.27,8.98,9.3,8.96,16122,33178088.0,3.65,-3.65,-0.34,1.41
2010-03-12,8.9,8.91,9.12,8.87,9086,18494622.0,2.78,-0.78,-0.07,0.79
2010-03-15,8.91,8.72,8.97,8.69,7487,14928492.0,3.14,-2.13,-0.19,0.65
2010-03-16,8.72,8.72,8.8,8.62,5466,10786972.0,2.06,0.0,0.0,0.48
2010-03-17,8.8,9.18,9.47,8.28,12223,24979888.0,13.65,5.28,0.46,1.07
2010-03-18,9.09,9.16,9.42,8.98,17211,35660300.0,4.79,-0.22,-0.02,1.5
2010-03-19,9.18,9.12,9.2,9.0,5709,11764665.0,2.18,-0.44,-0.04,0.5
2010-03-22,9.13,9.16,9.21,9.05,5422,11216521.0,1.75,0.44,0.04,0.47
2010-03-23,9.16,9.07,9.18,9.0,5119,10516952.0,1.97,-0.98,-0.09,0.45
2010-03-24,9.2,9.04,9.2,9.0,6052,12420987.0,2.21,-0.33,-0.03,0.53
2010-03-25,9.16,8.8,9.16,8.8,6770,13622705.0,3.98,-2.65,-0.24,0.59
2010-03-26,9.07,8.99,9.07,8.72,4380,8796983.0,3.98,2.16,0.19,0.38
2010-03-29,9.0,9.08,9.11,8.91,7227,14804471.0,2.22,1.0,0.09,0.63
