日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,4.48,4.38,4.48,4.37,31357,17955550.0,2.48,-1.35,-0.06,1.03
2010-01-05,4.38,4.29,4.38,4.26,43485,24370222.0,2.74,-2.05,-0.09,1.43
2010-01-06,4.25,4.26,4.38,4.25,47259,26539568.0,3.03,-0.7,-0.03,1.55
2010-01-07,4.28,4.29,4.35,4.25,43765,24442087.0,2.35,0.7,0.03,1.44
2010-01-08,4.31,4.33,4.35,4.28,29968,16786180.0,1.63,0.93,0.04,0.98
2010-01-11,4.35,4.26,4.37,4.24,39578,21994598.0,3.0,-1.62,-0.07,1.3
2010-01-12,4.28,4.28,4.3,4.18,41339,22775387.0,2.82,0.47,0.02,1.36
2010-01-13,4.23,4.21,4.27,4.18,38532,21123466.0,2.1,-1.64,-0.07,1.26
2010-01-14,4.22,4.28,4.29,4.18,38564,21287869.0,2.61,1.66,0.07,1.26
2010-01-15,4.31,4.36,4.38,4.23,48984,27455303.0,3.5,1.87,0.08,1.61
2010-01-18,4.35,4.38,4.4,4.32,44020,25027910.0,1.83,0.46,0.02,1.44
2010-01-19,4.38,4.42,4.5,4.32,53541,30608504.0,4.11,0.91,0.04,1.76
2010-01-20,4.42,4.37,4.44,4.32,51262,29168756.0,2.71,-1.13,-0.05,1.68
2010-01-21,4.38,4.32,4.38,4.23,28564,16008047.0,3.43,-1.14,-0.05,0.94
2010-01-22,4.28,4.28,4.38,4.15,38352,21100832.0,5.32,-0.93,-0.04,1.26
2010-01-25,4.23,4.18,4.31,4.18,22701,12484950.0,3.04,-2.34,-0.1,0.74
2010-01-26,4.18,3.97,4.22,3.97,36655,19227938.0,5.98,-5.02,-0.21,1.2
2010-01-27,3.97,3.8,3.98,3.77,36562,18277139.0,5.29,-4.28,-0.17,1.2
2010-01-28,3.78,3.91,3.91,3.77,21881,10943594.0,3.68,2.89,0.11,0.72
2010-01-29,3.85,3.87,3.95,3.85,17071,8647261.0,2.56,-1.02,-0.04,0.56
2010-02-01,3.85,4.05,4.06,3.77,39440,20141337.0,7.49,4.65,0.18,1.29
2010-02-02,4.04,4.08,4.17,4.01,32769,17391845.0,3.95,0.74,0.03,1.07
2010-02-03,4.07,4.08,4.12,3.95,20495,10787381.0,4.17,0.0,0.0,0.67
2010-02-04,4.07,4.06,4.13,3.98,19058,10087374.0,3.68,-0.49,-0.02,0.63
2010-02-05,3.95,3.99,4.05,3.92,26517,13759687.0,3.2,-1.72,-0.07,0.87
2010-02-08,4.02,3.98,4.04,3.98,10672,5561732.0,1.5,-0.25,-0.01,0.35
2010-02-09,3.98,4.02,4.07,3.98,12507,6552881.0,2.26,1.01,0.04,0.41
2010-02-10,4.06,4.05,4.09,4.02,11543,6069875.0,1.74,0.75,0.03,0.38
