日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-09-02,4.88,5.05,5.43,4.8,134215,617398829.0,28.51,128.51,2.84,83.88
2010-09-03,4.95,5.55,5.55,4.89,48828,235616605.0,13.07,9.9,0.5,30.52
2010-09-06,5.9,5.68,6.1,5.54,95704,505654993.0,10.09,2.34,0.13,59.82
2010-09-07,5.52,5.72,6.06,5.32,50719,264192530.0,13.03,0.7,0.04,31.7
2010-09-08,5.55,5.43,5.67,5.39,39290,194384957.0,4.9,-5.07,-0.29,24.56
2010-09-09,5.43,5.34,5.54,5.23,38025,183697229.0,5.71,-1.66,-0.09,23.77
2010-09-10,5.21,4.94,5.32,4.88,36657,167050943.0,8.24,-7.49,-0.4,22.91
2010-09-13,4.88,4.82,4.92,4.69,24651,106673457.0,4.66,-2.43,-0.12,15.41
2010-09-14,4.83,4.92,4.97,4.83,17638,78272437.0,2.9,2.07,0.1,11.02
2010-09-15,4.78,4.43,4.87,4.42,33513,137500645.0,9.15,-9.96,-0.49,20.95
2010-09-16,4.34,4.24,4.47,4.12,18875,72764200.0,7.9,-4.29,-0.19,11.8
2010-09-17,4.18,4.09,4.25,4.08,13787,51536019.0,4.01,-3.54,-0.15,8.62
2010-09-20,4.09,4.16,4.2,3.9,16424,60482236.0,7.33,1.71,0.07,10.27
2010-09-21,4.1,3.92,4.14,3.9,12384,44627057.0,5.77,-5.77,-0.24,7.74
2010-09-27,3.92,3.94,3.98,3.84,12411,43776387.0,3.57,0.51,0.02,7.76
2010-09-28,3.94,3.73,3.94,3.73,14133,48920837.0,5.33,-5.33,-0.21,8.83
2010-09-29,3.69,3.69,3.78,3.62,12342,41128877.0,4.29,-1.07,-0.04,7.71
2010-09-30,3.73,3.94,4.04,3.7,20982,73793272.0,9.21,6.78,0.25,13.11
2010-10-08,3.94,4.04,4.08,3.84,15354,55230901.0,6.09,2.54,0.1,9.6
2010-10-11,3.99,3.89,3.99,3.87,15433,54463165.0,2.97,-3.71,-0.15,9.65
2010-10-12,3.84,3.84,3.97,3.82,9335,32855172.0,3.86,-1.29,-0.05,5.83
2010-10-13,3.83,3.81,3.84,3.71,11042,37423727.0,3.39,-0.78,-0.03,6.9
2010-10-14,3.8,3.83,3.95,3.77,11932,41656712.0,4.72,0.52,0.02,7.46
2010-10-15,3.76,3.63,3.76,3.62,16114,53451367.0,3.66,-5.22,-0.2,10.07
2010-10-18,3.64,3.43,3.65,3.32,15133,46904044.0,9.09,-5.51,-0.2,9.46
2010-10-19,3.43,3.78,3.78,3.4,18695,61607357.0,11.08,10.2,0.35,11.68
2010-10-20,3.74,3.87,4.02,3.72,29681,104894958.0,7.94,2.38,0.09,18.55
2010-10-21,3.87,3.77,3.9,3.73,10784,36748963.0,4.39,-2.58,-0.1,6.74
2010-10-22,3.77,3.87,3.92,3.76,10117,35339042.0,4.24,2.65,0.1,6.32
2010-10-25,3.89,3.93,3.98,3.82,18394,65089554.0,4.13,1.55,0.06,11.5
2010-10-26,3.92,3.81,3.92,3.79,12079,41763401.0,3.31,-3.05,-0.12,7.55
2010-10-27,3.78,3.66,3.87,3.66,8117,27828525.0,5.51,-3.94,-0.15,5.07
2010-10-28,3.69,3.8,3.85,3.68,7565,25794564.0,4.64,3.83,0.14,4.73
2010-10-29,3.82,3.98,4.05,3.82,19366,69019003.0,6.05,4.74,0.18,12.1
2010-11-01,3.97,4.14,4.21,3.97,20260,75343074.0,6.03,4.02,0.16,12.66
2010-11-02,4.1,3.97,4.14,3.95,15670,56936194.0,4.59,-4.11,-0.17,9.79
2010-11-03,3.93,3.68,3.93,3.66,23306,79060765.0,6.8,-7.3,-0.29,14.57
2010-11-04,3.66,3.75,3.75,3.66,9460,31615651.0,2.45,1.9,0.07,5.91
2010-11-05,3.76,3.8,3.82,3.75,8108,27695551.0,1.87,1.33,0.05,5.07
2010-11-08,3.81,3.91,3.95,3.81,9611,33888694.0,3.68,2.89,0.11,6.01
2010-11-09,3.94,3.85,3.95,3.82,12224,42572625.0,3.32,-1.53,-0.06,7.64
2010-11-10,3.85,4.06,4.08,3.85,21946,79386971.0,5.97,5.45,0.21,13.72
2010-11-11,4.08,3.96,4.21,3.94,24085,89491368.0,6.65,-2.46,-0.1,15.05
2010-11-12,3.94,3.8,4.09,3.8,17277,61643528.0,7.32,-4.04,-0.16,10.8
2010-11-15,3.83,4.08,4.09,3.78,16261,58327463.0,8.16,7.37,0.28,10.16
2010-11-16,4.41,4.21,4.41,4.16,38073,146565625.0,6.13,3.19,0.13,23.8
2010-11-17,4.38,4.27,4.6,4.19,40599,161176502.0,9.74,1.43,0.06,25.37
2010-11-18,4.14,4.69,4.69,4.1,49805,203241223.0,13.82,9.84,0.42,31.13
2010-11-19,4.71,4.87,4.87,4.54,48307,205865265.0,7.04,3.84,0.18,30.19
