日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-08-25,5.68,5.06,5.98,5.02,79753,261613778.0,30.0,58.13,1.86,76.69
2010-08-26,5.04,4.69,5.06,4.67,40569,121463268.0,7.71,-7.31,-0.37,39.01
2010-08-27,4.58,4.62,4.65,4.52,26372,75366506.0,2.77,-1.49,-0.07,25.36
2010-08-30,4.62,4.74,4.8,4.61,23802,69870515.0,4.11,2.6,0.12,22.89
2010-08-31,4.69,4.86,4.91,4.66,21719,64819499.0,5.27,2.53,0.12,20.88
2010-09-01,4.84,4.66,4.9,4.6,19118,56374654.0,6.17,-4.12,-0.2,18.38
2010-09-02,4.7,4.8,4.86,4.66,14991,44417117.0,4.29,3.0,0.14,14.41
2010-09-03,4.8,5.0,5.17,4.8,24017,74633522.0,7.71,4.17,0.2,23.09
2010-09-06,5.05,4.86,5.07,4.8,14938,45351394.0,5.4,-2.8,-0.14,14.36
2010-09-07,4.89,4.96,5.03,4.83,10863,33391086.0,4.12,2.06,0.1,10.44
2010-09-08,4.9,4.89,4.95,4.84,9638,29241613.0,2.22,-1.41,-0.07,9.27
2010-09-09,4.9,4.82,5.0,4.81,10051,30503962.0,3.89,-1.43,-0.07,9.66
2010-09-10,4.81,4.77,4.86,4.67,9160,27034037.0,3.94,-1.04,-0.05,8.81
2010-09-13,4.78,4.86,4.89,4.74,7446,22317884.0,3.14,1.89,0.09,7.16
2010-09-14,4.84,4.8,4.89,4.76,6801,20306998.0,2.67,-1.23,-0.06,6.54
2010-09-15,4.8,4.66,4.81,4.63,7181,21073787.0,3.75,-2.92,-0.14,6.91
2010-09-16,4.66,4.55,4.71,4.49,5867,16715660.0,4.72,-2.36,-0.11,5.64
2010-09-17,4.54,4.56,4.58,4.51,3306,9367460.0,1.54,0.22,0.01,3.18
2010-09-20,4.55,4.45,4.55,4.43,4141,11556106.0,2.63,-2.41,-0.11,3.98
2010-09-21,4.49,4.45,4.49,4.39,3598,9928511.0,2.25,0.0,0.0,3.46
2010-09-27,4.45,4.48,4.48,4.38,3061,8512206.0,2.25,0.67,0.03,2.94
2010-09-28,4.44,4.38,4.5,4.37,2852,7875618.0,2.9,-2.23,-0.1,2.74
2010-09-29,4.38,4.25,4.41,4.24,4628,12445433.0,3.88,-2.97,-0.13,4.45
2010-09-30,4.24,4.3,4.31,4.18,2664,7138013.0,3.06,1.18,0.05,2.56
2010-10-08,4.37,4.39,4.41,4.28,3302,9000862.0,3.02,2.09,0.09,3.18
2010-10-11,4.39,4.4,4.43,4.36,3347,9175702.0,1.59,0.23,0.01,3.22
2010-10-12,4.4,4.39,4.48,4.39,3874,10693965.0,2.05,-0.23,-0.01,3.72
2010-10-13,4.39,4.35,4.43,4.32,4867,13242069.0,2.51,-0.91,-0.04,4.68
2010-10-14,4.35,4.31,4.39,4.31,3989,10818706.0,1.84,-0.92,-0.04,3.84
2010-10-15,4.29,4.22,4.31,4.21,4729,12604291.0,2.32,-2.09,-0.09,4.55
2010-10-18,4.24,4.24,4.25,4.16,3466,9119236.0,2.13,0.47,0.02,3.33
2010-10-19,4.24,4.5,4.59,4.24,10406,28959718.0,8.25,6.13,0.26,10.01
2010-10-20,4.4,4.43,4.57,4.4,7270,20318951.0,3.78,-1.56,-0.07,6.99
2010-10-21,4.43,4.39,4.44,4.35,3137,8602314.0,2.03,-0.9,-0.04,3.02
2010-10-22,4.37,4.45,4.5,4.37,3731,10388652.0,2.96,1.37,0.06,3.59
2010-10-25,4.49,4.56,4.58,4.4,6520,18456987.0,4.04,2.47,0.11,6.27
2010-10-26,4.56,4.48,4.59,4.43,5510,15446852.0,3.51,-1.75,-0.08,5.3
2010-10-27,4.49,4.69,4.71,4.49,16719,48327352.0,4.91,4.69,0.21,16.08
2010-10-28,4.73,4.69,4.73,4.65,8241,24045551.0,1.71,0.0,0.0,7.92
2010-10-29,4.68,4.73,4.76,4.65,7956,23245235.0,2.35,0.85,0.04,7.65
2010-11-01,4.71,4.98,5.09,4.71,19060,58735207.0,8.03,5.29,0.25,18.33
2010-11-02,4.92,4.98,5.12,4.92,12541,38990261.0,4.02,0.0,0.0,12.06
2010-11-03,4.88,4.93,5.02,4.69,7792,23593365.0,6.63,-1.0,-0.05,7.49
2010-11-04,4.89,4.92,4.94,4.74,4479,13544754.0,4.06,-0.2,-0.01,4.31
2010-11-05,4.98,5.13,5.16,4.93,7842,24633780.0,4.67,4.27,0.21,7.54
2010-11-08,5.16,5.39,5.43,5.13,16765,55046469.0,5.85,5.07,0.26,16.12
2010-11-09,5.4,5.68,5.82,5.32,15339,53243603.0,9.28,5.38,0.29,14.75
2010-11-10,5.64,5.6,5.82,5.57,12660,44558225.0,4.4,-1.41,-0.08,12.17
2010-11-11,5.68,5.52,5.73,5.52,12760,44127687.0,3.75,-1.43,-0.08,12.27
2010-11-12,5.51,5.16,5.6,5.04,12548,41144981.0,10.14,-6.52,-0.36,12.07
2010-11-15,5.19,5.43,5.44,5.1,9889,32182812.0,6.59,5.23,0.27,9.51
