日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,2.62,2.53,2.62,2.51,27074,24239185.0,4.3,-1.17,-0.03,1.92
2010-01-05,2.53,2.53,2.54,2.46,32247,28378801.0,3.16,0.0,0.0,2.29
2010-01-06,2.52,2.52,2.57,2.51,29589,26364609.0,2.37,-0.4,-0.01,2.1
2010-01-08,2.42,2.46,2.47,2.38,35532,30561492.0,3.57,-2.38,-0.06,2.53
2010-01-11,2.46,2.42,2.49,2.41,23307,20178798.0,3.25,-1.63,-0.04,1.66
2010-01-12,2.43,2.52,2.54,2.42,28655,25224897.0,4.96,4.13,0.1,2.04
2010-01-13,2.47,2.51,2.57,2.42,33090,29202168.0,5.95,-0.4,-0.01,2.35
2010-01-14,2.53,2.62,2.62,2.52,49280,44367030.0,3.98,4.38,0.11,3.5
2010-01-15,2.64,2.7,2.7,2.58,64366,58803903.0,4.58,3.05,0.08,4.58
2010-01-18,2.72,2.79,2.86,2.71,124601,119212721.0,5.56,3.33,0.09,8.86
2010-01-19,2.81,2.76,2.81,2.72,50262,47447113.0,3.23,-1.08,-0.03,3.57
2010-01-20,2.74,2.63,2.76,2.61,54889,50854279.0,5.43,-4.71,-0.13,3.9
2010-01-21,2.63,2.68,2.7,2.62,32948,30409345.0,3.04,1.9,0.05,2.34
2010-01-22,2.65,2.55,2.65,2.48,42338,37876886.0,6.34,-4.85,-0.13,3.01
2010-01-25,2.51,2.49,2.56,2.48,17997,15938330.0,3.14,-2.35,-0.06,1.28
2010-01-26,2.49,2.35,2.52,2.32,25192,21511708.0,8.03,-5.62,-0.14,1.79
2010-01-27,2.38,2.3,2.38,2.27,18932,15841563.0,4.68,-2.13,-0.05,1.35
2010-01-28,2.33,2.35,2.35,2.29,14484,12109004.0,2.61,2.17,0.05,1.03
2010-01-29,2.34,2.36,2.4,2.31,15880,13462187.0,3.83,0.43,0.01,1.13
2010-02-01,2.36,2.29,2.37,2.25,17722,14674060.0,5.08,-2.97,-0.07,1.26
2010-02-02,2.3,2.3,2.37,2.3,13375,11207014.0,3.06,0.44,0.01,0.95
2010-02-03,2.32,2.37,2.37,2.21,23207,19283328.0,6.96,3.04,0.07,1.65
2010-02-04,2.33,2.36,2.4,2.29,26539,22337794.0,4.64,-0.42,-0.01,1.89
2010-02-05,2.27,2.28,2.33,2.24,20766,17104594.0,3.81,-3.39,-0.08,1.48
2010-02-08,2.28,2.31,2.33,2.27,11395,9457400.0,2.63,1.32,0.03,0.81
2010-02-09,2.3,2.34,2.36,2.29,11970,10016252.0,3.03,1.3,0.03,0.85
2010-02-10,2.36,2.36,2.37,2.33,12827,10789706.0,1.71,0.85,0.02,0.91
