日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-09-16,3.24,3.46,3.7,3.24,122194,358661968.0,22.44,68.78,1.41,91.19
2011-09-19,3.2,3.55,3.67,3.16,86933,254774009.0,14.74,2.6,0.09,64.88
2011-09-20,3.42,3.24,3.5,3.18,65609,188684245.0,9.01,-8.73,-0.31,48.96
2011-09-21,3.13,3.34,3.35,3.08,52726,147783428.0,8.33,3.09,0.1,39.35
2011-09-22,3.28,3.0,3.32,3.0,51906,140980722.0,9.58,-10.18,-0.34,38.74
2011-09-23,2.88,2.89,2.94,2.83,34331,85850377.0,3.67,-3.67,-0.11,25.62
2011-09-26,2.87,2.9,3.02,2.85,30106,77125434.0,5.88,0.35,0.01,22.47
2011-09-27,2.92,2.8,2.95,2.74,30595,74842379.0,7.24,-3.45,-0.1,22.83
2011-09-28,2.82,2.71,2.85,2.66,22557,54168280.0,6.79,-3.21,-0.09,16.83
2011-09-29,2.67,2.64,2.74,2.6,19852,45926568.0,5.17,-2.58,-0.07,14.82
2011-09-30,2.64,2.65,2.67,2.59,12915,29637431.0,3.03,0.38,0.01,9.64
2011-10-10,2.68,2.64,2.69,2.62,10560,24381307.0,2.64,-0.38,-0.01,7.88
2011-10-11,2.73,2.73,2.84,2.66,28395,68076098.0,6.82,3.41,0.09,21.19
2011-10-12,2.69,2.87,2.88,2.59,29390,70954885.0,10.62,5.13,0.14,21.93
2011-10-13,2.82,2.92,3.0,2.81,28380,72155956.0,6.62,1.74,0.05,21.18
2011-10-14,2.9,2.94,2.95,2.83,19915,49868589.0,4.11,0.68,0.02,14.86
2011-10-17,2.94,3.03,3.08,2.92,30030,78379393.0,5.44,3.06,0.09,22.41
2011-10-18,3.0,2.89,3.02,2.83,21388,54391543.0,6.27,-4.62,-0.14,15.96
2011-10-19,2.89,2.86,2.93,2.84,12308,30711730.0,3.11,-1.04,-0.03,9.19
2011-10-20,2.84,2.69,2.87,2.62,15445,36494781.0,8.74,-5.94,-0.17,11.53
2011-10-21,2.76,2.74,2.88,2.73,23126,56078188.0,5.58,1.86,0.05,17.26
2011-10-25,2.75,3.02,3.02,2.75,30704,77392740.0,9.85,10.22,0.28,22.91
2011-10-26,3.08,3.13,3.32,3.07,57119,155143950.0,8.28,3.64,0.11,42.63
2011-10-27,3.13,3.33,3.44,3.11,55680,156758910.0,10.54,6.39,0.2,41.55
2011-10-28,3.3,3.68,3.68,3.22,64141,190668874.0,13.81,10.51,0.35,47.87
2011-10-31,3.68,3.83,3.85,3.6,58820,187789072.0,6.79,4.08,0.15,43.9
2011-11-01,3.72,3.72,3.83,3.64,41863,133813402.0,4.96,-2.87,-0.11,31.24
2011-11-02,3.6,3.89,4.07,3.6,47295,153229803.0,12.63,4.57,0.17,35.29
2011-11-03,3.81,3.68,3.86,3.66,49175,158294255.0,5.14,-5.4,-0.21,36.7
2011-11-04,3.69,3.7,3.77,3.63,29796,94971589.0,3.8,0.54,0.02,22.24
2011-11-07,3.69,3.76,3.83,3.67,31278,101334382.0,4.32,1.62,0.06,23.34
2011-11-08,3.75,3.64,3.75,3.58,28177,88721645.0,4.52,-3.19,-0.12,21.03
2011-11-09,3.63,3.83,3.89,3.6,37064,118988990.0,7.97,5.22,0.19,27.66
2011-11-10,3.77,3.56,3.95,3.56,49821,162311139.0,10.18,-7.05,-0.27,37.18
2011-11-11,3.47,3.46,3.56,3.42,27285,81777752.0,3.93,-2.81,-0.1,20.36
2011-11-14,3.51,3.67,3.78,3.51,38211,120329627.0,7.8,6.07,0.21,28.52
2011-11-15,3.62,3.73,3.78,3.62,29544,94328592.0,4.36,1.63,0.06,22.05
2011-11-16,3.7,3.57,3.74,3.53,24430,76006679.0,5.63,-4.29,-0.16,18.23
2011-11-17,3.6,3.75,3.83,3.57,47073,150608475.0,7.28,5.04,0.18,35.13
2011-11-21,3.65,3.41,3.65,3.37,30653,90822934.0,7.47,-9.07,-0.34,22.88
