日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,3.81,3.76,3.85,3.73,52202,40115463.0,3.16,-1.05,-0.04,2.33
2010-01-05,3.76,3.76,3.8,3.63,42751,32391479.0,4.52,0.0,0.0,1.91
2010-01-06,3.76,3.72,3.83,3.68,45964,35098290.0,3.99,-1.06,-0.04,2.05
2010-01-07,3.71,3.66,3.75,3.61,42240,31645318.0,3.76,-1.61,-0.06,1.88
2010-01-08,3.66,3.68,3.7,3.59,32771,24265658.0,3.01,0.55,0.02,1.46
2010-01-11,3.73,3.57,3.73,3.49,83373,60037271.0,6.52,-2.99,-0.11,3.72
2010-01-12,3.53,3.7,3.71,3.5,58554,43272839.0,5.88,3.64,0.13,2.61
2010-01-13,3.55,3.77,3.78,3.55,65848,49746894.0,6.22,1.89,0.07,2.94
2010-01-14,3.73,3.96,3.96,3.73,150349,119985507.0,6.1,5.04,0.19,6.7
2010-01-15,4.03,4.16,4.16,4.01,153905,129835251.0,3.79,5.05,0.2,6.86
2010-01-18,4.16,4.2,4.37,4.15,152876,132106293.0,5.29,0.96,0.04,6.82
2010-01-19,4.23,4.41,4.41,4.16,130219,114778955.0,5.95,5.0,0.21,5.81
2010-01-20,4.47,4.28,4.5,4.19,135448,120807101.0,7.03,-2.95,-0.13,6.04
2010-01-21,4.3,4.29,4.42,4.28,59351,52253539.0,3.27,0.23,0.01,2.65
2010-01-22,4.3,4.5,4.5,4.2,89702,80445921.0,6.99,4.9,0.21,4.0
2010-01-25,4.47,4.67,4.73,4.43,90609,85825129.0,6.67,3.78,0.17,4.04
2010-01-26,4.66,4.43,4.8,4.43,95187,88036910.0,7.92,-5.14,-0.24,4.24
2010-01-27,4.28,4.21,4.33,4.21,62602,53827357.0,2.71,-4.97,-0.22,2.79
2010-01-28,4.16,4.42,4.42,4.15,44891,39835837.0,6.41,4.99,0.21,2.0
2010-01-29,4.57,4.51,4.65,4.43,93805,86960739.0,4.98,2.04,0.09,4.18
2010-02-01,4.41,4.44,4.57,4.35,37938,34357180.0,4.88,-1.55,-0.07,1.69
2010-02-02,4.43,4.31,4.51,4.22,50867,45083718.0,6.53,-2.93,-0.13,2.27
2010-02-03,4.31,4.4,4.4,4.18,36493,31979258.0,5.1,2.09,0.09,1.63
2010-02-04,4.38,4.39,4.46,4.32,33899,30328495.0,3.18,-0.23,-0.01,1.51
2010-02-05,4.33,4.24,4.36,4.17,62663,53739357.0,4.33,-3.42,-0.15,2.79
2010-02-08,4.21,4.15,4.27,4.13,22811,19471834.0,3.3,-2.12,-0.09,1.02
2010-02-09,4.2,4.18,4.24,4.15,21613,18425980.0,2.17,0.72,0.03,0.96
2010-02-10,4.18,4.11,4.23,3.99,24461,20476418.0,5.74,-1.67,-0.07,1.09
2010-02-11,4.11,4.17,4.18,4.09,15994,13451114.0,2.19,1.46,0.06,0.71
