日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,8.87,8.77,8.94,8.74,30662,30091236.0,2.26,-0.79,-0.07,2.37
2010-01-05,8.9,8.92,8.93,8.68,42000,41235060.0,2.85,1.71,0.15,3.25
2010-01-06,8.86,9.04,9.15,8.81,53397,53436412.0,3.81,1.35,0.12,4.13
2010-01-07,9.01,8.78,9.17,8.73,50879,51020996.0,4.87,-2.88,-0.26,3.94
2010-01-08,8.76,8.64,8.76,8.34,53012,50136680.0,4.78,-1.59,-0.14,4.1
2010-01-11,8.65,8.4,8.71,8.37,44171,41524136.0,3.94,-2.78,-0.24,3.42
2010-01-12,8.41,8.54,8.54,8.35,33165,31296574.0,2.26,1.67,0.14,2.57
2010-01-13,8.44,8.36,8.51,8.32,38943,36295400.0,2.22,-2.11,-0.18,3.01
2010-01-14,8.36,8.64,8.66,8.36,42320,40136000.0,3.59,3.35,0.28,3.28
2010-01-15,8.68,8.88,8.94,8.68,53111,52317996.0,3.01,2.78,0.24,4.11
2010-01-18,8.85,9.08,9.08,8.73,57145,57221328.0,3.94,2.25,0.2,4.42
2010-01-19,9.1,8.92,9.17,8.86,43608,43385364.0,3.41,-1.76,-0.16,3.38
2010-01-20,8.92,8.44,8.94,8.35,44629,42941376.0,6.61,-5.38,-0.48,3.45
2010-01-21,8.44,8.48,8.59,8.4,25000,23622206.0,2.25,0.47,0.04,1.94
2010-01-22,8.43,8.3,8.43,8.06,32267,29587648.0,4.36,-2.12,-0.18,2.5
2010-01-25,8.49,8.56,8.92,8.49,70929,68740720.0,5.18,3.13,0.26,5.49
2010-01-26,8.35,8.14,8.38,8.08,37237,33954904.0,3.5,-4.91,-0.42,2.88
2010-01-27,8.25,7.8,8.25,7.5,30202,26199594.0,9.21,-4.18,-0.34,2.34
2010-01-28,7.76,7.81,7.86,7.63,18429,15879997.0,2.95,0.13,0.01,1.43
2010-01-29,7.81,7.72,7.94,7.69,18801,16377555.0,3.2,-1.15,-0.09,1.46
2010-02-02,7.58,7.79,8.23,7.58,40233,35582136.0,8.42,0.91,0.07,3.11
2010-02-03,7.79,7.83,7.88,7.44,29384,25125234.0,5.65,0.51,0.04,2.27
2010-02-04,7.85,7.76,7.91,7.64,27731,24030840.0,3.45,-0.89,-0.07,2.15
2010-02-05,7.61,7.44,7.61,7.25,31323,25968002.0,4.64,-4.12,-0.32,2.42
2010-02-08,7.5,7.44,7.51,7.36,14419,11961896.0,2.02,0.0,0.0,1.12
2010-02-09,7.35,7.4,7.5,7.35,14498,12019987.0,2.02,-0.54,-0.04,1.12
2010-02-10,7.54,7.48,7.61,7.44,15528,12982580.0,2.3,1.08,0.08,1.2
2010-02-12,7.1,7.1,7.1,7.1,22085,17491320.0,0.0,-5.08,-0.38,1.71
2010-02-22,6.74,6.91,6.96,6.74,106338,80778320.0,3.1,-2.68,-0.19,8.23
