日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-04-26,10.56,9.96,10.62,9.95,33908,104806293.0,5.92,-12.01,-1.36,21.19
2011-04-27,9.81,9.54,9.82,9.5,16198,47228551.0,3.21,-4.22,-0.42,10.12
2011-04-28,9.57,9.31,9.63,9.28,8702,24880257.0,3.67,-2.41,-0.23,5.44
2011-04-29,9.31,9.37,9.45,9.28,3687,10502932.0,1.83,0.64,0.06,2.3
2011-05-03,9.44,9.41,9.44,9.29,2952,8414517.0,1.6,0.43,0.04,1.84
2011-05-04,9.41,9.25,9.41,9.2,5060,14252031.0,2.23,-1.7,-0.16,3.16
2011-05-05,9.25,9.24,9.32,9.24,3122,8799078.0,0.86,-0.11,-0.01,1.95
2011-05-06,9.24,9.17,9.24,9.11,3685,10252954.0,1.41,-0.76,-0.07,2.3
2011-05-09,9.17,9.2,9.34,9.17,3001,8434211.0,1.85,0.33,0.03,1.88
2011-05-10,9.22,9.24,9.27,9.2,2242,6287004.0,0.76,0.43,0.04,1.4
2011-05-11,9.28,9.25,9.31,9.2,3002,8439925.0,1.19,0.11,0.01,1.88
2011-05-12,9.23,9.18,9.29,9.18,2643,7418293.0,1.19,-0.76,-0.07,1.65
2011-05-13,9.18,9.34,9.34,9.15,2905,8172121.0,2.07,1.74,0.16,1.82
2011-05-16,9.32,9.4,9.51,9.25,4480,12846394.0,2.78,0.64,0.06,2.8
2011-05-17,9.38,9.41,9.45,9.28,2151,6127321.0,1.81,0.11,0.01,1.34
2011-05-18,9.46,9.3,9.46,9.29,2337,6631057.0,1.81,-1.17,-0.11,1.46
2011-05-19,9.3,9.21,9.36,9.21,2439,6882748.0,1.61,-0.97,-0.09,1.52
2011-05-20,9.19,9.2,9.25,9.18,1662,4651528.0,0.76,-0.11,-0.01,1.04
2011-05-23,9.14,8.82,9.22,8.82,3306,9055189.0,4.35,-4.13,-0.38,2.07
2011-05-24,8.89,8.92,9.01,8.74,2185,5901811.0,3.06,1.13,0.1,1.37
2011-05-25,8.9,8.72,8.93,8.7,1833,4910514.0,2.58,-2.24,-0.2,1.15
2011-05-26,8.77,8.62,8.86,8.6,1164,3081554.0,2.98,-1.15,-0.1,0.73
2011-05-27,8.59,8.46,8.69,8.41,1946,5058169.0,3.25,-1.86,-0.16,1.22
2011-05-30,8.44,8.47,8.63,8.37,1843,4776706.0,3.07,0.12,0.01,1.15
2011-05-31,8.49,8.57,8.59,8.48,1126,2927617.0,1.3,1.18,0.1,0.7
2011-06-01,8.58,8.57,8.6,8.56,1286,3360327.0,0.47,0.0,0.0,0.8
