日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,3.69,3.74,3.81,3.67,34009,115562234.11,3.81,1.91,0.07,14.17
2010-01-05,3.72,3.66,3.72,3.63,25875,85612515.64,2.41,-2.14,-0.08,10.78
2010-01-06,3.67,3.66,3.74,3.61,20311,67455740.7,3.55,0.0,0.0,8.46
2010-01-07,3.66,3.56,3.67,3.53,23000,74990298.11,3.83,-2.73,-0.1,9.58
2010-01-08,3.53,3.52,3.57,3.47,15021,47897102.5,2.81,-1.12,-0.04,6.26
2010-01-11,3.52,3.56,3.58,3.45,16332,52206638.14,3.69,1.14,0.04,6.8
2010-01-12,3.57,3.63,3.67,3.53,20598,67666235.2,3.93,1.97,0.07,8.58
2010-01-13,3.54,3.53,3.63,3.51,15652,50550729.02,3.31,-2.75,-0.1,6.52
2010-01-14,3.58,3.64,3.67,3.54,16535,54219228.61,3.68,3.12,0.11,6.89
2010-01-15,3.64,3.66,3.7,3.63,13994,46376821.83,1.92,0.55,0.02,5.83
2010-01-18,3.65,3.72,3.73,3.65,18284,61175878.08,2.19,1.64,0.06,7.62
2010-01-19,3.71,3.61,3.71,3.58,15802,51779269.2,3.49,-2.96,-0.11,6.58
2010-01-20,3.61,3.38,3.61,3.36,19866,62902753.11,6.93,-6.37,-0.23,8.28
2010-01-21,3.39,3.41,3.43,3.36,11127,34397590.91,2.07,0.89,0.03,4.64
2010-01-22,3.39,3.3,3.39,3.27,12586,38108033.83,3.52,-3.23,-0.11,5.24
2010-01-25,3.29,3.32,3.35,3.27,7532,22752261.21,2.42,0.61,0.02,3.14
2010-01-26,3.32,3.15,3.32,3.14,9310,27328458.05,5.42,-5.12,-0.17,3.88
2010-01-27,3.18,3.14,3.21,3.12,8330,23985816.25,2.86,-0.32,-0.01,3.47
2010-01-28,3.12,3.13,3.15,3.09,6224,17800525.85,1.91,-0.32,-0.01,2.59
2010-01-29,3.13,3.13,3.17,3.12,6445,18544364.64,1.6,0.0,0.0,2.69
2010-02-01,3.12,3.01,3.12,3.0,8298,23103229.84,3.83,-3.83,-0.12,3.46
2010-02-02,3.01,2.94,3.05,2.92,8202,22531087.51,4.32,-2.33,-0.07,3.42
2010-02-03,2.94,2.94,2.96,2.82,8207,21795605.43,4.76,0.0,0.0,3.42
2010-02-04,2.93,2.94,2.98,2.89,7682,20774735.54,3.06,0.0,0.0,3.2
2010-02-08,2.83,2.96,3.0,2.83,9949,26828526.09,5.78,0.68,0.02,4.15
2010-02-09,3.02,2.95,3.02,2.94,6392,17418116.06,2.7,-0.34,-0.01,2.66
2010-02-10,2.96,2.98,3.02,2.94,4625,12618897.24,2.71,1.02,0.03,1.93
2010-02-11,2.98,2.99,3.03,2.97,4222,11609128.17,2.01,0.34,0.01,1.76
2010-02-12,2.99,3.01,3.01,2.99,3474,9566483.02,0.67,0.67,0.02,1.45
2010-02-22,3.01,2.97,3.02,2.97,3556,9764702.02,1.66,-1.33,-0.04,1.48
2010-02-23,2.96,2.94,2.99,2.9,4434,11966326.4,3.03,-1.01,-0.03,1.85
2010-02-24,2.94,3.04,3.04,2.92,8320,23002453.57,4.08,3.4,0.1,3.47
2010-02-25,3.07,3.18,3.24,3.06,14631,42267147.9,5.92,4.61,0.14,6.1
2010-02-26,3.15,3.21,3.25,3.13,14020,41151016.59,3.77,0.94,0.03,5.84
2010-03-01,3.23,3.31,3.38,3.23,15946,48104910.63,4.67,3.12,0.1,6.64
2010-03-02,3.31,3.38,3.41,3.31,14340,43888290.38,3.02,2.11,0.07,5.98
2010-03-03,3.38,3.44,3.45,3.32,12637,39248971.91,3.85,1.78,0.06,5.27
2010-03-04,3.45,3.38,3.49,3.35,16837,52360712.8,4.07,-1.74,-0.06,7.02
2010-03-05,3.37,3.44,3.45,3.32,13019,40340154.75,3.85,1.78,0.06,5.42
2010-03-08,3.44,3.49,3.52,3.44,11510,36365848.38,2.33,1.45,0.05,4.8
2010-03-09,3.5,3.47,3.5,3.45,5648,17783768.38,1.43,-0.57,-0.02,2.35
2010-03-10,3.48,3.48,3.53,3.38,9776,30722120.73,4.32,0.29,0.01,4.07
2010-03-11,3.48,3.51,3.52,3.42,9122,28842366.94,2.87,0.86,0.03,3.8
2010-03-12,3.51,3.52,3.63,3.51,14182,45773374.27,3.42,0.28,0.01,5.91
2010-03-15,3.51,3.53,3.55,3.33,8233,25913115.09,6.25,0.28,0.01,3.43
2010-03-16,3.51,3.44,3.53,3.42,5595,17589630.32,3.12,-2.55,-0.09,2.33
2010-03-17,3.44,3.52,3.53,3.44,6107,19328077.56,2.62,2.33,0.08,2.54
2010-03-18,3.53,3.44,3.53,3.44,5424,17071358.01,2.56,-2.27,-0.08,2.26
2010-03-19,3.42,3.42,3.45,3.4,6322,19641021.43,1.45,-0.58,-0.02,2.63
2010-03-22,3.36,3.5,3.52,3.34,37090,115909680.34,5.26,2.34,0.08,12.36
2010-03-23,3.47,3.63,3.64,3.47,31137,100335718.12,4.86,3.71,0.13,10.38
2010-03-24,3.65,3.88,4.0,3.65,54900,190254390.78,9.64,6.89,0.25,18.3
2010-03-25,3.78,3.87,3.87,3.73,24956,85309516.75,3.61,-0.26,-0.01,8.32
2010-03-26,3.88,3.87,3.88,3.76,18498,63936181.4,3.1,0.0,0.0,6.17
2010-03-29,3.87,3.73,3.9,3.7,22670,77366832.32,5.17,-3.62,-0.14,7.56
2010-03-30,3.72,3.85,3.85,3.71,14056,48088293.48,3.75,3.22,0.12,4.69
2010-03-31,3.85,3.9,3.92,3.8,16778,58537616.96,3.12,1.3,0.05,5.59
2010-04-01,3.9,4.03,4.07,3.89,22476,80941090.91,4.62,3.33,0.13,7.49
2010-04-02,4.03,4.02,4.08,3.94,36698,132672542.62,3.47,-0.25,-0.01,12.23
2010-04-06,3.98,3.85,3.99,3.85,31562,110587780.18,3.48,-4.23,-0.17,10.52
2010-04-07,3.88,3.92,3.95,3.83,17643,61851799.82,3.12,1.82,0.07,5.88
2010-04-08,3.89,3.99,4.06,3.86,33306,119683455.71,5.1,1.79,0.07,11.1
2010-04-09,4.01,4.16,4.18,3.93,25272,92367279.51,6.27,4.26,0.17,8.42
2010-04-12,4.16,4.24,4.36,4.16,22355,84857904.46,4.81,1.92,0.08,7.45
2010-04-13,4.24,4.06,4.29,3.85,25950,95273119.56,10.38,-4.25,-0.18,8.65
2010-04-14,4.01,3.99,4.07,3.89,11007,39377905.3,4.43,-1.72,-0.07,3.67
2010-04-15,3.97,3.79,4.02,3.78,15985,55654725.66,6.02,-5.01,-0.2,5.33
2010-04-16,3.79,3.79,3.87,3.69,7620,26036394.97,4.75,0.0,0.0,2.54
2010-04-19,3.77,3.73,3.86,3.72,9889,33929006.98,3.69,-1.58,-0.06,3.3
2010-04-20,3.74,3.76,3.8,3.65,11342,38187358.79,4.02,0.8,0.03,3.78
2010-04-21,3.75,3.91,3.93,3.71,14391,49754019.39,5.85,3.99,0.15,4.8
2010-04-22,3.9,3.97,3.99,3.86,11743,41489629.21,3.32,1.53,0.06,3.91
2010-04-23,4.0,3.9,4.05,3.89,9606,34145678.19,4.03,-1.76,-0.07,3.2
2010-04-26,3.87,3.79,3.93,3.79,8381,29176621.46,3.59,-2.82,-0.11,2.79
2010-04-27,3.77,3.59,3.77,3.51,14980,48854947.36,6.86,-5.28,-0.2,4.99
