日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,6.26,6.15,6.3,6.11,41596,52635808.0,3.04,-1.44,-0.09,1.97
2010-01-05,6.13,6.12,6.16,6.01,38702,48224356.0,2.44,-0.49,-0.03,1.83
2010-01-06,6.12,6.12,6.22,6.07,38830,48949000.0,2.45,0.0,0.0,1.83
2010-01-07,6.12,5.93,6.17,5.9,43579,53805848.0,4.41,-3.1,-0.19,2.06
2010-01-08,5.93,5.95,5.97,5.81,32038,38665332.0,2.7,0.34,0.02,1.51
2010-01-11,6.08,5.97,6.12,5.9,33701,41145188.0,3.7,0.34,0.02,1.59
2010-01-12,5.98,6.08,6.09,5.9,38418,47389000.0,3.18,1.84,0.11,1.82
2010-01-13,5.91,6.26,6.26,5.88,109694,138440016.0,6.25,2.96,0.18,5.18
2010-01-14,6.3,6.33,6.33,6.18,102924,132218592.0,2.4,1.12,0.07,4.86
2010-01-15,6.31,6.3,6.37,6.26,64438,83079584.0,1.74,-0.47,-0.03,3.04
2010-01-18,6.3,6.32,6.34,6.21,65011,83433512.0,2.06,0.32,0.02,3.07
2010-01-19,6.32,6.25,6.36,6.24,53280,68449136.0,1.9,-1.11,-0.07,2.52
2010-01-20,6.26,5.97,6.28,5.96,56389,70419568.0,5.12,-4.48,-0.28,2.66
2010-01-21,5.96,6.03,6.07,5.96,31493,38808284.0,1.84,1.01,0.06,1.49
2010-01-22,5.98,5.85,6.0,5.71,41226,49487788.0,4.81,-2.99,-0.18,1.95
2010-01-25,5.78,5.72,5.85,5.71,21337,25211252.0,2.39,-2.22,-0.13,1.01
2010-01-26,5.72,5.46,5.78,5.41,30960,35427008.0,6.47,-4.55,-0.26,1.46
2010-01-27,5.46,5.44,5.54,5.4,18101,20271926.0,2.56,-0.37,-0.02,0.86
2010-01-28,5.43,5.5,5.52,5.39,18831,21164120.0,2.39,1.1,0.06,0.89
2010-01-29,5.48,5.57,5.66,5.46,22862,26116586.0,3.64,1.27,0.07,1.08
2010-02-01,5.57,5.48,5.6,5.44,16949,19162154.0,2.87,-1.62,-0.09,0.8
2010-02-02,5.49,5.46,5.58,5.46,14952,16932546.0,2.19,-0.36,-0.02,0.71
2010-02-03,5.47,5.51,5.53,5.11,35114,38560040.0,7.69,0.92,0.05,1.66
2010-02-04,5.5,5.5,5.56,5.39,28842,32434654.0,3.09,-0.18,-0.01,1.36
2010-02-05,5.36,5.31,5.4,5.26,25012,27400408.0,2.55,-3.45,-0.19,1.18
2010-02-08,5.26,5.28,5.35,5.26,13007,14121827.0,1.69,-0.56,-0.03,0.61
2010-02-09,5.29,5.32,5.35,5.29,8305,9076587.0,1.14,0.76,0.04,0.39
2010-02-10,5.36,5.4,5.42,5.36,14401,15927128.0,1.13,1.5,0.08,0.68
2010-02-11,5.41,5.45,5.46,5.41,11481,12811811.0,0.93,0.93,0.05,0.54
2010-02-12,5.46,5.46,5.52,5.45,15083,17006028.0,1.28,0.18,0.01,0.71
2010-02-22,5.45,5.48,5.53,5.44,12908,14543308.0,1.65,0.37,0.02,0.61
2010-02-23,5.48,5.43,5.5,5.32,16924,18721880.0,3.28,-0.91,-0.05,0.8
2010-02-24,5.39,5.57,5.59,5.39,27214,30851782.0,3.68,2.58,0.14,1.29
