日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-12-02,8.14,9.79,9.79,8.14,26,38466.0,24.41,44.82,3.03,0.01
2016-12-05,10.79,10.79,10.79,10.79,41,67158.0,0.0,10.21,1.0,0.02
2016-12-06,11.88,11.88,11.88,11.88,16,28832.0,0.0,10.1,1.09,0.01
2016-12-07,13.08,13.08,13.08,13.08,44,87208.0,0.0,10.1,1.2,0.02
2016-12-08,14.4,14.4,14.4,14.4,117,255234.0,0.0,10.09,1.32,0.05
2016-12-09,15.85,15.85,15.85,15.85,44,105488.0,0.0,10.07,1.45,0.02
2016-12-12,17.45,17.45,17.45,17.45,121,319726.0,0.0,10.09,1.6,0.06
2016-12-13,19.21,19.21,19.21,19.21,94,274210.0,0.0,10.09,1.76,0.04
2016-12-14,21.15,21.15,21.15,21.15,161,513912.0,0.0,10.1,1.94,0.07
2016-12-15,23.27,23.27,23.27,23.27,198,696898.0,0.0,10.02,2.12,0.09
2016-12-16,25.61,25.61,25.61,25.61,229,886097.0,0.0,10.06,2.34,0.1
2016-12-19,28.19,28.19,28.19,28.19,426,1809308.0,0.0,10.07,2.58,0.19
2016-12-20,31.02,31.02,31.02,31.02,1092,5103570.0,0.0,10.04,2.83,0.5
2016-12-21,34.13,34.13,34.13,34.13,1344,6906258.0,0.0,10.03,3.11,0.61
2016-12-22,37.56,37.56,37.56,37.56,996,5633646.0,0.0,10.05,3.43,0.45
2016-12-23,41.33,41.33,41.33,41.33,2118,13169043.0,0.0,10.04,3.77,0.96
2016-12-26,37.19,37.51,40.52,37.18,104739,591981408.0,8.08,-9.24,-3.82,47.61
2016-12-27,37.19,37.91,38.45,35.93,98274,552681920.0,6.72,1.07,0.4,44.67
2016-12-28,37.27,35.56,37.53,35.25,53835,294045584.0,6.01,-6.2,-2.35,24.47
2016-12-29,35.09,35.31,36.32,34.05,36127,192478046.0,6.38,-0.7,-0.25,16.42
2016-12-30,34.87,35.79,36.38,34.87,29564,159779313.0,4.28,1.36,0.48,13.44
2017-01-03,35.69,36.42,36.45,35.01,33159,179438006.0,4.02,1.76,0.63,15.07
2017-01-04,36.33,35.95,36.92,35.4,21638,117706943.0,4.17,-1.29,-0.47,9.84
