日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,0.74,0.84,0.92,0.73,60119,74511200.5,26.03,15.07,0.11,5.31
2010-01-05,0.84,0.86,0.89,0.8,34614,43318298.11,10.71,2.38,0.02,3.06
2010-01-06,0.85,0.82,0.89,0.81,31221,38731963.64,9.3,-4.65,-0.04,2.76
2010-01-07,0.81,0.79,0.84,0.73,32589,39427850.28,13.41,-3.66,-0.03,2.88
2010-01-08,0.8,0.8,0.81,0.74,20487,24755327.97,8.86,1.27,0.01,1.81
2010-01-11,0.77,0.81,0.84,0.76,23205,28295649.61,10.0,1.25,0.01,2.05
2010-01-12,0.81,0.82,0.85,0.77,33215,40686130.47,9.88,1.23,0.01,2.93
2010-01-13,0.76,0.76,0.81,0.73,34776,41835230.51,9.76,-7.32,-0.06,3.07
2010-01-14,0.79,0.81,0.81,0.74,29876,36204435.02,9.21,6.58,0.05,2.64
2010-01-15,0.81,0.86,0.88,0.8,41913,52428991.36,9.88,6.17,0.05,3.7
2010-01-18,0.89,0.87,0.9,0.83,29673,37344900.86,8.14,1.16,0.01,2.62
2010-01-19,0.88,0.82,0.89,0.8,27044,33391836.45,10.34,-5.75,-0.05,2.39
2010-01-20,0.82,0.76,0.82,0.73,34571,41378507.53,10.98,-7.32,-0.06,3.05
2010-01-21,0.78,0.76,0.78,0.73,15988,19118302.03,6.58,0.0,0.0,1.41
2010-01-22,0.74,0.69,0.74,0.57,28600,32765728.65,22.37,-9.21,-0.07,2.53
2010-01-25,0.63,0.66,0.68,0.63,9999,11437881.0,7.25,-4.35,-0.03,0.88
2010-01-26,0.68,0.57,0.68,0.55,15476,17149842.03,19.7,-13.64,-0.09,1.37
2010-01-27,0.58,0.55,0.58,0.51,12143,13204821.98,12.28,-3.51,-0.02,1.07
2010-01-28,0.55,0.59,0.6,0.54,13955,15427981.36,10.91,7.27,0.04,1.23
2010-01-29,0.6,0.58,0.66,0.55,24622,27632721.12,18.64,-1.69,-0.01,2.17
2010-02-01,0.58,0.66,0.67,0.57,27786,31248213.93,17.24,13.79,0.08,2.45
2010-02-02,0.66,0.68,0.71,0.64,26936,31353416.3,10.61,3.03,0.02,2.38
2010-02-03,0.68,0.7,0.73,0.66,31465,36711772.72,10.29,2.94,0.02,2.78
2010-02-04,0.7,0.7,0.71,0.66,20127,23406064.4,7.14,0.0,0.0,1.78
2010-02-05,0.65,0.65,0.72,0.59,20718,23479342.91,18.57,-7.14,-0.05,1.83
2010-02-08,0.66,0.63,0.66,0.61,15136,17116577.2,7.69,-3.08,-0.02,1.34
2010-02-09,0.61,0.58,0.63,0.56,15130,16850546.0,11.11,-7.94,-0.05,1.34
2010-02-10,0.59,0.58,0.6,0.57,12301,13588183.19,5.17,0.0,0.0,1.09
2010-02-11,0.58,0.6,0.63,0.58,12169,13657317.15,8.62,3.45,0.02,1.07
2010-02-12,0.65,0.64,0.65,0.6,7724,8714352.39,8.33,6.67,0.04,0.68
2010-02-22,0.64,0.59,0.64,0.59,9384,10503935.22,7.81,-7.81,-0.05,0.83
2010-02-23,0.58,0.49,0.6,0.48,27560,29458625.02,20.34,-16.95,-0.1,2.43
2010-02-24,0.5,0.55,0.55,0.49,31539,33738513.16,12.24,12.24,0.06,2.78
2010-02-25,0.54,0.59,0.6,0.53,39308,43219279.09,12.73,7.27,0.04,3.47
2010-02-26,0.59,0.56,0.59,0.55,27272,29931669.19,6.78,-5.08,-0.03,2.41
2010-03-01,0.57,0.6,0.6,0.55,41016,45472193.07,8.93,7.14,0.04,3.62
2010-03-02,0.6,0.75,0.78,0.6,94014,110448573.88,30.0,25.0,0.15,8.3
2010-03-03,0.74,0.77,0.78,0.7,53055,63232967.16,10.67,2.67,0.02,4.68
2010-03-04,0.78,0.9,1.0,0.77,142239,179737128.6,29.87,16.88,0.13,12.56
2010-03-05,0.87,0.92,0.98,0.82,76964,98612401.17,17.78,2.22,0.02,6.8
2010-03-08,0.92,0.88,0.94,0.84,38508,48787472.64,10.87,-4.35,-0.04,3.4
2010-03-09,0.89,0.83,0.93,0.79,37559,47029150.36,15.91,-5.68,-0.05,3.32
2010-03-10,0.85,0.81,0.85,0.76,31889,38804502.77,10.84,-2.41,-0.02,2.82
2010-03-11,0.81,0.8,0.83,0.77,19024,23244197.29,7.41,-1.23,-0.01,1.68
2010-03-12,0.8,0.77,0.81,0.77,17458,21251203.17,5.0,-3.75,-0.03,1.54
2010-03-15,0.78,0.73,0.79,0.71,18193,21565170.71,10.39,-5.19,-0.04,1.61
2010-03-16,0.74,0.81,0.81,0.73,20420,24623699.02,10.96,10.96,0.08,1.8
2010-03-17,0.78,0.83,0.84,0.78,22854,28094007.34,7.41,2.47,0.02,2.02
2010-03-18,0.81,0.78,0.84,0.77,18688,22863347.83,8.43,-6.02,-0.05,1.65
2010-03-19,0.78,0.82,0.84,0.76,17153,21135601.77,10.26,5.13,0.04,1.51
2010-03-22,0.83,0.85,0.86,0.81,21451,26684950.88,6.1,3.66,0.03,1.89
2010-03-23,0.85,0.76,0.86,0.76,28195,34455161.05,11.76,-10.59,-0.09,2.49
2010-03-24,0.75,0.71,0.76,0.68,62351,73268016.46,10.53,-6.58,-0.05,5.51
2010-03-25,0.7,0.67,0.71,0.66,26841,31055978.72,7.04,-5.63,-0.04,2.37
2010-03-26,0.66,0.7,0.71,0.66,23063,26937143.06,7.46,4.48,0.03,2.04
2010-03-29,0.7,0.74,0.76,0.7,25331,29980755.95,8.57,5.71,0.04,2.24
2010-03-30,0.74,0.66,0.74,0.65,59032,68330956.87,12.16,-10.81,-0.08,5.21
2010-03-31,0.66,0.68,0.7,0.65,52245,60603969.63,7.58,3.03,0.02,4.61
2010-04-01,0.69,0.7,0.74,0.68,47480,55890724.25,8.82,2.94,0.02,4.19
2010-04-02,0.7,0.69,0.72,0.66,49472,57467184.22,8.57,-1.43,-0.01,4.37
2010-04-06,0.71,0.75,0.75,0.66,59829,70228284.48,13.04,8.7,0.06,5.28
2010-04-07,0.75,0.73,0.76,0.7,42609,50245325.92,8.0,-2.67,-0.02,3.76
2010-04-08,0.72,0.73,0.76,0.69,40177,47622437.34,9.59,0.0,0.0,3.55
2010-04-09,0.72,0.79,0.81,0.72,67352,81693290.46,12.33,8.22,0.06,5.95
2010-04-12,0.8,0.82,0.84,0.78,63505,78186922.95,7.59,3.8,0.03,5.61
2010-04-13,0.83,0.72,0.83,0.63,59468,71096368.28,24.39,-12.2,-0.1,5.25
2010-04-14,0.71,0.7,0.72,0.67,34209,39825556.82,6.94,-2.78,-0.02,3.02
2010-04-15,0.7,0.65,0.71,0.65,35831,41428195.42,8.57,-7.14,-0.05,3.16
2010-04-16,0.65,0.67,0.68,0.65,16355,18817123.05,4.62,3.08,0.02,1.44
2010-04-19,0.67,0.59,0.67,0.56,32243,36134225.73,16.42,-11.94,-0.08,2.85
2010-04-20,0.59,0.6,0.62,0.56,28070,31167904.56,10.17,1.69,0.01,2.48
2010-04-21,0.6,0.68,0.68,0.6,31771,36037128.76,13.33,13.33,0.08,2.81
2010-04-22,0.68,0.74,0.77,0.68,64411,76318283.53,13.24,8.82,0.06,5.69
2010-04-23,0.73,0.68,0.73,0.68,31872,37348837.46,6.76,-8.11,-0.06,2.81
2010-04-27,0.7,0.63,0.7,0.57,24033,27024626.39,19.12,-7.35,-0.05,2.12
2010-04-28,0.62,0.64,0.66,0.59,15742,17911105.77,11.11,1.59,0.01,1.39
2010-04-29,0.64,0.6,0.67,0.59,17660,19967032.73,12.5,-6.25,-0.04,1.56
2010-04-30,0.58,0.5,0.58,0.45,28106,29969841.41,21.67,-16.67,-0.1,2.48
2010-05-04,0.48,0.43,0.48,0.42,20672,21392855.62,12.0,-14.0,-0.07,1.83
2010-05-05,0.42,0.49,0.5,0.41,16322,17086266.1,20.93,13.95,0.06,1.44
2010-05-06,0.5,0.42,0.52,0.42,17796,18679334.42,20.41,-14.29,-0.07,1.57
2010-05-07,0.38,0.39,0.44,0.34,14241,14429740.52,23.81,-7.14,-0.03,1.26
2010-05-10,0.38,0.34,0.42,0.31,14176,13982915.93,28.21,-12.82,-0.05,1.25
2010-05-11,0.4,0.3,0.4,0.3,18069,17684300.06,29.41,-11.76,-0.04,1.6
