日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-10-19,11.98,14.42,14.42,11.98,48,101409.0,24.55,45.07,4.48,0.03
2017-10-20,15.88,15.88,15.88,15.88,12,28032.0,0.0,10.12,1.46,0.01
2017-10-23,17.5,17.5,17.5,17.5,13,33435.0,0.0,10.2,1.62,0.01
2017-10-24,19.27,19.27,19.27,19.27,11,31097.0,0.0,10.11,1.77,0.01
2017-10-25,21.22,21.22,21.22,21.22,51,158610.0,0.0,10.12,1.95,0.03
2017-10-26,23.37,23.37,23.37,23.37,67,229207.0,0.0,10.13,2.15,0.04
2017-10-27,25.72,25.72,25.72,25.72,259,973902.0,0.0,10.06,2.35,0.15
2017-10-30,28.32,28.32,28.32,28.32,588,2433732.0,0.0,10.11,2.6,0.34
2017-10-31,31.17,31.17,31.17,31.17,603,2745459.0,0.0,10.06,2.85,0.34
2017-11-01,34.31,34.31,34.31,34.31,534,2674272.0,0.0,10.07,3.14,0.31
2017-11-02,37.77,37.77,37.77,37.77,1659,9139431.0,0.0,10.08,3.46,0.95
2017-11-03,40.81,39.22,40.81,38.46,110513,637864624.0,6.22,3.84,1.45,63.15
2017-11-06,39.43,38.26,41.77,37.75,86862,506075312.0,10.25,-2.45,-0.96,49.64
2017-11-07,37.01,39.5,39.55,35.36,77024,418743792.0,10.95,3.24,1.24,44.01
2017-11-08,38.63,43.47,43.47,38.39,95605,583807232.0,12.86,10.05,3.97,54.63
2017-11-09,41.84,41.81,43.21,40.98,76577,466881232.0,5.13,-3.82,-1.66,43.76
2017-11-10,41.15,42.05,44.32,40.87,81801,506327280.0,8.25,0.57,0.24,46.74
2017-11-13,41.79,42.05,43.06,39.94,60328,365323264.0,7.42,0.0,0.0,34.47
2017-11-14,41.08,38.88,41.83,38.53,59182,348690048.0,7.85,-7.54,-3.17,33.82
2017-11-15,38.28,36.87,38.59,35.98,41038,223421619.0,6.71,-5.17,-2.01,23.45
2017-11-16,36.37,34.74,37.34,34.7,32858,172572531.0,7.16,-5.78,-2.13,18.78
2017-11-17,34.74,31.9,34.9,31.5,31763,155340552.0,9.79,-8.18,-2.84,18.15
2017-11-20,31.88,32.81,32.86,30.62,22943,107448261.0,7.02,2.85,0.91,13.11
2017-11-21,32.64,32.15,32.87,30.82,26509,123320727.0,6.25,-2.01,-0.66,15.15
2017-11-22,31.7,33.9,34.54,31.7,40141,195776667.0,8.83,5.44,1.75,22.94
2017-11-23,33.57,32.3,33.81,32.23,25369,121983638.0,4.66,-4.72,-1.6,14.5
2017-11-24,31.84,30.92,33.01,30.84,19268,90140165.0,6.72,-4.27,-1.38,11.01
2017-11-27,31.5,29.23,31.7,29.08,18721,83011316.0,8.47,-5.47,-1.69,10.7
2017-11-28,29.43,29.95,29.99,29.17,12642,54907585.0,2.81,2.46,0.72,7.22
2017-11-29,29.57,29.04,29.88,28.14,19539,82211471.0,5.81,-3.04,-0.91,11.17
2017-11-30,29.01,28.95,29.57,28.66,13257,56407721.0,3.13,-0.31,-0.09,7.58
2017-12-01,28.96,28.98,29.37,28.61,13129,55632777.0,2.63,0.1,0.03,7.5
2017-12-04,28.82,26.06,28.82,26.06,24744,96955012.0,9.52,-10.08,-2.92,14.14
2017-12-05,25.97,24.76,26.32,24.27,16957,62290512.0,7.87,-4.99,-1.3,9.69
2017-12-06,24.88,25.81,25.95,24.6,15321,56817632.0,5.45,4.24,1.05,8.75
2017-12-07,25.56,26.05,26.94,25.34,16399,62660578.0,6.2,0.93,0.24,9.37
