日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2012-03-15,14.03,15.25,15.36,14.03,68218,390459760.0,16.22,85.98,7.05,63.75
2012-03-16,13.99,13.6,14.28,13.6,51560,279069232.0,4.46,-10.82,-1.65,48.19
2012-03-19,13.2,14.11,14.66,13.2,45488,249639522.0,10.74,3.75,0.51,42.51
2012-03-20,13.98,13.31,14.14,13.11,27578,147289113.0,7.3,-5.67,-0.8,25.77
2012-03-21,13.37,12.09,13.47,11.85,31694,154764576.0,12.17,-9.17,-1.22,29.62
2012-03-22,11.89,12.0,12.33,11.89,13479,64780852.0,3.64,-0.74,-0.09,12.6
2012-03-23,12.03,12.1,12.25,11.84,13106,62900494.0,3.42,0.83,0.1,12.25
2012-03-26,12.09,11.66,12.11,11.24,13767,63877581.0,7.19,-3.64,-0.44,12.87
2012-03-27,11.63,12.15,12.45,11.42,19875,95011352.0,8.83,4.2,0.49,18.57
2012-03-28,11.89,10.84,11.99,10.81,21178,95143176.0,9.71,-10.78,-1.31,19.79
2012-03-29,10.8,10.87,10.96,10.29,15910,67985550.0,6.18,0.28,0.03,14.87
2012-03-30,10.75,10.14,10.92,10.0,12723,53301157.0,8.46,-6.72,-0.73,11.89
2012-04-05,10.2,10.53,10.56,10.2,9769,41027479.0,3.55,3.85,0.39,9.13
2012-04-06,10.45,10.78,10.89,10.19,13553,57732611.0,6.65,2.37,0.25,12.67
2012-04-09,10.64,10.98,11.11,10.5,15961,69510339.0,5.66,1.86,0.2,14.92
2012-04-10,10.75,11.47,11.55,10.52,15091,66923390.0,9.38,4.46,0.49,14.1
2012-04-11,11.17,11.26,11.59,11.14,10526,47782464.0,3.92,-1.83,-0.21,9.84
2012-04-12,11.25,11.37,11.38,11.16,7136,32235049.0,1.95,0.98,0.11,6.67
2012-04-13,11.33,11.33,11.59,11.17,10480,47531483.0,3.69,-0.35,-0.04,9.79
2012-04-16,11.28,10.93,11.37,10.93,7756,34464335.0,3.88,-3.53,-0.4,7.25
2012-04-17,10.86,11.23,11.32,10.65,10669,47083973.0,6.13,2.74,0.3,9.97
2012-04-18,11.29,11.3,11.41,11.12,8443,38074796.0,2.58,0.62,0.07,7.89
2012-04-19,11.3,11.58,11.81,11.28,10521,48643791.0,4.69,2.48,0.28,9.83
2012-04-20,11.48,11.49,11.65,11.42,7131,32779830.0,1.99,-0.78,-0.09,6.66
2012-04-23,11.43,10.4,11.44,10.31,14419,62511584.0,9.83,-9.49,-1.09,13.48
2012-04-24,10.49,10.14,10.53,9.7,8619,35310828.0,7.98,-2.5,-0.26,8.06
2012-04-25,10.25,10.26,10.28,10.03,4421,18163255.0,2.47,1.18,0.12,4.13
2012-04-26,10.28,10.31,10.53,10.28,4257,17856458.0,2.44,0.49,0.05,3.98
2012-04-27,10.36,10.42,10.69,10.36,4152,17610132.0,3.2,1.07,0.11,3.88
2012-05-02,10.59,10.6,10.8,10.5,5959,25516047.0,2.88,1.73,0.18,5.57
2012-05-03,10.59,11.35,11.65,10.5,12311,55007305.0,10.85,7.08,0.75,11.51
2012-05-04,11.19,11.22,11.29,11.03,8692,38791418.0,2.29,-1.15,-0.13,8.12
2012-05-07,11.13,11.39,11.43,11.05,8394,37800286.0,3.39,1.52,0.17,7.84
2012-05-08,11.41,11.2,11.41,11.18,5915,26654893.0,2.02,-1.67,-0.19,5.53
2012-05-09,11.11,10.86,11.13,10.78,5678,24880379.0,3.13,-3.04,-0.34,5.31
2012-05-10,10.83,10.8,11.03,10.71,5734,25019830.0,2.95,-0.55,-0.06,5.36
2012-05-11,10.8,10.53,10.86,10.53,5017,21541409.0,3.06,-2.5,-0.27,4.69
2012-05-14,10.64,10.63,10.88,10.5,6800,29278465.0,3.61,0.95,0.1,6.36
2012-05-15,10.56,10.76,10.83,10.48,4352,18699428.0,3.29,1.22,0.13,4.07
2012-05-16,10.78,10.53,10.81,10.53,3395,14529951.0,2.6,-2.14,-0.23,3.17
2012-05-17,10.5,10.63,10.68,10.4,3370,14327831.0,2.66,0.95,0.1,3.15
2012-05-18,10.56,10.68,10.93,10.45,6888,29738563.0,4.52,0.47,0.05,6.44
2012-05-21,10.7,10.35,10.7,10.01,4311,17880768.0,6.46,-3.09,-0.33,4.03
2012-05-22,10.41,10.48,10.51,10.36,1801,7492163.0,1.45,1.26,0.13,1.68
2012-05-23,10.55,10.25,10.55,10.17,3530,14509042.0,3.63,-2.19,-0.23,3.3
2012-05-24,10.22,10.2,10.36,10.17,1975,8073076.0,1.85,-0.49,-0.05,1.85
2012-05-25,10.19,9.95,10.28,9.95,2834,11420563.0,3.24,-2.45,-0.25,2.65
2012-05-28,9.93,9.74,9.95,9.45,3129,12112391.0,5.03,-2.11,-0.21,2.92
2012-05-29,9.79,9.98,10.03,9.74,2655,10546412.0,2.98,2.46,0.24,2.48
2012-05-30,10.0,10.03,10.19,9.98,2935,11857227.0,2.1,0.5,0.05,2.74
2012-05-31,10.05,10.22,10.35,9.88,4066,16479935.0,4.69,1.89,0.19,3.8
2012-06-01,10.22,10.04,10.3,10.02,2728,11052600.0,2.74,-1.76,-0.18,2.55
2012-06-04,9.86,9.54,9.86,9.54,2734,10628900.0,3.19,-4.98,-0.5,2.56
2012-06-05,9.54,9.99,10.03,9.54,5231,20629639.0,5.14,4.72,0.45,4.89
2012-06-06,9.97,9.83,10.06,9.78,2620,10396741.0,2.8,-1.6,-0.16,2.45
2012-06-07,9.95,9.76,10.0,9.73,2758,10907974.0,2.75,-0.71,-0.07,2.58
2012-06-08,9.95,9.98,10.16,9.8,3830,15280997.0,3.69,2.25,0.22,3.58
2012-06-11,10.08,10.13,10.14,9.87,3320,13299937.0,2.71,1.5,0.15,3.1
2012-06-12,10.09,10.11,10.25,9.92,3975,15982039.0,3.26,-0.2,-0.02,3.71
2012-06-13,10.23,10.66,10.69,10.16,7578,31559041.0,5.24,5.44,0.55,7.08
2012-06-14,10.51,10.8,10.81,10.48,7923,33525262.0,3.1,1.31,0.14,7.4
2012-06-15,10.8,11.09,11.39,10.65,13488,59242339.0,6.85,2.69,0.29,10.1
2012-06-18,11.2,11.58,11.66,10.99,13325,60330288.0,6.04,4.42,0.49,9.98
2012-06-19,11.57,11.39,11.6,11.26,7942,35748858.0,2.94,-1.64,-0.19,5.95
2012-06-20,11.38,11.38,11.81,11.31,10615,48362835.0,4.39,-0.09,-0.01,7.95
2012-06-21,11.31,11.15,11.34,10.95,6236,27391263.0,3.43,-2.02,-0.23,4.67
2012-06-25,11.06,11.06,11.46,11.03,5325,23707951.0,3.86,-0.81,-0.09,3.99
2012-06-26,11.11,10.98,11.28,10.98,3689,16184032.0,2.71,-0.72,-0.08,2.76
2012-06-27,10.93,11.65,12.09,10.84,9858,44999056.0,11.38,6.1,0.67,7.38
2012-06-28,11.84,11.65,12.05,11.64,9285,43348120.0,3.52,0.0,0.0,6.96
2012-06-29,11.67,11.89,12.0,11.48,6241,28867860.0,4.46,2.06,0.24,4.67
2012-07-02,11.95,12.38,12.48,11.84,7213,34750356.0,5.38,4.12,0.49,5.4
2012-07-03,12.39,12.45,12.76,12.33,8401,41470942.0,3.47,0.57,0.07,6.29
2012-07-04,12.5,12.18,12.83,12.14,9076,44644538.0,5.54,-2.17,-0.27,6.8
2012-07-05,12.16,12.3,12.5,12.01,6007,28858808.0,4.02,0.99,0.12,4.5
2012-07-06,12.34,12.85,12.93,11.98,8434,41319992.0,7.72,4.47,0.55,6.32
2012-07-09,12.75,12.67,13.09,12.64,7338,36905467.0,3.5,-1.4,-0.18,5.5
2012-07-10,12.51,11.91,12.64,11.91,9018,43216587.0,5.76,-6.0,-0.76,6.75
2012-07-11,11.95,12.03,12.2,11.85,4993,23547497.0,2.94,1.01,0.12,3.74
2012-07-12,11.96,12.57,12.61,11.95,6459,31314910.0,5.49,4.49,0.54,4.84
2012-07-13,12.48,12.2,12.75,12.0,6581,32044253.0,5.97,-2.94,-0.37,4.93
2012-07-16,12.28,11.62,12.34,11.61,8065,37545412.0,5.98,-4.75,-0.58,6.04
2012-07-17,11.62,11.86,12.0,11.53,3405,15816701.0,4.04,2.07,0.24,2.55
2012-07-18,11.86,11.86,11.95,11.42,3900,17885599.0,4.47,0.0,0.0,2.92
2012-07-19,11.74,11.89,12.33,11.74,5104,24262392.0,4.97,0.25,0.03,3.82
2012-07-20,11.89,12.38,12.56,11.67,7492,35831737.0,7.49,4.12,0.49,5.61
2012-07-23,12.28,12.39,12.62,12.14,4387,21271322.0,3.88,0.08,0.01,3.29
2012-07-24,12.45,12.42,12.55,12.18,4127,20093272.0,2.99,0.24,0.03,3.09
2012-07-25,12.38,12.42,12.72,12.31,3648,17852436.0,3.3,0.0,0.0,2.73
2012-07-26,12.37,12.03,12.45,11.99,3373,16110400.0,3.7,-3.14,-0.39,2.53
2012-07-27,12.03,13.34,13.34,11.96,10216,51110964.0,11.47,10.89,1.31,7.65
2012-07-30,13.34,12.76,13.34,12.64,8540,43212253.0,5.25,-4.35,-0.58,6.4
2012-07-31,12.68,12.27,12.8,12.18,5741,27922638.0,4.86,-3.84,-0.49,4.3
2012-08-01,12.23,12.87,12.88,12.17,6442,31906487.0,5.79,4.89,0.6,4.83
2012-08-02,12.78,13.35,13.45,12.73,9375,48122368.0,5.59,3.73,0.48,7.02
2012-08-03,13.28,13.44,13.48,13.1,7207,37422187.0,2.85,0.67,0.09,5.4
2012-08-06,13.25,14.15,14.33,13.25,8993,48502100.0,8.04,5.28,0.71,6.74
2012-08-07,14.1,14.32,14.33,13.78,8489,46229206.0,3.89,1.2,0.17,6.36
2012-08-08,13.42,12.89,13.57,12.78,17191,87430606.0,5.52,-9.99,-1.43,12.88
2012-08-09,12.84,12.98,13.03,12.67,8641,43546249.0,2.79,0.7,0.09,6.47
2012-08-10,12.96,13.09,13.28,12.87,6195,31736707.0,3.16,0.85,0.11,4.64
2012-08-13,13.0,13.28,13.46,12.98,8969,46443033.0,3.67,1.45,0.19,6.72
2012-08-14,13.2,13.44,13.69,13.16,7425,38908719.0,3.99,1.2,0.16,5.56
2012-08-15,13.44,13.37,13.51,13.24,3481,18130051.0,2.01,-0.52,-0.07,2.61
2012-08-16,13.23,12.5,13.48,12.44,6988,35252494.0,7.78,-6.51,-0.87,5.23
2012-08-17,12.48,12.56,12.77,12.46,3057,15116634.0,2.48,0.48,0.06,2.29
2012-08-20,12.47,12.51,12.64,12.26,2953,14356188.0,3.03,-0.4,-0.05,2.21
2012-08-21,12.57,12.88,13.2,12.39,5881,29659202.0,6.47,2.96,0.37,4.41
2012-08-22,12.86,12.89,13.0,12.75,3483,17519858.0,1.94,0.08,0.01,2.61
2012-08-23,12.8,13.0,13.02,12.75,2250,11335576.0,2.09,0.85,0.11,1.69
2012-08-24,13.0,12.47,13.15,12.44,3566,17690958.0,5.46,-4.08,-0.53,2.67
2012-08-27,12.27,12.37,12.59,12.27,1370,6691154.0,2.57,-0.8,-0.1,1.03
2012-08-28,12.46,12.84,12.99,12.36,4329,21699289.0,5.09,3.8,0.47,3.24
2012-08-29,12.78,13.4,14.11,12.69,8451,43947468.0,11.06,4.36,0.56,6.33
2012-08-30,13.38,12.52,13.47,12.52,7471,37926635.0,7.09,-6.57,-0.88,5.6
2012-08-31,12.53,12.77,12.91,12.47,3154,15671394.0,3.51,2.0,0.25,2.36
2012-09-03,12.66,13.22,13.28,12.56,5381,27292047.0,5.64,3.52,0.45,4.03
2012-09-04,13.21,13.06,13.34,12.96,3818,19647478.0,2.87,-1.21,-0.16,2.86
2012-09-05,13.14,13.0,13.14,12.84,3734,18931398.0,2.3,-0.46,-0.06,2.8
2012-09-06,12.99,13.07,13.27,12.78,3010,15360027.0,3.77,0.54,0.07,2.25
2012-09-07,13.12,13.47,13.64,13.06,6145,32023933.0,4.44,3.06,0.4,4.6
2012-09-10,13.48,13.32,13.5,13.21,5194,27028000.0,2.15,-1.11,-0.15,3.89
