日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-06-03,3.66,3.66,3.66,3.66,155,355725.0,0.0,61.95,1.4,0.06
2016-06-06,4.12,4.12,4.12,4.12,22,55550.0,0.0,12.57,0.46,0.01
2016-06-07,4.63,4.63,4.63,4.63,35,97230.0,0.0,12.38,0.51,0.01
2016-06-08,5.18,5.18,5.18,5.18,159,485140.0,0.0,11.88,0.55,0.06
2016-06-13,5.8,5.8,5.8,5.8,346,1164160.0,0.0,11.97,0.62,0.14
2016-06-14,6.47,6.47,6.47,6.47,627,2319903.0,0.0,11.55,0.67,0.25
2016-06-15,7.21,7.21,7.21,7.21,287,1165482.0,0.0,11.44,0.74,0.11
2016-06-16,8.03,8.03,8.03,8.03,257,1150746.0,0.0,11.37,0.82,0.1
2016-06-17,8.92,8.92,8.92,8.92,1086,5347018.0,0.0,11.08,0.89,0.43
2016-06-20,9.91,9.91,9.91,9.91,1332,7212834.0,0.0,11.1,0.99,0.53
2016-06-21,10.99,10.99,10.99,10.99,999,5949792.0,0.0,10.9,1.08,0.4
2016-06-22,12.19,12.19,12.19,12.19,1152,7551218.0,0.0,10.92,1.2,0.46
2016-06-23,13.5,13.5,13.5,13.5,2413,17392976.0,0.0,10.75,1.31,0.97
2016-06-24,14.94,14.94,14.94,14.94,2014,15966548.0,0.0,10.67,1.44,0.81
2016-06-27,16.53,16.53,16.53,16.53,10737,93649073.0,0.0,10.64,1.59,4.29
2016-06-28,18.28,18.28,18.28,18.28,2631,25243541.0,0.0,10.59,1.75,1.05
2016-06-29,20.2,20.2,20.2,20.2,1749,18452448.0,0.0,10.5,1.92,0.7
2016-06-30,21.29,22.31,22.31,20.29,179910,2033828944.0,10.0,10.45,2.11,71.96
2016-07-01,21.29,21.45,22.29,20.79,87725,988125296.0,6.72,-3.85,-0.86,35.09
2016-07-04,21.47,21.17,21.49,20.76,56773,623260880.0,3.4,-1.31,-0.28,22.71
2016-07-05,21.11,22.23,22.69,20.91,96592,1113280288.0,8.41,5.01,1.06,38.64
2016-07-06,21.89,21.64,22.21,21.09,57436,645925440.0,5.04,-2.65,-0.59,22.97
2016-07-07,21.32,21.84,22.79,21.3,64406,742605392.0,6.89,0.92,0.2,25.76
2016-07-08,21.39,21.18,21.77,21.09,42733,475364816.0,3.11,-3.02,-0.66,17.09
2016-07-11,21.09,18.97,21.25,18.97,63646,650436208.0,10.76,-10.43,-2.21,25.46
2016-07-12,18.48,19.19,19.41,17.5,54521,527427104.0,10.07,1.16,0.22,21.81
2016-07-13,18.89,18.86,19.42,18.39,38940,386017504.0,5.37,-1.72,-0.33,15.58
2016-07-14,18.69,19.03,19.26,18.59,29597,294396624.0,3.55,0.9,0.17,11.84
2016-07-15,19.19,19.27,19.73,18.89,35971,365993952.0,4.41,1.26,0.24,14.39
2016-07-18,19.09,18.53,19.29,18.42,25811,253017486.0,4.51,-3.84,-0.74,10.32
2016-07-19,18.49,18.0,18.59,17.49,31772,299853136.0,5.94,-2.86,-0.53,12.71
2016-07-20,18.08,18.01,18.25,17.89,19828,188272752.0,2.0,0.06,0.01,7.93
2016-07-21,18.03,17.65,18.13,17.61,23711,222007049.0,2.89,-2.0,-0.36,9.48
