日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2012-08-03,4.5,5.81,5.81,3.91,306841,195665513.0,95.0,190.5,3.81,22.6
2012-08-06,6.2,6.54,6.54,6.2,311179,249332593.0,5.85,12.56,0.73,22.92
2012-08-07,7.0,7.34,7.34,6.8,199020,174148734.0,8.26,12.23,0.8,14.66
2012-08-08,7.84,7.6,8.19,7.36,566174,521518256.0,11.31,3.54,0.26,41.71
2012-08-09,7.4,8.51,8.51,7.35,340790,329471808.0,15.26,11.97,0.91,25.1
2012-08-14,8.08,7.51,8.25,7.51,356167,325748768.0,8.7,-11.75,-1.0,26.24
2012-08-15,7.48,6.9,7.68,6.63,371824,320920608.0,13.98,-8.12,-0.61,27.39
2012-08-16,6.76,6.58,6.95,6.51,249497,204952609.0,6.38,-4.64,-0.32,18.38
2012-08-17,6.6,6.42,6.68,6.25,206894,163890719.0,6.53,-2.43,-0.16,15.24
2012-08-20,6.29,6.58,6.67,6.15,213319,169813623.0,8.1,2.49,0.16,15.71
2012-08-21,6.5,6.7,7.21,6.4,355315,293939856.0,12.31,1.82,0.12,26.17
2012-08-22,6.51,6.46,6.98,6.32,302089,243674705.0,9.85,-3.58,-0.24,22.25
2012-08-23,6.3,6.61,6.86,6.12,290394,233683365.0,11.46,2.32,0.15,21.39
2012-08-24,6.48,5.8,6.56,5.8,307388,230531877.0,11.5,-12.25,-0.81,22.64
2012-08-27,5.62,5.31,5.63,5.26,180741,125935747.0,6.38,-8.45,-0.49,13.31
2012-08-28,5.32,5.28,5.42,5.22,121374,82767588.0,3.77,-0.56,-0.03,8.94
2012-08-29,5.12,5.16,5.42,5.11,126705,85395253.0,5.87,-2.27,-0.12,9.33
2012-08-30,5.01,4.75,5.2,4.55,191313,121121065.0,12.6,-7.95,-0.41,14.09
2012-08-31,4.7,4.8,4.92,4.64,125867,79204986.0,5.89,1.05,0.05,9.27
2012-09-03,4.74,5.25,5.43,4.73,376080,255490744.0,14.58,9.38,0.45,27.7
2012-09-04,5.05,5.23,5.49,5.02,293079,197289375.0,8.95,-0.38,-0.02,21.59
2012-09-05,5.1,4.96,5.25,4.88,226668,148540242.0,7.07,-5.16,-0.27,16.7
2012-09-06,4.92,4.95,5.17,4.86,173730,112895921.0,6.25,-0.2,-0.01,12.8
2012-09-07,5.02,5.27,5.56,4.92,274319,184325155.0,12.93,6.46,0.32,20.21
2012-09-10,5.15,5.26,5.35,5.13,171653,115439260.0,4.17,-0.19,-0.01,12.64
2012-09-11,5.2,5.15,5.22,5.02,125251,82722272.0,3.8,-2.09,-0.11,9.23
2012-09-12,5.2,5.46,5.54,5.1,271491,185186309.0,8.54,6.02,0.31,20.0
2012-09-13,5.39,5.55,5.88,5.35,336948,241956062.0,9.71,1.65,0.09,24.82
2012-09-14,5.42,5.18,5.48,5.01,211180,142075494.0,8.47,-6.67,-0.37,15.56
2012-09-17,5.1,4.58,5.11,4.57,175437,110112374.0,10.42,-11.58,-0.6,12.92
2012-09-18,4.49,4.58,4.62,4.39,98794,59417725.0,5.02,0.0,0.0,7.28
2012-09-19,4.61,4.57,4.62,4.48,77156,46711767.0,3.06,-0.22,-0.01,5.68
2012-09-20,4.58,4.28,4.73,4.28,115526,69979021.0,9.85,-6.35,-0.29,8.51
2012-09-21,4.28,4.17,4.45,4.17,89701,52001099.0,6.54,-2.57,-0.11,6.61
2012-09-24,4.1,4.34,4.36,4.08,90312,51983799.0,6.71,4.08,0.17,6.65
2012-09-25,4.28,4.29,4.36,4.22,62409,36093475.0,3.23,-1.15,-0.05,4.6
2012-09-26,4.25,4.21,4.57,4.18,104826,61010853.0,9.09,-1.86,-0.08,7.72
2012-09-27,4.19,4.39,4.5,4.1,122439,71175500.0,9.5,4.28,0.18,9.02
