日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-04-21,9.64,11.64,11.64,9.64,36,77184.0,25.06,45.86,3.66,0.03
2017-04-24,12.84,12.84,12.84,12.84,21,49875.0,0.0,10.31,1.2,0.02
2017-04-25,14.17,14.17,14.17,14.17,21,54873.0,0.0,10.36,1.33,0.02
2017-04-26,15.62,15.62,15.62,15.62,8,22992.0,0.0,10.23,1.45,0.01
2017-04-27,17.21,17.21,17.21,17.21,53,167533.0,0.0,10.18,1.59,0.04
2017-04-28,18.97,18.97,18.97,18.97,28,97356.0,0.0,10.23,1.76,0.02
2017-05-02,20.9,20.9,20.9,20.9,160,612000.0,0.0,10.17,1.93,0.12
2017-05-03,23.03,23.03,23.03,23.03,204,858432.0,0.0,10.19,2.13,0.16
2017-05-04,25.37,25.37,25.37,25.37,213,985977.0,0.0,10.16,2.34,0.16
2017-05-05,27.94,27.94,27.94,27.94,425,2164100.0,0.0,10.13,2.57,0.33
2017-05-08,30.77,30.77,30.77,30.77,1236,6922836.0,0.0,10.13,2.83,0.95
2017-05-09,32.37,33.88,33.88,31.6,79284,476656608.0,7.41,10.11,3.11,60.99
2017-05-10,33.54,32.89,35.2,32.43,86099,526808944.0,8.18,-2.92,-0.99,66.23
2017-05-11,31.04,32.93,33.62,30.2,60532,348476560.0,10.4,0.12,0.04,46.56
2017-05-12,32.32,31.98,32.95,31.34,43326,253080824.0,4.89,-2.88,-0.95,33.33
2017-05-15,32.43,32.2,32.98,31.43,37924,222605385.0,4.85,0.69,0.22,29.17
2017-05-16,31.57,32.62,32.62,31.01,42355,245791399.0,5.0,1.3,0.42,32.58
2017-05-17,32.4,31.93,33.42,31.83,42707,252477511.0,4.87,-2.12,-0.69,32.85
2017-05-18,31.32,30.93,32.04,30.9,28982,165736742.0,3.57,-3.13,-1.0,22.29
2017-05-19,30.94,30.2,31.29,30.19,21657,120851856.0,3.56,-2.36,-0.73,16.66
2017-05-22,29.93,28.04,30.3,27.99,26024,137970427.0,7.65,-7.15,-2.16,20.02
2017-05-23,28.25,27.74,28.98,27.57,25630,132013043.0,5.03,-1.07,-0.3,19.72
2017-05-24,27.35,28.04,28.39,27.14,20194,102676411.0,4.51,1.08,0.3,15.53
2017-05-25,27.97,27.37,27.97,26.43,25747,127667982.0,5.49,-2.39,-0.67,19.81
2017-05-26,27.38,27.82,28.47,27.21,21065,106727237.0,4.6,1.64,0.45,16.2
2017-05-31,29.2,28.54,30.63,28.54,44130,240941340.0,7.51,2.59,0.72,33.95
2017-06-01,27.17,26.33,28.36,26.32,29018,144132932.0,7.15,-7.74,-2.21,22.32
2017-06-02,26.26,27.03,27.28,25.65,17074,82611748.0,6.19,2.66,0.7,13.13
2017-06-05,28.1,28.07,29.77,27.76,38198,200597968.0,7.44,3.85,1.04,29.38
2017-06-06,27.81,28.47,28.94,27.79,24278,125180863.0,4.1,1.43,0.4,18.68
2017-06-07,28.37,29.18,29.76,28.22,28951,153165301.0,5.41,2.49,0.71,22.27
2017-06-08,28.97,28.14,29.29,27.93,23897,124403820.0,4.66,-3.56,-1.04,18.38
2017-06-09,28.15,28.18,28.31,27.49,12565,63987667.0,2.91,0.14,0.04,9.67
2017-06-12,27.43,26.78,27.9,26.65,14987,74493460.0,4.44,-4.97,-1.4,11.53
2017-06-13,26.6,27.54,27.7,26.6,12154,60603869.0,4.11,2.84,0.76,9.35
2017-06-14,27.44,27.2,27.57,26.87,9744,48450765.0,2.54,-1.23,-0.34,7.5
2017-06-15,27.31,27.8,28.18,27.2,13613,69107954.0,3.6,2.21,0.6,10.47
2017-06-16,27.79,27.52,27.9,27.32,9559,47955294.0,2.09,-1.01,-0.28,7.35
2017-06-19,27.63,27.61,27.87,27.37,6809,34220763.0,1.82,0.33,0.09,5.24
2017-06-20,27.76,27.37,27.93,27.37,8893,44894969.0,2.03,-0.87,-0.24,6.84
2017-06-21,27.44,27.58,27.8,27.37,6363,31961168.0,1.57,0.77,0.21,4.89
2017-06-22,27.44,26.67,27.61,26.64,11240,55659847.0,3.52,-3.3,-0.91,8.65
2017-06-23,26.48,26.75,27.07,25.87,9109,44119525.0,4.5,0.3,0.08,7.01
2017-06-26,26.75,26.95,27.02,26.54,5879,28792718.0,1.79,0.75,0.2,4.52
2017-06-27,27.01,26.74,27.28,26.59,8987,44161328.0,2.56,-0.78,-0.21,6.91
2017-06-28,26.7,26.09,26.77,25.98,8602,41183708.0,2.95,-2.43,-0.65,6.62
