日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,8.0,7.88,8.02,7.68,26295,47320976.9,4.29,-0.51,-0.04,1.88
2010-01-05,7.76,7.76,7.95,7.59,16448,29344442.57,4.57,-1.52,-0.12,1.18
2010-01-06,7.76,7.64,7.92,7.6,18359,32636168.18,4.12,-1.55,-0.12,1.31
2010-01-07,7.64,7.24,7.64,6.99,28239,48182419.97,8.51,-5.24,-0.4,2.02
2010-01-08,7.15,6.95,7.24,6.74,17661,29290955.51,6.91,-4.01,-0.29,1.26
2010-01-11,7.08,6.64,7.21,6.54,27632,45334374.37,9.64,-4.46,-0.31,1.98
2010-01-12,6.68,6.84,6.87,6.29,82647,132579709.63,8.73,3.01,0.2,5.92
2010-01-13,6.65,6.6,6.74,6.38,33748,54090436.48,5.26,-3.51,-0.24,2.42
2010-01-14,6.65,6.75,6.78,6.54,59584,96295913.56,3.64,2.27,0.15,4.27
2010-01-15,6.75,6.68,6.75,6.48,39098,63062416.24,4.0,-1.04,-0.07,2.8
2010-01-18,6.76,7.32,7.32,6.67,70447,117328384.02,9.73,9.58,0.64,5.04
2010-01-19,7.32,7.48,7.78,7.22,97210,170595415.84,7.65,2.19,0.16,6.96
2010-01-20,7.49,6.67,7.55,6.56,70312,116999814.41,13.24,-10.83,-0.81,5.03
2010-01-21,6.68,6.23,6.68,6.08,53346,83408966.53,9.0,-6.6,-0.44,3.82
2010-01-22,6.12,5.42,6.12,5.28,75981,110079786.97,13.48,-13.0,-0.81,5.44
2010-01-25,5.25,5.22,5.52,5.1,31896,44862739.11,7.75,-3.69,-0.2,2.28
2010-01-26,5.22,4.83,5.34,4.74,28380,38641591.35,11.49,-7.47,-0.39,2.03
2010-01-27,4.92,4.78,5.05,4.58,32758,43894564.78,9.73,-1.04,-0.05,2.34
2010-01-28,4.8,4.96,5.06,4.75,29043,39468394.2,6.49,3.77,0.18,2.08
2010-01-29,4.88,4.86,5.04,4.79,44946,60806119.93,5.04,-2.02,-0.1,3.22
2010-02-01,4.94,4.34,4.94,4.28,39090,50045352.68,13.58,-10.7,-0.52,2.8
2010-02-02,4.47,4.48,4.77,4.34,44147,57332942.66,9.91,3.23,0.14,3.16
2010-02-03,4.54,4.79,4.79,3.96,46958,59560206.65,18.53,6.92,0.31,3.36
2010-02-04,4.74,4.64,4.78,4.5,31395,41338876.21,5.85,-3.13,-0.15,2.25
2010-02-05,4.29,4.26,4.46,4.18,38184,48403401.42,6.03,-8.19,-0.38,2.73
2010-02-08,4.24,4.16,4.36,4.08,33293,41541515.4,6.57,-2.35,-0.1,2.38
2010-02-09,4.15,4.22,4.22,4.1,20574,25614360.11,2.88,1.44,0.06,1.47
2010-02-10,4.33,4.32,4.34,4.23,44125,55510266.18,2.61,2.37,0.1,3.16
2010-02-11,4.35,4.58,4.67,4.28,55530,71974310.35,9.03,6.02,0.26,3.97
2010-02-12,4.54,4.82,4.83,4.5,40570,53479719.22,7.21,5.24,0.24,2.9
2010-02-22,4.88,5.06,5.28,4.82,65286,89899459.14,9.54,4.98,0.24,4.67
2010-02-23,5.08,4.96,5.14,4.77,43319,58790675.21,7.31,-1.98,-0.1,3.1
2010-02-24,4.95,5.22,5.25,4.75,42999,58614224.61,10.08,5.24,0.26,3.08
2010-02-25,5.09,5.2,5.27,5.09,43325,60534625.99,3.45,-0.38,-0.02,3.1
2010-02-26,5.15,5.23,5.39,5.09,42300,59560378.11,5.77,0.58,0.03,3.03
2010-03-01,5.23,5.28,5.38,5.23,34549,48801163.25,2.87,0.96,0.05,2.47
2010-03-02,5.28,5.22,5.5,5.15,37013,52194842.63,6.63,-1.14,-0.06,2.65
2010-03-03,5.2,5.26,5.32,5.09,29397,41154066.47,4.41,0.77,0.04,2.1
2010-03-04,5.26,5.07,5.44,5.05,35833,50344937.08,7.41,-3.61,-0.19,2.56
2010-03-05,5.08,5.12,5.2,5.02,19024,26355387.03,3.55,0.99,0.05,1.36
2010-03-08,5.08,5.8,5.82,5.06,87602,126872175.78,14.84,13.28,0.68,6.27
2010-03-09,5.8,5.72,5.8,5.38,42960,62958640.75,7.24,-1.38,-0.08,3.08
2010-03-10,5.69,5.39,5.86,5.37,48061,70168919.11,8.57,-5.77,-0.33,3.44
2010-03-11,5.4,5.6,5.62,5.35,23439,33896464.21,5.01,3.9,0.21,1.68
2010-03-12,5.64,5.78,5.85,5.64,60763,90002268.9,3.75,3.21,0.18,4.35
2010-03-15,5.74,5.35,5.75,5.31,27384,39322937.54,7.61,-7.44,-0.43,1.96
2010-03-16,5.26,5.45,5.46,5.26,15664,22311460.56,3.74,1.87,0.1,1.12
2010-03-17,5.48,5.8,5.82,5.42,48322,71005396.32,7.34,6.42,0.35,3.46
2010-03-18,5.8,5.9,6.01,5.72,44561,66845063.45,5.0,1.72,0.1,3.19
2010-03-19,5.95,6.15,6.2,5.85,50147,76352412.57,5.93,4.24,0.25,3.59
2010-03-22,6.08,6.2,6.22,5.95,37877,58006806.98,4.39,0.81,0.05,2.71
2010-03-23,6.16,5.88,6.22,5.87,33121,50329638.78,5.65,-5.16,-0.32,2.37
2010-03-24,5.88,5.51,5.95,5.51,45032,66047092.03,7.48,-6.29,-0.37,3.22
2010-03-25,5.5,5.24,5.54,5.22,49268,69797991.6,5.81,-4.9,-0.27,3.53
2010-03-26,5.24,5.52,5.54,5.18,51332,72666733.5,6.87,5.34,0.28,3.67
2010-03-29,5.52,5.52,5.61,5.4,46546,66936289.46,3.8,0.0,0.0,3.33
2010-03-30,5.52,5.65,5.7,5.44,36727,53442388.53,4.71,2.36,0.13,2.63
2010-03-31,5.67,5.51,5.79,5.48,34468,50474838.08,5.49,-2.48,-0.14,2.47
2010-04-01,5.48,5.54,5.61,5.42,34653,50006922.9,3.45,0.54,0.03,2.48
2010-04-02,5.54,5.43,5.55,5.38,35339,50668946.0,3.07,-1.99,-0.11,2.53
2010-04-06,5.43,5.29,5.51,5.26,41233,58637776.65,4.6,-2.58,-0.14,2.95
2010-04-07,5.38,5.42,5.54,5.29,46313,66223731.83,4.73,2.46,0.13,3.32
2010-04-08,5.49,5.36,5.54,5.34,45672,65344070.63,3.69,-1.11,-0.06,3.27
2010-04-09,5.35,5.56,5.58,5.35,45406,65523675.11,4.29,3.73,0.2,3.25
2010-04-12,5.58,5.3,5.67,5.24,52134,74420579.38,7.73,-4.68,-0.26,3.73
2010-04-13,5.3,5.17,5.44,5.02,41168,57711750.16,7.92,-2.45,-0.13,2.95
2010-04-14,5.16,5.28,5.39,5.14,29367,41201981.82,4.84,2.13,0.11,2.1
2010-04-15,5.23,5.47,5.52,5.2,40178,57068805.96,6.06,3.6,0.19,2.88
2010-04-16,5.45,5.32,5.52,5.32,25555,36380875.23,3.66,-2.74,-0.15,1.83
2010-04-19,5.14,4.38,5.18,4.38,49153,65107791.79,15.04,-17.67,-0.94,3.52
2010-04-20,4.22,4.22,4.44,4.06,27937,35123659.64,8.68,-3.65,-0.16,2.0
2010-04-21,4.22,4.31,4.34,4.07,56865,71069459.03,6.4,2.13,0.09,4.07
2010-04-22,4.3,3.97,4.3,3.82,90167,109097130.16,11.14,-7.89,-0.34,6.45
2010-04-23,3.97,3.9,4.07,3.87,33130,40098568.59,5.04,-1.76,-0.07,2.37
2010-04-26,3.92,3.58,3.97,3.51,66658,77540434.0,11.79,-8.21,-0.32,4.77
2010-04-27,3.58,3.24,3.64,3.1,42005,46715020.73,15.08,-9.5,-0.34,3.01
2010-04-28,3.18,3.3,3.31,3.09,32535,35773507.31,6.79,1.85,0.06,2.33
2010-04-29,3.33,3.27,3.41,3.25,28149,31470729.67,4.85,-0.91,-0.03,2.01
2010-04-30,3.26,3.39,3.41,3.1,33558,37341607.26,9.48,3.67,0.12,2.4
2010-05-04,3.35,3.24,3.37,3.22,19393,21572789.62,4.42,-4.42,-0.15,1.39
2010-05-05,3.08,3.2,3.21,2.73,38778,41556193.58,14.81,-1.23,-0.04,2.78
2010-05-06,3.17,2.76,3.17,2.76,30028,31729729.35,12.81,-13.75,-0.44,2.15
2010-05-07,2.55,2.26,2.66,2.2,50429,49443949.72,16.67,-18.12,-0.5,3.61
2010-05-10,2.22,2.22,2.44,1.96,47637,44878994.65,21.24,-1.77,-0.04,3.41
2010-05-11,2.35,2.41,2.71,2.26,97131,95965345.24,20.27,8.56,0.19,6.95
2010-05-12,2.22,2.34,2.38,1.95,42484,40377571.91,17.84,-2.9,-0.07,3.04
2010-05-14,2.47,2.3,2.47,2.2,55870,53948370.96,11.54,-1.71,-0.04,4.0
2010-05-17,2.08,1.66,2.14,1.66,78730,70362199.69,20.87,-27.83,-0.64,5.64
2010-05-18,1.55,1.8,1.82,1.42,58340,50192286.25,24.1,8.43,0.14,4.18
2010-05-19,1.68,1.71,1.86,1.62,44625,39184966.22,13.33,-5.0,-0.09,3.19
2010-05-20,1.59,1.61,1.98,1.55,97418,86246734.9,25.15,-5.85,-0.1,6.97
2010-05-21,1.36,1.78,1.8,1.28,67532,58046449.43,32.3,10.56,0.17,4.83
2010-05-24,1.85,2.15,2.18,1.82,98924,91202404.89,20.22,20.79,0.37,7.08
2010-05-25,2.04,1.95,2.1,1.86,72764,66545830.72,11.16,-9.3,-0.2,5.21
2010-05-26,1.94,1.92,2.02,1.88,43905,39949636.0,7.18,-1.54,-0.03,3.14
2010-05-27,1.91,2.08,2.16,1.78,76894,70182648.49,19.79,8.33,0.16,5.5
2010-05-28,2.12,1.96,2.18,1.94,68583,63235801.33,11.54,-5.77,-0.12,4.91
2010-05-31,1.89,1.67,1.94,1.67,44999,40143556.23,13.78,-14.8,-0.29,3.22
2010-06-01,1.6,1.52,1.66,1.42,34206,28957742.76,14.37,-8.98,-0.15,2.45
2010-06-02,1.5,1.67,1.68,1.43,25706,21830787.87,16.45,9.87,0.15,1.84
2010-06-03,1.63,1.56,1.76,1.55,33369,28909694.9,12.57,-6.59,-0.11,2.39
