日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,3.74,3.64,3.76,3.64,30401,168613850.08,3.2,-2.93,-0.11,9.5
2010-01-05,3.64,3.58,3.67,3.5,35137,189005967.05,4.67,-1.65,-0.06,10.98
2010-01-06,3.54,3.65,3.8,3.54,37785,209756823.76,7.26,1.96,0.07,11.81
2010-01-07,3.63,3.58,3.68,3.52,27911,151251923.85,4.38,-1.92,-0.07,8.72
2010-01-08,3.55,3.65,3.72,3.52,24484,134625759.26,5.59,1.96,0.07,7.65
2010-01-11,3.61,3.4,3.63,3.34,40112,209187823.76,7.95,-6.85,-0.25,12.54
2010-01-12,3.38,3.55,3.64,3.37,36972,197241433.35,7.94,4.41,0.15,11.55
2010-01-13,3.41,3.44,3.46,3.36,27880,144987580.41,2.82,-3.1,-0.11,8.71
2010-01-14,3.42,3.49,3.57,3.42,24280,128749707.69,4.36,1.45,0.05,7.59
2010-01-15,3.5,3.59,3.77,3.5,36343,199871980.53,7.74,2.87,0.1,11.36
2010-01-18,3.54,3.57,3.61,3.48,23811,127644910.7,3.62,-0.56,-0.02,7.44
2010-01-19,3.57,3.63,3.68,3.53,25320,138370134.04,4.2,1.68,0.06,7.91
2010-01-20,3.62,3.3,3.62,3.27,39961,207260876.27,9.64,-9.09,-0.33,12.49
2010-01-21,3.28,3.29,3.38,3.23,16535,83355590.73,4.55,-0.3,-0.01,5.17
2010-01-22,3.23,3.05,3.23,2.99,24639,117042734.81,7.29,-7.29,-0.24,7.7
2010-01-25,3.01,2.97,3.05,2.95,13670,63117111.95,3.28,-2.62,-0.08,4.27
2010-01-26,2.97,2.72,3.0,2.7,35950,156393014.85,10.1,-8.42,-0.25,11.23
2010-01-27,2.7,2.74,2.83,2.7,23951,103709358.23,4.78,0.74,0.02,7.48
2010-01-28,2.71,2.79,2.83,2.63,22126,94715567.54,7.3,1.82,0.05,6.91
2010-01-29,2.74,2.71,2.84,2.7,24214,105091945.71,5.02,-2.87,-0.08,7.57
2010-02-01,2.65,2.75,2.8,2.52,28376,119158829.08,10.33,1.48,0.04,8.87
2010-02-02,2.74,2.67,2.82,2.64,22603,96858218.26,6.55,-2.91,-0.08,7.06
2010-02-03,2.67,2.72,2.74,2.52,23383,97439757.68,8.24,1.87,0.05,7.31
2010-02-04,2.68,2.71,2.79,2.62,22561,96224327.98,6.25,-0.37,-0.01,7.05
2010-02-05,2.6,2.52,2.66,2.49,25877,105080100.8,6.27,-7.01,-0.19,8.09
2010-02-08,2.5,2.54,2.6,2.48,14170,56813698.07,4.76,0.79,0.02,4.43
2010-02-09,2.52,2.52,2.58,2.5,9928,39819634.8,3.15,-0.79,-0.02,3.1
2010-02-10,2.54,2.62,2.63,2.53,16440,67174355.88,3.97,3.97,0.1,5.14
2010-02-11,2.6,2.68,2.73,2.59,22552,94970193.73,5.34,2.29,0.06,7.05
2010-02-12,2.69,2.7,2.75,2.67,15766,67002245.2,2.99,0.75,0.02,4.93
2010-02-22,2.66,2.59,2.66,2.58,15160,62394985.73,2.96,-4.07,-0.11,4.74
2010-02-23,2.59,2.57,2.61,2.52,12583,50969985.63,3.47,-0.77,-0.02,3.93
2010-02-24,2.56,2.87,2.87,2.54,21487,93719034.71,12.84,11.67,0.3,6.71
2010-02-25,2.97,3.02,3.08,2.94,51563,239919708.48,4.88,5.23,0.15,16.11
2010-02-26,3.02,3.06,3.19,2.97,31525,149774099.42,7.28,1.32,0.04,9.85
2010-03-01,3.04,3.05,3.12,2.96,24205,113275544.81,5.23,-0.33,-0.01,7.56
2010-03-02,3.01,3.19,3.21,2.98,38931,186969382.55,7.54,4.59,0.14,12.17
2010-03-03,3.17,3.06,3.19,3.05,27993,133414289.42,4.39,-4.08,-0.13,8.75
2010-03-04,3.05,2.93,3.15,2.92,18986,88726092.34,7.52,-4.25,-0.13,5.93
