日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-04-09,7.44,9.05,9.05,7.44,268389,1673859396.17,53.67,201.67,6.05,83.87
2010-04-12,8.55,8.61,9.1,8.49,172215,1160265514.36,6.74,-4.86,-0.44,53.82
2010-04-13,8.58,7.69,8.9,7.68,120089,753334962.83,14.17,-10.69,-0.92,37.53
2010-04-14,7.44,7.24,7.58,7.24,72485,418581549.33,4.42,-5.85,-0.45,22.65
2010-04-15,7.21,6.89,7.43,6.82,61534,342771753.77,8.43,-4.83,-0.35,19.23
2010-04-16,6.78,6.68,6.8,6.34,49467,256246195.53,6.68,-3.05,-0.21,15.46
2010-04-19,6.53,6.76,6.86,6.47,34664,183359304.09,5.84,1.2,0.08,10.83
2010-04-20,6.76,7.05,7.07,6.64,42807,233310120.87,6.36,4.29,0.29,13.38
2010-04-21,7.05,7.39,7.41,6.96,43497,248136986.72,6.38,4.82,0.34,13.59
2010-04-22,7.43,7.58,7.61,7.3,43315,252742603.33,4.19,2.57,0.19,13.54
2010-04-23,7.53,7.33,7.65,7.24,31452,181366303.14,5.41,-3.3,-0.25,9.83
2010-04-26,7.33,7.55,7.67,6.9,31490,182227434.51,10.5,3.0,0.22,9.84
2010-04-27,7.43,7.22,7.56,6.91,22967,128634577.47,8.61,-4.37,-0.33,7.18
2010-04-28,7.03,7.47,7.55,6.93,27358,156958848.54,8.59,3.46,0.25,8.55
2010-04-29,7.46,7.63,7.97,7.4,45380,274262862.16,7.63,2.14,0.16,14.18
2010-04-30,7.58,7.61,7.71,7.17,25904,151214550.86,7.08,-0.26,-0.02,8.09
2010-05-04,7.36,7.44,7.6,7.33,11015,64023273.54,3.55,-2.23,-0.17,3.44
2010-05-05,7.36,7.76,7.83,7.36,25201,150542648.67,6.32,4.3,0.32,7.88
2010-05-06,7.76,7.58,8.0,7.52,25169,152321007.29,6.19,-2.32,-0.18,7.87
2010-05-07,7.32,6.96,7.55,6.91,25376,144576803.59,8.44,-8.18,-0.62,7.93
2010-05-10,6.75,6.9,7.18,6.55,18339,99724555.97,9.05,-0.86,-0.06,5.73
2010-05-11,7.09,6.89,7.13,6.75,14442,78792080.96,5.51,-0.14,-0.01,4.51
2010-05-12,6.89,6.14,6.95,6.14,17092,86081299.59,11.76,-10.89,-0.75,5.34
2010-05-13,5.96,6.1,6.13,5.49,23014,105482301.08,10.42,-0.65,-0.04,7.19
2010-05-14,5.98,6.22,6.3,5.78,20278,97294632.7,8.52,1.97,0.12,6.34
2010-05-17,6.05,5.98,6.22,5.86,16485,79258461.81,5.79,-3.86,-0.24,5.15
2010-05-18,5.89,5.91,6.12,5.57,18702,87205177.0,9.2,-1.17,-0.07,5.84
2010-05-19,5.85,6.04,6.16,5.78,12333,59007876.22,6.43,2.2,0.13,3.85
2010-05-20,6.03,5.96,6.14,5.9,9039,43077896.72,3.97,-1.32,-0.08,2.82
2010-05-21,5.79,6.09,6.1,5.76,9657,45689432.22,5.7,2.18,0.13,3.02
2010-05-24,6.15,6.5,6.64,6.15,17841,90896665.59,8.05,6.73,0.41,5.58
2010-05-25,6.47,6.52,6.64,6.43,11145,57401877.37,3.23,0.31,0.02,3.48
2010-05-26,6.44,6.44,6.57,6.4,6470,33022187.75,2.61,-1.23,-0.08,2.02
2010-05-27,6.44,6.81,6.97,6.44,15473,81944242.21,8.23,5.75,0.37,4.84
2010-05-28,6.86,7.18,7.23,6.8,24362,136044694.74,6.31,5.43,0.37,7.61
2010-05-31,7.1,6.81,7.23,6.8,14940,82620631.44,5.99,-5.15,-0.37,4.67
2010-06-01,6.77,6.79,7.01,6.53,16217,86658592.24,7.05,-0.29,-0.02,5.07
2010-06-02,6.79,7.42,7.53,6.75,21295,119527870.68,11.49,9.28,0.63,6.65
2010-06-03,7.39,7.38,7.58,7.28,13565,78677057.72,4.04,-0.54,-0.04,4.24
2010-06-07,7.37,7.44,7.51,7.24,23976,138524185.47,3.66,0.81,0.06,7.49
2010-06-08,7.44,7.72,7.88,7.33,17195,102889675.69,7.39,3.76,0.28,5.37
2010-06-09,8.41,7.59,8.41,7.44,30136,183850526.37,12.56,-1.68,-0.13,9.42
2010-06-10,7.48,7.58,7.69,7.48,10587,62559373.89,2.77,-0.13,-0.01,3.31
2010-06-11,7.59,7.66,7.79,7.59,12552,75132024.21,2.64,1.06,0.08,3.92
2010-06-17,7.66,7.37,7.72,6.99,14275,82203113.05,9.53,-3.79,-0.29,4.46
2010-06-18,7.3,6.96,7.39,6.9,12213,67198844.26,6.65,-5.56,-0.41,3.82
2010-06-21,7.03,7.21,7.33,6.89,9945,55414590.1,6.32,3.59,0.25,3.11
2010-06-22,7.18,7.71,7.79,7.13,19214,112791278.65,9.15,6.93,0.5,6.0
2010-06-23,7.7,8.23,8.23,7.69,30884,192112745.93,7.0,6.74,0.52,9.65
2010-06-24,8.14,8.37,8.61,8.1,27645,179749557.39,6.2,1.7,0.14,8.64
2010-06-25,8.39,8.23,8.41,7.98,14741,93096371.36,5.14,-1.67,-0.14,4.61
2010-06-28,8.14,8.21,8.55,8.11,10932,70474626.98,5.35,-0.24,-0.02,3.42
2010-06-29,8.25,7.58,8.25,7.56,15406,93734970.32,8.4,-7.67,-0.63,4.81
2010-06-30,7.45,7.4,7.55,6.89,13944,78188483.32,8.71,-2.37,-0.18,4.36
2010-07-01,7.3,7.3,7.54,7.16,6012,34489330.45,5.14,-1.35,-0.1,1.88
2010-07-02,7.27,7.14,7.49,6.69,9954,54829355.51,10.96,-2.19,-0.16,3.11
2010-07-05,6.94,6.96,7.05,6.71,5396,29203814.33,4.76,-2.52,-0.18,1.69
2010-07-06,6.86,7.08,7.2,6.85,5677,31488625.35,5.03,1.72,0.12,1.77
2010-07-07,7.0,6.82,7.22,6.78,12140,65738742.58,6.21,-3.67,-0.26,3.79
2010-07-08,6.82,7.1,7.14,6.82,11476,62966907.57,4.69,4.11,0.28,3.59
2010-07-09,6.89,6.98,7.19,6.4,61589,327686436.61,11.13,-1.69,-0.12,15.4
2010-07-12,6.98,7.32,7.44,6.76,30717,171588544.73,9.74,4.87,0.34,7.68
2010-07-13,7.22,7.16,7.36,7.01,13295,74764045.25,4.78,-2.19,-0.16,3.32
2010-07-14,7.28,6.89,7.28,6.82,19326,105507544.57,6.42,-3.77,-0.27,4.83
2010-07-15,6.87,6.68,6.88,6.68,13141,69789359.16,2.9,-3.05,-0.21,3.29
2010-07-16,6.61,6.66,6.78,6.44,10723,55232062.28,5.09,-0.3,-0.02,2.68
2010-07-19,6.48,6.86,6.91,6.48,11238,59723480.01,6.46,3.0,0.2,2.81
2010-07-20,6.86,6.91,7.04,6.8,19027,103177717.98,3.5,0.73,0.05,4.76
2010-07-21,6.95,6.88,7.0,6.88,11072,60096096.4,1.74,-0.43,-0.03,2.77
2010-07-22,6.87,6.88,6.9,6.72,9205,49359228.94,2.62,0.0,0.0,2.3
2010-07-23,6.88,7.61,7.63,6.88,46014,263043768.71,10.9,10.61,0.73,11.5
2010-07-26,7.55,7.47,7.55,7.36,19456,113039723.0,2.5,-1.84,-0.14,4.86
2010-07-27,7.47,7.51,7.63,7.37,24351,142556062.05,3.48,0.54,0.04,6.09
2010-07-28,7.45,7.6,7.86,7.44,21206,126684570.85,5.59,1.2,0.09,5.3
2010-07-29,7.58,7.72,7.72,7.43,17983,105406570.87,3.82,1.58,0.12,4.5
2010-07-30,7.72,7.87,8.14,7.69,28403,174865293.83,5.83,1.94,0.15,7.1
2010-08-02,7.91,7.78,7.93,7.7,16417,99338727.04,2.92,-1.14,-0.09,4.1
2010-08-03,7.8,7.5,7.86,7.5,21218,125761754.88,4.63,-3.6,-0.28,5.3
2010-08-04,7.5,7.53,7.55,7.3,15336,88706003.7,3.33,0.4,0.03,3.83
2010-08-05,7.58,7.49,7.64,7.44,10958,64240412.79,2.66,-0.53,-0.04,2.74
2010-08-06,7.48,7.46,7.49,7.21,22510,129043940.56,3.74,-0.4,-0.03,5.63
2010-08-09,7.44,7.58,7.66,7.42,22591,132489944.4,3.22,1.61,0.12,5.65
2010-08-10,7.58,7.24,7.6,7.21,22367,129097164.48,5.15,-4.49,-0.34,5.59
2010-08-11,7.23,7.32,7.36,7.21,11788,66974905.98,2.07,1.1,0.08,2.95
2010-08-12,7.16,7.29,7.38,7.16,9790,55790487.56,3.01,-0.41,-0.03,2.45
2010-08-13,7.29,7.58,7.59,7.22,19311,112598730.38,5.08,3.98,0.29,4.83
2010-08-16,7.59,7.61,7.62,7.52,21683,128017688.78,1.32,0.4,0.03,5.42
2010-08-17,7.62,8.1,8.12,7.58,43484,267575701.0,7.1,6.44,0.49,10.87
2010-08-18,8.1,8.17,8.21,7.85,24771,154578885.16,4.44,0.86,0.07,6.19
2010-08-19,8.12,7.93,8.32,7.86,24157,151834769.95,5.63,-2.94,-0.24,6.04
2010-08-20,7.86,7.64,7.86,7.61,22767,136105216.4,3.15,-3.66,-0.29,5.69
2010-08-23,7.61,7.62,7.79,7.47,17006,100905132.03,4.19,-0.26,-0.02,4.25
2010-08-24,7.58,7.66,7.78,7.58,11517,69031596.23,2.62,0.52,0.04,2.88
2010-08-25,7.66,7.51,7.7,7.44,18423,107921203.0,3.39,-1.96,-0.15,4.61
2010-08-26,7.5,7.75,7.76,7.5,13920,83124299.68,3.46,3.2,0.24,3.48
2010-08-27,7.76,7.85,7.96,7.7,13310,80919260.5,3.35,1.29,0.1,3.33
2010-08-30,7.94,8.04,8.25,7.89,20487,128330793.15,4.59,2.42,0.19,5.12
2010-08-31,7.98,7.94,8.03,7.86,18295,112367634.42,2.11,-1.24,-0.1,4.57
2010-09-01,7.97,7.61,7.97,7.53,26079,156226325.14,5.54,-4.16,-0.33,6.52
