日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,10.55,10.63,10.8,10.5,30389,64418039.56,2.84,0.47,0.05,14.61
2010-01-05,10.6,10.52,10.65,10.29,21357,44593720.29,3.39,-1.03,-0.11,10.27
2010-01-06,10.52,10.39,10.52,10.39,16269,33816528.6,1.24,-1.24,-0.13,7.82
2010-01-07,10.37,9.94,10.39,9.93,14776,29907027.85,4.43,-4.33,-0.45,7.1
2010-01-08,9.81,10.02,10.04,9.81,9902,19639781.9,2.31,0.8,0.08,4.76
2010-01-11,10.04,10.2,10.34,9.94,15161,30738969.56,3.99,1.8,0.18,7.29
2010-01-12,10.19,10.39,10.51,10.19,18083,37463569.02,3.14,1.86,0.19,8.69
2010-01-13,10.29,10.44,10.62,10.22,23747,49589082.73,3.85,0.48,0.05,11.42
2010-01-14,10.47,10.75,10.75,10.47,26428,56155274.7,2.68,2.97,0.31,12.71
2010-01-15,10.8,10.57,10.8,10.48,20914,44069358.27,2.98,-1.67,-0.18,10.06
2010-01-18,10.55,10.86,10.88,10.39,22960,48617948.69,4.64,2.74,0.29,11.04
2010-01-19,11.06,10.76,11.09,10.72,24996,53973314.32,3.41,-0.92,-0.1,12.02
2010-01-20,10.7,9.9,10.7,9.83,21221,43589523.98,8.09,-7.99,-0.86,10.2
2010-01-21,9.8,9.95,10.13,9.8,8726,17333308.04,3.33,0.51,0.05,4.2
2010-01-22,9.86,9.47,9.88,9.27,12225,23383283.58,6.13,-4.82,-0.48,5.88
2010-01-25,9.49,9.57,9.78,9.42,7352,14142849.94,3.8,1.06,0.1,3.53
2010-01-26,9.57,9.33,9.67,9.19,6814,12712988.89,5.02,-2.51,-0.24,3.28
2010-01-27,9.32,9.28,9.46,9.28,4758,8901256.55,1.93,-0.54,-0.05,2.29
2010-01-28,9.37,9.16,9.41,9.01,7591,13944926.95,4.31,-1.29,-0.12,3.65
2010-01-29,9.14,9.48,9.63,9.05,12636,23677945.37,6.33,3.49,0.32,6.08
2010-02-01,9.52,9.14,9.52,9.1,7087,13061696.91,4.43,-3.59,-0.34,3.41
2010-02-02,9.14,8.95,9.26,8.86,6423,11728418.27,4.38,-2.08,-0.19,3.09
2010-02-03,8.99,9.09,9.12,8.65,8946,15921155.42,5.25,1.56,0.14,4.3
2010-02-04,9.06,9.38,9.47,8.86,9657,17764197.34,6.71,3.19,0.29,4.64
2010-02-05,9.23,9.46,9.46,9.14,10294,19119526.11,3.41,0.85,0.08,4.95
2010-02-08,9.62,10.3,10.43,9.43,33435,66408523.21,10.57,8.88,0.84,16.07
2010-02-09,10.62,10.78,11.06,10.36,67356,144157381.49,6.8,4.66,0.48,32.38
2010-02-10,10.86,10.7,10.86,10.56,27123,57772767.57,2.78,-0.74,-0.08,13.04
2010-02-11,10.81,10.73,10.81,10.55,28491,60614444.75,2.43,0.28,0.03,13.7
2010-02-12,10.88,10.95,11.05,10.68,36392,78873111.31,3.45,2.05,0.22,17.5
2010-02-22,11.01,11.16,11.32,10.91,44335,97602492.51,3.74,1.92,0.21,21.31
2010-02-23,11.22,10.97,11.32,10.89,33984,74902974.62,3.85,-1.7,-0.19,16.34
2010-02-24,10.96,11.21,11.26,10.91,34760,76811881.11,3.19,2.19,0.24,16.71
2010-02-25,11.36,11.83,12.07,11.32,70368,163525807.0,6.69,5.53,0.62,33.83
2010-02-26,11.78,11.87,11.93,11.59,35076,82037812.2,2.87,0.34,0.04,16.86
2010-03-01,11.93,12.09,12.19,11.73,30872,73645026.26,3.88,1.85,0.22,14.84
2010-03-02,12.33,12.34,12.54,12.19,45810,112456537.19,2.89,2.07,0.25,22.02
2010-03-03,12.34,12.41,12.55,11.78,50090,121211008.82,6.24,0.57,0.07,24.08
2010-03-04,12.6,12.42,12.85,12.14,44076,109123233.89,5.72,0.08,0.01,21.19
2010-03-05,12.49,12.18,12.49,12.09,23329,56801032.51,3.22,-1.93,-0.24,11.22
2010-03-08,12.4,12.36,12.44,12.21,23715,58079675.88,1.89,1.48,0.18,11.4
2010-03-09,12.39,12.36,12.42,12.25,19537,47837658.76,1.38,0.0,0.0,9.39
2010-03-10,12.42,12.72,12.73,12.39,51691,129077090.14,2.75,2.91,0.36,24.85
2010-03-11,12.65,12.54,12.7,12.26,32639,80651539.33,3.46,-1.42,-0.18,15.69
2010-03-12,12.84,12.9,13.32,12.84,48578,125201009.85,3.83,2.87,0.36,23.35
2010-03-15,13.11,12.75,13.11,12.61,29265,74566783.44,3.88,-1.16,-0.15,14.07
2010-03-16,12.96,12.88,12.96,12.64,18045,45798021.15,2.51,1.02,0.13,8.68
2010-03-17,12.96,13.42,13.56,12.91,48355,127010692.29,5.05,4.19,0.54,23.25
2010-03-18,13.68,14.23,14.55,13.56,49333,137468859.86,7.38,6.04,0.81,23.72
2010-03-19,14.66,14.73,14.94,14.4,49720,144548301.47,3.79,3.51,0.5,23.9
2010-03-22,14.91,14.49,14.91,14.24,35696,102369392.0,4.55,-1.63,-0.24,17.16
2010-03-23,14.34,13.46,14.49,13.45,66454,182643900.16,7.18,-7.11,-1.03,31.95
2010-03-24,13.5,13.64,13.72,13.16,47365,126703828.59,4.16,1.34,0.18,22.77
