日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-09-01,12.65,12.65,12.65,12.65,313,819434.0,0.0,47.61,4.08,0.06
2017-09-04,13.99,13.99,13.99,13.99,174,501206.0,0.0,10.59,1.34,0.03
2017-09-05,15.46,15.46,15.46,15.46,173,548064.0,0.0,10.51,1.47,0.03
2017-09-06,17.07,17.07,17.07,17.07,264,919169.0,0.0,10.41,1.61,0.05
2017-09-07,18.85,18.85,18.85,18.85,1500,5751307.0,0.0,10.43,1.78,0.26
2017-09-08,20.81,20.81,20.81,20.81,4336,18284743.0,0.0,10.4,1.96,0.76
2017-09-11,22.96,22.96,22.96,22.96,5288,24532795.0,0.0,10.33,2.15,0.93
2017-09-12,25.33,25.33,25.33,25.33,50049,255402292.0,0.0,10.32,2.37,8.8
2017-09-13,26.33,27.59,27.86,25.52,336425,1835791984.0,9.24,8.92,2.26,59.13
2017-09-14,26.33,25.41,27.1,25.06,208726,1094628336.0,7.39,-7.9,-2.18,36.68
2017-09-15,24.8,23.28,24.96,23.12,173105,834545504.0,7.24,-8.38,-2.13,30.42
2017-09-18,22.76,23.31,24.29,22.66,116088,550083104.0,7.0,0.13,0.03,20.4
2017-09-19,22.97,23.11,23.99,22.77,92298,433540480.0,5.23,-0.86,-0.2,16.22
2017-09-20,22.94,23.25,23.53,22.1,117788,540878080.0,6.19,0.61,0.14,20.7
2017-09-21,23.07,22.26,23.53,22.25,88484,409424528.0,5.51,-4.26,-0.99,15.55
2017-09-22,21.96,21.88,22.48,21.6,71855,319146912.0,3.95,-1.71,-0.38,12.63
2017-09-25,21.74,22.22,22.48,21.69,66800,299363184.0,3.61,1.55,0.34,11.74
2017-09-26,22.0,20.36,22.1,20.26,98662,417704304.0,8.28,-8.37,-1.86,17.34
2017-09-27,20.42,20.43,20.67,19.89,48420,199693811.0,3.83,0.34,0.07,8.51
2017-09-28,20.37,20.03,20.7,19.92,50152,207281048.0,3.82,-1.96,-0.4,8.81
2017-09-29,20.21,19.41,20.29,19.2,64606,257938494.0,5.44,-3.1,-0.62,11.35
2017-10-09,19.74,19.66,19.85,19.42,38247,152166966.0,2.22,1.29,0.25,6.72
