日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-11-04,6.0,7.33,7.33,6.0,53,41353.0,27.2,49.9,2.44,0.02
2016-11-07,8.13,8.13,8.13,8.13,43,37385.0,0.0,10.91,0.8,0.02
2016-11-08,9.01,9.01,9.01,9.01,10,9660.0,0.0,10.82,0.88,0.0
2016-11-09,9.98,9.98,9.98,9.98,30,31890.0,0.0,10.77,0.97,0.01
2016-11-10,11.04,11.04,11.04,11.04,29,34333.0,0.0,10.62,1.06,0.01
2016-11-11,12.21,12.21,12.21,12.21,26,33654.0,0.0,10.6,1.17,0.01
2016-11-14,13.5,13.5,13.5,13.5,47,66505.0,0.0,10.57,1.29,0.02
2016-11-15,14.92,14.92,14.92,14.92,24,37757.0,0.0,10.52,1.42,0.01
2016-11-16,16.48,16.48,16.48,16.48,39,66241.0,0.0,10.46,1.56,0.01
2016-11-17,18.19,18.19,18.19,18.19,71,133387.0,0.0,10.38,1.71,0.03
2016-11-18,20.07,20.07,20.07,20.07,91,189090.0,0.0,10.34,1.88,0.03
2016-11-21,22.14,22.14,22.14,22.14,115,260991.0,0.0,10.31,2.07,0.04
2016-11-22,24.42,24.42,24.42,24.42,91,228788.0,0.0,10.3,2.28,0.03
2016-11-23,26.93,26.93,26.93,26.93,268,737765.0,0.0,10.28,2.51,0.1
2016-11-24,29.69,29.69,29.69,29.69,310,940934.0,0.0,10.25,2.76,0.11
2016-11-25,32.72,32.72,32.72,32.72,521,1738009.0,0.0,10.21,3.03,0.19
2016-11-28,36.06,36.06,36.06,36.06,287,1053283.0,0.0,10.21,3.34,0.1
2016-11-29,39.73,39.73,39.73,39.73,495,1999779.0,0.0,10.18,3.67,0.18
2016-11-30,43.77,43.77,43.77,43.77,672,2986090.0,0.0,10.17,4.04,0.24
2016-12-01,48.21,48.21,48.21,48.21,799,3903914.0,0.0,10.14,4.44,0.29
2016-12-02,53.1,53.1,53.1,53.1,1217,6542127.0,0.0,10.14,4.89,0.44
2016-12-05,58.48,58.48,58.48,58.48,26494,156660559.0,0.0,10.13,5.38,9.53
2016-12-06,61.43,64.39,64.39,60.83,175539,1117620080.0,6.09,10.11,5.91,63.14
2016-12-07,63.8,70.89,70.89,59.23,171513,1104255216.0,18.11,10.09,6.5,61.7
2016-12-08,75.85,78.04,78.04,75.85,44731,348667552.0,3.09,10.09,7.15,16.09
2016-12-09,79.35,85.91,85.91,75.23,202546,1679278848.0,13.69,10.08,7.87,72.86
2016-12-12,82.88,77.25,83.86,77.25,66415,527158160.0,7.69,-10.08,-8.66,23.89
2016-12-13,69.46,72.63,80.11,69.46,171159,1259196784.0,13.79,-5.98,-4.62,61.57
2016-12-14,70.06,68.53,75.7,67.86,147043,1064478064.0,10.79,-5.65,-4.1,52.89
2016-12-15,68.42,74.55,75.45,67.04,154880,1131314416.0,12.27,8.78,6.02,55.71
2016-12-16,73.15,67.35,73.86,67.35,134875,963187808.0,8.73,-9.66,-7.2,48.52
