日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,5.55,5.41,5.56,5.41,10293,14496501.0,2.7,-2.52,-0.14,2.56
2010-01-05,5.42,5.41,5.48,5.28,7519,10459592.0,3.7,0.0,0.0,1.87
2010-01-06,5.45,5.41,5.57,5.38,8696,12247633.0,3.51,0.0,0.0,2.17
2010-01-07,5.45,5.29,5.48,5.24,9414,12993047.0,4.44,-2.22,-0.12,2.34
2010-01-08,5.3,5.41,5.42,5.21,8742,11999666.0,3.97,2.27,0.12,2.18
2010-01-11,5.51,5.36,5.53,5.31,7945,11037749.0,4.07,-0.92,-0.05,1.98
2010-01-12,5.34,5.42,5.48,5.33,10789,15053982.0,2.8,1.12,0.06,2.69
2010-01-13,5.33,5.34,5.38,5.21,10268,14047774.0,3.14,-1.48,-0.08,2.56
2010-01-14,5.32,5.38,5.42,5.23,9942,13698983.0,3.56,0.75,0.04,2.48
2010-01-15,5.33,5.46,5.54,5.33,14366,20212068.0,3.9,1.49,0.08,3.58
2010-01-18,5.48,5.55,5.59,5.42,19059,27136336.0,3.11,1.65,0.09,4.75
2010-01-19,5.57,5.51,5.58,5.47,9792,13916137.0,1.98,-0.72,-0.04,2.44
2010-01-20,5.54,5.68,5.82,5.43,27171,39596076.0,7.08,3.09,0.17,6.77
2010-01-21,5.63,5.6,5.69,5.51,11523,16619116.0,3.17,-1.41,-0.08,2.87
2010-01-22,5.53,5.39,5.58,5.29,12096,16881920.0,5.18,-3.75,-0.21,3.01
2010-01-25,5.21,5.31,5.43,5.21,3784,5226669.5,4.08,-1.48,-0.08,0.94
2010-01-26,5.39,5.04,5.39,5.03,7523,9989260.0,6.78,-5.08,-0.27,1.87
2010-01-27,5.04,5.02,5.08,5.0,4813,6312662.5,1.59,-0.4,-0.02,1.2
2010-01-28,5.16,5.09,5.19,5.04,5295,7015809.5,2.99,1.39,0.07,1.32
2010-01-29,4.99,4.91,5.06,4.91,8548,11089619.0,2.95,-3.54,-0.18,2.13
2010-02-01,4.64,4.64,4.64,4.64,4078,4962926.0,0.0,-5.5,-0.27,0.42
2010-02-02,4.38,4.38,4.52,4.38,29657,34460612.0,3.02,-5.6,-0.26,3.05
2010-02-03,4.35,4.3,4.36,4.13,23592,26349564.0,5.25,-1.83,-0.08,2.42
2010-02-04,4.25,4.36,4.38,4.19,13597,15527404.0,4.42,1.4,0.06,1.4
2010-02-05,4.25,4.21,4.31,4.18,8988,10098812.0,2.98,-3.44,-0.15,0.92
2010-02-08,4.22,4.24,4.27,4.17,9221,10323414.0,2.38,0.71,0.03,0.95
2010-02-09,4.27,4.48,4.48,4.27,21651,25451074.0,4.95,5.66,0.24,2.22
2010-02-10,4.52,4.48,4.54,4.36,13669,16014518.0,4.02,0.0,0.0,1.4
2010-02-11,4.47,4.4,4.48,4.38,8968,10485857.0,2.23,-1.79,-0.08,0.92
2010-02-12,4.4,4.46,4.49,4.4,6076,7138240.0,2.05,1.36,0.06,0.62
2010-02-22,4.44,4.41,4.47,4.35,7569,8840949.0,2.69,-1.12,-0.05,0.78
2010-02-23,4.42,4.37,4.42,4.2,9055,10382095.0,4.99,-0.91,-0.04,0.93
2010-02-24,4.39,4.53,4.6,4.31,12061,14250323.0,6.64,3.66,0.16,1.24
2010-02-25,4.57,4.78,4.78,4.52,27364,33204312.0,5.74,5.52,0.25,2.81
2010-02-26,4.94,4.99,5.05,4.86,35253,45795084.0,3.97,4.39,0.21,3.62
2010-03-02,5.07,4.84,5.12,4.8,22841,29252856.0,6.41,-3.01,-0.15,2.35
2010-03-03,4.82,4.75,4.86,4.71,21532,26775470.0,3.1,-1.86,-0.09,2.21
2010-03-04,4.73,4.55,4.79,4.51,20401,25147254.0,5.89,-4.21,-0.2,2.1
2010-03-05,4.59,4.58,4.64,4.51,9410,11326958.0,2.86,0.66,0.03,0.97
2010-03-08,4.63,4.7,4.76,4.63,9569,11821542.0,2.84,2.62,0.12,0.98
2010-03-09,4.69,4.77,4.83,4.65,13340,16568244.0,3.83,1.49,0.07,1.37
2010-03-10,4.78,4.67,4.78,4.64,8572,10524679.0,2.94,-2.1,-0.1,0.88
2010-03-11,4.65,4.63,4.69,4.59,6187,7517948.0,2.14,-0.86,-0.04,0.64
2010-03-12,4.63,4.56,4.66,4.52,9172,11077975.0,3.02,-1.51,-0.07,0.94
2010-03-15,4.6,4.56,4.62,4.53,6969,8357284.5,1.97,0.0,0.0,0.72
2010-03-16,4.54,4.58,4.59,4.52,6008,7202366.5,1.54,0.44,0.02,0.62
2010-03-17,4.6,4.84,4.84,4.56,17589,21850706.0,6.11,5.68,0.26,1.81
2010-03-18,4.88,4.94,5.11,4.86,27548,35691692.0,5.17,2.07,0.1,2.83
2010-03-19,4.95,5.09,5.16,4.95,26692,35245080.0,4.25,3.04,0.15,2.74
2010-03-23,5.11,5.14,5.21,5.04,19053,25416164.0,3.34,0.98,0.05,1.96
2010-03-24,5.13,5.14,5.19,5.05,17892,23829450.0,2.72,0.0,0.0,1.84
2010-03-25,5.12,4.92,5.13,4.91,17406,22676936.0,4.28,-4.28,-0.22,1.79
2010-03-26,4.94,5.2,5.2,4.94,17892,23900894.0,5.28,5.69,0.28,1.84
2010-03-29,5.35,5.16,5.48,5.13,28463,39092748.0,6.73,-0.77,-0.04,2.92
2010-03-30,5.16,5.16,5.23,5.12,10962,14694420.0,2.13,0.0,0.0,1.13
2010-03-31,4.94,5.45,5.45,4.89,33167,44481336.0,10.85,5.62,0.29,3.41
2010-04-01,5.45,5.7,5.75,5.45,51948,76138264.0,5.5,4.59,0.25,5.34
2010-04-02,5.68,5.74,5.84,5.6,17307,25421596.0,4.21,0.7,0.04,1.78
2010-04-06,5.78,5.84,5.97,5.74,21421,32151920.0,4.01,1.74,0.1,2.2
