日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,7.05,7.11,7.17,6.98,53758,42058124.0,2.7,0.85,0.06,1.96
2010-01-05,7.12,7.17,7.17,7.02,54256,42497892.0,2.11,0.84,0.06,1.98
2010-01-06,7.2,7.13,7.29,7.12,78031,61943532.0,2.37,-0.56,-0.04,2.85
2010-01-07,7.13,6.87,7.17,6.85,62801,48703676.0,4.49,-3.65,-0.26,2.29
2010-01-08,6.83,6.96,6.97,6.82,39587,30176904.0,2.18,1.31,0.09,1.44
2010-01-11,7.0,6.97,7.06,6.93,46427,35784732.0,1.87,0.14,0.01,1.69
2010-01-12,6.97,7.17,7.21,6.95,79140,62313100.0,3.73,2.87,0.2,2.89
2010-01-13,7.06,7.22,7.29,7.02,98108,77658328.0,3.77,0.7,0.05,3.58
2010-01-14,7.23,7.4,7.42,7.21,117577,94847160.0,2.91,2.49,0.18,4.29
2010-01-15,7.41,7.39,7.5,7.34,107507,87491224.0,2.16,-0.14,-0.01,3.92
2010-01-18,7.4,7.45,7.49,7.33,88503,72236584.0,2.17,0.81,0.06,3.23
2010-01-19,7.47,7.35,7.49,7.3,85957,69457664.0,2.55,-1.34,-0.1,3.14
2010-01-20,7.35,7.34,7.38,7.2,109829,88046376.0,2.45,-0.14,-0.01,4.01
2010-01-21,7.36,7.58,7.65,7.3,239622,198034256.0,4.77,3.27,0.24,8.74
2010-01-22,7.49,7.65,7.72,7.32,272055,226326320.0,5.28,0.92,0.07,9.93
2010-01-25,7.66,7.63,7.81,7.44,246679,207037552.0,4.84,-0.26,-0.02,9.0
2010-01-26,7.65,7.29,7.77,7.07,214092,176435424.0,9.17,-4.46,-0.34,7.81
2010-01-27,7.29,7.45,7.62,7.28,207662,170520352.0,4.66,2.19,0.16,7.58
2010-01-28,7.57,7.79,7.81,7.37,333032,277962912.0,5.91,4.56,0.34,12.15
2010-01-29,7.71,7.51,8.04,7.5,373784,317398112.0,6.93,-3.59,-0.28,13.64
2010-02-01,7.37,6.69,7.39,6.69,277253,210366464.0,9.32,-10.92,-0.82,10.12
2010-02-02,6.72,6.59,6.79,6.51,124665,91754384.0,4.19,-1.49,-0.1,4.55
2010-02-03,6.6,6.64,6.66,6.22,108670,78204936.0,6.68,0.76,0.05,3.97
2010-02-04,6.61,6.66,6.76,6.5,101114,74618000.0,3.92,0.3,0.02,3.69
2010-02-05,6.52,6.63,6.79,6.42,74760,54999000.0,5.56,-0.45,-0.03,2.73
2010-02-08,6.63,6.7,6.72,6.59,48524,35915760.0,1.96,1.06,0.07,1.77
2010-02-09,6.67,6.71,6.81,6.64,46212,34465212.0,2.54,0.15,0.01,1.69
2010-02-10,6.72,6.73,6.79,6.65,42541,31651486.0,2.09,0.3,0.02,1.55
2010-02-11,6.74,6.61,6.76,6.59,49942,37011896.0,2.53,-1.78,-0.12,1.82
2010-02-12,6.62,6.69,6.7,6.56,44075,32511222.0,2.12,1.21,0.08,1.61
2010-02-22,6.67,6.71,6.77,6.64,41158,30661228.0,1.94,0.3,0.02,1.5
2010-02-23,6.71,6.68,6.71,6.49,52292,38391144.0,3.28,-0.45,-0.03,1.91
2010-02-24,6.62,6.87,6.9,6.59,91592,68880616.0,4.64,2.84,0.19,3.34
2010-02-25,6.9,6.99,7.07,6.83,115866,88880608.0,3.49,1.75,0.12,4.23
2010-02-26,6.94,7.0,7.1,6.92,81937,63466064.0,2.58,0.14,0.01,2.99
2010-03-01,7.04,7.1,7.13,6.97,91499,71381360.0,2.29,1.43,0.1,3.34
2010-03-02,7.1,7.13,7.23,7.07,101915,80174520.0,2.25,0.42,0.03,3.72
2010-03-03,7.16,7.33,7.35,7.08,118987,94615088.0,3.79,2.81,0.2,4.34
2010-03-04,7.33,7.0,7.39,6.93,121950,96212720.0,6.28,-4.5,-0.33,4.45
2010-03-05,7.01,7.02,7.1,6.88,51880,40232592.0,3.14,0.29,0.02,1.89
2010-03-08,7.1,7.15,7.18,7.0,50796,39783268.0,2.56,1.85,0.13,1.85
2010-03-09,7.16,7.07,7.16,7.0,45744,35698080.0,2.24,-1.12,-0.08,1.67
2010-03-10,7.11,7.03,7.21,6.98,57775,45196368.0,3.25,-0.57,-0.04,2.11
2010-03-11,7.02,7.0,7.09,6.91,45078,34839984.0,2.56,-0.43,-0.03,1.65
2010-03-12,7.0,6.81,7.05,6.79,47293,36275460.0,3.71,-2.71,-0.19,1.73
2010-03-15,6.79,6.78,6.81,6.72,34992,26232388.0,1.32,-0.44,-0.03,1.28
2010-03-16,6.75,6.95,6.95,6.73,42811,32453102.0,3.24,2.51,0.17,1.56
2010-03-17,6.96,7.16,7.21,6.92,73762,57695472.0,4.17,3.02,0.21,2.69
2010-03-18,7.16,7.47,7.51,7.09,236576,190095376.0,5.87,4.33,0.31,8.63
2010-03-19,7.42,7.82,7.92,7.32,375268,312610880.0,8.03,4.69,0.35,13.69
2010-03-22,7.77,7.7,7.97,7.57,434550,369259136.0,5.12,-1.53,-0.12,15.86
2010-03-23,7.67,7.6,7.76,7.42,201781,167502592.0,4.42,-1.3,-0.1,7.36
2010-03-24,7.61,7.63,7.71,7.52,124665,103950672.0,2.5,0.39,0.03,4.55
2010-03-25,7.54,7.37,7.58,7.35,112028,91559448.0,3.01,-3.41,-0.26,4.09
2010-03-26,7.4,7.45,7.52,7.4,86987,71291800.0,1.63,1.09,0.08,3.17
2010-03-29,7.47,7.5,7.59,7.45,72326,59573120.0,1.88,0.67,0.05,2.64
2010-03-30,7.47,7.45,7.55,7.38,78808,64417236.0,2.27,-0.67,-0.05,2.88
2010-03-31,7.45,7.5,7.56,7.4,78398,64446480.0,2.15,0.67,0.05,2.86
2010-04-01,7.52,7.65,7.7,7.5,127002,106200064.0,2.67,2.0,0.15,4.63
2010-04-02,7.65,7.58,7.71,7.54,88162,73351744.0,2.22,-0.92,-0.07,3.22
2010-04-06,7.59,7.63,7.65,7.51,78517,65157556.0,1.85,0.66,0.05,2.87
2010-04-07,7.63,7.49,7.63,7.45,70036,57706156.0,2.36,-1.83,-0.14,2.56
2010-04-08,7.47,7.52,7.62,7.45,80021,66141272.0,2.27,0.4,0.03,2.92
2010-04-09,7.52,7.57,7.62,7.43,110693,91717000.0,2.53,0.66,0.05,4.04
2010-04-12,7.59,7.81,7.89,7.59,204983,174386960.0,3.96,3.17,0.24,7.48
2010-04-13,7.81,7.57,7.84,7.35,156009,129790432.0,6.27,-3.07,-0.24,5.69
2010-04-14,7.53,7.91,7.93,7.45,195882,166832016.0,6.34,4.49,0.34,7.15
2010-04-15,7.91,7.73,8.09,7.65,194570,167611472.0,5.56,-2.28,-0.18,7.1
2010-04-16,7.76,7.98,8.06,7.57,202207,174802736.0,6.34,3.23,0.25,7.38
2010-04-19,7.85,7.68,8.26,7.62,336632,294547168.0,8.02,-3.76,-0.3,12.28
2010-04-20,7.57,8.03,8.04,7.47,232576,198006128.0,7.42,4.56,0.35,8.49
2010-04-21,8.04,8.4,8.56,7.99,403094,367109472.0,7.1,4.61,0.37,14.71
2010-04-22,8.31,8.49,8.54,8.18,285747,260387040.0,4.29,1.07,0.09,10.43
2010-04-23,8.42,8.17,8.49,8.1,207086,186410640.0,4.59,-3.77,-0.32,7.56
2010-04-26,8.16,8.09,8.45,8.05,169897,152599184.0,4.9,-0.98,-0.08,6.2
2010-04-27,8.1,7.73,8.14,7.5,174769,148902768.0,7.91,-4.45,-0.36,6.38
2010-04-28,7.65,7.65,7.76,7.37,112245,93611984.0,5.05,-1.03,-0.08,4.1
2010-04-29,7.65,7.42,7.83,7.39,108254,90781272.0,5.75,-3.01,-0.23,3.95
2010-04-30,7.47,7.22,7.62,6.98,123375,98694984.0,8.63,-2.7,-0.2,4.5
2010-05-04,7.06,7.28,7.42,6.98,66093,52879564.0,6.09,0.83,0.06,2.41
2010-05-05,7.22,7.56,7.6,7.13,91369,74645080.0,6.46,3.85,0.28,3.33
2010-05-06,7.54,7.18,7.59,7.17,104491,84546936.0,5.56,-5.03,-0.38,3.81
2010-05-07,6.87,6.72,7.09,6.72,101373,77081208.0,5.15,-6.41,-0.46,3.7
2010-05-10,6.69,6.62,6.82,6.43,84342,61999076.0,5.8,-1.49,-0.1,3.08
2010-05-11,6.82,6.37,6.85,6.3,73429,53581812.0,8.31,-3.78,-0.25,2.68
2010-05-12,6.36,6.39,6.45,6.16,64198,45217960.0,4.55,0.31,0.02,2.34
2010-05-13,6.39,6.53,6.54,6.23,63545,45519324.0,4.85,2.19,0.14,2.32
2010-05-14,6.5,6.43,6.56,6.39,54722,39378744.0,2.6,-1.53,-0.1,2.0
2010-05-17,6.27,5.8,6.36,5.78,66050,44767360.0,9.02,-9.8,-0.63,2.41
2010-05-19,5.86,5.91,6.02,5.8,69325,46088300.0,3.79,1.9,0.11,2.53
2010-05-20,5.85,5.67,5.98,5.67,46295,30421772.0,5.25,-4.06,-0.24,1.69
2010-05-21,5.52,5.78,5.79,5.37,54458,34488372.0,7.41,1.94,0.11,1.99
2010-05-24,5.82,6.11,6.17,5.8,75147,50831272.0,6.4,5.71,0.33,2.74
2010-05-25,5.96,6.01,6.07,5.87,68084,45685912.0,3.27,-1.64,-0.1,2.48
2010-05-26,5.97,6.14,6.18,5.93,63083,42930508.0,4.16,2.16,0.13,2.3
2010-05-27,6.1,6.19,6.24,5.93,77864,53282220.0,5.05,0.81,0.05,2.84
2010-05-28,6.28,6.15,6.31,6.02,63457,43836352.0,4.68,-0.65,-0.04,2.32
2010-05-31,6.09,5.86,6.16,5.85,48197,32485208.0,5.04,-4.72,-0.29,1.76
