日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,6.46,6.28,6.52,6.27,143908,209181116.0,3.88,-2.64,-0.17,1.79
2010-01-05,6.28,6.08,6.28,6.02,307336,429703476.0,4.14,-3.18,-0.2,3.83
2010-01-06,6.08,6.11,6.23,6.02,171684,242080392.0,3.45,0.49,0.03,2.14
2010-01-07,6.13,6.1,6.22,6.03,168568,236603637.0,3.11,-0.16,-0.01,2.1
2010-01-08,6.09,6.2,6.23,6.05,152452,215867208.0,2.95,1.64,0.1,1.9
2010-01-11,6.25,6.05,6.29,6.02,163152,228449867.0,4.35,-2.42,-0.15,2.03
2010-01-12,6.04,6.13,6.17,5.89,155512,216274646.0,4.63,1.32,0.08,1.94
2010-01-13,5.95,5.81,6.01,5.8,249865,339224851.0,3.43,-5.22,-0.32,3.11
2010-01-14,5.81,5.85,5.89,5.71,155752,209171134.0,3.1,0.69,0.04,1.94
2010-01-15,5.88,6.01,6.09,5.88,190905,264480807.0,3.59,2.74,0.16,2.38
2010-01-18,6.01,6.12,6.14,5.97,179585,250941504.0,2.83,1.83,0.11,2.24
2010-01-19,6.16,6.16,6.27,6.12,174496,247609561.0,2.45,0.65,0.04,2.17
2010-01-20,6.2,5.84,6.24,5.81,184329,254240830.0,6.98,-5.19,-0.32,2.29
2010-01-21,5.91,6.3,6.34,5.85,325526,458214621.0,8.39,7.88,0.46,4.05
2010-01-22,6.17,6.4,6.53,6.09,598682,873587675.0,6.98,1.59,0.1,7.45
2010-01-25,6.36,6.19,6.36,6.12,193848,276957587.0,3.75,-3.28,-0.21,2.41
2010-01-26,6.15,5.81,6.22,5.71,186434,252856673.0,8.24,-6.14,-0.38,2.32
2010-01-27,5.8,5.64,5.89,5.61,129205,170321876.0,4.82,-2.93,-0.17,1.61
2010-01-28,5.62,5.72,5.75,5.56,88708,116146632.0,3.37,1.42,0.08,1.1
2010-01-29,5.68,5.72,5.8,5.61,97819,129483767.0,3.32,0.0,0.0,1.22
2010-02-01,5.72,5.68,5.75,5.46,115887,150069118.0,5.07,-0.7,-0.04,1.44
2010-02-02,5.71,5.57,5.83,5.56,86353,114096373.0,4.75,-1.94,-0.11,1.07
2010-02-03,5.59,5.75,5.77,5.48,124213,162752689.0,5.21,3.23,0.18,1.55
2010-02-04,5.7,5.82,5.99,5.65,176474,238836850.0,5.91,1.22,0.07,2.2
2010-02-05,5.69,5.62,5.75,5.56,102361,133962680.0,3.26,-3.44,-0.2,1.27
2010-02-08,5.61,5.66,5.82,5.61,94550,125308431.0,3.74,0.71,0.04,1.18
2010-02-09,5.66,5.67,5.74,5.65,62492,82240619.0,1.59,0.18,0.01,0.78
2010-02-10,5.8,5.76,5.83,5.68,109880,146025108.0,2.65,1.59,0.09,1.37
2010-02-11,5.77,5.76,5.84,5.73,91857,122791035.0,1.91,0.0,0.0,1.14
2010-02-12,5.79,5.78,5.8,5.72,78181,104293846.0,1.39,0.35,0.02,0.97
2010-02-22,5.73,5.71,5.78,5.67,105894,140257399.0,1.9,-1.21,-0.07,1.32
2010-02-23,5.68,5.62,5.7,5.53,98068,127100259.0,2.98,-1.58,-0.09,1.22
2010-02-24,5.56,5.72,5.72,5.52,93225,121983852.0,3.56,1.78,0.1,1.16
2010-02-25,5.72,5.97,5.98,5.72,273558,371441473.0,4.55,4.37,0.25,3.41
2010-02-26,5.97,5.88,5.97,5.86,156855,213618713.0,1.84,-1.51,-0.09,1.95
2010-03-01,5.83,5.88,5.9,5.77,129103,174248131.0,2.21,0.0,0.0,1.61
2010-03-02,5.88,5.93,5.94,5.82,147502,200584334.0,2.04,0.85,0.05,1.84
2010-03-03,5.93,5.9,5.95,5.83,167705,227320777.0,2.02,-0.51,-0.03,2.09
2010-03-04,5.89,5.65,5.99,5.57,206241,277901457.0,7.12,-4.24,-0.25,2.57
2010-03-05,5.68,5.7,5.8,5.59,118398,155985453.0,3.72,0.88,0.05,1.47
2010-03-08,5.73,5.89,5.99,5.65,206715,279613101.0,5.96,3.33,0.19,2.57
2010-03-09,5.85,6.04,6.17,5.78,400310,555431044.0,6.62,2.55,0.15,4.98
2010-03-10,6.04,5.9,6.09,5.86,186071,255574147.0,3.81,-2.32,-0.14,2.32
2010-03-11,5.9,5.8,5.97,5.74,135563,182412815.0,3.9,-1.69,-0.1,1.69
2010-03-12,5.83,5.73,5.87,5.72,93061,124693164.0,2.59,-1.21,-0.07,1.16
2010-03-15,5.72,5.76,5.8,5.66,71357,94755461.0,2.44,0.52,0.03,0.89
2010-03-16,5.77,5.83,5.84,5.7,75440,100749508.0,2.43,1.22,0.07,0.94
2010-03-17,5.83,5.95,5.97,5.79,138037,187959158.0,3.09,2.06,0.12,1.72
2010-03-18,6.0,5.99,6.1,5.92,191527,265510774.0,3.03,0.67,0.04,2.38
2010-03-19,6.03,6.05,6.15,6.01,169736,237096127.0,2.34,1.0,0.06,2.11
2010-03-22,6.02,6.03,6.11,5.97,108432,150171878.0,2.31,-0.33,-0.02,1.35
2010-03-23,6.01,5.87,6.01,5.86,133450,181850800.0,2.49,-2.65,-0.16,1.66
2010-03-24,5.88,5.89,5.97,5.86,79662,108534951.0,1.87,0.34,0.02,0.99
2010-03-26,5.8,5.95,6.03,5.76,121283,165349492.0,4.58,1.02,0.06,1.51
2010-03-29,5.97,6.07,6.08,5.94,172634,239574662.0,2.35,2.02,0.12,2.15
2010-03-30,6.07,6.13,6.17,6.0,198567,278757956.0,2.8,0.99,0.06,2.47
2010-03-31,6.13,6.06,6.16,6.04,131384,183967985.0,1.96,-1.14,-0.07,1.64
2010-04-01,6.05,6.29,6.34,6.05,313151,446774598.0,4.79,3.8,0.23,3.9
2010-04-02,6.31,6.31,6.4,6.29,275220,399519114.0,1.75,0.32,0.02,3.43
2010-04-06,6.3,6.13,6.31,6.07,280409,395861035.0,3.8,-2.85,-0.18,3.49
2010-04-07,6.11,6.03,6.11,5.97,150527,208317078.0,2.28,-1.63,-0.1,1.87
2010-04-08,6.03,5.91,6.08,5.87,190185,261566849.0,3.48,-1.99,-0.12,2.37
2010-04-09,5.94,6.0,6.04,5.9,140834,193274196.0,2.37,1.52,0.09,1.75
2010-04-12,5.97,5.8,5.99,5.69,307031,410542156.0,5.0,-3.33,-0.2,3.82
2010-04-13,5.8,5.85,5.89,5.68,136474,183098097.0,3.62,0.86,0.05,1.7
2010-04-14,5.81,5.85,5.91,5.8,113845,153451724.0,1.88,0.0,0.0,1.42
2010-04-15,5.83,5.84,5.9,5.78,67885,70371293.0,2.05,-0.17,-0.01,0.65
2010-04-16,5.77,5.73,5.85,5.66,112744,115067512.0,3.25,-1.88,-0.11,1.08
2010-04-19,5.61,5.08,5.61,5.08,287233,273640106.0,9.25,-11.34,-0.65,2.75
2010-04-20,5.04,4.69,5.04,4.61,312814,269245002.0,8.46,-7.68,-0.39,3.0
2010-04-21,4.7,4.81,4.85,4.63,231747,200637798.0,4.69,2.56,0.12,2.22
2010-04-22,4.75,4.66,4.79,4.59,184656,157766264.0,4.16,-3.12,-0.15,1.77
2010-04-23,4.67,4.78,4.86,4.65,174795,151209038.0,4.51,2.58,0.12,1.67
2010-04-26,4.79,4.73,4.84,4.69,93096,80491064.0,3.14,-1.05,-0.05,0.89
2010-04-27,4.75,4.68,4.79,4.54,132066,112578067.0,5.29,-1.06,-0.05,1.26
2010-04-28,4.63,4.63,4.74,4.55,76885,65051468.0,4.06,-1.07,-0.05,0.74
2010-04-29,4.72,4.62,4.81,4.6,93718,80520235.0,4.54,-0.22,-0.01,0.9
2010-04-30,4.6,4.57,4.68,4.48,79020,65920629.0,4.33,-1.08,-0.05,0.76
2010-05-04,4.4,4.15,4.46,4.12,180199,142319985.0,7.44,-9.19,-0.42,1.73
2010-05-05,4.03,4.22,4.29,3.92,163928,124539614.0,8.92,1.69,0.07,1.57
2010-05-06,4.15,3.87,4.17,3.86,107841,80748194.0,7.35,-8.29,-0.35,1.03
