日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,6.13,6.07,6.16,6.05,179767,120288608.0,1.8,-0.65,-0.04,1.59
2010-01-05,6.07,6.02,6.14,5.89,171676,113035584.0,4.12,-0.82,-0.05,1.52
2010-01-06,6.01,6.12,6.31,5.95,297080,200806256.0,5.98,1.66,0.1,2.63
2010-01-07,6.12,6.01,6.2,5.97,219958,147287568.0,3.76,-1.8,-0.11,1.95
2010-01-08,5.94,5.88,6.01,5.77,202473,130566800.0,3.99,-2.16,-0.13,1.79
2010-01-11,5.98,5.81,6.04,5.77,179983,116109696.0,4.59,-1.19,-0.07,1.6
2010-01-12,5.81,5.89,5.9,5.62,246388,155918816.0,4.82,1.38,0.08,2.18
2010-01-13,5.75,5.64,5.8,5.63,289326,181566544.0,2.89,-4.24,-0.25,2.56
2010-01-14,5.69,5.71,5.71,5.52,400673,248135232.0,3.37,1.24,0.07,3.55
2010-01-15,5.7,5.69,5.74,5.63,202781,127070872.0,1.93,-0.35,-0.02,1.8
2010-01-18,5.67,5.73,5.74,5.62,211852,133070048.0,2.11,0.7,0.04,1.88
2010-01-19,5.73,5.75,5.81,5.7,237992,150847120.0,1.92,0.35,0.02,2.11
2010-01-20,5.75,5.41,5.76,5.39,389720,238544416.0,6.43,-5.91,-0.34,3.45
2010-01-21,5.41,5.28,5.5,5.22,446124,263424048.0,5.18,-2.4,-0.13,3.96
2010-01-22,5.2,5.1,5.24,4.97,349138,198916912.0,5.11,-3.41,-0.18,3.1
2010-01-25,5.12,5.0,5.21,4.97,198406,112430656.0,4.71,-1.96,-0.1,1.76
2010-01-26,5.02,4.78,5.06,4.69,231926,125535368.0,7.4,-4.4,-0.22,2.06
2010-01-27,4.75,4.73,4.86,4.68,140072,74956624.0,3.77,-1.05,-0.05,1.24
2010-01-28,4.74,4.81,4.84,4.7,100652,53903320.0,2.96,1.69,0.08,0.89
2010-01-29,4.79,4.86,4.9,4.75,143993,77951032.0,3.12,1.04,0.05,1.28
2010-02-01,5.0,4.82,5.0,4.77,156857,85272280.0,4.73,-0.82,-0.04,1.39
2010-02-02,4.88,4.8,4.89,4.8,135414,73537392.0,1.87,-0.41,-0.02,1.2
2010-02-03,4.81,4.92,4.94,4.7,222254,120874784.0,5.0,2.5,0.12,1.97
2010-02-04,4.91,4.87,5.04,4.83,244994,134870880.0,4.27,-1.02,-0.05,2.17
2010-02-05,4.72,4.72,4.77,4.67,178060,94303040.0,2.05,-3.08,-0.15,1.58
2010-02-08,4.72,4.77,4.78,4.7,77390,41332628.0,1.69,1.06,0.05,0.69
2010-02-09,4.75,4.8,4.81,4.73,56890,30503238.0,1.68,0.63,0.03,0.5
2010-02-10,4.83,4.87,4.9,4.83,61269,33343158.0,1.46,1.46,0.07,0.54
2010-02-11,4.89,5.08,5.1,4.85,248913,139256928.0,5.13,4.31,0.21,2.21
2010-02-12,5.09,5.07,5.1,4.99,158620,89391984.0,2.17,-0.2,-0.01,1.41
2010-02-22,5.07,4.97,5.09,4.97,121956,68258816.0,2.37,-1.97,-0.1,1.08
2010-02-23,4.92,4.89,4.96,4.75,126843,68664496.0,4.23,-1.61,-0.08,1.12
2010-02-24,4.82,5.03,5.05,4.79,143265,79199576.0,5.32,2.86,0.14,1.27
2010-02-25,5.03,5.07,5.08,5.0,171216,96338552.0,1.59,0.8,0.04,1.52
2010-02-26,5.06,5.01,5.06,4.97,146959,82064624.0,1.78,-1.18,-0.06,1.3
2010-03-01,5.01,5.05,5.06,4.98,258111,144560208.0,1.6,0.8,0.04,2.29
2010-03-02,5.05,4.98,5.06,4.94,155493,86616888.0,2.38,-1.39,-0.07,1.38
2010-03-03,4.98,5.03,5.05,4.92,191308,106299360.0,2.61,1.0,0.05,1.7
2010-03-04,5.02,4.86,5.08,4.81,216869,120526544.0,5.37,-3.38,-0.17,1.92
2010-03-05,4.85,4.9,4.97,4.84,106946,58652448.0,2.67,0.82,0.04,0.95
2010-03-08,4.92,4.96,5.0,4.88,103555,57276760.0,2.45,1.22,0.06,0.92
2010-03-09,4.96,4.99,5.09,4.86,175113,97590176.0,4.64,0.6,0.03,1.55
2010-03-10,4.99,5.02,5.11,4.95,179700,100930000.0,3.21,0.6,0.03,1.59
2010-03-11,5.02,5.14,5.3,5.02,463075,265689184.0,5.58,2.39,0.12,4.11
2010-03-12,5.1,5.02,5.18,4.99,216754,122406376.0,3.7,-2.33,-0.12,1.92
2010-03-15,4.99,4.87,5.05,4.84,137649,75459536.0,4.18,-2.99,-0.15,1.22
2010-03-16,4.87,4.87,4.91,4.8,105406,57180300.0,2.26,0.0,0.0,0.93
2010-03-17,4.89,4.97,4.97,4.85,125657,69164312.0,2.46,2.05,0.1,1.11
2010-03-18,4.99,4.94,5.0,4.89,126863,70119936.0,2.21,-0.6,-0.03,1.12
2010-03-19,4.94,4.99,5.01,4.86,156912,86752880.0,3.04,1.01,0.05,1.39
2010-03-22,4.98,4.96,5.0,4.91,124134,68581704.0,1.8,-0.6,-0.03,1.1
2010-03-23,4.96,4.97,5.07,4.91,185226,103286056.0,3.23,0.2,0.01,1.64
2010-03-24,5.0,4.91,5.0,4.9,184100,101718112.0,2.01,-1.21,-0.06,1.63
2010-03-25,4.89,4.81,4.91,4.75,150840,81565392.0,3.26,-2.04,-0.1,1.34
2010-03-26,4.79,4.86,4.87,4.76,98620,53332736.0,2.29,1.04,0.05,0.87
2010-03-29,4.87,4.96,4.99,4.86,183087,101143136.0,2.67,2.06,0.1,1.62
2010-03-30,4.96,4.93,4.97,4.92,97461,53774236.0,1.01,-0.6,-0.03,0.86
2010-03-31,4.94,4.87,4.95,4.85,101732,55590592.0,2.03,-1.22,-0.06,0.9
2010-04-01,4.87,4.93,4.97,4.87,189021,104161480.0,2.05,1.23,0.06,1.68
2010-04-02,4.96,4.98,4.99,4.93,178715,99164608.0,1.22,1.01,0.05,1.58
2010-04-06,4.99,4.99,5.03,4.96,172598,96294664.0,1.41,0.2,0.01,1.53
2010-04-07,5.01,5.03,5.09,4.94,289366,162600752.0,3.01,0.8,0.04,2.57
2010-04-08,5.0,4.89,5.0,4.82,268463,147117120.0,3.58,-2.78,-0.14,2.38
2010-04-09,4.88,4.87,4.9,4.85,194366,105961216.0,1.02,-0.41,-0.02,1.72
2010-04-12,4.87,4.85,4.9,4.8,151171,81998056.0,2.05,-0.41,-0.02,1.34
2010-04-13,4.84,4.85,4.89,4.78,218158,118227696.0,2.27,0.0,0.0,1.93
2010-04-14,4.88,4.9,4.91,4.84,158830,86512880.0,1.44,1.03,0.05,1.41
2010-04-15,4.93,5.27,5.29,4.92,1118551,642675456.0,7.55,7.55,0.37,9.92
2010-04-19,5.09,4.86,5.15,4.85,493615,274979520.0,5.69,-7.78,-0.41,4.38
2010-04-20,4.86,4.61,4.9,4.49,353855,183653440.0,8.44,-5.14,-0.25,3.14
2010-04-21,4.52,4.69,4.71,4.52,224620,116633480.0,4.12,1.74,0.08,1.99
2010-04-22,4.67,4.54,4.67,4.52,240655,123687672.0,3.2,-3.2,-0.15,2.13
2010-04-23,4.52,4.53,4.58,4.49,157426,80544352.0,1.98,-0.22,-0.01,1.4
2010-04-26,4.55,4.4,4.58,4.37,256398,128051816.0,4.64,-2.87,-0.13,2.27
2010-04-27,4.38,4.14,4.39,4.07,238624,112780136.0,7.27,-5.91,-0.26,2.12
2010-04-28,4.09,4.15,4.2,4.02,130926,61461172.0,4.35,0.24,0.01,1.16
2010-04-29,4.15,3.99,4.18,3.98,194539,90548952.0,4.82,-3.86,-0.16,1.72
2010-04-30,3.98,4.08,4.08,3.93,148806,68447136.0,3.76,2.26,0.09,1.32
2010-05-04,4.01,3.95,4.05,3.94,95718,43752484.0,2.7,-3.19,-0.13,0.85
2010-05-05,3.93,3.97,3.98,3.75,157311,69858520.0,5.82,0.51,0.02,1.39
2010-05-06,3.92,3.77,3.93,3.75,150642,66456160.0,4.53,-5.04,-0.2,1.34
2010-05-07,3.66,3.57,3.73,3.57,151019,63792180.0,4.24,-5.31,-0.2,1.34
2010-05-11,3.77,3.99,3.99,3.71,536066,243876992.0,7.84,11.76,0.42,4.75
2010-05-12,3.88,3.77,3.9,3.6,411023,177947712.0,7.52,-5.51,-0.22,3.64
2010-05-13,3.76,3.79,3.81,3.6,255549,109549976.0,5.57,0.53,0.02,2.27
2010-05-14,3.71,3.73,3.82,3.66,171274,73663672.0,4.22,-1.58,-0.06,1.52
2010-05-17,3.65,3.39,3.68,3.39,202288,83769984.0,7.77,-9.12,-0.34,1.79
2010-05-18,3.41,3.51,3.53,3.33,150947,60710608.0,5.9,3.54,0.12,1.34
2010-05-19,3.51,3.46,3.53,3.41,129840,52535920.0,3.42,-1.42,-0.05,1.15
2010-05-20,3.42,3.46,3.59,3.4,133293,54506676.0,5.49,0.0,0.0,1.18
2010-05-21,3.35,3.57,3.58,3.32,158115,64048100.0,7.51,3.18,0.11,1.4
2010-05-24,3.59,3.73,3.74,3.57,229579,97934728.0,4.76,4.48,0.16,2.04
2010-05-25,3.67,3.61,3.68,3.58,142683,60013556.0,2.68,-3.22,-0.12,1.26
2010-05-26,3.62,3.61,3.66,3.58,74409,31215688.0,2.22,0.0,0.0,0.66
2010-05-27,3.61,3.67,3.7,3.59,125633,53105988.0,3.05,1.66,0.06,1.11
2010-05-28,3.69,3.63,3.73,3.6,128950,54498508.0,3.54,-1.09,-0.04,1.14
2010-05-31,3.6,3.47,3.63,3.47,98889,40917816.0,4.41,-4.41,-0.16,0.88
2010-06-01,3.44,3.4,3.49,3.38,107804,43143060.0,3.17,-2.02,-0.07,0.96
2010-06-02,3.42,3.48,3.49,3.39,75544,30282698.0,2.94,2.35,0.08,0.67
2010-06-03,3.48,3.45,3.53,3.44,92465,37578432.0,2.59,-0.86,-0.03,0.82
2010-06-04,3.42,3.44,3.45,3.37,69720,27800008.0,2.32,-0.29,-0.01,0.62
2010-06-07,3.33,3.33,3.37,3.29,91691,35872624.0,2.33,-3.2,-0.11,0.81
2010-06-08,3.29,3.33,3.36,3.28,67598,26399254.0,2.4,0.0,0.0,0.6
2010-06-09,3.35,3.45,3.47,3.31,125684,49928096.0,4.8,3.6,0.12,1.11
2010-06-10,3.42,3.42,3.47,3.39,96389,38555036.0,2.32,-0.87,-0.03,0.85
2010-06-11,3.45,3.49,3.6,3.41,138781,56377220.0,5.56,2.05,0.07,1.23
2010-06-17,3.49,3.42,3.51,3.42,80268,32359944.0,2.58,-2.01,-0.07,0.71
2010-06-18,3.46,3.35,3.48,3.33,90217,36008296.0,4.39,-2.05,-0.07,0.8
2010-06-21,3.38,3.47,3.51,3.33,111201,44525552.0,5.37,3.58,0.12,0.99
2010-06-22,3.46,3.46,3.5,3.44,101148,40986760.0,1.73,-0.29,-0.01,0.9
2010-06-23,3.41,3.39,3.45,3.37,99148,39497044.0,2.31,-2.02,-0.07,0.88
