日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,25.81,25.14,25.98,25.1,166688,522008446.0,3.41,-2.52,-0.65,1.11
2010-01-05,25.29,25.52,25.84,24.85,153919,481874673.0,3.94,1.51,0.38,1.03
2010-01-06,25.3,24.55,25.3,24.47,264322,811371643.0,3.25,-3.8,-0.97,1.76
2010-01-07,24.42,23.98,24.7,23.59,195950,588229302.0,4.52,-2.32,-0.57,1.31
2010-01-08,23.78,24.02,24.23,23.52,119675,355159999.0,2.96,0.17,0.04,0.8
2010-01-11,25.59,23.72,25.75,23.65,316053,959407229.0,8.74,-1.25,-0.3,0.15
2010-01-12,23.79,24.21,24.21,22.93,203153,598300553.0,5.4,2.07,0.49,0.1
2010-01-13,23.7,22.89,23.9,22.7,282765,822591450.0,4.96,-5.45,-1.32,0.14
2010-01-14,23.12,23.38,23.7,22.73,184350,536048976.0,4.24,2.14,0.49,0.09
2010-01-15,23.35,23.63,23.76,23.0,151351,443568630.0,3.25,1.07,0.25,0.07
2010-01-18,23.4,23.11,23.4,22.81,185623,538260807.0,2.5,-2.2,-0.52,0.09
2010-01-19,23.13,23.19,23.6,23.08,133713,389823035.0,2.25,0.35,0.08,0.06
2010-01-20,23.2,22.49,23.35,22.26,180607,518301508.0,4.7,-3.02,-0.7,0.09
2010-01-21,22.52,23.11,23.56,22.48,201307,582723614.0,4.8,2.76,0.62,0.1
2010-01-22,22.61,23.19,23.63,22.4,288163,835323256.0,5.32,0.35,0.08,0.14
2010-01-25,22.98,23.16,23.64,22.8,188736,551954487.0,3.62,-0.13,-0.03,0.09
2010-01-26,23.2,22.47,23.37,22.3,159440,457283593.0,4.62,-2.98,-0.69,0.08
2010-01-27,22.45,21.75,22.5,21.64,170947,476612362.0,3.83,-3.2,-0.72,0.08
2010-01-28,21.7,21.42,21.89,21.3,121885,334320868.0,2.71,-1.52,-0.33,0.06
2010-01-29,21.21,21.15,21.73,20.98,129471,352621608.0,3.5,-1.26,-0.27,0.06
2010-02-01,21.2,21.05,21.28,20.6,152676,409456051.0,3.22,-0.47,-0.1,0.07
2010-02-02,21.18,20.79,21.65,20.77,109937,298420129.0,4.18,-1.24,-0.26,0.05
2010-02-03,20.92,21.62,21.81,20.68,140865,384929631.0,5.44,3.99,0.83,0.07
2010-02-04,21.48,21.52,21.78,21.35,88762,243656259.0,1.99,-0.46,-0.1,0.04
2010-02-05,20.9,20.91,21.2,20.76,125014,335265066.0,2.04,-2.83,-0.61,0.06
2010-02-08,20.81,20.81,21.07,20.66,53263,142638025.0,1.96,-0.48,-0.1,0.03
2010-02-09,20.81,20.99,21.15,20.75,64376,172869115.0,1.92,0.86,0.18,0.03
2010-02-10,21.12,21.5,21.61,21.12,126911,346499901.0,2.33,2.43,0.51,0.06
2010-02-11,21.55,21.53,21.77,21.41,70950,195411544.0,1.67,0.14,0.03,0.03
2010-02-12,21.79,22.19,22.23,21.63,79450,222047065.0,2.79,3.07,0.66,0.04
2010-02-22,21.9,21.8,22.1,21.71,72013,199966987.0,1.76,-1.76,-0.39,0.03
2010-02-23,21.7,20.93,21.7,20.1,340213,901644657.0,7.34,-3.99,-0.87,0.16
2010-02-24,20.64,21.18,21.25,20.48,115300,308105794.0,3.68,1.19,0.25,0.06
2010-02-25,21.12,21.27,21.46,21.0,123008,333657250.0,2.17,0.42,0.09,0.06
2010-02-26,21.2,21.08,21.39,21.0,79331,214689465.0,1.83,-0.89,-0.19,0.04
2010-03-01,21.24,22.0,22.19,21.19,165223,457433897.0,4.74,4.36,0.92,0.08
2010-03-02,21.9,21.81,22.08,21.6,65186,180277595.0,2.18,-0.86,-0.19,0.03
2010-03-03,21.81,21.77,21.95,21.53,70836,195809498.0,1.93,-0.18,-0.04,0.03
2010-03-04,21.8,21.12,21.89,20.98,73697,201252173.0,4.18,-2.99,-0.65,0.04
2010-03-05,21.19,21.12,21.45,21.03,52440,142183724.0,1.99,0.0,0.0,0.03
2010-03-08,21.18,21.3,21.4,21.1,45272,123106270.0,1.42,0.85,0.18,0.02
2010-03-09,21.81,22.19,22.4,21.51,201861,562494798.0,4.18,4.18,0.89,0.1
2010-03-10,22.16,22.21,22.45,21.88,110219,309165456.0,2.57,0.09,0.02,0.05
2010-03-11,22.14,22.26,22.45,21.94,76294,214740300.0,2.3,0.23,0.05,0.04
2010-03-12,22.24,21.91,22.38,21.9,70763,198809777.0,2.16,-1.57,-0.35,0.03
2010-03-15,21.88,21.54,22.08,21.26,46569,127660281.0,3.74,-1.69,-0.37,0.02
2010-03-16,21.5,21.73,21.76,21.32,50017,137604461.0,2.04,0.88,0.19,0.02
2010-03-17,21.77,22.51,22.65,21.63,110529,311959086.0,4.69,3.59,0.78,0.05
2010-03-18,22.36,22.25,22.54,22.17,69515,196449843.0,1.64,-1.16,-0.26,0.03
2010-03-19,22.25,22.44,22.6,22.15,55590,157059999.0,2.02,0.85,0.19,0.03
2010-03-22,22.44,22.18,22.65,22.08,80589,227063384.0,2.54,-1.16,-0.26,0.04
2010-03-23,22.29,21.97,22.37,21.91,54462,152278741.0,2.07,-0.95,-0.21,0.03
2010-03-24,22.0,21.83,22.4,21.65,67280,187420018.0,3.41,-0.64,-0.14,0.03
2010-03-25,21.71,21.5,21.72,21.25,80122,219064924.0,2.15,-1.51,-0.33,0.04
2010-03-26,21.45,21.7,22.08,21.29,90986,252083584.0,3.67,0.93,0.2,0.04
2010-03-29,21.97,22.74,22.8,21.86,198481,564592682.0,4.33,4.79,1.04,0.1
2010-03-30,22.64,22.83,22.9,22.51,100900,289267689.0,1.72,0.4,0.09,0.05
2010-03-31,22.74,22.58,22.99,22.41,84411,240961499.0,2.54,-1.1,-0.25,0.04
2010-04-01,22.62,23.0,23.1,22.58,99199,285971957.0,2.3,1.86,0.42,0.05
2010-04-02,23.0,23.06,23.18,22.88,89912,260072280.0,1.3,0.26,0.06,0.04
2010-04-06,23.21,22.83,23.28,22.68,62854,181334575.0,2.6,-1.0,-0.23,0.03
2010-04-07,22.8,23.1,23.19,22.7,88393,255146166.0,2.15,1.18,0.27,0.04
2010-04-08,23.1,22.42,23.1,22.11,106769,304412348.0,4.29,-2.94,-0.68,0.05
2010-04-09,22.48,22.74,22.9,22.15,109614,311434826.0,3.35,1.43,0.32,0.05
2010-04-12,22.74,22.2,23.1,21.86,155897,441667508.0,5.45,-2.37,-0.54,0.07
2010-04-13,22.2,23.38,23.8,22.2,326015,948393137.0,7.21,5.32,1.18,0.16
2010-04-14,23.28,23.23,23.47,22.92,124191,361186121.0,2.35,-0.64,-0.15,0.06
2010-04-15,23.22,23.28,23.42,22.93,123858,360582032.0,2.11,0.22,0.05,0.06
2010-04-16,23.18,22.84,23.4,22.8,99253,287317152.0,2.58,-1.89,-0.44,0.05
2010-04-19,22.21,21.58,22.63,21.5,138461,386889923.0,4.95,-5.52,-1.26,0.07
2010-04-20,21.63,21.7,21.87,21.0,174239,476716405.0,4.03,0.56,0.12,0.08
2010-04-21,21.5,21.96,22.13,21.37,157405,435275486.0,3.5,1.2,0.26,0.08
2010-04-22,21.75,21.26,21.75,20.71,162405,440896111.0,4.74,-3.19,-0.7,0.08
2010-04-23,21.18,21.23,21.59,20.92,113305,307393773.0,3.15,-0.14,-0.03,0.05
2010-04-26,21.29,20.83,21.4,20.68,121212,326816985.0,3.39,-1.88,-0.4,0.06
2010-04-27,20.8,20.53,20.88,19.86,171496,449478333.0,4.9,-1.44,-0.3,0.08
2010-04-28,20.12,20.2,20.51,19.98,80479,210168470.0,2.58,-1.61,-0.33,0.04
2010-04-29,20.48,20.24,20.65,20.1,99801,262955168.0,2.72,0.2,0.04,0.05
2010-04-30,20.3,20.67,20.9,20.01,105915,280069307.0,4.4,2.12,0.43,0.05
2010-05-04,20.3,20.34,20.86,20.25,105426,278454667.0,2.95,-1.6,-0.33,0.05
2010-05-05,20.09,20.12,20.25,18.98,203921,518298766.0,6.24,-1.08,-0.22,0.1
2010-05-06,19.86,19.01,20.07,18.91,125867,318441525.0,5.77,-5.52,-1.11,0.06
2010-05-07,18.58,18.9,19.36,18.33,157534,390303655.0,5.42,-0.58,-0.11,0.08
2010-05-10,18.97,19.4,19.65,18.88,147254,369865056.0,4.07,2.65,0.5,0.07
2010-05-11,19.81,18.42,19.95,17.76,289910,706430023.0,11.29,-5.05,-0.98,0.14
2010-05-12,18.12,18.97,19.08,18.1,262778,647712341.0,5.32,2.99,0.55,0.13
2010-05-13,19.02,19.71,20.02,18.98,224896,573295590.0,5.48,3.9,0.74,0.11
2010-05-14,19.36,19.48,19.74,19.3,77474,196982336.0,2.23,-1.17,-0.23,0.04
2010-05-17,19.1,18.07,19.2,17.88,179383,434533246.0,6.78,-7.24,-1.41,0.09
2010-05-18,18.14,18.74,18.78,17.9,155149,376330684.0,4.87,3.71,0.67,0.07
2010-05-19,18.36,18.8,19.1,18.2,105862,259710154.0,4.8,0.32,0.06,0.05
2010-05-20,18.6,18.1,19.0,17.95,130600,316567418.0,5.59,-3.72,-0.7,0.06
2010-05-21,17.6,18.12,18.18,17.5,93694,223589160.0,3.76,0.11,0.02,0.04
2010-05-24,18.34,18.92,19.04,18.28,134351,332093632.0,4.19,4.42,0.8,0.06
2010-05-25,18.79,18.09,18.79,17.6,140853,340871403.0,6.29,-4.39,-0.83,0.07
2010-05-26,18.28,18.24,18.58,18.12,88603,214315570.0,2.54,0.83,0.15,0.04
2010-05-27,18.12,18.73,18.9,17.8,108277,264105925.0,6.03,2.69,0.49,0.05
2010-05-28,19.0,18.83,19.1,18.6,83559,207211037.0,2.67,0.53,0.1,0.04
2010-05-31,18.6,18.21,18.9,18.1,84780,206701831.0,4.25,-3.29,-0.62,0.04
2010-06-01,18.11,18.43,18.55,18.05,81520,197397162.0,2.75,1.21,0.22,0.04
2010-06-02,18.31,18.25,18.49,18.01,77749,187370479.0,2.6,-0.98,-0.18,0.04
2010-06-03,18.41,18.48,18.9,18.2,98628,241658399.0,3.84,1.26,0.23,0.05
2010-06-07,18.1,17.92,18.2,17.65,72631,173421405.0,2.98,-3.03,-0.56,0.03
2010-06-08,17.94,17.48,18.08,17.41,80920,191024671.0,3.74,-2.46,-0.44,0.04
2010-06-09,17.6,18.39,18.78,16.92,253319,599485513.0,10.64,5.21,0.91,0.12
2010-06-10,17.8,17.91,18.05,17.71,89321,212344285.0,1.85,-2.61,-0.48,0.04
2010-06-11,18.1,18.04,18.31,18.0,109034,261924143.0,1.73,0.73,0.13,0.05
2010-06-17,18.29,18.04,18.35,17.95,70271,168896169.0,2.22,0.0,0.0,0.03
2010-06-18,18.03,18.1,18.41,17.98,87551,211291788.0,2.38,0.33,0.06,0.04
2010-06-21,18.2,19.31,19.5,18.17,230494,575596225.0,7.35,6.69,1.21,0.11
2010-06-22,19.1,19.36,19.46,19.0,94706,238308757.0,2.38,0.26,0.05,0.05
2010-06-23,19.35,19.39,19.63,18.9,92341,232427846.0,3.77,0.15,0.03,0.04
2010-06-24,19.55,19.66,19.98,19.31,79417,197998663.0,3.46,1.39,0.27,0.04
2010-06-25,19.5,19.9,20.46,19.43,133888,338761396.0,5.24,1.22,0.24,0.06
2010-06-28,19.81,20.02,20.32,19.54,92050,232578067.0,3.92,0.6,0.12,0.04
2010-06-29,19.98,18.97,20.14,18.85,100677,248183649.0,6.44,-5.24,-1.05,0.05
2010-06-30,18.81,19.5,19.8,18.72,103973,255201365.0,5.69,2.79,0.53,0.05
2010-07-01,19.4,19.5,19.76,18.96,99826,245372306.0,4.1,0.0,0.0,0.05
2010-07-02,19.4,20.13,20.16,19.3,149556,372530282.0,4.41,3.23,0.63,0.07
2010-07-05,19.8,19.89,20.15,19.33,99081,247520765.0,4.07,-1.19,-0.24,0.05
2010-07-06,19.81,20.07,20.17,19.66,97073,244146966.0,2.56,0.9,0.18,0.05
2010-07-07,19.97,20.03,20.11,19.68,116759,293543394.0,2.14,-0.2,-0.04,0.06
2010-07-08,20.05,19.79,20.09,19.76,83090,208217763.0,1.65,-1.2,-0.24,0.04
2010-07-09,19.79,19.46,20.35,19.08,357667,892003942.0,6.42,-1.67,-0.33,0.17
2010-07-12,18.8,18.35,18.8,17.48,1016171,2350035445.0,6.78,-5.7,-1.11,0.49
2010-07-13,17.85,17.84,17.98,17.61,565706,1301853348.0,2.02,-2.78,-0.51,0.27
2010-07-14,17.91,17.63,18.08,17.4,524072,1204100488.0,3.81,-1.18,-0.21,0.25
2010-07-15,17.45,17.16,17.82,17.06,336693,761166088.0,4.31,-2.67,-0.47,0.16
2010-07-16,17.07,17.12,17.16,16.83,211982,469961718.0,1.92,-0.23,-0.04,0.1
2010-07-19,16.9,17.74,17.79,16.86,336466,762649511.0,5.43,3.62,0.62,0.16
2010-07-20,17.7,18.01,18.2,17.63,306699,710710914.0,3.21,1.52,0.27,0.15
