日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-07,4.27,4.26,4.37,4.16,5700820,3275273252.0,5.33,8.12,0.32,61.65
2010-01-08,4.11,4.09,4.12,4.01,2440803,1352582047.0,2.58,-3.99,-0.17,26.39
2010-01-11,4.17,4.02,4.17,3.97,1504253,832707221.0,4.89,-1.71,-0.07,16.27
2010-01-12,4.01,4.07,4.08,3.98,982008,543195822.0,2.49,1.24,0.05,10.62
2010-01-13,3.99,3.95,4.02,3.94,1045678,571520474.0,1.97,-2.95,-0.12,11.31
2010-01-14,3.97,4.01,4.05,3.94,764077,418817253.0,2.78,1.52,0.06,8.26
2010-01-15,3.99,3.99,4.0,3.95,488263,266875742.0,1.25,-0.5,-0.02,5.28
2010-01-18,3.98,3.97,3.98,3.95,508709,277246458.0,0.75,-0.5,-0.02,5.5
2010-01-19,3.96,4.0,4.0,3.95,579259,316507568.0,1.26,0.76,0.03,6.26
2010-01-20,3.99,3.85,3.99,3.84,812173,438896123.0,3.75,-3.75,-0.15,8.78
2010-01-21,3.86,3.86,3.89,3.83,550663,294396543.0,1.56,0.26,0.01,5.95
2010-01-22,3.83,3.75,3.83,3.67,574439,300734953.0,4.15,-2.85,-0.11,6.21
2010-01-25,3.7,3.71,3.76,3.67,220979,115082892.0,2.4,-1.07,-0.04,2.39
2010-01-26,3.71,3.6,3.75,3.56,331534,169925261.0,5.12,-2.96,-0.11,3.59
2010-01-27,3.6,3.7,3.75,3.56,475936,245239502.0,5.28,2.78,0.1,5.15
2010-01-28,3.72,3.72,3.77,3.68,654440,341316898.0,2.43,0.54,0.02,7.08
2010-01-29,3.72,3.67,3.74,3.64,515127,267476966.0,2.69,-1.34,-0.05,5.57
2010-02-01,3.67,3.68,3.69,3.61,337322,173507482.0,2.18,0.27,0.01,3.65
2010-02-02,3.67,3.65,3.72,3.64,520054,268790441.0,2.17,-0.82,-0.03,5.62
2010-02-03,3.65,3.63,3.67,3.5,550134,280710274.0,4.66,-0.55,-0.02,5.95
2010-02-04,3.62,3.63,3.74,3.56,748018,384366904.0,4.96,0.0,0.0,8.09
2010-02-05,3.6,3.55,3.6,3.52,392105,197865345.0,2.2,-2.2,-0.08,4.24
2010-02-08,3.56,3.56,3.58,3.54,135849,68624316.0,1.13,0.28,0.01,1.47
2010-02-09,3.55,3.59,3.64,3.53,275778,140165969.0,3.09,0.84,0.03,2.98
2010-02-10,3.62,3.61,3.63,3.57,367841,187497317.0,1.67,0.56,0.02,3.98
2010-02-11,3.61,3.61,3.63,3.6,362837,185312006.0,0.83,0.0,0.0,3.92
2010-02-12,3.61,3.62,3.63,3.59,312118,159233732.0,1.11,0.28,0.01,3.38
2010-02-22,3.61,3.57,3.62,3.56,176868,89825835.0,1.66,-1.38,-0.05,1.91
2010-02-23,3.56,3.54,3.58,3.51,196989,98841676.0,1.96,-0.84,-0.03,2.13
2010-02-24,3.52,3.61,3.61,3.51,223466,113074694.0,2.82,1.98,0.07,2.42
2010-02-25,3.61,3.64,3.68,3.59,460328,236158453.0,2.49,0.83,0.03,4.98
2010-02-26,3.62,3.59,3.63,3.58,221822,112976591.0,1.37,-1.37,-0.05,2.4
2010-03-01,3.59,3.62,3.63,3.58,200223,101993545.0,1.39,0.84,0.03,2.17
2010-03-02,3.62,3.58,3.63,3.56,204118,103641238.0,1.93,-1.1,-0.04,2.21
2010-03-03,3.58,3.63,3.63,3.56,280853,143091241.0,1.96,1.4,0.05,3.04
2010-03-04,3.62,3.53,3.63,3.52,331964,167677285.0,3.03,-2.75,-0.1,3.59
2010-03-05,3.53,3.55,3.56,3.52,162035,81475052.0,1.13,0.57,0.02,1.75
2010-03-08,3.56,3.55,3.56,3.53,134739,67843057.0,0.85,0.0,0.0,1.46
2010-03-09,3.54,3.55,3.57,3.5,174618,87705674.0,1.97,0.0,0.0,1.89
2010-03-10,3.56,3.53,3.56,3.51,144805,72688885.0,1.41,-0.56,-0.02,1.57
2010-03-11,3.52,3.52,3.54,3.5,144623,72421794.0,1.13,-0.28,-0.01,1.56
2010-03-12,3.52,3.46,3.53,3.45,228275,113732963.0,2.27,-1.7,-0.06,2.47
2010-03-15,3.46,3.42,3.48,3.4,174394,85667525.0,2.31,-1.16,-0.04,1.89
2010-03-16,3.41,3.4,3.43,3.36,132573,64727286.0,2.05,-0.58,-0.02,1.43
2010-03-17,3.4,3.46,3.46,3.38,168756,82985282.0,2.35,1.76,0.06,1.82
2010-03-18,3.46,3.42,3.46,3.41,120277,59189525.0,1.45,-1.16,-0.04,1.3
2010-03-19,3.42,3.44,3.46,3.39,131343,64556585.0,2.05,0.58,0.02,1.42
2010-03-22,3.46,3.48,3.5,3.44,166100,82549806.0,1.74,1.16,0.04,1.8
2010-03-23,3.48,3.44,3.48,3.43,107976,53362045.0,1.44,-1.15,-0.04,1.17
2010-03-24,3.44,3.49,3.53,3.44,235200,117435542.0,2.62,1.45,0.05,2.54
2010-03-25,3.48,3.41,3.48,3.4,166219,81641948.0,2.29,-2.29,-0.08,1.8
2010-03-26,3.41,3.45,3.47,3.4,117082,57720242.0,2.05,1.17,0.04,1.27
2010-03-29,3.47,3.61,3.7,3.44,788263,403429678.0,7.54,4.64,0.16,8.52
