日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,3.86,3.86,4.0,3.84,5912,12493181.59,4.18,0.78,0.03,1.22
2010-01-05,3.86,3.9,3.93,3.76,9787,20591862.35,4.4,1.04,0.04,2.02
2010-01-06,3.94,3.9,4.0,3.88,9291,19778582.76,3.08,0.0,0.0,1.91
2010-01-07,4.12,3.9,4.12,3.89,12309,26321257.17,5.9,0.0,0.0,2.53
2010-01-08,3.87,4.0,4.0,3.68,13532,28380061.14,8.21,2.56,0.1,2.79
2010-01-11,4.06,4.61,4.61,4.06,94822,219600968.16,13.75,15.25,0.61,19.53
2010-01-12,4.61,4.55,4.61,4.38,63939,148189867.56,4.99,-1.3,-0.06,13.17
2010-01-13,4.42,4.45,4.52,4.39,27643,63764163.93,2.86,-2.2,-0.1,5.69
2010-01-14,4.52,4.57,4.71,4.49,36142,85151619.72,4.94,2.7,0.12,7.44
2010-01-15,4.58,4.66,4.86,4.57,40701,97872417.31,6.35,1.97,0.09,8.38
2010-01-18,4.75,4.75,4.84,4.69,27466,66269226.67,3.22,1.93,0.09,5.66
2010-01-19,4.72,4.56,4.77,4.5,22446,52884774.69,5.68,-4.0,-0.19,4.62
2010-01-20,4.53,4.22,4.62,4.18,21792,50019090.95,9.65,-7.46,-0.34,4.49
2010-01-21,4.24,4.27,4.32,4.18,9816,21942900.2,3.32,1.18,0.05,2.02
2010-01-22,4.23,4.09,4.23,3.86,12733,27709097.99,8.67,-4.22,-0.18,2.62
2010-01-25,4.03,4.12,4.25,3.9,10113,22003936.02,8.56,0.73,0.03,2.08
2010-01-26,4.13,4.2,4.23,4.01,10962,24049045.57,5.34,1.94,0.08,2.26
2010-01-27,4.23,4.27,4.34,4.16,16505,37055285.26,4.29,1.67,0.07,3.4
2010-01-28,4.27,4.23,4.27,4.1,7639,16893773.42,3.98,-0.94,-0.04,1.57
2010-01-29,4.18,4.06,4.29,4.01,11024,24311069.07,6.62,-4.02,-0.17,2.27
2010-02-01,4.06,4.01,4.2,3.96,14268,31080763.71,5.91,-1.23,-0.05,2.94
2010-02-02,4.02,3.97,4.1,3.96,7838,16900203.38,3.49,-1.0,-0.04,1.61
2010-02-03,3.95,3.89,3.98,3.53,11118,22959432.63,11.34,-2.02,-0.08,2.29
2010-02-04,3.89,4.14,4.15,3.8,12500,27058337.62,9.0,6.43,0.25,2.57
2010-02-05,4.08,4.2,4.24,3.98,16286,36010832.9,6.28,1.45,0.06,3.35
2010-02-08,4.24,4.14,4.43,4.12,19836,44795463.91,7.38,-1.43,-0.06,4.08
2010-02-09,4.09,3.91,4.24,3.84,12333,26434382.78,9.66,-5.56,-0.23,2.54
2010-02-10,3.95,3.98,4.0,3.86,4327,9180061.75,3.58,1.79,0.07,0.89
2010-02-11,3.98,3.92,4.02,3.92,3927,8400132.34,2.51,-1.51,-0.06,0.81
2010-02-12,3.9,3.94,3.94,3.86,5221,11047963.75,2.04,0.51,0.02,1.08
2010-02-22,4.0,3.97,4.0,3.9,4375,9327529.42,2.54,0.76,0.03,0.9
2010-02-23,4.0,3.91,4.0,3.82,4576,9642524.08,4.53,-1.51,-0.06,0.94
2010-02-24,3.91,4.04,4.05,3.84,8704,18623590.86,5.37,3.32,0.13,1.79
2010-02-25,4.08,4.18,4.2,4.08,13651,30061389.58,2.97,3.47,0.14,2.81
2010-02-26,4.18,4.27,4.29,4.09,15589,34606965.29,4.78,2.15,0.09,3.21
2010-03-01,4.3,4.91,4.91,4.25,62495,148254859.02,15.46,14.99,0.64,12.87
2010-03-02,4.84,4.76,4.88,4.66,38011,91904231.38,4.48,-3.05,-0.15,7.83
2010-03-03,4.76,4.77,4.78,4.58,25105,59982385.49,4.2,0.21,0.01,5.17
2010-03-04,4.72,4.76,4.78,4.51,34503,82130865.16,5.66,-0.21,-0.01,7.11
2010-03-05,4.75,4.66,4.8,4.63,38952,93910984.66,3.57,-2.1,-0.1,8.02
2010-03-08,4.66,4.78,4.86,4.52,28333,67802030.31,7.3,2.58,0.12,5.83
2010-03-09,4.82,4.76,4.82,4.62,21510,51517828.89,4.18,-0.42,-0.02,4.43
2010-03-10,4.77,4.77,4.82,4.58,26371,63140069.97,5.04,0.21,0.01,5.43
2010-03-11,4.8,4.68,4.82,4.65,18224,43783541.81,3.56,-1.89,-0.09,3.75
2010-03-12,4.66,4.38,4.66,4.36,23676,54883331.75,6.41,-6.41,-0.3,4.88
2010-03-15,4.29,4.26,4.39,4.23,9386,21145484.4,3.65,-2.74,-0.12,1.93
2010-03-16,4.28,4.33,4.38,4.26,7214,16318184.02,2.82,1.64,0.07,1.49
2010-03-17,4.31,4.42,4.48,4.31,15572,35573402.15,3.93,2.08,0.09,3.21
2010-03-18,4.44,4.51,4.52,4.38,13982,32275026.64,3.17,2.04,0.09,2.88
2010-03-19,4.6,4.69,4.89,4.6,32822,79081991.0,6.43,3.99,0.18,6.76
2010-03-22,4.63,4.65,4.69,4.55,9351,22130832.66,2.99,-0.85,-0.04,1.93
2010-03-23,4.66,4.59,4.7,4.58,7720,18280223.3,2.58,-1.29,-0.06,1.59
2010-03-24,4.61,4.61,4.67,4.58,8624,20379493.64,1.96,0.44,0.02,1.78
2010-03-25,4.6,4.59,4.6,4.43,13443,31274439.84,3.69,-0.43,-0.02,2.77
2010-03-26,4.59,4.68,4.74,4.56,17575,41907939.17,3.92,1.96,0.09,3.62
2010-03-29,4.73,4.72,4.78,4.66,9733,23283595.17,2.56,0.85,0.04,2.0
2010-03-30,4.75,4.77,4.8,4.64,13544,32581221.35,3.39,1.06,0.05,2.79
2010-03-31,4.79,4.68,4.8,4.68,13674,32901767.97,2.52,-1.89,-0.09,2.82
2010-04-01,4.68,4.7,4.75,4.65,11775,28178684.23,2.14,0.43,0.02,2.42
2010-04-02,4.7,4.7,4.77,4.67,9109,21844230.23,2.13,0.0,0.0,1.88
2010-04-06,4.72,4.63,4.76,4.59,11345,26971751.04,3.62,-1.49,-0.07,2.34
2010-04-07,4.43,4.76,4.76,4.43,24700,58983073.52,7.13,2.81,0.13,5.09
2010-04-08,4.77,5.06,5.43,4.76,51093,129414576.12,14.08,6.3,0.3,10.52
2010-04-09,4.97,5.09,5.14,4.94,24105,60861639.99,3.95,0.59,0.03,4.96
2010-04-12,5.1,4.97,5.29,4.97,23194,58578314.52,6.29,-2.36,-0.12,4.78
2010-04-13,4.97,4.95,5.08,4.66,22092,54307901.36,8.45,-0.4,-0.02,4.55
2010-04-14,4.95,4.98,5.0,4.86,12131,30105314.61,2.83,0.61,0.03,2.5
2010-04-15,5.08,4.97,5.11,4.89,18113,45316162.66,4.42,-0.2,-0.01,3.73
2010-04-16,4.94,4.82,4.94,4.74,11894,29031480.92,4.02,-3.02,-0.15,2.45
2010-04-19,4.82,4.5,4.82,4.49,11677,27835009.85,6.85,-6.64,-0.32,2.4
2010-04-20,4.56,4.56,4.64,4.47,8532,19948905.7,3.78,1.33,0.06,1.76
2010-04-21,4.55,4.77,4.77,4.55,11758,27953107.05,4.82,4.61,0.21,2.42
2010-04-22,4.77,4.8,4.83,4.65,14424,34765491.84,3.77,0.63,0.03,2.97
2010-04-23,4.83,4.84,4.95,4.8,18381,45168131.72,3.13,0.83,0.04,3.79
2010-04-26,4.73,4.77,4.94,4.73,7347,17887489.72,4.34,-1.45,-0.07,1.51
2010-04-27,4.77,4.6,4.86,4.53,11457,27164386.16,6.92,-3.56,-0.17,2.36
2010-04-29,4.44,4.06,4.6,4.06,15631,35458457.64,11.74,-11.74,-0.54,3.22
2010-04-30,4.05,3.69,4.14,3.58,12581,25869582.9,13.79,-9.11,-0.37,2.59
2010-05-04,3.64,3.49,3.64,3.49,8111,16182722.79,4.07,-5.42,-0.2,1.67
2010-05-05,3.51,3.72,3.72,3.49,8578,17248713.42,6.59,6.59,0.23,1.77
2010-05-06,3.82,3.83,4.17,3.76,18432,39393863.73,11.02,2.96,0.11,3.8
2010-05-07,3.72,3.8,3.96,3.72,8987,18854904.42,6.27,-0.78,-0.03,1.85
2010-05-10,3.86,3.63,3.92,3.52,6305,12889680.63,10.53,-4.47,-0.17,1.3
2010-05-11,3.72,3.51,3.83,3.5,6249,12648145.63,9.09,-3.31,-0.12,1.29
2010-05-12,3.46,3.36,3.57,3.3,4715,9148849.95,7.69,-4.27,-0.15,0.97
2010-05-13,3.41,3.52,3.52,3.15,9058,17352357.03,11.01,4.76,0.16,1.87
2010-05-14,3.49,3.41,3.49,3.37,5817,11312829.33,3.41,-3.13,-0.11,1.2
2010-05-17,3.29,2.87,3.37,2.87,6585,12125107.12,14.66,-15.84,-0.54,1.36
2010-05-18,2.86,2.88,2.94,2.55,8452,14524515.72,13.59,0.35,0.01,1.74
2010-05-19,2.83,2.72,2.88,2.63,5831,10010775.83,8.68,-5.56,-0.16,1.2
2010-05-20,2.71,2.62,2.81,2.61,5404,9181023.06,7.35,-3.68,-0.1,1.11
2010-05-21,2.49,2.67,2.68,2.44,6869,11291616.07,9.16,1.91,0.05,1.41
2010-05-24,2.73,2.93,2.97,2.73,9193,16133264.1,8.99,9.74,0.26,1.89
2010-05-25,2.89,2.9,3.02,2.83,7075,12549434.58,6.48,-1.02,-0.03,1.46
2010-05-26,2.87,2.9,2.95,2.83,4139,7289814.08,4.14,0.0,0.0,0.85
2010-05-27,2.94,3.01,3.02,2.86,6250,11154745.19,5.52,3.79,0.11,1.29
2010-05-28,3.08,2.97,3.13,2.92,6238,11220898.4,6.98,-1.33,-0.04,1.28
2010-05-31,2.94,3.15,3.15,2.89,11859,21395902.2,8.75,6.06,0.18,2.44
2010-06-01,3.13,3.43,3.64,3.01,36763,70349436.65,20.0,8.89,0.28,7.57
2010-06-02,3.32,3.29,3.35,3.16,16195,30545267.34,5.54,-4.08,-0.14,3.34
2010-06-03,3.32,3.45,3.46,3.18,20932,40234075.82,8.51,4.86,0.16,4.31
2010-06-04,3.47,3.37,3.52,3.33,13113,25446769.71,5.51,-2.32,-0.08,2.7
2010-06-07,3.27,3.17,3.27,3.11,8718,16228989.82,4.75,-5.93,-0.2,1.8
2010-06-08,3.17,3.14,3.21,3.08,10483,19278405.75,4.1,-0.95,-0.03,2.16
2010-06-09,3.18,3.22,3.25,3.12,7758,14444697.16,4.14,2.55,0.08,1.6
2010-06-10,3.18,3.12,3.19,3.11,9442,17493192.95,2.48,-3.11,-0.1,1.94
2010-06-11,3.14,3.2,3.23,3.13,8417,15716292.49,3.21,2.56,0.08,1.73
2010-06-17,3.26,3.07,3.29,3.07,6786,12595019.47,6.88,-4.06,-0.13,1.4
2010-06-18,3.06,2.73,3.06,2.61,9078,15922135.75,14.66,-11.07,-0.34,1.87
2010-06-21,2.76,2.86,2.88,2.67,4395,7608605.42,7.69,4.76,0.13,0.91
2010-06-22,2.85,2.91,2.97,2.85,4523,8033590.2,4.2,1.75,0.05,0.93
2010-06-23,2.91,2.94,3.02,2.85,4187,7431760.39,5.84,1.03,0.03,0.86
2010-06-24,2.97,2.95,2.97,2.9,2432,4318434.09,2.38,0.34,0.01,0.5
2010-06-25,2.95,3.11,3.12,2.95,11406,20707252.96,5.76,5.42,0.16,2.35
2010-06-28,3.16,2.89,3.16,2.86,6465,11388528.26,9.65,-7.07,-0.22,1.33
2010-06-29,2.89,2.57,2.89,2.54,5987,9935243.57,12.11,-11.07,-0.32,1.23
2010-06-30,2.49,2.42,2.57,2.41,4342,6855689.76,6.23,-5.84,-0.15,0.9
2010-07-01,2.51,2.47,2.63,2.47,4268,6851362.11,6.61,2.07,0.05,0.88
2010-07-02,2.41,2.35,2.49,2.18,5235,8030719.0,12.55,-4.86,-0.12,1.08
2010-07-05,2.34,2.3,2.37,2.23,2226,3380441.94,5.96,-2.13,-0.05,0.46
2010-07-06,2.3,2.41,2.41,2.3,3392,5261660.0,4.78,4.78,0.11,0.7
2010-07-07,2.41,2.45,2.51,2.39,3067,4835970.07,4.98,1.66,0.04,0.63
2010-07-08,2.46,2.41,2.49,2.41,2974,4677705.31,3.27,-1.63,-0.04,0.61
2010-07-09,2.47,2.85,2.85,2.41,14183,23350249.5,18.26,18.26,0.44,2.92
2010-07-12,2.83,2.99,3.12,2.75,22607,39636148.94,12.98,4.91,0.14,4.66
2010-07-13,2.91,2.95,3.05,2.78,11657,20271402.91,9.03,-1.34,-0.04,2.4
2010-07-14,2.94,2.89,3.06,2.87,10250,17865317.54,6.44,-2.03,-0.06,2.11
2010-07-15,2.89,2.72,2.91,2.72,7891,13473707.51,6.57,-5.88,-0.17,1.63
2010-07-19,2.67,2.82,2.89,2.62,6636,11275605.32,9.93,3.68,0.1,1.37
2010-07-20,2.87,2.96,2.97,2.82,8680,15068957.26,5.32,4.96,0.14,1.79
2010-07-21,2.96,3.02,3.08,2.9,14277,25315625.88,6.08,2.03,0.06,2.94
2010-07-22,3.02,3.02,3.03,2.94,11973,21141835.71,2.98,0.0,0.0,2.47
2010-07-23,3.02,2.99,3.06,2.94,7512,13219141.96,3.97,-0.99,-0.03,1.55
2010-07-26,2.98,3.04,3.09,2.98,9376,16706057.0,3.68,1.67,0.05,1.93
2010-07-27,3.04,2.97,3.05,2.97,7391,13041415.53,2.63,-2.3,-0.07,1.52
2010-07-28,2.97,3.28,3.28,2.93,18702,33819684.08,11.78,10.44,0.31,3.86
2010-07-29,3.27,3.39,3.53,3.21,39183,75005783.25,9.76,3.35,0.11,8.08
2010-07-30,3.34,3.25,3.34,3.21,13668,25363216.57,3.83,-4.13,-0.14,2.82
2010-08-02,3.22,3.28,3.32,3.22,8893,16570660.04,3.08,0.92,0.03,1.83
2010-08-03,3.28,3.23,3.33,3.23,10140,18953888.35,3.05,-1.52,-0.05,2.09
2010-08-04,3.21,3.22,3.23,3.08,10296,18788798.19,4.64,-0.31,-0.01,2.12
2010-08-05,3.23,3.23,3.34,3.19,10828,20206985.16,4.66,0.31,0.01,2.23
2010-08-06,3.23,3.37,3.37,3.2,11499,21522853.27,5.26,4.33,0.14,2.37
2010-08-09,3.35,3.51,3.51,3.35,17001,32648611.85,4.75,4.15,0.14,3.5
2010-08-10,3.52,3.34,3.61,3.34,22274,42980766.57,7.69,-4.84,-0.17,4.59
2010-08-11,3.33,3.44,3.51,3.31,11249,21568998.87,5.99,2.99,0.1,2.32
2010-08-12,3.4,3.44,3.55,3.23,16396,31727013.48,9.3,0.0,0.0,3.38
2010-08-13,3.39,3.64,3.7,3.38,32659,64563402.13,9.3,5.81,0.2,6.73
2010-08-16,3.64,3.78,3.82,3.55,30642,61933533.45,7.42,3.85,0.14,6.32
2010-08-17,3.76,3.79,3.95,3.72,18687,38192338.99,6.08,0.26,0.01,3.85
2010-08-18,3.85,3.84,3.92,3.76,19861,41025288.22,4.22,1.32,0.05,4.09
2010-08-19,3.84,3.85,3.91,3.78,16850,34692608.0,3.39,0.26,0.01,3.47
2010-08-20,3.88,3.79,3.94,3.75,35035,72686431.61,4.94,-1.56,-0.06,7.22
2010-08-23,3.79,3.57,3.79,3.55,16300,32328568.24,6.33,-5.8,-0.22,3.36
2010-08-24,3.57,3.68,3.72,3.53,12846,25698940.06,5.32,3.08,0.11,2.65
2010-08-25,3.72,3.69,3.82,3.62,14632,29553296.68,5.43,0.27,0.01,3.02
2010-08-26,3.72,3.92,3.93,3.64,27845,57237035.55,7.86,6.23,0.23,5.74
2010-08-27,3.88,3.95,3.99,3.8,23038,48120866.2,4.85,0.77,0.03,4.75
2010-08-30,4.0,3.99,4.06,3.92,23796,50334453.41,3.54,1.01,0.04,4.91
2010-08-31,3.96,4.14,4.17,3.95,21179,45247154.78,5.51,3.76,0.15,4.37
2010-09-01,4.17,4.19,4.31,4.12,33437,73058638.02,4.59,1.21,0.05,6.89
2010-09-02,4.25,4.2,4.3,4.12,23898,52303343.97,4.3,0.24,0.01,4.93
2010-09-03,4.2,4.08,4.22,3.95,22676,48397626.26,6.43,-2.86,-0.12,4.67
2010-09-06,4.06,4.08,4.22,4.02,9967,21418447.08,4.9,0.0,0.0,2.05
2010-09-07,4.08,4.04,4.14,3.95,9322,19785671.24,4.66,-0.98,-0.04,1.92
2010-09-08,3.98,4.03,4.07,3.98,9357,19885190.46,2.23,-0.25,-0.01,1.93
2010-09-10,3.93,3.84,3.96,3.73,12383,25592468.9,5.71,-4.71,-0.19,2.55
2010-09-13,3.8,3.92,3.97,3.8,7420,15466994.31,4.43,2.08,0.08,1.53
2010-09-14,3.89,3.96,4.01,3.88,8392,17650775.96,3.32,1.02,0.04,1.73
2010-09-15,3.98,3.8,4.01,3.8,7343,15363069.44,5.3,-4.04,-0.16,1.51
2010-09-16,3.77,3.6,3.84,3.55,8874,17645639.18,7.63,-5.26,-0.2,1.83
2010-09-17,3.62,3.47,3.66,3.43,6211,12127813.25,6.39,-3.61,-0.13,1.28
2010-09-20,3.47,3.46,3.54,3.37,4346,8409280.1,4.9,-0.29,-0.01,0.9
2010-09-21,3.51,3.4,3.51,3.39,3131,6006205.27,3.47,-1.73,-0.06,0.65
2010-09-27,3.45,3.57,3.58,3.43,4278,8339163.97,4.41,5.0,0.17,0.88
2010-09-28,3.57,3.43,3.57,3.42,5193,10078883.34,4.2,-3.92,-0.14,1.07
2010-09-29,3.44,3.47,3.49,3.4,3584,6893760.12,2.62,1.17,0.04,0.74
2010-09-30,3.51,3.63,3.65,3.43,6916,13538905.16,6.34,4.61,0.16,1.43
2010-10-08,3.71,3.74,3.82,3.63,12813,25941095.56,5.23,3.03,0.11,2.64
2010-10-11,3.67,3.74,3.8,3.67,10050,20333036.76,3.48,0.0,0.0,2.07
2010-10-12,3.8,3.8,3.88,3.72,12074,24872427.91,4.28,1.6,0.06,2.49
2010-10-13,3.86,3.94,3.95,3.76,17830,36858915.71,5.0,3.68,0.14,3.68
2010-10-14,4.12,4.11,4.2,3.95,35799,76523556.43,6.35,4.31,0.17,7.38
2010-10-15,4.09,4.32,4.39,3.97,40622,89423917.63,10.22,5.11,0.21,8.37
2010-10-18,4.26,3.9,4.28,3.86,24255,51284304.02,9.72,-9.72,-0.42,5.0
2010-10-19,3.85,4.17,4.18,3.83,17806,38170941.83,8.97,6.92,0.27,3.67
2010-10-20,3.97,4.15,4.22,3.97,19740,42517320.89,6.0,-0.48,-0.02,4.07
2010-10-21,4.24,4.72,4.77,4.24,75509,179177888.72,12.77,13.73,0.57,15.57
2010-10-22,4.51,4.58,4.6,4.43,39715,90932220.54,3.6,-2.97,-0.14,8.19
2010-10-25,4.49,4.6,4.63,4.49,23432,54200975.15,3.06,0.44,0.02,4.83
2010-10-26,4.67,4.58,4.68,4.52,16969,39222282.03,3.48,-0.43,-0.02,3.5
2010-10-27,4.55,4.37,4.57,4.35,17343,39392727.04,4.8,-4.59,-0.21,3.58
2010-10-28,4.33,4.52,4.52,4.12,26880,59953447.58,9.15,3.43,0.15,5.54
2010-10-29,4.61,4.72,4.78,4.61,45344,107414014.95,3.76,4.42,0.2,9.35
2010-11-01,4.83,4.74,4.88,4.66,24966,59402409.59,4.66,0.42,0.02,5.15
2010-11-02,4.68,4.59,4.88,4.59,20713,49022383.28,6.12,-3.16,-0.15,4.27
2010-11-03,4.59,5.04,5.26,4.44,55086,135977289.82,17.86,9.8,0.45,11.36
2010-11-04,5.14,5.09,5.2,5.0,48807,122038840.56,3.97,0.99,0.05,10.06
2010-11-05,5.03,5.1,5.2,5.03,24904,62301714.92,3.34,0.2,0.01,5.13
2010-11-08,5.16,5.15,5.16,5.05,20523,51327984.82,2.16,0.98,0.05,4.23
2010-11-09,5.15,5.15,5.32,5.1,19983,50709358.73,4.27,0.0,0.0,4.12
2010-11-10,5.12,5.37,5.37,4.95,35459,89748707.89,8.16,4.27,0.22,7.31
2010-11-11,5.31,5.22,5.43,5.22,39432,102242466.35,3.91,-2.79,-0.15,8.13
2010-11-12,5.18,4.67,5.26,4.58,22380,54755295.14,13.03,-10.54,-0.55,4.61
2010-11-15,4.65,4.75,4.78,4.52,11041,25991853.35,5.57,1.71,0.08,2.28
2010-11-16,4.78,4.83,5.09,4.7,20005,48659836.77,8.21,1.68,0.08,4.12
2010-11-17,4.8,4.72,5.0,4.52,14474,34664886.26,9.94,-2.28,-0.11,2.98
2010-11-18,4.72,5.04,5.09,4.72,28705,70439509.56,7.84,6.78,0.32,5.92
2010-11-19,5.14,5.22,5.24,5.01,42516,107031131.6,4.56,3.57,0.18,8.76
2010-11-23,5.22,5.07,5.25,4.95,16742,41868977.61,5.75,-2.87,-0.15,3.45
2010-11-24,4.95,5.1,5.14,4.9,15551,38673468.84,4.73,0.59,0.03,3.21
2010-11-25,5.12,5.1,5.14,4.96,14477,36031847.09,3.53,0.0,0.0,2.98
2010-11-26,5.06,5.23,5.27,5.0,27057,68638046.91,5.29,2.55,0.13,5.58
2010-11-29,5.24,5.13,5.33,5.09,16083,40637101.34,4.59,-1.91,-0.1,3.32
2010-11-30,5.09,4.75,5.22,4.57,15157,36605178.63,12.67,-7.41,-0.38,3.12
2010-12-01,4.85,4.78,4.85,4.66,7982,18975631.96,4.0,0.63,0.03,1.65
2010-12-02,4.81,4.86,4.93,4.76,10011,24161001.09,3.56,1.67,0.08,2.06
2010-12-03,4.88,4.86,5.0,4.78,10016,24428920.67,4.53,0.0,0.0,2.06
2010-12-06,4.89,4.64,4.94,4.63,6357,15072023.58,6.38,-4.53,-0.22,1.31
2010-12-07,4.59,4.69,4.72,4.54,4350,10219354.81,3.88,1.08,0.05,0.9
2010-12-08,4.69,4.59,4.74,4.58,7264,16991719.39,3.41,-2.13,-0.1,1.5
2010-12-09,4.55,4.23,4.55,4.2,16947,37851525.86,7.63,-7.84,-0.36,3.49
2010-12-10,4.2,4.29,4.3,4.14,6214,13627452.58,3.78,1.42,0.06,1.28
2010-12-13,4.29,4.46,4.48,4.29,8277,18717056.4,4.43,3.96,0.17,1.71
2010-12-14,4.51,4.52,4.56,4.43,7330,16824729.05,2.91,1.35,0.06,1.51
2010-12-15,4.52,4.47,4.55,4.46,6703,15388152.55,1.99,-1.11,-0.05,1.38
2010-12-16,4.44,4.53,4.6,4.43,7407,17046062.17,3.8,1.34,0.06,1.53
2010-12-17,4.54,4.55,4.59,4.51,4000,9222309.72,1.77,0.44,0.02,0.82
2010-12-20,4.55,4.43,4.59,4.31,7336,16778755.57,6.15,-2.64,-0.12,1.51
2010-12-21,4.46,4.5,4.51,4.38,4737,10817341.52,2.93,1.58,0.07,0.98
2010-12-22,4.48,4.44,4.55,4.44,3847,8800440.46,2.44,-1.33,-0.06,0.79
2010-12-23,4.47,4.17,4.48,4.16,9348,20701986.1,7.21,-6.08,-0.27,1.93
2010-12-24,4.15,3.92,4.15,3.85,6623,13992539.66,7.19,-6.0,-0.25,1.37
2010-12-27,4.0,3.82,4.05,3.82,5207,10938333.95,5.87,-2.55,-0.1,1.07
2010-12-28,3.84,3.66,3.92,3.65,5496,11060685.23,7.07,-4.19,-0.16,1.13
2010-12-29,3.67,3.77,3.78,3.67,3863,7812958.69,3.01,3.01,0.11,0.8
2010-12-30,3.77,4.35,4.35,3.7,23334,50908885.17,17.24,15.38,0.58,4.81
2010-12-31,4.52,4.57,4.74,4.37,31530,72781842.39,8.51,5.06,0.22,6.47
2011-01-04,4.5,4.63,4.66,4.4,16166,37267886.04,5.69,1.31,0.06,3.32
2011-01-05,4.52,4.56,4.73,4.52,12201,28505650.12,4.54,-1.51,-0.07,2.5
2011-01-06,4.52,4.5,4.66,4.49,7092,16337742.69,3.73,-1.32,-0.06,1.46
2011-01-07,4.51,4.5,4.6,4.46,7213,16642393.13,3.11,0.0,0.0,1.48
2011-01-10,4.47,4.36,4.54,4.36,4280,9746014.3,4.0,-3.11,-0.14,0.88
2011-01-11,4.23,4.06,4.33,3.97,7599,16340391.84,8.26,-6.88,-0.3,1.56
2011-01-12,4.07,4.16,4.2,4.05,4380,9469131.51,3.69,2.46,0.1,0.9
2011-01-13,4.16,4.15,4.25,4.15,3264,7131330.51,2.4,-0.24,-0.01,0.67
2011-01-14,4.14,3.98,4.14,3.97,4077,8650436.67,4.1,-4.1,-0.17,0.84
2011-01-17,3.98,3.78,3.98,3.71,4193,8619338.66,6.78,-5.03,-0.2,0.86
2011-01-18,3.8,3.89,3.9,3.8,3153,6517904.95,2.65,2.91,0.11,0.65
2011-01-19,3.94,4.26,4.32,3.92,8428,18275303.35,10.28,9.51,0.37,1.73
2011-01-20,4.26,4.02,4.28,4.02,9482,20560372.49,6.1,-5.63,-0.24,1.95
2011-01-21,4.03,4.1,4.16,3.98,3865,8343487.49,4.48,1.99,0.08,0.79
2011-01-24,4.12,4.2,4.29,4.09,7281,15912300.93,4.88,2.44,0.1,1.49
2011-01-25,4.24,4.06,4.24,3.9,4428,9343315.07,8.1,-3.33,-0.14,0.91
2011-01-26,4.05,4.15,4.2,4.05,4667,10122124.02,3.69,2.22,0.09,0.96
