日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,2.59,2.49,2.59,2.49,5419,12538231.0,3.86,-3.86,-0.1,0.45
2010-01-05,2.49,2.41,2.53,2.38,18951,43060548.0,6.02,-3.21,-0.08,1.57
2010-01-06,2.43,2.39,2.46,2.38,17196,38210488.0,3.32,-0.83,-0.02,1.43
2010-01-07,2.4,2.32,2.42,2.28,28171,61514736.0,5.86,-2.93,-0.07,2.34
2010-01-08,2.32,2.38,2.41,2.29,18909,41533845.0,5.17,2.59,0.06,1.57
2010-01-11,2.39,2.33,2.42,2.31,17212,37329709.0,4.62,-2.1,-0.05,1.43
2010-01-12,2.33,2.36,2.37,2.26,7148,15360162.0,4.72,1.29,0.03,0.59
2010-01-13,2.33,2.36,2.43,2.29,13749,30327732.0,5.93,0.0,0.0,1.14
2010-01-14,2.37,2.56,2.6,2.34,21217,48613339.0,11.02,8.47,0.2,1.76
2010-01-15,2.51,2.63,2.67,2.51,18855,45180104.0,6.25,2.73,0.07,1.57
2010-01-18,2.64,2.72,2.76,2.55,17593,43142152.0,7.98,3.42,0.09,1.46
2010-01-19,2.72,2.88,2.89,2.58,24848,63462641.0,11.4,5.88,0.16,2.06
2010-01-20,2.88,2.88,2.93,2.79,25624,66126345.0,4.86,0.0,0.0,2.13
2010-01-21,2.88,2.76,2.9,2.68,20863,52276935.0,7.64,-4.17,-0.12,1.73
2010-01-22,2.69,2.78,2.82,2.64,11759,29271305.0,6.52,0.72,0.02,0.98
2010-01-25,2.72,2.76,2.79,2.66,1851,4614587.0,4.68,-0.72,-0.02,0.15
2010-01-26,2.67,2.66,2.78,2.59,4890,11791712.0,6.88,-3.62,-0.1,0.41
2010-01-27,2.61,2.66,2.72,2.6,4812,11630728.0,4.51,0.0,0.0,0.4
2010-01-28,2.51,2.76,2.77,2.51,2875,7045156.0,9.77,3.76,0.1,0.24
2010-01-29,2.73,2.7,2.84,2.7,3983,10017307.0,5.07,-2.17,-0.06,0.33
2010-02-01,2.67,2.61,2.79,2.57,2719,6473727.0,8.15,-3.33,-0.09,0.23
2010-02-02,2.59,2.61,2.66,2.59,2625,6258018.0,2.68,0.0,0.0,0.22
2010-02-03,2.61,2.57,2.65,2.45,4217,9748637.0,7.66,-1.53,-0.04,0.35
2010-02-04,2.51,2.56,2.61,2.51,3530,8310159.0,3.89,-0.39,-0.01,0.29
2010-02-05,2.54,2.47,2.54,2.46,3962,9089695.0,3.13,-3.52,-0.09,0.33
2010-02-08,2.44,2.45,2.5,2.42,1866,4193321.0,3.24,-0.81,-0.02,0.16
2010-02-09,2.39,2.43,2.45,2.39,1330,2980668.0,2.45,-0.82,-0.02,0.11
2010-02-10,2.48,2.59,2.61,2.44,7410,16998479.0,7.0,6.58,0.16,0.62
2010-02-11,2.57,2.53,2.61,2.52,2010,4714143.0,3.47,-2.32,-0.06,0.17
2010-02-12,2.54,2.56,2.59,2.53,987,2306381.0,2.37,1.19,0.03,0.08
2010-02-22,2.58,2.55,2.58,2.52,1506,3518337.0,2.34,-0.39,-0.01,0.13
2010-02-23,2.53,2.56,2.56,2.48,3222,7442913.0,3.14,0.39,0.01,0.27
2010-02-24,2.56,2.72,2.72,2.52,7669,18461972.0,7.81,6.25,0.16,0.64
2010-02-25,2.72,2.76,2.76,2.69,4592,11423917.0,2.57,1.47,0.04,0.38
2010-02-26,2.73,2.78,2.83,2.73,9006,22760303.0,3.62,0.72,0.02,0.75
2010-03-01,2.78,2.91,2.92,2.75,7113,18432730.0,6.12,4.68,0.13,0.59
2010-03-02,2.89,2.85,2.9,2.82,3097,8014180.0,2.75,-2.06,-0.06,0.26
2010-03-03,2.85,2.82,2.86,2.81,4520,11561580.0,1.75,-1.05,-0.03,0.38
2010-03-04,2.83,2.75,2.83,2.74,6731,16853713.0,3.19,-2.48,-0.07,0.56
2010-03-05,2.74,2.81,2.81,2.73,4475,11229665.0,2.91,2.18,0.06,0.37
2010-03-08,2.79,2.84,2.87,2.79,5065,13008093.0,2.85,1.07,0.03,0.42
2010-03-09,2.83,2.83,2.86,2.76,3220,8134640.0,3.52,-0.35,-0.01,0.27
2010-03-10,2.83,2.8,2.84,2.69,3253,8145947.0,5.3,-1.06,-0.03,0.27
2010-03-11,2.69,2.8,2.81,2.69,4472,11152916.0,4.29,0.0,0.0,0.37
2010-03-12,2.8,2.68,3.11,2.66,9645,24873625.0,16.07,-4.29,-0.12,0.8
2010-03-15,2.62,2.51,2.66,2.46,9185,21362239.0,7.46,-6.34,-0.17,0.76
2010-03-16,2.48,2.53,2.54,2.48,6149,14140253.0,2.39,0.8,0.02,0.51
2010-03-17,2.53,2.62,2.63,2.51,4933,11658775.0,4.74,3.56,0.09,0.41
2010-03-18,2.58,2.59,2.63,2.53,2445,5752190.0,3.82,-1.15,-0.03,0.2
2010-03-19,2.63,2.58,2.63,2.52,3427,7972228.0,4.25,-0.39,-0.01,0.28
2010-03-22,2.57,2.54,2.57,2.52,4906,11382069.0,1.94,-1.55,-0.04,0.41
2010-03-23,2.53,2.53,2.56,2.52,3451,8023407.0,1.57,-0.39,-0.01,0.29
