日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-02-16,2.08,2.31,2.31,2.08,290,634190.0,15.75,58.22,0.85,0.16
2015-02-17,2.59,2.59,2.59,2.59,46,110814.0,0.0,12.12,0.28,0.03
2015-02-25,2.9,2.9,2.9,2.9,51,135150.0,0.0,11.97,0.31,0.03
2015-02-26,3.24,3.24,3.24,3.24,66,192390.0,0.0,11.72,0.34,0.04
2015-02-27,3.62,3.62,3.62,3.62,166,532362.0,0.0,11.73,0.38,0.09
2015-03-02,4.03,4.03,4.03,4.03,331,1167768.0,0.0,11.33,0.41,0.18
2015-03-03,4.48,4.48,4.48,4.48,852,3306922.0,0.0,11.17,0.45,0.47
2015-03-04,4.97,4.97,4.97,4.97,1300,5549700.0,0.0,10.94,0.49,0.72
2015-03-05,5.52,5.52,5.52,5.52,807,3789672.0,0.0,11.07,0.55,0.45
2015-03-06,6.12,6.12,6.12,6.12,2530,13068843.0,0.0,10.87,0.6,1.41
2015-03-09,6.78,6.78,6.78,6.46,115580,653437280.0,5.23,10.78,0.66,64.21
2015-03-10,6.93,6.23,6.93,6.12,86223,465066448.0,11.95,-8.11,-0.55,47.9
2015-03-11,6.04,6.12,6.33,5.92,54655,281094368.0,6.58,-1.77,-0.11,30.36
2015-03-12,6.06,5.75,6.11,5.51,52727,258232552.0,9.8,-6.05,-0.37,29.29
2015-03-13,5.74,5.93,5.99,5.74,28406,141284801.0,4.35,3.13,0.18,15.78
2015-03-16,6.02,6.09,6.24,5.98,42550,218919735.0,4.38,2.7,0.16,23.64
2015-03-17,6.04,6.09,6.17,5.99,32635,167456255.0,2.96,0.0,0.0,18.13
2015-03-18,6.1,6.2,6.37,6.04,41358,216851870.0,5.42,1.81,0.11,22.98
2015-03-19,6.15,6.52,6.52,6.1,39623,210270348.0,6.77,5.16,0.32,22.01
2015-03-20,6.48,6.41,6.55,6.32,30855,166602625.0,3.53,-1.69,-0.11,17.14
2015-03-23,6.46,6.49,6.51,6.33,30495,164308071.0,2.81,1.25,0.08,16.94
2015-03-24,6.54,7.04,7.18,6.43,45785,262125154.0,11.56,8.47,0.55,25.44
2015-03-25,6.92,7.08,7.21,6.85,33065,192983419.0,5.11,0.57,0.04,18.37
2015-03-26,6.93,6.54,6.93,6.48,33081,186037757.0,6.36,-7.63,-0.54,18.38
2015-03-27,6.51,6.57,6.67,6.51,14333,79144327.0,2.45,0.46,0.03,7.96
2015-03-30,6.55,6.37,6.72,6.29,22170,120705828.0,6.54,-3.04,-0.2,12.32
2015-03-31,6.37,6.39,6.46,6.33,14656,79031565.0,2.04,0.31,0.02,8.14
2015-04-01,6.41,6.65,6.67,6.39,17240,94818571.0,4.38,4.07,0.26,9.58
2015-04-02,6.65,6.85,6.94,6.55,22641,128666189.0,5.86,3.01,0.2,12.58
2015-04-03,6.68,6.95,7.04,6.64,28695,164258222.0,5.84,1.46,0.1,15.94
2015-04-07,6.98,7.39,7.43,6.9,30103,181625108.0,7.63,6.33,0.44,16.72
2015-06-15,8.17,8.17,8.17,8.17,116,782304.0,0.0,10.55,0.78,0.06
2015-06-16,9.03,9.03,9.03,9.03,421,3122978.0,0.0,10.53,0.86,0.23
2015-06-17,9.98,9.98,9.98,9.98,1416,11554560.0,0.0,10.52,0.95,0.79
2015-06-18,10.64,10.94,11.02,10.41,28685,254490510.0,6.11,9.62,0.96,15.94
2015-06-19,10.29,9.8,10.77,9.8,36152,296919184.0,8.87,-10.42,-1.14,20.08
2015-06-23,9.43,10.41,10.67,9.29,30313,245433808.0,14.08,6.22,0.61,16.84
2015-06-24,10.58,10.65,10.92,10.29,23144,198850006.0,6.05,2.31,0.24,12.86
2015-06-25,10.72,9.93,11.45,9.65,24616,215998532.0,16.9,-6.76,-0.72,13.68
2015-06-26,9.4,8.89,9.65,8.89,22417,169115287.0,7.65,-10.47,-1.04,12.45
2015-06-29,8.97,7.96,9.14,7.96,22563,153513963.0,13.27,-10.46,-0.93,12.53
