日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,8.59,8.83,8.96,8.43,93036,99936480.0,6.2,3.27,0.28,5.22
2010-01-05,8.87,8.97,9.04,8.61,94309,102386824.0,4.87,1.59,0.14,5.29
2010-01-06,8.85,8.57,9.02,8.57,85521,92540696.0,5.02,-4.46,-0.4,4.8
2010-01-07,8.59,8.16,8.68,8.09,84341,87373184.0,6.88,-4.78,-0.41,4.73
2010-01-08,8.14,8.34,8.37,8.02,41642,42669732.0,4.29,2.21,0.18,2.34
2010-01-11,8.28,8.26,8.42,8.14,50553,51888724.0,3.36,-0.96,-0.08,2.84
2010-01-12,8.26,8.35,8.35,8.03,64925,66463680.0,3.87,1.09,0.09,3.64
2010-01-13,8.13,8.3,8.57,8.12,72013,74778792.0,5.39,-0.6,-0.05,4.04
2010-01-14,8.3,8.57,8.58,8.25,74262,77763968.0,3.98,3.25,0.27,4.17
2010-01-15,8.57,8.59,8.85,8.52,66531,71111456.0,3.85,0.23,0.02,3.73
2010-01-18,8.61,8.83,8.93,8.52,86488,93090960.0,4.77,2.79,0.24,4.85
2010-01-19,8.86,9.01,9.07,8.67,105014,114977656.0,4.53,2.04,0.18,5.89
2010-01-20,8.97,8.3,8.97,8.25,111497,118908360.0,7.99,-7.88,-0.71,6.26
2010-01-21,8.31,8.16,8.45,8.07,63753,65577344.0,4.58,-1.69,-0.14,3.58
2010-01-22,8.03,7.77,8.14,7.59,63771,63149344.0,6.74,-4.78,-0.39,3.58
2010-01-25,7.77,7.5,7.95,7.48,43840,42633512.0,6.05,-3.47,-0.27,2.46
2010-01-26,7.53,7.37,7.71,7.3,39754,37842224.0,5.47,-1.73,-0.13,2.23
2010-01-27,7.33,7.52,7.79,7.33,47393,45620588.0,6.24,2.04,0.15,2.66
2010-01-28,7.66,8.21,8.33,7.62,124216,125939888.0,9.44,9.18,0.69,6.97
2010-01-29,8.0,8.59,8.63,8.0,134454,140413744.0,7.67,4.63,0.38,7.54
2010-02-01,9.65,9.15,9.65,8.97,344457,391308992.0,7.92,6.52,0.56,19.33
2010-02-02,9.39,10.27,10.27,9.39,433765,525888640.0,9.62,12.24,1.12,24.34
2010-02-05,10.77,10.86,11.5,10.28,534567,701712704.0,11.88,5.74,0.59,29.99
2010-02-08,11.48,10.72,11.66,10.55,287901,374749664.0,10.22,-1.29,-0.14,16.15
2010-02-09,10.49,11.11,11.61,10.38,269932,349533632.0,11.47,3.64,0.39,15.14
2010-02-10,10.97,10.95,11.11,10.72,139816,180588992.0,3.51,-1.44,-0.16,7.84
2010-02-11,10.87,10.52,11.33,10.27,145288,186088224.0,9.68,-3.93,-0.43,8.15
2010-02-12,10.6,10.54,10.82,10.43,87277,110178376.0,3.71,0.19,0.02,4.9
2010-02-22,10.57,10.95,11.23,10.38,136531,175593488.0,8.06,3.89,0.41,7.66
2010-02-23,10.77,11.57,11.61,10.63,173606,229886640.0,8.95,5.66,0.62,9.74
2010-02-24,11.37,11.3,11.53,11.02,128944,170515376.0,4.41,-2.33,-0.27,7.23
2010-02-25,11.23,11.77,12.04,11.09,162496,222850976.0,8.41,4.16,0.47,9.12
2010-02-26,11.57,11.77,12.17,11.38,135155,186543760.0,6.71,0.0,0.0,7.58
2010-03-01,11.63,11.56,11.9,11.46,101983,139261792.0,3.74,-1.78,-0.21,5.72
2010-03-02,11.47,10.97,11.61,10.9,159358,209852992.0,6.14,-5.1,-0.59,8.94
2010-03-03,11.16,12.27,12.27,11.05,207862,288345344.0,11.12,11.85,1.3,11.66
2010-03-04,12.27,11.37,12.41,11.17,205073,282531168.0,10.11,-7.33,-0.9,11.51
2010-03-05,11.12,11.15,11.42,10.98,80342,106151080.0,3.87,-1.93,-0.22,4.51
2010-03-08,11.1,11.21,11.31,10.99,52493,69284352.0,2.87,0.54,0.06,2.95
2010-03-09,11.25,11.37,11.72,11.12,84593,114493496.0,5.35,1.43,0.16,4.75
2010-03-10,11.33,10.83,11.42,10.72,85184,110866632.0,6.16,-4.75,-0.54,4.78
2010-03-11,10.85,10.72,10.95,10.54,51400,65541732.0,3.79,-1.02,-0.11,2.88
2010-03-12,10.75,10.62,10.95,10.58,40911,52273936.0,3.45,-0.93,-0.1,2.3
2010-03-15,10.63,10.57,10.75,10.32,38903,48681052.0,4.05,-0.47,-0.05,2.18
2010-03-16,10.57,11.02,11.07,10.57,70394,91294832.0,4.73,4.26,0.45,3.95
2010-03-17,11.04,11.28,11.46,10.92,69703,92657752.0,4.9,2.36,0.26,3.91
