日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,2.4,2.36,2.58,2.35,43078,52471801.0,9.66,-0.84,-0.02,2.3
2010-01-05,2.36,2.23,2.41,2.1,47641,56223349.0,13.14,-5.51,-0.13,2.54
2010-01-06,2.23,2.18,2.27,2.1,39800,46642035.0,7.62,-2.24,-0.05,2.12
2010-01-07,2.2,2.23,2.43,2.16,63425,75728187.0,12.39,2.29,0.05,3.38
2010-01-08,2.14,2.26,2.4,2.14,43308,51643090.0,11.66,1.35,0.03,2.31
2010-01-11,2.27,2.34,2.37,2.1,48026,56913040.0,11.95,3.54,0.08,2.56
2010-01-12,2.33,2.59,2.62,2.2,92918,114853795.0,17.95,10.68,0.25,4.96
2010-01-13,2.43,2.81,3.1,2.35,162738,209221505.0,28.96,8.49,0.22,8.68
2010-01-14,2.83,3.08,3.23,2.67,111391,148393709.0,19.93,9.61,0.27,5.94
2010-01-15,3.09,3.06,3.31,2.97,79973,106952557.0,11.04,-0.65,-0.02,4.27
2010-01-18,3.09,3.69,3.8,3.08,161282,229297194.0,23.53,20.59,0.63,8.6
2010-01-19,3.6,3.98,4.14,3.55,135234,199141575.0,15.99,7.86,0.29,7.21
2010-01-20,4.02,4.28,4.81,3.99,248787,394645657.0,20.6,7.54,0.3,13.27
2010-01-21,4.28,4.35,4.49,3.99,101780,158182522.0,11.68,1.64,0.07,5.43
2010-01-22,4.26,4.04,4.33,3.77,91440,138243980.0,12.87,-7.13,-0.31,4.88
2010-01-25,4.0,4.04,4.15,3.72,45631,68266599.0,10.64,0.0,0.0,2.43
2010-01-26,4.05,3.66,4.15,3.44,48729,70741601.0,17.57,-9.41,-0.38,2.6
2010-01-27,3.5,4.25,4.46,3.49,107652,165493381.0,26.5,16.12,0.59,5.74
2010-01-29,4.33,5.11,5.11,4.27,181715,305152937.0,19.76,20.24,0.86,9.69
2010-02-01,5.25,5.32,5.49,4.94,118759,204513007.0,10.76,4.11,0.21,6.33
2010-02-02,5.16,5.14,5.66,5.02,103435,179620152.0,12.03,-3.38,-0.18,5.52
2010-02-03,5.36,4.85,5.43,4.55,78244,130572747.0,17.12,-5.64,-0.29,4.17
2010-02-04,4.72,4.98,5.21,4.66,62816,105755766.0,11.34,2.68,0.13,3.35
2010-02-05,4.78,4.84,5.05,4.44,45710,74980736.0,12.25,-2.81,-0.14,2.44
2010-02-08,4.6,5.0,5.38,4.6,40223,68345398.0,16.12,3.31,0.16,2.15
2010-02-09,4.94,4.89,5.2,4.8,27564,46068227.0,8.0,-2.2,-0.11,1.47
2010-02-10,5.03,5.13,5.16,4.86,38855,65350700.0,6.13,4.91,0.24,2.07
2010-02-11,5.24,5.19,5.31,4.9,30229,51333028.0,7.99,1.17,0.06,1.61
2010-02-12,5.2,5.15,5.23,4.97,25611,43479951.0,5.01,-0.77,-0.04,1.37
2010-02-22,5.15,4.93,5.15,4.88,23043,38544854.0,5.24,-4.27,-0.22,1.23
2010-02-23,4.84,4.74,4.95,4.61,23297,38095185.0,6.9,-3.85,-0.19,1.24
2010-02-24,4.74,5.65,5.65,4.74,105776,187726897.0,19.2,19.2,0.91,5.64
2010-02-25,5.55,5.35,5.71,5.26,77369,135780114.0,7.96,-5.31,-0.3,4.13
2010-02-26,5.31,5.14,5.44,5.05,65020,111488347.0,7.29,-3.93,-0.21,3.47
2010-03-01,5.05,5.19,5.26,4.91,43459,73658025.0,6.81,0.97,0.05,2.32
