日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,9.81,9.84,9.94,9.73,31211,61073060.0,2.14,0.41,0.04,2.13
2010-01-05,9.83,10.05,10.08,9.63,45464,89437016.0,4.57,2.13,0.21,3.1
2010-01-06,10.01,10.13,10.36,9.94,59616,120348864.0,4.18,0.8,0.08,4.06
2010-01-07,10.11,9.6,10.16,9.52,56475,110246896.0,6.32,-5.23,-0.53,3.85
2010-01-08,9.62,9.71,9.77,9.43,23085,44387636.0,3.54,1.15,0.11,1.57
2010-01-11,9.63,9.56,9.74,9.51,38095,72798560.0,2.37,-1.54,-0.15,2.6
2010-01-12,9.6,9.84,9.9,9.41,42083,81054384.0,5.13,2.93,0.28,2.87
2010-01-13,9.56,9.55,9.78,9.46,33915,64988884.0,3.25,-2.95,-0.29,2.31
2010-01-14,9.52,9.97,9.99,9.52,54769,107072184.0,4.92,4.4,0.42,3.73
2010-01-15,10.02,10.16,10.28,9.96,64430,129984952.0,3.21,1.91,0.19,4.39
2010-01-18,10.16,10.24,10.3,9.97,51970,105002472.0,3.25,0.79,0.08,3.54
2010-01-19,10.3,10.18,10.38,10.08,33226,67156056.0,2.93,-0.59,-0.06,2.26
2010-01-20,10.19,10.32,10.91,10.17,140307,290857184.0,7.27,1.38,0.14,9.56
2010-01-21,10.34,10.09,10.34,9.89,65183,130639032.0,4.36,-2.23,-0.23,4.44
2010-01-22,9.84,9.51,9.88,9.35,56575,108142720.0,5.25,-5.75,-0.58,3.86
2010-01-25,9.58,9.25,9.68,9.25,25792,48722604.0,4.52,-2.73,-0.26,1.76
2010-01-26,9.24,9.0,9.41,8.96,29053,53184092.0,4.86,-2.7,-0.25,1.98
2010-01-27,9.02,9.02,9.22,8.94,23094,42088860.0,3.11,0.22,0.02,1.57
2010-01-28,9.15,9.43,9.51,9.15,38353,71905280.0,3.99,4.55,0.41,2.61
2010-01-29,9.3,9.39,9.6,9.24,30324,57320024.0,3.82,-0.42,-0.04,2.07
2010-02-01,9.45,9.46,9.56,9.02,36290,67899848.0,5.75,0.75,0.07,2.47
2010-02-02,9.47,9.16,9.68,9.14,33106,62382740.0,5.71,-3.17,-0.3,2.26
2010-02-03,8.99,9.19,9.21,8.59,38036,68204456.0,6.77,0.33,0.03,2.59
2010-02-04,9.16,9.25,9.35,8.96,35773,65585156.0,4.24,0.65,0.06,2.44
2010-02-05,8.96,8.88,9.13,8.84,25425,45791880.0,3.14,-4.0,-0.37,1.73
2010-02-08,8.94,8.74,8.94,8.71,14662,25920668.0,2.59,-1.58,-0.14,1.0
2010-02-09,8.56,8.8,8.9,8.56,13582,23933104.0,3.89,0.69,0.06,0.93
2010-02-10,8.9,8.88,8.93,8.76,11767,20898050.0,1.93,0.91,0.08,0.8
2010-02-11,8.88,8.89,8.93,8.85,11589,20720634.0,0.9,0.11,0.01,0.79
2010-02-12,8.89,8.98,9.0,8.89,12241,22034950.0,1.24,1.01,0.09,0.83
2010-02-22,8.98,9.28,9.64,8.98,54800,102672120.0,7.35,3.34,0.3,3.74
2010-02-23,9.3,9.35,9.48,9.2,24960,46644412.0,3.02,0.75,0.07,1.7
