日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,7.83,7.87,8.08,7.82,94910,77965856.0,3.36,1.81,0.14,7.28
2010-01-05,7.88,8.04,8.04,7.69,80603,65856332.0,4.45,2.16,0.17,6.18
2010-01-06,7.98,7.92,8.06,7.85,48247,39728608.0,2.61,-1.49,-0.12,3.7
2010-01-07,7.91,7.66,7.94,7.53,63830,51123956.0,5.18,-3.28,-0.26,4.9
2010-01-08,7.62,7.65,7.7,7.46,42010,33011198.0,3.13,-0.13,-0.01,3.22
2010-01-11,7.68,7.67,7.71,7.49,40174,31668774.0,2.88,0.26,0.02,3.08
2010-01-12,7.67,7.95,8.01,7.62,63250,51292920.0,5.08,3.65,0.28,4.85
2010-01-13,7.74,7.77,7.98,7.74,52894,42956732.0,3.02,-2.26,-0.18,4.06
2010-01-14,7.76,8.04,8.07,7.76,86078,71233112.0,3.99,3.47,0.27,6.6
2010-01-15,8.04,8.12,8.2,7.95,98919,82819736.0,3.11,1.0,0.08,7.59
2010-01-18,8.03,8.17,8.22,8.03,89202,75158096.0,2.34,0.62,0.05,6.84
2010-01-19,8.18,8.12,8.27,8.02,81967,68954488.0,3.06,-0.61,-0.05,6.29
2010-01-20,8.17,7.91,8.26,7.84,92095,77137288.0,5.17,-2.59,-0.21,7.06
2010-01-21,7.83,8.11,8.15,7.83,56018,46544512.0,4.05,2.53,0.2,4.3
2010-01-22,8.02,7.96,8.4,7.83,119825,101006416.0,7.03,-1.85,-0.15,9.19
2010-01-25,7.94,8.22,8.31,7.9,118363,99673872.0,5.15,3.27,0.26,9.08
2010-01-26,8.28,7.72,8.37,7.53,109070,90175608.0,10.22,-6.08,-0.5,8.37
2010-01-27,7.62,7.55,7.87,7.37,77695,61446088.0,6.48,-2.2,-0.17,5.96
2010-01-28,7.58,7.59,7.72,7.34,50431,39344684.0,5.03,0.53,0.04,3.87
2010-01-29,7.52,7.72,7.87,7.39,62863,50181780.0,6.32,1.71,0.13,4.82
2010-02-01,7.79,7.63,7.91,7.52,55297,44355568.0,5.05,-1.17,-0.09,4.24
2010-02-02,7.61,7.38,7.78,7.38,54683,43013556.0,5.24,-3.28,-0.25,4.19
2010-02-03,7.42,7.43,7.47,7.04,45239,34301876.0,5.83,0.68,0.05,3.47
2010-02-04,7.43,7.64,7.77,7.35,57806,45429300.0,5.65,2.83,0.21,4.43
2010-02-05,7.44,7.78,7.83,7.37,68878,54789300.0,6.02,1.83,0.14,5.28
2010-02-08,7.77,7.84,8.17,7.68,78272,64415868.0,6.3,0.77,0.06,6.0
2010-02-09,7.8,7.68,7.88,7.51,54510,43354756.0,4.72,-2.04,-0.16,4.18
2010-02-10,7.67,7.72,7.74,7.58,25324,20154710.0,2.08,0.52,0.04,1.94
2010-02-11,7.71,7.54,7.74,7.53,24269,19181350.0,2.72,-2.33,-0.18,1.86
2010-02-12,7.55,7.59,7.64,7.53,21887,17222528.0,1.46,0.66,0.05,1.68
2010-02-22,7.57,7.79,7.83,7.57,46478,37163060.0,3.43,2.64,0.2,3.56
2010-02-23,7.8,8.04,8.07,7.71,78264,64076236.0,4.62,3.21,0.25,6.0
2010-02-24,8.03,8.1,8.15,7.89,74633,62197552.0,3.23,0.75,0.06,5.72
2010-02-25,8.07,8.17,8.27,8.03,100046,84420416.0,2.96,0.86,0.07,7.67
2010-02-26,8.18,8.27,8.51,8.12,155417,134251904.0,4.77,1.22,0.1,11.92
2010-03-01,8.32,8.42,8.57,8.24,134661,117180216.0,3.99,1.81,0.15,10.33
2010-03-02,8.42,8.52,8.53,8.28,99985,86786616.0,2.97,1.19,0.1,7.67
2010-03-03,8.52,8.6,9.05,8.35,204986,183579600.0,8.22,0.94,0.08,15.72
2010-03-04,8.57,8.15,8.67,8.1,131566,113592976.0,6.63,-5.23,-0.45,10.09
2010-03-05,8.13,8.06,8.2,7.97,66404,55627700.0,2.82,-1.1,-0.09,5.09
2010-03-08,8.08,8.12,8.17,8.06,43021,36140068.0,1.36,0.74,0.06,3.3
2010-03-09,8.07,8.14,8.18,7.92,52604,43857436.0,3.2,0.25,0.02,4.03
2010-03-10,8.12,8.02,8.19,7.97,43011,35868376.0,2.7,-1.47,-0.12,3.3
2010-03-11,7.99,7.97,8.12,7.81,44099,36331840.0,3.87,-0.62,-0.05,3.38
2010-03-12,7.94,7.82,8.01,7.82,32141,26326754.0,2.38,-1.88,-0.15,2.47
2010-03-15,7.83,7.84,7.91,7.74,21768,17627918.0,2.17,0.26,0.02,1.67
2010-03-16,7.83,7.99,7.99,7.78,33231,27210950.0,2.68,1.91,0.15,2.55
2010-03-17,7.98,8.13,8.16,7.95,54458,45648172.0,2.63,1.75,0.14,4.18
2010-03-18,8.13,8.17,8.19,8.07,45084,37964376.0,1.48,0.49,0.04,3.46
2010-03-19,8.2,8.2,8.24,8.09,48600,41070412.0,1.84,0.37,0.03,3.73
2010-03-22,8.2,8.24,8.27,8.14,44988,38177496.0,1.59,0.49,0.04,3.45
2010-03-23,8.24,8.33,8.52,8.24,123686,107287960.0,3.4,1.09,0.09,9.49
2010-03-24,8.4,8.39,8.56,8.27,93281,81260544.0,3.48,0.72,0.06,7.15
2010-03-25,8.37,8.04,8.37,8.01,79560,66800652.0,4.29,-4.17,-0.35,6.1
2010-03-26,8.04,8.19,8.21,7.98,38846,32656612.0,2.86,1.87,0.15,2.98
2010-03-29,8.18,8.13,8.22,8.05,41703,35074912.0,2.08,-0.73,-0.06,3.2
2010-03-30,8.16,8.23,8.23,8.1,45559,38511416.0,1.6,1.23,0.1,3.49
2010-03-31,8.21,8.16,8.34,8.14,51618,43985588.0,2.43,-0.85,-0.07,3.96
2010-04-01,8.16,8.29,8.36,8.15,62939,53865956.0,2.57,1.59,0.13,4.83
2010-04-02,8.3,8.54,8.57,8.24,124588,109151480.0,3.98,3.02,0.25,9.56
2010-04-06,8.62,8.61,8.66,8.42,99895,88073000.0,2.81,0.82,0.07,7.66
2010-04-07,8.56,8.7,8.82,8.47,112956,100980880.0,4.07,1.05,0.09,8.66
2010-04-08,8.67,8.72,8.77,8.59,90849,81376200.0,2.07,0.23,0.02,6.97
2010-04-09,9.02,8.75,9.22,8.72,208875,191161552.0,5.73,0.34,0.03,16.02
2010-04-12,8.73,8.63,8.73,8.52,101422,90082040.0,2.4,-1.37,-0.12,7.78
2010-04-13,8.61,8.51,8.76,8.32,80991,71499424.0,5.1,-1.39,-0.12,6.21
2010-04-14,8.48,8.69,8.79,8.47,65768,58827980.0,3.76,2.12,0.18,5.04
2010-04-15,8.77,8.9,9.01,8.77,127729,117224152.0,2.76,2.42,0.21,9.8
2010-04-16,8.83,8.71,8.88,8.68,65009,58770968.0,2.25,-2.13,-0.19,4.99
2010-04-19,8.62,8.32,8.69,8.27,62436,54672428.0,4.82,-4.48,-0.39,4.79
2010-04-20,8.36,8.52,8.56,8.27,52304,45557948.0,3.49,2.4,0.2,4.01
2010-04-21,8.56,8.73,8.74,8.5,73590,65765960.0,2.82,2.46,0.21,5.64
2010-04-22,8.71,9.01,9.19,8.62,143572,132894928.0,6.53,3.21,0.28,11.01
2010-04-23,8.91,8.82,9.11,8.82,89071,82125120.0,3.22,-2.11,-0.19,6.83
2010-04-26,8.83,8.92,9.02,8.82,83032,76280784.0,2.27,1.13,0.1,6.37
2010-04-27,8.94,8.65,8.98,8.42,62266,55410060.0,6.28,-3.03,-0.27,4.78
2010-04-28,8.56,9.28,9.46,8.52,150713,140964896.0,10.87,7.28,0.63,11.56
2010-04-29,9.21,9.01,9.34,9.0,113662,107524848.0,3.66,-2.91,-0.27,8.72
2010-04-30,8.72,8.37,8.92,8.23,101421,89346536.0,7.66,-7.1,-0.64,7.78
2010-05-04,8.22,8.48,8.66,8.12,42786,37352428.0,6.45,1.31,0.11,3.28
2010-05-05,8.45,9.02,9.03,8.38,84472,76701904.0,7.67,6.37,0.54,6.48
2010-05-06,9.02,8.72,9.12,8.68,98940,91365568.0,4.88,-3.33,-0.3,7.59
2010-05-07,8.55,8.92,9.4,8.47,150182,140256816.0,10.67,2.29,0.2,11.52
2010-05-10,8.87,8.48,9.22,8.33,132050,119715280.0,9.98,-4.93,-0.44,10.13
2010-05-11,8.7,7.78,8.71,7.73,100651,85330648.0,11.56,-8.25,-0.7,7.72
2010-05-12,7.67,7.32,7.67,7.22,66426,51080948.0,5.78,-5.91,-0.46,5.09
2010-05-13,7.27,7.57,7.6,7.22,41106,31628692.0,5.19,3.42,0.25,3.15
2010-05-14,7.52,7.56,7.72,7.4,39887,31326586.0,4.23,-0.13,-0.01,3.06
2010-05-17,7.44,6.87,7.62,6.87,44583,33790512.0,9.92,-9.13,-0.69,3.42
2010-05-18,6.83,7.02,7.09,6.77,37505,27032946.0,4.66,2.18,0.15,2.88
2010-05-19,6.99,7.03,7.14,6.9,32743,23960288.0,3.42,0.14,0.01,2.51
2010-05-20,6.98,6.58,7.07,6.52,40801,28968660.0,7.82,-6.4,-0.45,3.13
2010-05-21,6.37,6.66,6.73,6.23,38287,25841466.0,7.6,1.22,0.08,2.94
2010-05-24,6.67,6.93,6.96,6.67,47713,34150736.0,4.35,4.05,0.27,3.66
2010-05-25,6.87,6.85,7.02,6.77,41095,29533604.0,3.61,-1.15,-0.08,1.29
2010-05-26,6.84,6.9,6.95,6.82,27950,20010452.0,1.9,0.73,0.05,0.87
2010-05-27,6.89,7.0,7.05,6.74,36541,26298036.0,4.49,1.45,0.1,1.14
2010-05-28,7.04,7.17,7.24,6.98,52633,38787520.0,3.71,2.43,0.17,1.65
2010-05-31,7.14,6.8,7.14,6.8,39124,28325828.0,4.74,-5.16,-0.37,1.22
2010-06-01,6.73,6.61,6.85,6.47,29551,20525314.0,5.59,-2.79,-0.19,0.93
2010-06-02,6.54,6.8,6.8,6.53,21736,15103900.0,4.08,2.87,0.19,0.68
2010-06-03,6.84,6.78,6.99,6.77,34659,24877056.0,3.24,-0.29,-0.02,1.09
2010-06-04,6.73,6.83,6.85,6.63,23850,16729538.0,3.24,0.74,0.05,0.75
2010-06-07,6.62,6.67,6.72,6.55,24002,16592820.0,2.49,-2.34,-0.16,0.75
2010-06-08,6.6,6.78,6.83,6.6,19444,13642684.0,3.45,1.65,0.11,0.61
2010-06-09,6.82,7.01,7.1,6.76,39881,28643308.0,5.01,3.39,0.23,1.25
2010-06-10,6.98,6.99,7.1,6.9,40868,29879044.0,2.85,-0.29,-0.02,1.28
2010-06-17,7.07,6.94,7.07,6.84,22276,16101635.0,3.29,-0.72,-0.05,0.7
2010-06-18,6.84,6.65,6.99,6.52,22184,15624552.0,6.77,-4.18,-0.29,0.69
2010-06-21,6.66,7.34,7.34,6.55,70903,53211440.0,11.88,10.38,0.69,2.22
2010-06-22,7.37,7.22,7.37,7.16,61118,46025988.0,2.86,-1.63,-0.12,1.91
2010-06-23,7.15,7.53,7.7,7.1,104755,80498344.0,8.31,4.29,0.31,3.28
2010-06-24,7.42,7.52,7.67,7.34,49276,38151592.0,4.38,-0.13,-0.01,1.54
