日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,10.3,10.17,10.35,10.0,49935,77627024.0,3.42,-0.49,-0.05,3.47
2010-01-05,10.16,10.32,10.44,10.05,61516,97143680.0,3.83,1.47,0.15,4.28
2010-01-06,10.32,10.35,10.6,10.12,86039,137055104.0,4.65,0.29,0.03,5.98
2010-01-07,10.3,9.87,10.51,9.75,75615,118253272.0,7.34,-4.64,-0.48,5.26
2010-01-08,9.8,9.87,9.92,9.48,51780,77532640.0,4.46,0.0,0.0,3.6
2010-01-11,9.93,9.76,10.05,9.67,41864,63385896.0,3.85,-1.11,-0.11,2.91
2010-01-12,9.76,10.1,10.12,9.76,35738,54918736.0,3.69,3.48,0.34,2.49
2010-01-13,9.92,9.87,10.12,9.72,32560,49879932.0,3.96,-2.28,-0.23,2.26
2010-01-14,9.83,10.24,10.26,9.83,44156,68548344.0,4.36,3.75,0.37,3.07
2010-01-15,10.24,10.38,10.43,10.16,53817,85205920.0,2.64,1.37,0.14,3.74
2010-01-18,10.38,10.44,10.5,10.25,55199,87759776.0,2.41,0.58,0.06,3.84
2010-01-19,10.47,10.2,10.5,10.15,49167,77451752.0,3.35,-2.3,-0.24,3.42
2010-01-20,10.17,9.74,10.31,9.65,53086,81153536.0,6.47,-4.51,-0.46,3.69
2010-01-21,9.74,9.8,9.88,9.65,25828,38934424.0,2.36,0.62,0.06,1.8
2010-01-22,9.67,9.38,9.77,9.08,39121,57011052.0,7.04,-4.29,-0.42,2.72
2010-01-26,9.3,8.85,9.37,8.59,29091,40421476.0,8.32,-5.65,-0.53,2.02
2010-01-27,8.85,8.57,8.93,8.5,17394,23488016.0,4.86,-3.16,-0.28,1.21
2010-01-28,8.52,8.66,8.72,8.47,13545,18227400.0,2.92,1.05,0.09,0.94
2010-01-29,8.65,8.52,8.83,8.52,17300,23415932.0,3.58,-1.62,-0.14,1.2
2010-02-01,8.52,8.13,8.62,8.01,27488,35399852.0,7.16,-4.58,-0.39,1.91
2010-02-02,8.16,8.12,8.37,8.1,18574,23977164.0,3.32,-0.12,-0.01,1.29
2010-02-03,8.25,8.31,8.32,7.87,29039,37206408.0,5.54,2.34,0.19,2.02
2010-02-04,8.32,8.42,8.52,8.22,27354,35958096.0,3.61,1.32,0.11,1.9
2010-02-05,8.19,8.07,8.31,7.98,20927,26742796.0,3.92,-4.16,-0.35,1.46
2010-02-08,8.02,8.33,8.33,8.01,16852,21844386.0,3.97,3.22,0.26,1.17
2010-02-09,8.35,8.47,8.5,8.22,13555,17786478.0,3.36,1.68,0.14,0.94
2010-02-10,8.43,8.55,8.65,8.43,12591,16778958.0,2.6,0.94,0.08,0.88
2010-02-11,8.55,8.4,8.55,8.37,9474,12513672.0,2.11,-1.75,-0.15,0.66
2010-02-12,8.42,8.44,8.5,8.37,11675,15373717.0,1.55,0.48,0.04,0.81
2010-02-22,8.44,8.45,8.5,8.44,12091,16003487.0,0.71,0.12,0.01,0.84
2010-02-23,8.49,8.29,8.49,8.15,12735,16475940.0,4.02,-1.89,-0.16,0.89
2010-02-24,8.22,8.54,8.54,8.18,15801,20838034.0,4.34,3.02,0.25,1.1
2010-02-25,8.56,8.7,8.77,8.55,26529,35866188.0,2.58,1.87,0.16,1.85
2010-02-26,8.7,8.64,8.81,8.6,19275,26186278.0,2.41,-0.69,-0.06,1.34
2010-03-01,8.62,8.8,8.85,8.58,18743,25577810.0,3.13,1.85,0.16,1.3
2010-03-02,8.81,8.87,8.9,8.67,23131,31607382.0,2.61,0.8,0.07,1.61
2010-03-03,8.83,9.15,9.32,8.76,40017,56451516.0,6.31,3.16,0.28,2.78
2010-03-04,9.19,8.8,9.32,8.72,33925,47648568.0,6.56,-3.83,-0.35,2.36
2010-03-05,8.71,8.8,8.9,8.69,15829,21706382.0,2.39,0.0,0.0,1.1
2010-03-08,8.87,8.81,8.9,8.76,17808,24494966.0,1.59,0.11,0.01,1.24
2010-03-09,8.91,9.0,9.17,8.78,38112,53163508.0,4.43,2.16,0.19,2.65
2010-03-10,9.05,9.0,9.05,8.84,22591,31378598.0,2.33,0.0,0.0,1.57
2010-03-11,8.95,8.88,9.16,8.7,25299,35050684.0,5.11,-1.33,-0.12,1.76
2010-03-12,8.87,8.55,8.97,8.52,26948,36662380.0,5.07,-3.72,-0.33,1.87
2010-03-15,8.51,8.3,8.62,8.2,18780,24499050.0,4.91,-2.92,-0.25,1.31
2010-03-16,8.28,8.36,8.47,8.22,11412,14934138.0,3.01,0.72,0.06,0.79
2010-03-17,8.36,8.57,8.57,8.36,12431,16476793.0,2.51,2.51,0.21,0.86
2010-03-18,8.57,8.64,8.79,8.52,15556,21018196.0,3.15,0.82,0.07,1.08
2010-03-19,8.62,8.86,8.9,8.58,23348,32101812.0,3.7,2.55,0.22,1.62
2010-03-22,8.87,8.87,8.93,8.73,16340,22456228.0,2.26,0.11,0.01,1.14
2010-03-23,8.87,8.92,9.0,8.82,27955,38840744.0,2.03,0.56,0.05,1.94
2010-03-24,8.87,8.77,8.97,8.72,17056,23396030.0,2.8,-1.68,-0.15,1.19
2010-03-25,8.71,8.67,8.85,8.65,13785,18759558.0,2.28,-1.14,-0.1,0.96
2010-03-26,8.65,8.71,8.75,8.55,17599,23733884.0,2.31,0.46,0.04,1.22
2010-03-29,8.72,8.85,8.91,8.67,17846,24473744.0,2.76,1.61,0.14,1.24
2010-03-30,8.85,8.85,8.94,8.77,14744,20276246.0,1.92,0.0,0.0,1.03
2010-03-31,8.85,8.88,8.92,8.79,23355,32224668.0,1.47,0.34,0.03,1.62
2010-04-01,8.9,9.12,9.2,8.83,54968,77493336.0,4.17,2.7,0.24,3.82
2010-04-02,9.15,9.12,9.2,9.06,33380,47272428.0,1.54,0.0,0.0,2.32
2010-04-06,9.17,9.25,9.26,9.05,35900,51027580.0,2.3,1.43,0.13,2.5
2010-04-07,9.25,9.31,9.33,9.14,32457,46429276.0,2.05,0.65,0.06,2.26
2010-04-08,9.3,9.41,9.48,9.26,42780,62065600.0,2.36,1.07,0.1,2.98
2010-04-09,9.37,9.56,9.61,9.34,36825,54118652.0,2.87,1.59,0.15,2.56
2010-04-12,9.56,9.55,9.67,9.4,48865,72010680.0,2.82,-0.1,-0.01,3.4
