日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-12-27,1.36,1.69,1.69,1.36,95,108733.0,70.21,259.57,1.22,0.04
2017-12-28,2.09,2.09,2.09,2.09,33,41392.0,0.0,23.67,0.4,0.02
2017-12-29,2.53,2.53,2.53,2.53,56,77422.0,0.0,21.05,0.44,0.03
2018-01-02,3.01,3.01,3.01,3.01,41,63266.0,0.0,18.97,0.48,0.02
2018-01-03,3.55,3.55,3.55,3.55,66,111764.0,0.0,17.94,0.54,0.03
2018-01-04,4.13,4.13,4.13,4.13,70,129330.0,0.0,16.34,0.58,0.03
2018-01-05,4.78,4.78,4.78,4.78,120,245144.0,0.0,15.74,0.65,0.06
2018-01-08,5.49,5.49,5.49,5.49,161,362118.0,0.0,14.85,0.71,0.07
2018-01-09,6.27,6.27,6.27,6.27,232,573336.0,0.0,14.21,0.78,0.11
2018-01-10,7.13,7.13,7.13,7.13,338,918536.0,0.0,13.72,0.86,0.16
2018-01-11,8.07,8.07,8.07,8.07,798,2386686.0,0.0,13.18,0.94,0.37
2018-01-12,9.11,9.11,9.11,9.11,943,3102096.0,0.0,12.89,1.04,0.43
2018-01-15,10.25,10.25,10.25,10.25,1001,3621087.0,0.0,12.51,1.14,0.46
2018-01-16,11.51,11.51,11.51,11.51,1160,4613968.0,0.0,12.29,1.26,0.53
2018-01-17,12.89,12.89,12.89,12.89,944,4133113.0,0.0,11.99,1.38,0.43
2018-01-18,14.41,14.41,14.41,14.41,4825,23232037.0,0.0,11.79,1.52,2.22
2018-01-19,16.08,16.08,16.08,16.08,21650,114678143.0,0.0,11.59,1.67,9.97
2018-01-22,16.79,16.11,17.83,15.57,162207,895402752.0,14.05,0.19,0.03,74.68
2018-01-23,16.44,17.96,17.96,16.44,98718,568943520.0,9.44,11.48,1.85,45.45
2018-01-24,18.59,18.26,19.91,17.49,126163,764576848.0,13.47,1.67,0.3,58.09
2018-01-25,19.01,17.06,19.47,17.03,98150,577799280.0,13.36,-6.57,-1.2,45.19
2018-01-26,16.96,18.11,18.52,16.45,91109,520499984.0,12.13,6.15,1.05,41.95
2018-01-29,18.54,18.54,20.08,18.32,95632,589239728.0,9.72,2.37,0.43,44.03
2018-01-30,18.42,18.91,19.57,17.37,101538,613133792.0,11.87,2.0,0.37,46.75
2018-01-31,17.48,16.79,18.17,16.79,74443,421678016.0,7.3,-11.21,-2.12,34.27
2018-02-01,16.62,16.42,17.56,16.09,64836,361074240.0,8.76,-2.2,-0.37,29.85
2018-02-02,16.02,14.55,16.96,14.55,86648,442185136.0,14.68,-11.39,-1.87,39.89
2018-02-05,13.73,12.87,13.94,12.87,63226,284559088.0,7.35,-11.55,-1.68,29.11
2018-02-06,12.08,11.85,12.92,11.59,56877,237271946.0,10.33,-7.93,-1.02,26.19
2018-02-07,12.38,12.5,13.27,11.62,75686,324301184.0,13.92,5.49,0.65,34.85
2018-02-08,11.95,12.29,12.52,11.81,59049,246120995.0,5.68,-1.68,-0.21,27.19
2018-02-09,11.5,12.1,12.93,11.23,67636,280430064.0,13.83,-1.55,-0.19,31.14
2018-02-12,12.55,12.66,13.31,12.41,59811,259663401.0,7.44,4.63,0.56,27.54
