日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-12-10,5.66,6.97,6.97,5.66,93,310541.0,30.11,60.23,2.62,0.04
2015-12-11,7.83,7.83,7.83,7.83,43,158498.0,0.0,12.34,0.86,0.02
2015-12-14,8.77,8.77,8.77,8.77,40,162200.0,0.0,12.01,0.94,0.02
2015-12-15,9.81,9.81,9.81,9.81,19,84759.0,0.0,11.86,1.04,0.01
2015-12-16,10.95,10.95,10.95,10.95,32,157024.0,0.0,11.62,1.14,0.01
2015-12-17,12.2,12.2,12.2,12.2,45,242910.0,0.0,11.42,1.25,0.02
2015-12-18,13.59,13.59,13.59,13.59,51,302838.0,0.0,11.39,1.39,0.02
2015-12-21,15.11,15.11,15.11,15.11,66,431112.0,0.0,11.18,1.52,0.03
2015-12-22,16.78,16.78,16.78,16.78,175,1257375.0,0.0,11.05,1.67,0.07
2015-12-23,18.62,18.62,18.62,18.62,156,1233024.0,0.0,10.97,1.84,0.06
2015-12-24,20.64,20.64,20.64,20.64,316,2747304.0,0.0,10.85,2.02,0.13
2015-12-25,22.86,22.86,22.86,22.86,268,2558102.0,0.0,10.76,2.22,0.11
2015-12-28,25.31,25.31,25.31,25.31,434,4562616.0,0.0,10.72,2.45,0.17
2015-12-29,28.0,28.0,28.0,28.0,303,3506938.0,0.0,10.63,2.69,0.12
2015-12-30,30.96,30.96,30.96,30.96,1020,12987014.0,0.0,10.57,2.96,0.41
2015-12-31,34.21,34.21,34.21,34.21,3199,44796059.0,0.0,10.5,3.25,1.28
2016-01-04,37.8,37.8,37.8,37.8,4083,62886133.0,0.0,10.49,3.59,1.63
2016-01-05,41.74,41.74,41.74,41.74,5531,93701687.0,0.0,10.42,3.94,2.21
2016-01-06,46.07,46.07,46.07,46.07,1789,33341742.0,0.0,10.37,4.33,0.72
2016-01-07,50.84,50.84,50.84,50.84,10725,219861204.0,0.0,10.35,4.77,4.29
2016-01-08,55.96,56.08,56.08,53.4,140634,3136575088.0,5.27,10.31,5.24,56.25
2016-01-11,54.17,50.31,57.19,50.31,103630,2248737856.0,12.27,-10.29,-5.77,41.45
2016-01-12,48.31,47.41,54.47,45.12,97576,1871133776.0,18.58,-5.76,-2.9,39.03
2016-01-13,48.25,49.05,52.32,45.12,104594,2075177184.0,15.19,3.46,1.64,41.84
2016-01-14,46.75,50.07,50.27,44.45,81167,1563911856.0,11.87,2.08,1.02,32.47
2016-01-15,52.5,49.05,54.93,49.05,72894,1534045376.0,11.74,-2.04,-1.02,29.16
2016-01-18,45.95,53.12,54.04,44.7,71573,1432239232.0,19.04,8.3,4.07,28.63
2016-01-19,51.61,56.22,58.21,50.9,80100,1740247984.0,13.76,5.84,3.1,32.04
2016-01-20,54.93,50.44,56.18,50.44,80196,1697381392.0,10.21,-10.28,-5.78,32.08
2016-01-21,49.31,45.23,50.45,45.23,63761,1232946064.0,10.35,-10.33,-5.21,25.5
2016-01-22,44.5,45.34,47.22,42.89,58258,1062423312.0,9.57,0.24,0.11,23.3
2016-01-25,45.47,45.73,47.9,44.24,46482,864550896.0,8.07,0.86,0.39,18.59
2016-01-26,44.19,40.99,44.19,40.99,38990,674135648.0,7.0,-10.37,-4.74,15.6
2016-01-27,39.32,39.69,41.4,38.19,46451,746645232.0,7.83,-3.17,-1.3,18.58
2016-01-28,38.3,35.56,40.1,35.56,41440,638251872.0,11.44,-10.41,-4.13,16.58
2016-01-29,36.29,38.24,39.27,36.27,43431,669172752.0,8.44,7.54,2.68,17.37
2016-02-01,37.28,36.59,38.43,34.98,37041,560076112.0,9.02,-4.31,-1.65,14.82
2016-02-02,36.36,39.84,40.41,36.27,45228,727119136.0,11.31,8.88,3.25,18.09
2016-02-03,38.81,41.76,41.81,38.64,36601,600909072.0,7.96,4.82,1.92,14.64
2016-02-04,42.63,43.74,45.67,42.14,33494,594577424.0,8.45,4.74,1.98,13.4
2016-02-05,43.55,41.55,44.29,40.87,27246,468244480.0,7.82,-5.01,-2.19,10.9
2016-02-15,39.58,40.43,41.12,38.95,26440,427744944.0,5.22,-2.7,-1.12,10.58
2016-02-16,40.61,44.63,44.63,40.35,41370,733565936.0,10.59,10.39,4.2,16.55
2016-02-17,44.5,45.72,46.13,43.75,36980,669081472.0,5.33,2.44,1.09,14.79
2016-02-18,46.49,46.23,47.0,43.94,35876,661739872.0,6.69,1.12,0.51,14.35
2016-02-19,46.83,51.02,51.02,46.83,38478,762115936.0,9.06,10.36,4.79,15.39
2016-02-22,54.67,51.07,54.67,50.18,45385,954925008.0,8.8,0.1,0.05,18.15
2016-02-23,51.07,53.14,56.1,50.62,44428,957496464.0,10.73,4.05,2.07,17.77
2016-02-24,52.12,49.49,53.4,48.03,53985,1101755408.0,10.11,-6.87,-3.65,21.59
2016-02-25,49.05,44.96,50.38,44.48,42094,807084576.0,11.92,-9.15,-4.53,16.84
2016-02-26,45.95,46.89,48.09,44.51,38155,714019664.0,7.96,4.29,1.93,15.26
2016-02-29,45.98,42.04,45.98,42.04,9378,163858518.0,8.4,-10.34,-4.85,3.75
2016-03-01,39.07,40.61,42.14,37.68,57414,907855792.0,10.61,-3.4,-1.43,22.97
2016-03-02,40.35,42.22,42.62,39.55,43680,732505136.0,7.56,3.96,1.61,17.47
2016-03-03,42.4,40.74,43.95,40.69,41400,711630592.0,7.72,-3.51,-1.48,16.56
2016-03-04,39.33,36.5,39.93,36.5,45904,707499072.0,8.42,-10.41,-4.24,18.36
2016-03-07,37.67,39.18,40.31,37.55,41297,661074528.0,7.56,7.34,2.68,16.52
2016-03-08,38.05,41.66,42.39,35.85,53189,846387520.0,16.69,6.33,2.48,21.28
2016-03-09,40.86,40.84,43.65,40.4,33061,561590720.0,7.8,-1.97,-0.82,13.22
2016-03-10,41.34,40.68,42.23,38.89,29686,489629296.0,8.18,-0.39,-0.16,11.87
2016-03-11,39.38,41.88,42.29,39.38,30044,501696144.0,7.15,2.95,1.2,12.02
2016-03-14,43.29,45.98,46.23,43.26,42927,790779232.0,7.09,9.79,4.1,17.17
2016-03-15,45.72,45.84,47.92,45.44,44383,832786976.0,5.39,-0.3,-0.14,17.75
2016-03-16,46.87,44.65,47.0,43.98,39578,726189808.0,6.59,-2.6,-1.19,15.83
2016-03-17,44.96,48.49,49.17,44.66,37389,712222576.0,10.1,8.6,3.84,14.96
2016-03-18,48.28,48.62,50.36,48.05,40165,792348064.0,4.76,0.27,0.13,16.07
2016-03-21,48.91,50.3,51.3,48.63,42492,855084816.0,5.49,3.46,1.68,17.0
2016-03-22,49.56,49.03,49.69,48.33,25763,510081904.0,2.7,-2.52,-1.27,10.31
2016-03-23,48.74,48.95,49.56,47.8,28482,558293296.0,3.59,-0.16,-0.08,11.39
2016-03-24,48.28,45.7,48.28,45.7,39157,742605664.0,5.27,-6.64,-3.25,15.66
2016-03-25,45.21,45.03,46.7,44.24,30260,555891696.0,5.38,-1.47,-0.67,12.1
2016-03-28,45.47,45.6,47.39,44.96,28912,540638144.0,5.4,1.27,0.57,11.56
2016-03-29,45.21,42.65,45.37,42.4,34567,608311120.0,6.51,-6.47,-2.95,13.83
2016-03-30,43.39,45.21,45.21,42.79,30216,537801456.0,5.67,6.0,2.56,12.09
