日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,10.06,9.82,10.06,9.82,11743,25956144.0,2.42,-1.01,-0.1,1.31
2010-01-05,9.77,10.31,10.38,9.76,27255,61579993.0,6.31,4.99,0.49,3.04
2010-01-06,10.31,10.52,10.72,10.21,54847,127981148.0,4.95,2.04,0.21,6.11
2010-01-07,10.53,10.24,10.58,10.14,35476,81796005.0,4.18,-2.66,-0.28,3.95
2010-01-08,10.24,10.58,10.67,9.96,42791,99094607.0,6.93,3.32,0.34,4.77
2010-01-11,10.63,11.06,11.15,10.45,62790,150864951.0,6.62,4.54,0.48,7.0
2010-01-12,10.99,11.12,11.29,10.88,46464,114694923.0,3.71,0.54,0.06,5.18
2010-01-13,10.91,11.33,11.58,10.83,47453,118188346.0,6.74,1.89,0.21,5.29
2010-01-14,11.34,11.49,11.56,11.34,30411,77284286.0,1.94,1.41,0.16,3.39
2010-01-15,11.62,11.25,11.62,11.15,28688,71925744.0,4.09,-2.09,-0.24,3.2
2010-01-18,11.3,11.3,11.61,11.2,19510,49034252.0,3.64,0.44,0.05,2.18
2010-01-19,11.31,10.99,11.43,10.82,27266,67317272.0,5.4,-2.74,-0.31,3.04
2010-01-20,10.83,10.64,11.23,10.11,29965,71438447.0,10.19,-3.18,-0.35,3.34
2010-01-21,10.59,10.54,10.74,10.43,19529,45964126.0,2.91,-0.94,-0.1,2.18
2010-01-22,10.58,9.92,10.64,9.82,32299,72504380.0,7.78,-5.88,-0.62,3.6
2010-01-25,9.92,10.08,10.25,9.87,17971,40296035.0,3.83,1.61,0.16,2.0
2010-01-26,10.08,9.72,10.27,9.56,29950,65925732.0,7.04,-3.57,-0.36,3.34
2010-01-27,9.75,10.1,10.14,9.68,22955,51068849.0,4.73,3.91,0.38,2.56
2010-01-28,10.14,10.08,10.2,9.79,12601,28294748.0,4.06,-0.2,-0.02,1.4
2010-01-29,10.07,10.24,10.34,10.03,16437,37381678.0,3.08,1.59,0.16,1.83
2010-02-02,10.24,9.92,10.56,9.92,14029,32127071.0,6.25,-3.13,-0.32,1.56
2010-02-03,9.92,9.72,10.1,9.35,19185,41396874.0,7.56,-2.02,-0.2,2.14
2010-02-04,9.72,9.54,9.72,9.45,22535,48058242.0,2.78,-1.85,-0.18,2.51
2010-02-05,9.39,9.07,9.42,8.99,18608,38188045.0,4.51,-4.93,-0.47,2.07
2010-02-08,9.07,9.01,9.25,9.01,7646,15635216.0,2.65,-0.66,-0.06,0.85
2010-02-09,9.03,9.23,9.28,9.01,9891,20180242.0,3.0,2.44,0.22,1.1
2010-02-10,9.3,9.56,9.57,9.26,13366,28086153.0,3.36,3.58,0.33,1.49
2010-02-11,9.58,9.52,9.72,9.51,10812,23280604.0,2.2,-0.42,-0.04,1.21
2010-02-12,9.53,9.69,9.75,9.52,7268,15661868.0,2.42,1.79,0.17,0.81
2010-02-22,9.69,10.09,10.34,9.39,13306,29443597.0,9.8,4.13,0.4,1.48
2010-02-23,10.1,10.01,10.1,9.72,15165,33576451.0,3.77,-0.79,-0.08,1.69
2010-02-24,10.01,10.45,10.49,9.92,16429,37408261.0,5.69,4.4,0.44,1.83
2010-02-25,10.6,11.03,11.26,10.45,49096,119405060.0,7.75,5.55,0.58,5.47
2010-02-26,11.03,10.97,11.39,10.87,39630,98130250.0,4.71,-0.54,-0.06,4.42
2010-03-01,10.99,10.86,11.1,10.72,32524,78009992.0,3.46,-1.0,-0.11,3.63
2010-03-02,10.98,10.88,10.98,10.59,22906,54935867.0,3.59,0.18,0.02,2.55
2010-03-03,10.82,10.91,10.99,10.77,11080,26752514.0,2.02,0.28,0.03,1.24
2010-03-04,10.91,10.33,10.94,10.3,22457,52759890.0,5.87,-5.32,-0.58,2.5
2010-03-05,10.3,10.19,10.48,10.11,11661,26573271.0,3.58,-1.36,-0.14,1.3
2010-03-08,10.24,10.31,10.39,10.15,8425,19247540.0,2.36,1.18,0.12,0.94
2010-03-09,10.49,10.55,10.99,10.49,21535,51255318.0,4.85,2.33,0.24,2.4
2010-03-10,10.4,10.16,10.63,10.14,12357,28463723.0,4.64,-3.7,-0.39,1.38
2010-03-11,10.2,10.19,10.33,10.06,7884,17851359.0,2.66,0.3,0.03,0.88
2010-03-12,10.15,10.11,10.3,10.11,7415,16810378.0,1.86,-0.79,-0.08,0.83
2010-03-15,9.94,9.77,10.22,9.76,9946,21840259.0,4.55,-3.36,-0.34,1.11
2010-03-16,9.86,9.83,9.87,9.7,5365,11732240.0,1.74,0.61,0.06,0.6
2010-03-17,9.94,10.19,10.2,9.84,7001,15725740.0,3.66,3.66,0.36,0.78
2010-03-18,10.22,9.92,10.39,9.84,18357,41165695.0,5.4,-2.65,-0.27,2.05
2010-03-19,9.93,9.93,10.01,9.61,24436,53280129.0,4.03,0.1,0.01,2.72
2010-03-22,9.86,9.88,9.95,9.77,11877,26058212.0,1.81,-0.5,-0.05,1.32
2010-03-23,9.91,9.93,10.03,9.72,14414,31792132.0,3.14,0.51,0.05,1.61
2010-03-24,9.88,9.85,10.06,9.77,11716,25781787.0,2.92,-0.81,-0.08,1.31
2010-03-25,9.82,9.61,9.83,9.59,12127,26148235.0,2.44,-2.44,-0.24,1.35
2010-03-26,9.42,8.88,9.42,8.59,375938,743613386.0,8.64,-7.6,-0.73,15.06
2010-03-29,8.77,8.97,9.02,8.73,261765,525085171.0,3.27,1.01,0.09,10.48
2010-03-30,9.06,9.16,9.28,9.05,283479,582491272.0,2.56,2.12,0.19,11.35
2010-03-31,9.2,9.24,9.33,9.1,117656,243308545.0,2.51,0.87,0.08,4.71
2010-04-01,9.28,9.72,9.84,9.24,164923,354738929.0,6.49,5.19,0.48,6.6
2010-04-02,9.73,9.99,10.05,9.71,144583,317999499.0,3.5,2.78,0.27,5.79
2010-04-06,10.08,10.2,10.34,9.93,142990,322366669.0,4.1,2.1,0.21,5.73
2010-04-07,10.22,10.22,10.33,10.11,91929,209121118.0,2.16,0.2,0.02,3.68
2010-04-08,10.27,10.42,10.53,10.07,112641,258082306.0,4.5,1.96,0.2,4.51
2010-04-09,10.32,10.3,10.43,10.15,97427,222647615.0,2.69,-1.15,-0.12,3.9
2010-04-12,10.29,10.79,10.82,10.29,144371,339668362.0,5.15,4.76,0.49,5.78
2010-04-13,10.82,10.72,11.0,10.3,142571,337983473.0,6.49,-0.65,-0.07,5.71
2010-04-14,10.72,10.96,10.99,10.59,105645,253941835.0,3.73,2.24,0.24,4.23
2010-04-15,10.98,11.06,11.22,10.8,141824,346119628.0,3.83,0.91,0.1,5.68
2010-04-16,11.05,11.3,11.45,10.82,97754,242342324.0,5.7,2.17,0.24,3.91
2010-04-19,11.28,11.17,11.45,10.84,124681,307234606.0,5.4,-1.15,-0.13,4.99
2010-04-21,11.38,11.38,11.77,11.18,97638,247257387.0,5.28,1.88,0.21,3.91
2010-04-22,11.3,11.46,11.8,10.99,115777,292228087.0,7.12,0.7,0.08,4.64
2010-04-23,11.52,11.47,11.92,11.42,145061,373185687.0,4.36,0.09,0.01,5.81
2010-04-26,11.71,11.57,11.87,11.4,81488,209997668.0,4.1,0.87,0.1,3.26
2010-04-27,11.64,11.01,11.64,10.81,92891,227829917.0,7.17,-4.84,-0.56,3.72
2010-04-28,10.84,10.88,11.15,10.84,76575,186734516.0,2.82,-1.18,-0.13,3.07
2010-04-29,11.04,10.95,11.46,10.92,74914,185559059.0,4.96,0.64,0.07,3.0
2010-04-30,10.95,10.31,11.03,10.22,76877,179116658.0,7.4,-5.84,-0.64,3.08
2010-05-04,10.24,10.36,10.6,10.19,37140,85999529.0,3.98,0.48,0.05,1.49
2010-05-05,10.2,11.03,11.12,10.15,74980,179144134.0,9.36,6.47,0.67,3.0
2010-05-06,11.15,10.74,11.15,10.58,85950,207336973.0,5.17,-2.63,-0.29,3.44
2010-05-07,10.34,10.96,11.14,10.3,77550,187375790.0,7.82,2.05,0.22,3.11
2010-05-10,11.07,10.76,11.34,10.3,100235,242318242.0,9.49,-1.82,-0.2,4.01
2010-05-11,11.06,9.62,11.06,9.62,106306,238118053.0,13.38,-10.59,-1.14,4.26
2010-05-12,9.15,9.24,9.72,8.92,99527,207737172.0,8.32,-3.95,-0.38,3.99
2010-05-13,9.39,9.52,9.63,9.24,82230,115650292.0,4.22,3.03,0.28,2.2
2010-05-14,9.38,9.44,9.78,9.2,67960,96152685.0,6.09,-0.84,-0.08,1.81
2010-05-17,9.27,8.44,9.27,8.44,190825,244792336.0,8.79,-10.59,-1.0,5.09
2010-05-18,8.2,8.19,8.42,7.64,142237,169950609.0,9.24,-2.96,-0.25,3.8
2010-05-19,8.13,8.26,8.52,8.04,90481,112970398.0,5.86,0.85,0.07,2.42
2010-05-20,8.17,8.16,8.7,8.0,114970,145267346.0,8.47,-1.21,-0.1,3.07
2010-05-21,7.76,8.55,8.69,7.7,107185,133632021.0,12.13,4.78,0.39,2.86
2010-05-24,8.7,8.99,9.13,8.68,127506,170256573.0,5.26,5.15,0.44,3.4
2010-05-25,8.96,9.14,9.27,8.85,97981,132822728.0,4.67,1.67,0.15,2.62
2010-05-26,9.13,9.14,9.32,9.01,107365,147187016.0,3.39,0.0,0.0,2.87
2010-05-27,9.14,9.3,9.34,8.9,83816,114723551.0,4.81,1.75,0.16,2.24
2010-05-28,9.41,9.14,9.44,9.08,79802,109727071.0,3.87,-1.72,-0.16,2.13
2010-05-31,9.08,8.77,9.14,8.77,58841,78732896.0,4.05,-4.05,-0.37,1.57
2010-06-01,8.71,8.38,8.76,8.2,85770,108844803.0,6.39,-4.45,-0.39,2.29
2010-06-02,8.37,8.51,8.67,8.17,43892,55148116.0,5.97,1.55,0.13,1.17
2010-06-03,8.54,8.42,8.7,8.35,64610,82349134.0,4.11,-1.06,-0.09,1.73
2010-06-04,8.4,8.34,8.44,8.22,67345,83821896.0,2.61,-0.95,-0.08,1.8
2010-06-07,8.13,8.6,8.61,8.0,83706,104578530.0,7.31,3.12,0.26,2.23
2010-06-08,8.49,8.69,8.84,8.38,90865,117454949.0,5.35,1.05,0.09,2.43
