日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2014-12-31,8.22,8.22,8.22,8.22,317,1368172.0,0.0,67.07,3.3,0.21
2015-01-05,9.3,9.3,9.3,9.3,141,669468.0,0.0,13.14,1.08,0.09
2015-01-06,10.49,10.49,10.49,10.49,695,3629985.0,0.0,12.8,1.19,0.46
2015-01-07,11.79,10.79,11.79,10.77,82580,451823600.0,9.72,2.86,0.3,55.05
2015-01-08,10.44,10.25,10.78,10.24,37426,194267393.0,5.0,-5.0,-0.54,24.95
2015-01-09,10.17,10.02,10.4,10.0,24354,124140171.0,3.9,-2.24,-0.23,16.24
2015-01-12,9.82,9.43,9.96,9.34,24570,119320273.0,6.19,-5.89,-0.59,16.38
2015-01-13,9.38,9.63,9.8,9.38,15511,75531983.0,4.45,2.12,0.2,10.34
2015-01-14,9.56,9.64,9.92,9.51,16220,79728642.0,4.26,0.1,0.01,10.81
2015-01-15,9.57,9.85,10.08,9.52,20459,101545631.0,5.81,2.18,0.21,13.64
2015-01-16,9.81,10.11,10.16,9.68,20347,102060609.0,4.87,2.64,0.26,13.56
2015-01-19,9.94,9.76,10.53,9.63,28879,146450193.0,8.9,-3.46,-0.35,19.25
2015-01-20,9.93,10.52,10.65,9.84,30048,154713484.0,8.3,7.79,0.76,20.03
2015-01-21,10.57,10.85,11.15,10.43,32721,176028984.0,6.84,3.14,0.33,21.81
2015-01-22,10.68,11.02,11.26,10.59,23861,129948582.0,6.18,1.57,0.17,15.91
2015-01-23,11.05,10.7,11.06,10.64,19646,104794734.0,3.81,-2.9,-0.32,13.1
2015-01-26,10.68,10.57,10.75,10.44,16326,85665122.0,2.9,-1.21,-0.13,10.88
2015-01-27,10.58,10.58,10.78,10.39,12264,64499175.0,3.69,0.09,0.01,8.18
2015-01-28,10.56,10.73,10.88,10.43,15357,81558586.0,4.25,1.42,0.15,10.24
2015-01-29,10.63,10.39,10.73,10.38,11539,60291683.0,3.26,-3.17,-0.34,7.69
2015-01-30,10.39,10.17,10.47,10.14,9852,50540501.0,3.18,-2.12,-0.22,6.57
2015-02-02,10.01,10.22,10.33,10.01,9369,47795214.0,3.15,0.49,0.05,6.25
2015-02-03,10.23,10.56,10.65,10.21,12578,65669589.0,4.31,3.33,0.34,8.39
2015-02-04,10.52,10.3,10.59,10.27,8847,45976474.0,3.03,-2.46,-0.26,5.9
2015-02-05,10.39,10.21,10.42,10.18,7597,39055295.0,2.33,-0.87,-0.09,5.06
2015-02-06,10.18,9.79,10.21,9.75,9289,46379374.0,4.51,-4.11,-0.42,6.19
2015-02-09,9.81,9.71,9.96,9.64,4764,23500767.0,3.27,-0.82,-0.08,3.18
2015-02-10,9.69,9.81,9.82,9.65,6411,31514867.0,1.75,1.03,0.1,4.27
2015-02-11,9.78,9.93,10.06,9.76,5118,25570576.0,3.06,1.22,0.12,3.41
2015-02-12,9.95,10.14,10.22,9.95,5709,29015016.0,2.72,2.11,0.21,3.81
2015-02-13,10.21,10.26,10.34,10.19,8102,41666608.0,1.48,1.18,0.12,5.4
2015-02-16,10.21,10.4,10.51,10.21,6230,32253955.0,2.92,1.36,0.14,4.15
2015-02-17,10.41,10.42,10.48,10.37,5341,27784590.0,1.06,0.19,0.02,3.56
2015-02-25,10.44,10.39,10.46,10.31,4803,24877732.0,1.44,-0.29,-0.03,3.2
2015-02-26,10.38,10.81,10.83,10.31,11592,61090374.0,5.0,4.04,0.42,7.73
2015-02-27,10.86,10.74,10.86,10.68,6941,36945567.0,1.67,-0.65,-0.07,4.63
2015-03-02,10.75,11.3,11.31,10.75,16617,90847901.0,5.21,5.21,0.56,11.08
2015-03-03,11.18,11.23,11.55,11.16,14473,80669433.0,3.45,-0.62,-0.07,9.65
2015-03-04,11.2,11.55,11.55,11.16,11912,66484750.0,3.47,2.85,0.32,7.94
2015-03-05,11.67,12.05,12.08,11.58,17297,99839533.0,4.33,4.33,0.5,11.53
2015-03-06,12.8,12.58,13.48,12.47,40991,253474880.0,8.38,4.4,0.53,27.33
2015-03-09,12.31,12.71,12.73,11.96,19182,114295600.0,6.12,1.03,0.13,12.79
2015-03-10,12.63,12.68,13.0,12.53,14643,89711481.0,3.7,-0.24,-0.03,9.76
2015-03-11,12.71,12.52,12.73,12.41,11029,66643770.0,2.52,-1.26,-0.16,7.35
2015-03-12,12.55,12.41,12.55,12.03,11684,69232750.0,4.15,-0.88,-0.11,7.79
2015-03-13,12.43,12.74,12.81,12.28,10192,61708842.0,4.27,2.66,0.33,6.79
2015-03-16,12.9,13.55,13.75,12.88,19576,123807412.0,6.83,6.36,0.81,13.05
2015-03-17,13.68,13.65,14.26,13.46,18304,119342488.0,5.9,0.74,0.1,12.2
2015-03-18,13.56,14.43,14.53,13.46,18674,124220399.0,7.84,5.71,0.78,12.45
2015-03-19,14.36,14.29,14.62,14.03,12377,83507536.0,4.09,-0.97,-0.14,8.25
2015-03-20,14.36,14.37,14.38,14.07,12406,83461680.0,2.17,0.56,0.08,8.27
2015-03-23,14.3,14.85,14.91,14.3,13086,90494348.0,4.24,3.34,0.48,8.72
2015-03-24,14.69,14.7,15.2,13.89,14750,101372449.0,8.82,-1.01,-0.15,9.83
2015-03-25,14.65,16.29,16.41,14.45,17466,127368687.0,13.33,10.82,1.59,11.64
2015-03-26,16.16,15.6,16.16,15.22,15354,112271844.0,5.77,-4.24,-0.69,10.24
2015-03-27,15.36,17.21,17.41,15.36,21421,165799902.0,13.14,10.32,1.61,14.28
2015-03-30,17.0,16.99,17.26,16.51,15418,119795840.0,4.36,-1.28,-0.22,10.28
2015-03-31,17.06,16.93,17.18,16.57,10326,80136813.0,3.59,-0.35,-0.06,6.88
2015-04-01,16.87,17.26,17.48,16.76,10793,85160570.0,4.25,1.95,0.33,7.2
2015-04-02,17.26,18.44,18.73,17.15,14529,119447552.0,9.15,6.84,1.18,9.69
2015-04-03,18.13,20.07,20.43,18.06,15892,139580624.0,12.85,8.84,1.63,10.59
2015-04-07,20.74,22.18,22.26,20.12,15585,148326255.0,10.66,10.51,2.11,10.39
2015-04-08,22.38,21.89,22.9,20.73,17403,169237809.0,9.78,-1.31,-0.29,11.6
2015-04-09,21.43,21.17,21.43,19.51,18478,169936682.0,8.77,-3.29,-0.72,12.32
2015-04-10,20.73,21.55,22.23,20.45,12825,123505040.0,8.41,1.79,0.38,8.55
2015-04-16,19.14,20.35,20.62,19.14,17739,158148869.0,6.87,-5.57,-1.2,11.83
2015-04-17,20.16,19.56,20.63,19.18,17370,155110671.0,7.13,-3.88,-0.79,11.58
2015-04-20,19.3,17.84,19.42,17.73,15991,135319026.0,8.64,-8.79,-1.72,10.66
2015-04-21,17.82,19.29,19.41,17.76,13067,112717021.0,9.25,8.13,1.45,8.71
2015-04-22,19.46,21.48,21.48,19.46,15921,148492727.0,10.47,11.35,2.19,10.61
2015-04-23,21.91,21.23,21.93,20.71,18150,172452578.0,5.68,-1.16,-0.25,12.1
2015-04-24,21.28,23.59,23.59,21.28,35459,180814115.0,10.88,11.12,2.36,11.82
2015-04-27,22.41,23.07,25.23,21.84,66323,339441264.0,14.37,-2.2,-0.52,22.11
2015-04-28,21.98,20.93,22.68,20.75,42906,205490232.0,8.37,-9.28,-2.14,14.3
2015-04-29,20.95,21.43,21.99,20.95,25092,119767998.0,4.97,2.39,0.5,8.36
2015-04-30,21.28,20.88,21.38,20.48,36496,169634520.0,4.2,-2.57,-0.55,12.17
2015-05-04,20.58,20.27,21.36,19.58,28485,130592860.0,8.52,-2.92,-0.61,9.49
2015-05-05,20.33,19.71,20.74,19.63,18787,84513295.0,5.48,-2.76,-0.56,6.26
2015-05-06,19.83,19.88,20.36,19.7,20202,90947652.0,3.35,0.86,0.17,6.73
2015-05-07,19.83,19.98,20.33,19.65,14947,67334506.0,3.42,0.5,0.1,4.98
2015-05-08,19.83,21.56,21.58,19.83,31565,148205047.0,8.76,7.91,1.58,10.52
2015-05-11,21.74,22.29,22.52,21.74,31090,152925285.0,3.62,3.39,0.73,10.36
2015-05-12,22.07,22.23,22.26,21.58,30644,149250887.0,3.05,-0.27,-0.06,10.21
2015-05-13,21.93,21.6,21.93,21.33,28463,136580263.0,2.7,-2.83,-0.63,9.49
2015-05-14,21.53,23.03,23.52,21.25,39195,195334836.0,10.51,6.62,1.43,13.07
2015-05-15,22.91,22.99,23.73,21.58,38968,194915160.0,9.34,-0.17,-0.04,12.99
2015-05-18,22.99,25.53,25.53,22.58,56623,308378672.0,12.83,11.05,2.54,18.87
2015-05-19,26.08,27.25,27.55,24.98,52661,302269712.0,10.07,6.74,1.72,17.55
2015-05-20,26.78,26.91,28.58,26.13,40715,244853942.0,8.99,-1.25,-0.34,13.57
2015-05-21,26.93,29.6,29.67,26.64,40378,247302178.0,11.26,10.0,2.69,13.46
2015-05-22,29.62,28.74,29.84,28.1,34590,216572933.0,5.88,-2.91,-0.86,11.53
2015-05-25,28.33,28.75,29.58,27.61,27774,171725185.0,6.85,0.03,0.01,9.26
2015-05-26,29.23,30.78,30.99,28.46,28862,187702685.0,8.8,7.06,2.03,9.62
2015-05-27,30.63,33.43,33.58,30.11,35232,242724314.0,11.27,8.61,2.65,11.74
2015-05-28,33.08,30.98,36.07,29.96,52745,378754528.0,18.28,-7.33,-2.45,17.58
2015-05-29,30.08,30.4,32.0,28.08,35370,231496950.0,12.65,-1.87,-0.58,11.79
2015-06-01,30.5,31.09,31.23,29.42,25095,165121960.0,5.95,2.27,0.69,8.37
2015-06-02,31.08,33.02,33.13,30.83,24980,173653202.0,7.4,6.21,1.93,8.33
2015-06-03,32.33,31.63,32.98,29.9,23593,161099350.0,9.33,-4.21,-1.39,7.86
2015-06-04,31.1,31.87,31.92,28.33,20333,133115652.0,11.35,0.76,0.24,6.78
2015-06-05,31.83,32.06,32.54,30.54,20023,136798347.0,6.28,0.6,0.19,6.67
2015-06-08,32.08,30.8,32.08,30.56,18001,119961389.0,4.74,-3.93,-1.26,6.0
2015-06-09,30.33,29.57,30.44,29.18,21529,137696385.0,4.09,-3.99,-1.23,7.18
2015-06-10,29.58,29.94,30.58,29.03,20126,129510576.0,5.24,1.25,0.37,6.71
2015-06-11,29.63,33.05,33.11,29.29,35397,241977278.0,12.76,10.39,3.11,11.8
2015-06-12,33.06,32.92,33.88,32.2,24336,172494426.0,5.08,-0.39,-0.13,8.11
2015-06-15,32.33,31.67,33.08,31.48,17748,123097695.0,4.86,-3.8,-1.25,5.92
2015-06-16,31.56,29.83,31.56,29.31,18256,118049238.0,7.1,-5.81,-1.84,6.09
2015-06-17,29.59,31.32,31.49,29.08,15073,98846576.0,8.08,4.99,1.49,5.02
2015-06-18,31.33,29.2,31.33,29.08,11608,75370741.0,7.18,-6.77,-2.12,3.87
2015-06-19,28.17,26.84,29.08,26.05,17054,100911721.0,10.38,-8.08,-2.36,5.68
2015-09-22,23.91,23.91,23.91,23.91,516,2717256.0,0.0,-10.92,-2.93,0.17
2015-09-23,21.28,21.28,21.28,21.28,776,3677464.0,0.0,-11.0,-2.63,0.26
2015-09-24,18.91,19.35,20.58,18.91,95198,412798848.0,7.85,-9.07,-1.93,31.73
2015-09-25,18.28,17.17,18.57,17.17,59662,238932693.0,7.24,-11.27,-2.18,19.89
2015-09-28,16.58,16.12,16.58,15.48,36161,132285903.0,6.41,-6.12,-1.05,12.05
2015-09-29,15.63,16.56,17.03,15.52,35252,133627492.0,9.37,2.73,0.44,11.75
2015-09-30,16.61,16.5,16.83,15.97,20672,77176071.0,5.19,-0.36,-0.06,6.89
2015-10-08,16.9,16.96,17.33,16.71,25610,99334972.0,3.76,2.79,0.46,8.54
2015-10-09,16.98,16.75,17.08,16.58,19552,74972009.0,2.95,-1.24,-0.21,6.52
2015-10-12,16.88,17.66,17.7,16.83,32794,129806696.0,5.19,5.43,0.91,10.93
2015-10-13,17.43,17.5,17.61,17.28,20214,80382478.0,1.87,-0.91,-0.16,6.74
2015-10-14,17.54,17.58,18.33,17.47,26119,105922785.0,4.91,0.46,0.08,8.71
2015-10-15,17.42,17.97,18.03,17.33,21900,88145011.0,3.98,2.22,0.39,7.3
2015-10-16,18.03,17.99,18.22,17.69,24524,99654714.0,2.95,0.11,0.02,8.17
2015-10-19,18.03,18.47,18.5,18.01,29405,121657957.0,2.72,2.67,0.48,9.8
2015-10-20,18.53,18.81,18.96,18.48,22002,92961670.0,2.6,1.84,0.34,7.33
2015-10-21,18.83,16.71,19.01,16.69,34729,139041582.0,12.33,-11.16,-2.1,11.58
2015-10-22,16.67,17.45,17.49,16.67,21401,83651967.0,4.91,4.43,0.74,7.13
2015-10-23,17.49,18.05,18.13,17.46,19740,79271186.0,3.84,3.44,0.6,6.58
2015-10-26,18.38,19.86,20.03,18.18,42680,185350623.0,10.25,10.03,1.81,14.23
2015-10-28,19.86,18.27,19.86,18.02,31837,134976661.0,9.26,-8.01,-1.59,10.61
2015-10-29,18.08,18.04,18.43,17.68,19144,77876370.0,4.11,-1.26,-0.23,6.38
2015-10-30,17.93,18.31,19.03,17.68,22631,94595330.0,7.48,1.5,0.27,7.54
2015-11-02,17.58,18.22,18.86,17.58,21280,88297099.0,6.99,-0.49,-0.09,7.09
2015-11-03,18.21,18.33,18.48,18.03,14412,59474761.0,2.47,0.6,0.11,4.8
2015-11-04,18.48,19.07,19.16,18.24,28050,118795265.0,5.02,4.04,0.74,9.35
2015-11-05,18.98,19.15,19.33,18.53,27834,118438530.0,4.2,0.42,0.08,9.28
2015-11-06,19.26,20.57,21.01,19.19,43964,199689638.0,9.5,7.42,1.42,14.65
2015-11-09,20.23,21.02,21.03,19.58,42993,196604082.0,7.05,2.19,0.45,14.33
2015-11-10,21.03,21.52,22.53,20.76,39840,190782127.0,8.42,2.38,0.5,13.28
2015-11-11,21.51,22.1,22.28,20.88,36012,172693972.0,6.51,2.7,0.58,12.0
2015-11-12,22.1,23.27,23.57,21.78,45986,230967259.0,8.1,5.29,1.17,15.33
2015-11-13,22.41,20.9,23.06,20.88,41013,197963997.0,9.37,-10.18,-2.37,13.67
2015-11-16,20.08,21.3,21.32,19.83,19989,91970041.0,7.13,1.91,0.4,6.66
2015-11-17,21.34,20.43,21.82,20.08,20721,97949604.0,8.17,-4.08,-0.87,6.91
2015-11-18,20.58,19.86,20.88,19.75,21271,96557677.0,5.53,-2.79,-0.57,7.09
2015-11-19,20.0,20.56,20.56,19.83,18097,81801527.0,3.68,3.52,0.7,6.03
2015-11-20,20.5,21.04,21.13,20.29,20738,95917408.0,4.09,2.33,0.48,6.91
2015-11-23,20.83,20.95,21.82,20.76,20924,98633781.0,5.04,-0.43,-0.09,6.97
2015-11-24,20.91,22.02,22.11,20.68,29366,140857559.0,6.83,5.11,1.07,9.79
2015-11-25,22.02,21.85,22.23,21.58,23386,113170182.0,2.95,-0.77,-0.17,7.8
2015-11-26,21.85,21.99,22.64,21.74,28892,142152009.0,4.12,0.64,0.14,9.63
2015-11-27,21.63,20.25,21.93,20.17,25638,120566256.0,8.0,-7.91,-1.74,8.55
2015-11-30,19.71,21.75,22.07,18.08,32434,147096797.0,19.7,7.41,1.5,10.81
2015-12-01,21.62,22.28,23.43,21.23,42322,210961514.0,10.11,2.44,0.53,14.11
2015-12-02,21.83,21.57,22.11,20.08,19865,93767453.0,9.11,-3.19,-0.71,6.62
2015-12-03,21.53,22.55,22.77,21.39,26714,132645037.0,6.4,4.54,0.98,8.9
2015-12-04,22.83,23.15,23.33,22.33,39522,200024430.0,4.43,2.66,0.6,13.17
2015-12-07,23.24,23.9,24.63,22.59,43754,227587653.0,8.81,3.24,0.75,14.58
2015-12-08,23.08,22.76,23.52,22.64,25165,127864091.0,3.68,-4.77,-1.14,8.39
2015-12-09,22.58,22.04,22.95,21.79,19017,93624540.0,5.1,-3.16,-0.72,6.34
2015-12-10,21.84,21.64,22.08,21.47,15950,77152790.0,2.77,-1.81,-0.4,5.32
2015-12-11,21.66,21.88,22.13,21.47,13510,65535519.0,3.05,1.11,0.24,4.5
2015-12-14,21.68,22.23,22.34,21.29,12030,57996223.0,4.8,1.6,0.35,4.01
2015-12-15,22.08,22.03,22.49,21.59,12092,59479979.0,4.05,-0.9,-0.2,4.03
2015-12-16,22.24,21.99,22.33,21.83,14175,69334484.0,2.27,-0.18,-0.04,4.73
2015-12-17,22.06,23.03,23.07,22.05,25797,128756580.0,4.64,4.73,1.04,8.6
2015-12-18,23.15,22.43,23.17,22.35,19241,96477582.0,3.56,-2.61,-0.6,6.41
2015-12-21,22.19,22.09,22.29,21.78,20443,99627356.0,2.27,-1.52,-0.34,6.81
2015-12-22,22.08,21.94,22.14,21.69,12240,59453690.0,2.04,-0.68,-0.15,4.08
2015-12-23,21.88,21.69,22.21,21.59,12342,59993984.0,2.83,-1.14,-0.25,4.11
2015-12-24,21.58,21.51,21.71,20.92,13342,63237999.0,3.64,-0.83,-0.18,4.45
2015-12-25,21.44,21.97,22.13,21.44,11035,53701062.0,3.21,2.14,0.46,3.68
2015-12-28,21.83,20.93,21.91,20.92,16507,78444511.0,4.51,-4.73,-1.04,5.5
2015-12-29,20.93,20.92,21.32,20.42,8880,41415626.0,4.3,-0.05,-0.01,2.96
2015-12-30,20.92,20.97,21.16,20.89,7228,33870002.0,1.29,0.24,0.05,2.41
2015-12-31,21.08,20.77,21.08,20.58,7752,36047101.0,2.38,-0.95,-0.2,1.87
2016-01-04,20.77,18.48,20.77,18.46,7086,31221734.0,11.12,-11.03,-2.29,1.71
2016-01-05,17.58,17.89,18.48,17.14,13518,54558311.0,7.25,-3.19,-0.59,3.26
2016-01-06,17.89,18.2,18.33,17.57,14717,59752300.0,4.25,1.73,0.31,3.55
2016-01-07,17.78,16.21,17.78,16.15,4445,17195429.0,8.96,-10.93,-1.99,1.07
2016-01-08,16.78,16.25,17.07,15.08,11215,41841453.0,12.28,0.25,0.04,2.7
2016-01-11,15.83,14.39,16.06,14.39,20002,69072547.0,10.28,-11.45,-1.86,4.82
2016-01-12,14.43,14.31,14.58,13.69,9757,32546981.0,6.18,-0.56,-0.08,2.35
2016-01-13,14.52,13.2,14.65,13.19,13689,45026900.0,10.2,-7.76,-1.11,3.3
2016-01-14,12.97,14.08,14.11,12.32,13683,42435143.0,13.56,6.67,0.88,3.3
2016-01-15,13.61,13.68,14.08,13.08,9444,30404998.0,7.1,-2.84,-0.4,2.28
2016-01-18,13.21,13.94,14.18,12.96,9218,29848097.0,8.92,1.9,0.26,2.22
2016-01-19,13.94,14.42,14.43,13.83,10351,34430069.0,4.3,3.44,0.48,2.49
2016-01-20,14.37,14.46,14.83,14.13,12156,41296320.0,4.85,0.28,0.04,2.93
2016-01-21,14.08,13.47,14.58,13.47,8693,28611837.0,7.68,-6.85,-0.99,2.1
2016-01-22,13.58,13.63,13.83,13.08,9033,28673571.0,5.57,1.19,0.16,2.18
2016-01-25,13.81,13.75,13.98,13.59,6032,19544274.0,2.86,0.88,0.12,1.45
2016-01-26,13.59,12.64,14.14,12.62,13951,44645574.0,11.05,-8.07,-1.11,3.36
2016-01-27,12.58,12.58,12.88,11.84,10233,30274295.0,8.23,-0.47,-0.06,2.47
2016-01-28,12.48,12.1,13.06,12.08,7302,21896084.0,7.79,-3.82,-0.48,1.76
2016-01-29,11.93,12.78,12.83,11.63,8019,23903266.0,9.92,5.62,0.68,1.93
2016-02-01,12.71,12.84,13.28,12.59,7577,23323232.0,5.4,0.47,0.06,1.83
2016-02-02,12.59,13.37,13.57,12.59,6597,20747333.0,7.63,4.13,0.53,1.59
2016-02-03,13.18,13.42,13.57,13.18,5084,16080279.0,2.92,0.37,0.05,1.23
2016-02-04,13.57,13.78,14.08,13.43,6053,19677816.0,4.84,2.68,0.36,1.46
2016-02-05,13.66,13.75,14.02,13.66,3563,11563504.0,2.61,-0.22,-0.03,0.86
2016-02-15,13.33,13.51,13.83,12.84,6757,21285824.0,7.2,-1.75,-0.24,1.63
2016-02-16,13.58,14.16,14.18,13.51,11190,36742292.0,4.96,4.81,0.65,2.7
2016-02-17,14.18,14.17,14.23,13.94,9102,30050873.0,2.05,0.07,0.01,2.19
2016-02-18,14.18,13.87,14.32,13.79,11131,36613744.0,3.74,-2.12,-0.3,2.68
2016-02-19,13.73,13.88,13.97,13.73,6599,21489071.0,1.73,0.07,0.01,1.59
2016-02-22,14.48,14.62,14.83,14.39,18941,64321625.0,3.17,5.33,0.74,4.57
2016-02-23,14.57,16.32,16.32,14.57,23446,84769219.0,11.97,11.63,1.7,5.65
2016-02-24,17.27,16.85,18.2,16.46,52114,206429520.0,10.66,3.25,0.53,12.56
2016-02-25,16.34,15.31,16.58,14.92,33924,122515378.0,9.85,-9.14,-1.54,8.18
2016-02-26,15.52,14.88,15.58,14.62,15258,53189602.0,6.27,-2.81,-0.43,3.68
2016-02-29,14.58,13.15,14.83,13.15,11265,35809064.0,11.29,-11.63,-1.73,2.72
2016-03-01,12.58,13.37,13.72,12.09,26801,80560633.0,12.4,1.67,0.22,6.46
2016-03-02,13.08,13.97,14.16,12.99,19590,63111003.0,8.75,4.49,0.6,4.72
2016-03-03,13.81,13.64,14.22,13.63,16760,54818640.0,4.22,-2.36,-0.33,4.04
2016-03-04,13.62,13.31,13.83,13.14,12038,38274434.0,5.06,-2.42,-0.33,2.9
2016-03-07,13.49,13.49,13.86,13.32,11060,35499858.0,4.06,1.35,0.18,2.67
2016-03-08,13.48,13.29,13.57,12.65,10367,32045736.0,6.82,-1.48,-0.2,2.5
2016-03-09,13.08,12.72,13.08,12.63,11965,36388433.0,3.39,-4.29,-0.57,2.88
2016-03-10,12.73,12.41,12.85,12.33,9747,29151953.0,4.09,-2.44,-0.31,2.35
2016-03-11,12.3,12.47,12.58,12.24,5346,15894073.0,2.74,0.48,0.06,1.29
2016-03-14,12.73,13.1,13.23,12.58,11199,34615268.0,5.21,5.05,0.63,2.7
2016-03-15,13.09,13.02,13.48,12.88,10503,32840360.0,4.58,-0.61,-0.08,2.53
2016-03-16,13.33,12.79,13.33,12.73,5519,16948812.0,4.61,-1.77,-0.23,1.33
2016-03-17,12.81,13.22,13.33,12.71,10009,31113324.0,4.85,3.36,0.43,2.41
2016-03-18,13.38,13.83,13.88,13.26,16496,53030975.0,4.69,4.61,0.61,3.98
2016-03-21,13.98,14.45,14.63,13.93,15929,52781092.0,5.06,4.48,0.62,3.84
2016-03-22,14.36,14.1,14.43,14.09,11142,37075174.0,2.35,-2.42,-0.35,2.69
2016-03-23,14.13,14.53,14.62,14.08,13939,46655837.0,3.83,3.05,0.43,3.36
2016-03-24,14.53,14.03,14.53,13.99,12625,42098296.0,3.72,-3.44,-0.5,3.04
