日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-11-13,5.37,5.37,5.37,5.37,20,20360.0,0.0,19.33,0.87,0.01
2015-12-30,3.13,3.16,5.4,3.13,2430,1470750.0,42.27,-41.15,-2.21,1.02
2015-12-31,5.43,5.43,5.43,5.43,10,10300.0,0.0,71.84,2.27,0.0
2016-01-08,3.13,5.7,5.7,3.13,2010,1210800.0,47.33,4.97,0.27,0.84
2016-01-12,3.13,5.41,5.41,3.13,1010,610260.0,40.0,-5.09,-0.29,0.42
2016-05-17,3.67,3.67,3.67,3.67,3400,2380000.0,0.0,-32.16,-1.74,1.41
2016-05-19,3.93,3.93,3.93,3.93,200,150000.0,0.0,7.08,0.26,0.08
2016-07-13,3.93,3.93,3.93,3.93,1000,750000.0,0.0,0.0,0.0,0.42
2016-07-14,3.93,3.93,3.93,3.93,100,75000.0,0.0,0.0,0.0,0.04
2016-07-19,3.93,3.93,3.93,3.93,700,525000.0,0.0,0.0,0.0,0.29
2016-07-28,3.93,3.93,3.93,3.93,10000,7500000.0,0.0,0.0,0.0,4.16
2016-10-26,3.93,3.93,3.93,3.93,2000,1500000.0,0.0,0.0,0.0,0.83
2016-10-31,3.93,3.48,3.93,3.13,700,466500.0,20.36,-11.45,-0.45,0.29
2016-11-02,3.93,3.93,3.93,3.93,500,375000.0,0.0,12.93,0.45,0.21
2016-11-15,3.93,3.93,3.93,3.93,1000,750000.0,0.0,0.0,0.0,0.42
2016-11-21,3.93,3.93,3.93,3.93,1300,975000.0,0.0,0.0,0.0,0.54
2016-12-05,3.93,3.93,3.93,3.93,500,375000.0,0.0,0.0,0.0,0.21
2016-12-30,4.2,4.2,4.2,4.2,500,400000.0,0.0,6.87,0.27,0.21
2017-02-20,3.93,3.93,3.93,3.93,600,450000.0,0.0,-6.43,-0.27,0.21
2017-02-21,3.93,3.93,3.93,3.93,400,300000.0,0.0,0.0,0.0,0.14
2017-04-11,3.93,3.93,3.93,3.93,200,150000.0,0.0,0.0,0.0,0.07
2017-06-28,2.76,2.76,2.76,2.76,2000,1060000.0,0.0,-29.77,-1.17,0.68
2017-06-30,3.93,3.93,3.93,3.93,10,7500.0,0.0,42.39,1.17,0.0
2017-08-23,5.0,5.0,5.0,5.0,2500,2375000.0,0.0,27.23,1.07,0.86
2017-08-24,5.0,5.0,5.0,5.0,3100,2945000.0,0.0,0.0,0.0,1.06
2017-09-11,5.0,5.0,5.0,5.0,3000,2850000.0,0.0,0.0,0.0,1.03
2017-09-12,5.0,5.0,5.0,5.0,1200,1140000.0,0.0,0.0,0.0,0.41
2017-09-18,3.13,3.13,3.13,3.13,200,120000.0,0.0,-37.4,-1.87,0.07
2017-09-19,5.0,5.0,5.0,5.0,10,9500.0,0.0,59.74,1.87,0.0
2017-12-06,3.28,3.28,3.28,3.28,800,502400.0,0.0,-34.4,-1.72,0.27
2017-12-07,4.2,4.2,4.2,4.2,10,8000.0,0.0,28.05,0.92,0.0
2017-12-21,3.4,3.4,3.4,3.4,2000,1300000.0,0.0,-19.05,-0.8,0.5
2017-12-22,3.4,3.4,3.4,3.4,2000,1300000.0,0.0,0.0,0.0,0.5
2017-12-25,3.28,3.28,3.28,3.28,73263,46009076.0,0.0,-3.53,-0.12,18.21
2017-12-27,3.33,3.33,3.33,3.33,6950,4434100.0,0.0,1.52,0.05,1.73
2017-12-28,3.33,3.33,3.33,3.33,16450,10495100.0,0.0,0.0,0.0,4.09
2017-12-29,3.33,3.33,3.33,3.33,6456,4119004.0,0.0,0.0,0.0,1.6
2018-01-12,3.33,3.33,3.33,3.33,800,510400.0,0.0,0.0,0.0,0.2
2018-02-02,3.93,3.93,3.93,3.93,10,7500.0,0.0,18.02,0.6,0.0
2018-02-09,3.33,3.33,3.33,3.33,10,6380.0,0.0,-15.27,-0.6,0.0
2018-02-12,3.93,3.93,3.93,3.93,11920,8724960.0,0.0,18.02,0.6,2.96
2018-05-11,3.93,3.93,3.93,3.93,10,7500.0,0.0,0.0,0.0,0.0
2018-07-19,3.94,3.94,3.94,3.94,5000,2000000.0,0.0,0.25,0.01,0.66
2018-07-27,4.44,4.44,4.44,4.44,560,252000.0,0.0,12.69,0.5,0.07
2018-09-10,3.94,3.94,3.94,3.94,10,4000.0,0.0,-11.26,-0.5,0.0
2018-09-17,3.94,3.94,3.94,3.94,900,360000.0,0.0,0.0,0.0,0.12
2019-04-11,3.94,3.94,3.94,3.94,1122,448976.0,0.0,0.0,0.0,0.15
2019-06-06,3.94,3.94,3.94,3.94,9100,3585400.0,0.0,0.0,0.0,1.21
2019-06-21,5.3,5.3,5.3,5.3,10,5300.0,0.0,34.52,1.36,0.0
