日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-06-20,6.03,7.33,7.33,6.03,51,114168.0,26.32,48.38,2.39,0.04
2017-06-21,8.12,8.12,8.12,8.12,17,42194.0,0.0,10.78,0.79,0.01
2017-06-22,8.98,8.98,8.98,8.98,12,32760.0,0.0,10.59,0.86,0.01
2017-06-23,9.93,9.93,9.93,9.93,58,174174.0,0.0,10.58,0.95,0.04
2017-06-26,10.97,10.97,10.97,10.97,95,313785.0,0.0,10.47,1.04,0.07
2017-06-27,12.11,12.11,12.11,12.11,192,698407.0,0.0,10.39,1.14,0.14
2017-06-28,13.37,13.37,13.37,13.37,662,2645431.0,0.0,10.4,1.26,0.5
2017-06-29,14.76,14.76,14.76,14.76,647,2844212.0,0.0,10.4,1.39,0.49
2017-06-30,16.29,16.29,16.29,16.29,1165,5633940.0,0.0,10.37,1.53,0.87
2017-07-03,16.79,16.86,17.55,16.59,84427,422604528.0,5.89,3.5,0.57,63.32
2017-07-04,16.86,17.72,18.42,16.79,75204,388511904.0,9.67,5.1,0.86,56.4
2017-07-05,17.29,18.11,18.51,17.06,63798,335557088.0,8.18,2.2,0.39,47.85
2017-07-06,18.31,19.08,19.12,17.83,59780,326080864.0,7.12,5.36,0.97,44.83
2017-07-07,18.74,18.51,19.32,18.36,53427,296884576.0,5.03,-2.99,-0.57,40.07
2017-07-10,17.97,17.35,18.11,17.18,38574,201838147.0,5.02,-6.27,-1.16,28.93
2017-07-11,17.25,17.1,17.54,16.96,20693,105738012.0,3.34,-1.44,-0.25,15.52
2017-07-12,17.1,17.61,17.67,16.7,34439,176756932.0,5.67,2.98,0.51,25.83
2017-07-13,17.31,16.37,17.4,16.3,34495,171428715.0,6.25,-7.04,-1.24,25.87
2017-07-14,16.35,16.46,16.75,16.24,20758,101782875.0,3.12,0.55,0.09,15.57
2017-07-17,16.13,14.76,16.16,14.76,24246,109184947.0,8.51,-10.33,-1.7,18.18
2017-07-18,14.6,14.71,14.99,14.46,16430,72143204.0,3.59,-0.34,-0.05,12.32
2017-07-19,14.47,14.31,14.67,13.96,21537,91659024.0,4.83,-2.72,-0.4,16.15
2017-07-20,14.36,14.0,14.69,14.0,22452,96133502.0,4.82,-2.17,-0.31,16.84
2017-07-21,14.26,14.85,15.4,14.08,33235,144812755.0,9.43,6.07,0.85,24.93
2017-07-24,14.78,15.42,15.79,14.3,31831,143054124.0,10.03,3.84,0.57,23.87
2017-07-25,15.65,15.19,16.12,15.19,29435,137355268.0,6.03,-1.49,-0.23,22.08
2017-07-26,15.22,15.11,15.68,14.99,21435,97331443.0,4.54,-0.53,-0.08,16.08
2017-07-27,15.01,15.77,15.99,14.65,29509,134363479.0,8.87,4.37,0.66,22.13
2017-07-28,15.56,15.57,15.97,15.35,23769,110332358.0,3.93,-1.27,-0.2,17.83
2017-07-31,15.76,15.4,15.99,15.33,13546,62909656.0,4.24,-1.09,-0.17,10.16
2017-08-01,15.24,15.18,15.4,14.78,15904,71430370.0,4.03,-1.43,-0.22,11.93
