日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,6.54,6.49,6.62,6.41,89951,82979444.0,3.21,-0.76,-0.05,4.07
2010-01-05,6.49,6.31,6.51,6.14,87811,79597044.0,5.7,-2.77,-0.18,3.97
2010-01-06,6.26,6.32,6.56,6.19,80445,73781883.0,5.86,0.16,0.01,3.64
2010-01-07,6.31,6.15,6.41,6.04,88194,79220234.0,5.85,-2.69,-0.17,3.99
2010-01-11,6.24,6.22,6.41,6.1,48785,43689443.0,5.04,1.14,0.07,2.21
2010-01-12,6.22,6.59,6.61,6.15,107748,99585427.0,7.4,5.95,0.37,4.87
2010-01-13,6.77,6.64,6.92,6.54,135865,129121182.0,5.77,0.76,0.05,6.15
2010-01-14,6.39,6.79,6.85,6.39,90592,85192380.0,6.93,2.26,0.15,4.1
2010-01-15,6.76,6.66,6.8,6.6,76287,72198068.0,2.95,-1.91,-0.13,3.45
2010-01-18,6.66,6.74,6.89,6.6,83654,79724208.0,4.35,1.2,0.08,3.78
2010-01-19,6.75,6.48,6.83,6.4,127306,118142376.0,6.38,-3.86,-0.26,5.76
2010-01-20,6.48,6.26,6.54,6.12,87952,80160751.0,6.48,-3.4,-0.22,3.98
2010-01-21,6.24,6.2,6.32,6.04,60798,54345662.0,4.47,-0.96,-0.06,2.75
2010-01-22,6.09,6.01,6.19,5.85,60697,53527225.0,5.48,-3.06,-0.19,2.75
2010-01-25,5.99,6.0,6.12,5.91,31847,27930408.0,3.49,-0.17,-0.01,1.44
2010-01-26,6.06,5.52,6.06,5.35,51139,43403123.0,11.83,-8.0,-0.48,2.31
2010-01-27,5.66,5.54,5.66,5.39,35717,29656807.0,4.89,0.36,0.02,1.62
2010-01-28,5.57,5.41,5.57,5.12,69009,55764273.0,8.12,-2.35,-0.13,3.12
2010-01-29,5.26,5.74,5.81,5.24,53400,44092015.0,10.54,6.1,0.33,2.42
2010-02-01,5.62,5.51,5.73,5.38,46197,38097893.0,6.1,-4.01,-0.23,2.09
2010-02-02,5.51,5.6,5.76,5.46,34620,28973898.0,5.44,1.63,0.09,1.57
2010-02-03,5.58,5.69,5.76,5.38,35028,29186076.0,6.79,1.61,0.09,1.58
2010-02-04,5.66,5.67,5.77,5.54,50697,42654643.0,4.04,-0.35,-0.02,2.29
2010-02-05,5.52,5.31,5.58,5.24,50077,40883726.0,6.0,-6.35,-0.36,2.27
2010-02-08,5.34,5.36,5.38,5.24,29678,23989461.0,2.64,0.94,0.05,1.34
2010-02-09,5.33,5.54,5.62,5.29,39781,32960040.0,6.16,3.36,0.18,1.8
2010-02-10,5.63,5.54,5.67,5.42,35501,29395714.0,4.51,0.0,0.0,1.61
2010-02-11,5.57,5.46,5.57,5.46,18151,14989142.0,1.99,-1.44,-0.08,0.82
2010-02-12,5.46,5.53,5.56,5.44,26015,21527103.0,2.2,1.28,0.07,1.18
2010-02-22,5.54,6.23,6.35,5.54,124414,108599768.0,14.65,12.66,0.7,5.63
2010-02-23,6.04,6.21,6.27,5.97,96570,86483291.0,4.82,-0.32,-0.02,4.37
2010-02-24,6.24,6.38,6.56,6.24,91801,84231313.0,5.15,2.74,0.17,4.15
2010-02-25,6.32,6.94,7.29,6.32,255184,244907738.0,15.2,8.78,0.56,11.54
2010-02-26,6.86,7.15,7.19,6.79,216293,211794881.0,5.76,3.03,0.21,9.78
2010-03-01,7.2,7.37,7.39,6.94,207065,207837672.0,6.29,3.08,0.22,9.37
2010-03-02,7.29,7.42,7.47,7.19,117008,118026088.0,3.8,0.68,0.05,5.29
2010-03-03,7.34,7.99,8.29,7.34,196893,209657540.0,12.8,7.68,0.57,8.91
2010-03-04,7.94,7.95,8.27,7.79,110970,119083426.0,6.01,-0.5,-0.04,5.02
2010-03-05,7.8,7.84,8.0,7.65,68419,72469893.0,4.4,-1.38,-0.11,3.09
2010-03-08,7.81,7.85,8.02,7.59,69124,72819948.0,5.48,0.13,0.01,3.13
2010-03-09,7.82,7.29,7.82,7.21,130987,133388873.0,7.77,-7.13,-0.56,5.93
2010-03-10,7.29,7.49,7.56,7.29,104248,106023475.0,3.7,2.74,0.2,4.72
2010-03-11,7.44,7.33,7.44,7.2,52672,52982113.0,3.2,-2.14,-0.16,2.38
2010-03-12,7.34,7.49,7.92,7.33,95098,98795482.0,8.05,2.18,0.16,4.3
2010-03-15,7.52,7.72,7.77,7.16,59904,61622393.0,8.14,3.07,0.23,2.71
2010-03-16,7.74,7.94,8.17,7.59,94000,100518106.0,7.51,2.85,0.22,4.25
2010-03-17,7.92,7.95,8.32,7.83,76644,82791961.0,6.17,0.13,0.01,3.47
2010-03-18,7.91,7.75,8.07,7.66,69541,73860817.0,5.16,-2.52,-0.2,3.15
2010-03-19,7.72,8.03,8.14,7.5,82001,87022603.0,8.26,3.61,0.28,3.71
2010-03-22,8.03,7.89,8.19,7.84,70112,75671974.0,4.36,-1.74,-0.14,3.17
2010-03-23,7.89,7.71,7.99,7.68,60165,63586921.0,3.93,-2.28,-0.18,2.72
2010-03-24,7.7,7.8,8.1,7.66,51713,54999608.0,5.71,1.17,0.09,2.34
2010-03-25,7.76,7.6,7.89,7.47,52111,54430391.0,5.38,-2.56,-0.2,2.36
2010-03-26,7.6,7.66,7.73,7.39,33058,34217774.0,4.47,0.79,0.06,1.5
2010-03-29,7.66,7.74,7.96,7.59,43403,45662656.0,4.83,1.04,0.08,1.96
2010-03-30,7.76,8.03,8.12,7.55,66973,71370905.0,7.36,3.75,0.29,3.03
2010-03-31,8.1,8.59,8.71,8.04,124263,139425867.0,8.34,6.97,0.56,5.62
2010-04-01,8.56,8.7,8.93,8.35,93279,106446422.0,6.75,1.28,0.11,4.22
2010-04-02,8.62,8.56,8.91,8.47,53067,60693474.0,5.06,-1.61,-0.14,2.4
2010-04-06,8.53,8.39,8.79,8.36,63758,71748163.0,5.02,-1.99,-0.17,2.88
2010-04-07,8.39,8.42,8.6,8.36,51140,57377272.0,2.86,0.36,0.03,2.31
2010-04-08,8.43,8.48,8.57,8.39,38785,43503890.0,2.14,0.71,0.06,1.75
2010-04-09,8.52,8.47,8.57,8.24,62973,70152118.0,3.89,-0.12,-0.01,2.85
2010-04-12,8.46,8.75,8.82,8.41,78086,88846324.0,4.84,3.31,0.28,3.53
2010-04-13,8.81,8.54,8.82,8.09,59888,67444406.0,8.34,-2.4,-0.21,2.71
2010-04-14,8.59,8.66,8.69,8.3,46771,52803956.0,4.57,1.41,0.12,2.12
2010-04-15,8.66,8.34,8.71,8.24,43111,48050968.0,5.43,-3.7,-0.32,1.95
2010-04-16,8.32,8.4,8.5,8.22,24619,27471591.0,3.36,0.72,0.06,1.11
2010-04-19,8.32,7.67,8.38,7.64,45078,48630254.0,8.81,-8.69,-0.73,2.04
2010-04-20,7.64,7.96,7.99,7.59,36379,38279132.0,5.22,3.78,0.29,1.65
2010-04-21,8.04,8.44,8.64,7.9,100246,112548193.0,9.3,6.03,0.48,4.53
2010-04-22,8.36,8.89,8.92,8.36,108508,124496297.0,6.64,5.33,0.45,4.91
2010-04-26,8.74,8.99,9.2,8.58,74736,87428664.0,6.97,1.12,0.1,3.38
2010-04-27,8.94,8.62,8.98,8.39,43323,49082853.0,6.56,-4.12,-0.37,1.96
2010-04-28,8.54,8.33,8.58,8.28,35645,39746728.0,3.48,-3.36,-0.29,1.61
2010-04-29,8.39,8.07,8.58,7.99,30959,34497142.0,7.08,-3.12,-0.26,1.4
2010-04-30,8.16,8.06,8.34,7.85,48295,52341940.0,6.07,-0.12,-0.01,2.18
2010-05-04,7.9,8.09,8.26,7.86,24097,26275827.0,4.96,0.37,0.03,1.09
2010-05-05,7.85,8.54,8.58,7.85,42404,47114443.0,9.02,5.56,0.45,1.92
2010-05-06,8.54,8.55,8.97,8.34,75662,86736817.0,7.38,0.12,0.01,3.42
2010-05-07,8.55,8.35,8.6,8.04,77427,85422134.0,6.55,-2.34,-0.2,3.5
2010-05-10,8.14,7.25,8.29,7.24,67156,70077816.0,12.57,-13.17,-1.1,3.04
