日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,4.18,4.15,4.22,4.14,16703,30251771.59,1.93,0.0,0.0,2.32
2010-01-05,4.16,4.21,4.22,4.16,16173,29365501.56,1.45,1.45,0.06,2.25
2010-01-06,4.18,4.16,4.3,4.16,17034,31095993.67,3.33,-1.19,-0.05,2.37
2010-01-07,4.16,4.06,4.2,4.03,16596,29753497.32,4.09,-2.4,-0.1,2.31
2010-01-08,4.08,4.06,4.08,3.94,12750,22383631.85,3.45,0.0,0.0,1.77
2010-01-11,4.09,4.22,4.22,4.0,20772,37312772.62,5.42,3.94,0.16,2.89
2010-01-12,4.23,4.37,4.42,4.21,28250,52530760.53,4.98,3.55,0.15,3.93
2010-01-13,4.24,4.41,4.54,4.22,36067,68040874.24,7.32,0.92,0.04,5.02
2010-01-14,4.39,4.48,4.51,4.37,21010,39911831.1,3.17,1.59,0.07,2.92
2010-01-15,4.49,4.47,4.6,4.43,23304,44610531.39,3.79,-0.22,-0.01,3.24
2010-01-18,4.43,4.7,4.72,4.43,36874,71736594.03,6.49,5.15,0.23,5.13
2010-01-19,4.64,4.65,4.73,4.58,25114,49286755.79,3.19,-1.06,-0.05,3.49
2010-01-20,4.62,4.32,4.64,4.27,31038,58921200.19,7.96,-7.1,-0.33,4.32
2010-01-21,4.33,4.37,4.42,4.27,14610,27306641.84,3.47,1.16,0.05,2.03
2010-01-22,4.33,4.22,4.35,4.08,17775,32291177.44,6.18,-3.43,-0.15,2.47
2010-01-25,4.15,4.1,4.23,4.09,8275,14903119.32,3.32,-2.84,-0.12,1.15
2010-01-26,4.12,3.91,4.18,3.85,11917,20788020.95,8.05,-4.63,-0.19,1.66
2010-01-27,3.89,3.93,4.01,3.87,9233,15985733.73,3.58,0.51,0.02,1.28
2010-01-28,3.92,4.15,4.17,3.88,19666,34904583.62,7.38,5.6,0.22,2.74
2010-01-29,4.06,4.15,4.22,4.05,12760,23002234.55,4.1,0.0,0.0,1.77
2010-02-01,4.12,4.24,4.25,4.03,16020,28974422.43,5.3,2.17,0.09,2.23
2010-02-02,4.24,4.09,4.28,4.09,12361,22397940.82,4.48,-3.54,-0.15,1.72
2010-02-03,4.07,4.21,4.24,3.94,15906,28585653.39,7.33,2.93,0.12,2.21
2010-02-04,4.11,4.41,4.48,4.11,32666,61239770.76,8.79,4.75,0.2,4.54
2010-02-05,4.3,4.38,4.55,4.27,30612,57629830.72,6.35,-0.68,-0.03,4.26
2010-02-08,4.33,4.24,4.34,4.15,26996,49396451.89,4.34,-3.2,-0.14,3.76
2010-02-09,4.18,4.05,4.21,4.03,16522,29452876.49,4.25,-4.48,-0.19,2.3
2010-02-10,4.07,4.25,4.26,4.06,17491,31613861.54,4.94,4.94,0.2,2.43
2010-02-11,4.25,4.28,4.35,4.21,20439,37673667.01,3.29,0.71,0.03,2.84
2010-02-12,4.28,4.4,4.4,4.26,18480,34360382.16,3.27,2.8,0.12,2.57
2010-02-22,4.36,4.34,4.44,4.31,17073,32019114.9,2.95,-1.36,-0.06,2.37
2010-02-23,4.33,4.3,4.36,4.12,18790,34377990.55,5.53,-0.92,-0.04,2.61
2010-02-24,4.23,4.47,4.49,4.13,31907,59364584.43,8.37,3.95,0.17,4.44
2010-02-25,4.45,4.49,4.52,4.4,34045,64833447.87,2.68,0.45,0.02,4.74
2010-02-26,4.48,4.39,4.51,4.38,23536,44616677.26,2.9,-2.23,-0.1,3.27
2010-03-01,4.4,4.57,4.58,4.38,39987,76963128.8,4.56,4.1,0.18,5.56
2010-03-02,4.58,4.59,4.59,4.47,26966,51855913.02,2.63,0.44,0.02,3.75
2010-03-03,4.59,4.62,4.64,4.53,26459,51462853.47,2.4,0.65,0.03,3.68
2010-03-04,4.59,4.4,4.66,4.35,33315,63610243.94,6.71,-4.76,-0.22,4.63
2010-03-05,4.39,4.42,4.44,4.32,15033,28252976.03,2.73,0.45,0.02,2.09
2010-03-08,4.42,4.44,4.5,4.4,13381,25422949.67,2.26,0.45,0.02,1.86
2010-03-09,4.42,4.4,4.47,4.34,9770,18375109.37,2.93,-0.9,-0.04,1.36
2010-03-11,4.39,4.28,4.43,4.26,12379,23040930.49,3.86,-2.73,-0.12,1.72
2010-03-12,4.29,4.13,4.31,4.13,13240,23983094.36,4.21,-3.5,-0.15,1.84
2010-03-15,4.12,4.1,4.18,4.08,7476,13355843.34,2.42,-0.73,-0.03,1.04
2010-03-16,4.1,4.18,4.18,4.09,8275,14843966.58,2.2,1.95,0.08,1.15
2010-03-17,4.18,4.36,4.38,4.16,15131,27819107.21,5.26,4.31,0.18,2.1
2010-03-18,4.38,4.42,4.49,4.38,25256,47766101.39,2.52,1.38,0.06,3.51
2010-03-19,4.43,4.46,4.47,4.36,11589,21837947.67,2.49,0.9,0.04,1.61
2010-03-22,4.45,4.46,4.48,4.41,12053,22895037.73,1.57,0.0,0.0,1.68
2010-03-23,4.53,4.6,4.74,4.53,53691,105127423.45,4.71,3.14,0.14,7.47
2010-03-24,4.58,4.49,4.58,4.48,23525,45172165.3,2.17,-2.39,-0.11,3.27
2010-03-25,4.46,4.35,4.49,4.32,16043,30206929.23,3.79,-3.12,-0.14,2.23
2010-03-26,4.36,4.54,4.59,4.3,25453,48684452.73,6.67,4.37,0.19,3.54
2010-03-29,4.54,4.51,4.59,4.47,19882,38169450.13,2.64,-0.66,-0.03,2.77
2010-03-30,4.55,4.52,4.55,4.45,13166,25183828.67,2.22,0.22,0.01,1.83
2010-03-31,4.5,4.51,4.56,4.45,15725,30215354.45,2.43,-0.22,-0.01,2.19
2010-04-01,4.47,4.57,4.58,4.44,24772,47531582.01,3.1,1.33,0.06,3.45
2010-04-02,4.56,4.5,4.56,4.47,16767,32099080.11,1.97,-1.53,-0.07,2.33
2010-04-06,4.5,4.65,4.69,4.5,40369,78846924.46,4.22,3.33,0.15,5.62
2010-04-07,4.64,4.6,4.64,4.52,24960,48369828.98,2.58,-1.08,-0.05,3.47
2010-04-08,4.6,4.63,4.65,4.54,38792,75585044.85,2.39,0.65,0.03,5.4
2010-04-09,4.65,4.87,4.93,4.63,74752,150629217.39,6.48,5.18,0.24,10.4
2010-04-12,4.85,4.96,5.04,4.85,58146,119815507.76,3.9,1.85,0.09,8.09
2010-04-13,4.97,4.87,4.99,4.64,45224,91581895.8,7.06,-1.81,-0.09,6.29
2010-04-14,4.85,5.03,5.15,4.79,38165,79442605.97,7.39,3.29,0.16,5.31
2010-04-15,5.03,4.92,5.06,4.84,21612,44599890.71,4.37,-2.19,-0.11,3.01
2010-04-16,4.91,4.86,4.91,4.73,17714,35896384.04,3.66,-1.22,-0.06,2.46
2010-04-19,4.79,4.59,4.92,4.56,29260,58774797.89,7.41,-5.56,-0.27,4.07
2010-04-20,4.65,4.64,4.72,4.45,35429,68287242.57,5.88,1.09,0.05,4.93
2010-04-21,4.58,4.87,4.91,4.56,29479,59204927.32,7.54,4.96,0.23,4.1
2010-04-22,4.88,5.18,5.33,4.88,56625,120387885.78,9.24,6.37,0.31,7.88
2010-04-23,5.11,5.21,5.27,5.07,32574,69465757.62,3.86,0.58,0.03,4.53
2010-04-26,5.11,5.1,5.27,5.02,26971,57400042.36,4.8,-2.11,-0.11,3.75
2010-04-27,5.09,5.05,5.17,4.79,27794,57374610.14,7.45,-0.98,-0.05,3.87
2010-04-28,4.99,5.31,5.36,4.88,48092,103380424.04,9.5,5.15,0.26,6.69
2010-04-29,5.33,5.24,5.6,5.24,68962,151907872.0,6.78,-1.32,-0.07,9.59
2010-04-30,5.17,4.61,5.17,4.59,43661,87308386.63,11.07,-12.02,-0.63,6.07
2010-05-04,4.4,4.58,4.7,4.39,24411,47354825.12,6.72,-0.65,-0.03,3.4
2010-05-05,4.54,4.67,4.71,4.49,21640,42373479.96,4.8,1.97,0.09,3.01
2010-05-06,4.64,4.49,4.77,4.49,25069,49401388.98,6.0,-3.85,-0.18,3.49
2010-05-07,4.39,4.39,4.48,4.18,22958,42773632.83,6.68,-2.23,-0.1,3.19
2010-05-10,4.4,4.52,4.53,4.25,16021,29933593.05,6.38,2.96,0.13,2.23
2010-05-11,4.6,4.11,4.64,4.02,13903,25790562.86,13.72,-9.07,-0.41,1.93
2010-05-12,4.09,3.94,4.11,3.81,12217,21072600.54,7.3,-4.14,-0.17,1.7
2010-05-13,3.95,4.26,4.32,3.9,16504,29291742.25,10.66,8.12,0.32,2.3
2010-05-14,4.18,4.15,4.31,4.11,10377,18623449.69,4.69,-2.58,-0.11,1.44
2010-05-17,4.08,3.8,4.08,3.8,7675,13184221.9,6.75,-8.43,-0.35,1.07
2010-05-19,3.9,3.99,4.15,3.89,14112,24511392.4,6.84,5.0,0.19,1.96
2010-05-20,3.95,4.02,4.15,3.93,9127,15996822.65,5.51,0.75,0.03,1.27
2010-05-21,3.9,4.14,4.15,3.87,9607,16806012.16,6.97,2.99,0.12,1.34
2010-05-24,4.17,4.35,4.38,4.17,14458,26617053.35,5.07,5.07,0.21,2.01
2010-05-25,4.29,4.4,4.5,4.27,16711,31348678.46,5.29,1.15,0.05,2.32
2010-05-26,4.35,4.42,4.47,4.35,11557,21536542.01,2.73,0.45,0.02,1.61
2010-05-27,4.35,4.44,4.49,4.33,10449,19582375.97,3.62,0.45,0.02,1.45
2010-05-28,4.5,4.46,4.51,4.43,8136,15390245.68,1.8,0.45,0.02,1.13
2010-05-31,4.44,4.29,4.56,4.29,8148,15374825.44,6.05,-3.81,-0.17,1.13
2010-06-01,4.24,4.3,4.35,4.13,9837,17832998.32,5.13,0.23,0.01,1.37
2010-06-02,4.3,4.31,4.34,4.17,6254,11419200.32,3.95,0.23,0.01,0.87
2010-06-03,4.34,4.35,4.54,4.29,18157,34045248.72,5.8,0.93,0.04,2.53
2010-06-04,4.32,4.31,4.36,4.18,12173,22125415.64,4.14,-0.92,-0.04,1.69
2010-06-07,4.2,4.3,4.36,4.18,11722,21516780.96,4.18,-0.23,-0.01,1.63
2010-06-09,4.59,4.55,4.8,4.5,34846,67911149.76,6.98,5.81,0.25,4.85
2010-06-10,4.45,4.59,4.63,4.44,14685,28115799.07,4.18,0.88,0.04,2.04
2010-06-11,4.59,4.68,4.71,4.59,17896,34958558.49,2.61,1.96,0.09,2.49
2010-06-17,4.71,4.6,4.77,4.59,7122,13916755.84,3.85,-1.71,-0.08,0.99
2010-06-18,4.6,4.16,4.65,4.14,14137,26195876.28,11.09,-9.57,-0.44,1.97
2010-06-21,4.17,4.4,4.42,4.14,12341,22668841.66,6.73,5.77,0.24,1.72
2010-06-22,4.4,4.52,4.55,4.35,8598,16308594.27,4.55,2.73,0.12,1.2
2010-06-23,4.5,4.49,4.59,4.42,7548,14394411.24,3.76,-0.66,-0.03,1.05
2010-06-24,4.49,4.56,4.56,4.49,5233,10008244.33,1.56,1.56,0.07,0.73
2010-06-25,4.51,4.61,4.65,4.51,9665,18615936.38,3.07,1.1,0.05,1.34
2010-06-28,4.59,4.55,4.59,4.51,6735,12923822.71,1.74,-1.3,-0.06,0.94
2010-06-29,4.55,4.2,4.56,4.17,10139,18651241.96,8.57,-7.69,-0.35,1.41
2010-06-30,4.18,4.17,4.2,3.98,5170,9132796.7,5.24,-0.71,-0.03,0.72
2010-07-01,4.17,4.08,4.19,4.05,3690,6526306.28,3.36,-2.16,-0.09,0.51
2010-07-02,4.05,4.05,4.1,3.88,6546,11349436.01,5.39,-0.74,-0.03,0.91
2010-07-05,4.01,4.2,4.24,3.92,7209,12739773.82,7.9,3.7,0.15,1.0
