日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-03-26,16.15,16.15,16.15,16.15,159,276660.0,0.0,49.12,5.32,0.06
2015-03-27,17.89,17.89,17.89,17.89,66,126324.0,0.0,10.77,1.74,0.02
2015-03-30,19.8,19.8,19.8,19.8,174,366270.0,0.0,10.68,1.91,0.06
2015-03-31,21.91,21.91,21.91,21.91,626,1449816.0,0.0,10.66,2.11,0.23
2015-04-01,24.23,24.23,24.23,24.23,1591,4053868.0,0.0,10.59,2.32,0.57
2015-04-02,26.78,26.78,26.78,26.78,1932,5415396.0,0.0,10.52,2.55,0.7
2015-04-03,29.58,29.58,29.58,29.58,5570,17172803.0,0.0,10.46,2.8,2.01
2015-04-07,32.66,32.66,32.66,32.66,5585,18939210.0,0.0,10.41,3.08,2.02
2015-04-08,36.05,36.05,36.05,36.05,4496,16770043.0,0.0,10.38,3.39,1.62
2015-04-09,39.78,39.78,39.78,37.63,130756,533598224.0,5.96,10.35,3.73,47.24
2015-04-10,41.75,41.73,43.72,40.75,128988,560948880.0,7.47,4.9,1.95,46.6
2015-04-13,39.77,40.99,41.75,39.09,79859,332853840.0,6.37,-1.77,-0.74,28.85
2015-04-14,40.26,40.41,41.75,39.77,55113,230851096.0,4.83,-1.41,-0.58,19.91
2015-04-15,39.78,37.36,40.35,37.3,55735,221964836.0,7.55,-7.55,-3.05,20.14
2015-04-16,36.95,37.86,38.65,36.44,31588,123154290.0,5.92,1.34,0.5,11.41
2015-04-17,38.34,39.11,39.73,38.31,44471,179253418.0,3.75,3.3,1.25,16.07
2015-04-20,38.25,37.25,39.55,37.23,38002,149870496.0,5.93,-4.76,-1.86,13.73
2015-04-21,37.25,38.44,38.49,36.94,26763,104366632.0,4.16,3.19,1.19,9.67
2015-04-22,38.5,39.11,39.13,38.4,31956,127970254.0,1.9,1.74,0.67,11.54
2015-04-23,39.25,38.93,39.25,38.51,25324,101411033.0,1.89,-0.46,-0.18,9.15
2015-04-24,38.13,38.66,38.74,37.86,21466,85093230.0,2.26,-0.69,-0.27,7.75
2015-04-27,39.25,42.22,42.25,38.81,64211,269204688.0,8.9,9.21,3.56,23.2
2015-04-28,40.75,38.73,40.75,38.05,54065,220124482.0,6.4,-8.27,-3.49,19.53
2015-04-29,38.25,39.14,39.33,38.05,23785,95421943.0,3.3,1.06,0.41,8.59
2015-04-30,39.32,39.18,40.3,38.76,33605,136749845.0,3.93,0.1,0.04,12.14
2015-05-04,38.85,38.71,39.08,38.18,17837,71198450.0,2.3,-1.2,-0.47,6.44
2015-05-05,38.56,37.35,38.75,37.06,20366,79934768.0,4.37,-3.51,-1.36,7.36
2015-05-06,37.54,37.89,38.25,37.41,18856,73745166.0,2.25,1.45,0.54,6.81
2015-05-07,37.41,36.96,37.85,36.8,15148,58016268.0,2.77,-2.45,-0.93,5.47
2015-05-08,37.01,38.22,38.25,37.01,18756,73275685.0,3.35,3.41,1.26,6.78
2015-05-11,38.6,40.76,41.35,38.26,50133,207036101.0,8.08,6.65,2.54,18.11
2015-05-12,41.13,41.53,42.74,40.33,46930,200992407.0,5.91,1.89,0.77,16.95
2015-05-13,40.75,44.09,45.8,40.37,61830,277427616.0,13.07,6.16,2.56,22.34
2015-05-14,45.75,46.75,47.25,43.85,57717,272618976.0,7.71,6.03,2.66,20.85
2015-05-15,46.25,46.78,48.25,43.77,64757,303214592.0,9.58,0.06,0.03,23.39
2015-05-18,46.15,51.58,51.58,45.76,62621,318862848.0,12.44,10.26,4.8,22.62
2015-05-19,53.75,50.86,56.85,49.63,68717,368784544.0,14.0,-1.4,-0.72,24.83
2015-05-20,50.31,50.13,52.62,49.31,51412,270816864.0,6.51,-1.44,-0.73,18.57
2015-05-21,49.75,49.66,50.35,48.34,40312,203361044.0,4.01,-0.94,-0.47,14.56
2015-05-22,50.85,54.75,54.75,48.63,58190,306954784.0,12.32,10.25,5.09,21.02
2015-05-25,53.25,58.69,60.25,51.77,64398,377467824.0,15.49,7.2,3.94,23.27
2015-05-26,58.65,64.68,64.68,58.05,53655,339036320.0,11.3,10.21,5.99,19.38
2015-05-27,65.95,71.27,71.27,64.65,57134,397876256.0,10.24,10.19,6.59,20.64
2015-05-28,73.75,64.03,78.52,64.02,87369,678070432.0,20.35,-10.16,-7.24,31.56
2015-05-29,60.75,61.6,67.26,57.5,76207,479717264.0,15.24,-3.8,-2.43,27.53
2015-06-01,61.44,59.91,61.44,56.63,51744,312817648.0,7.81,-2.74,-1.69,18.69
2015-06-02,61.71,60.25,61.72,58.25,45630,279504416.0,5.79,0.57,0.34,16.48
2015-06-03,60.08,61.33,64.25,59.33,49489,313343360.0,8.17,1.79,1.08,17.88
2015-06-04,61.7,57.12,62.23,55.07,48040,278839104.0,11.67,-6.86,-4.21,17.36
2015-06-05,57.75,55.83,59.31,53.28,35876,209454705.0,10.56,-2.26,-1.29,12.96
2015-06-08,56.63,55.51,56.63,53.28,41173,228671858.0,6.0,-0.57,-0.32,14.87
2015-06-09,54.74,56.56,56.85,54.56,38069,217575197.0,4.13,1.89,1.05,13.75
2015-06-10,56.55,60.26,61.75,55.66,46199,278894064.0,10.77,6.54,3.7,16.69
2015-06-11,59.7,61.24,62.17,58.75,36865,229484227.0,5.68,1.63,0.98,13.32
2015-06-12,60.75,59.94,61.21,58.96,35531,217083964.0,3.67,-2.12,-1.3,12.84
2015-06-15,59.35,54.93,59.45,54.75,37525,215959397.0,7.84,-8.36,-5.01,13.56
2015-06-16,55.75,55.42,55.92,53.43,27133,151640940.0,4.53,0.89,0.49,9.8
2015-06-17,54.76,55.62,56.35,53.65,22681,127496923.0,4.87,0.36,0.2,8.19
2015-06-18,54.75,52.73,55.25,52.55,22506,123977882.0,4.85,-5.2,-2.89,8.13
2015-06-19,52.65,47.41,52.65,47.33,19340,96337153.0,10.09,-10.09,-5.32,6.99
2015-06-23,46.42,48.33,48.47,44.0,21411,102860462.0,9.43,1.94,0.92,7.74
2015-06-24,48.55,49.01,49.72,48.43,25216,126574933.0,2.67,1.41,0.68,9.11
2015-06-25,49.0,45.82,49.01,45.05,14736,71324538.0,8.08,-6.51,-3.19,5.32
2015-06-26,44.55,41.11,45.2,41.11,17010,73807296.0,8.93,-10.28,-4.71,6.15
2015-06-29,42.55,42.25,43.76,36.87,42564,181044277.0,16.76,2.77,1.14,15.38
2015-06-30,41.62,45.96,46.23,38.25,27648,119862916.0,18.89,8.78,3.71,9.99
2015-07-01,45.45,45.97,46.87,44.12,28599,134254650.0,5.98,0.02,0.01,10.33
2015-07-02,46.85,50.45,50.69,45.42,76736,390868272.0,11.46,9.75,4.48,27.72
2015-07-03,48.52,48.77,53.4,46.85,32364,164172920.0,12.98,-3.33,-1.68,11.69
2015-07-06,52.05,45.61,53.05,43.77,27693,139814991.0,19.03,-6.48,-3.16,10.0
2015-07-07,44.25,47.06,47.75,40.92,39282,169216720.0,14.97,3.18,1.45,14.19
2015-07-08,42.23,43.69,46.79,42.23,25515,114054139.0,9.69,-7.16,-3.37,9.22
2015-07-09,44.73,48.18,48.18,42.75,32347,153273168.0,12.43,10.28,4.49,11.69
2015-07-10,49.6,53.12,53.12,49.33,38775,209619851.0,7.87,10.25,4.94,14.01
2015-07-13,54.75,58.55,58.56,53.26,65758,381855696.0,9.98,10.22,5.43,23.76
2015-07-14,56.76,53.88,57.75,53.44,43437,247069073.0,7.36,-7.98,-4.67,15.69
2015-07-15,51.37,51.12,55.87,48.38,37227,195786693.0,13.9,-5.12,-2.76,13.45
2015-07-16,48.87,50.87,53.28,47.89,33162,173187160.0,10.54,-0.49,-0.25,11.98
2015-07-17,50.88,53.33,53.64,50.88,36826,197225275.0,5.43,4.84,2.46,13.3
2015-07-20,52.87,54.12,55.05,49.87,36552,196682604.0,9.71,1.48,0.79,13.21
2015-07-21,52.49,55.85,56.54,51.37,34767,194393088.0,9.55,3.2,1.73,12.56
2015-07-22,55.87,53.43,56.37,52.37,27220,150760021.0,7.16,-4.33,-2.42,9.83
