日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,10.27,10.17,10.37,10.1,51554,139271720.0,2.61,-1.74,-0.18,2.24
2010-01-05,10.1,9.67,10.16,9.43,89855,230992736.0,7.18,-4.92,-0.5,3.91
2010-01-06,9.63,9.71,9.87,9.43,86530,220780454.0,4.55,0.41,0.04,3.76
2010-01-07,9.66,9.48,9.7,9.35,77423,194964216.0,3.6,-2.37,-0.23,3.37
2010-01-08,9.5,9.6,9.7,9.4,48124,121938195.0,3.16,1.27,0.12,2.09
2010-01-11,9.55,9.14,9.7,9.08,78857,194072284.0,6.46,-4.79,-0.46,3.43
2010-01-12,9.12,9.26,9.31,8.84,92472,223951869.0,5.14,1.31,0.12,4.02
2010-01-13,8.99,8.95,9.08,8.89,46547,111110494.0,2.05,-3.35,-0.31,2.02
2010-01-14,8.96,9.18,9.23,8.92,58449,140687390.0,3.46,2.57,0.23,2.54
2010-01-15,9.25,9.49,9.53,9.22,137118,342852330.0,3.38,3.38,0.31,5.96
2010-01-18,9.55,9.97,10.08,9.32,173893,448513507.0,8.01,5.06,0.48,7.56
2010-01-19,9.97,9.92,10.04,9.74,124283,324304903.0,3.01,-0.5,-0.05,5.4
2010-01-20,9.92,9.31,10.02,9.21,130863,338084857.0,8.17,-6.15,-0.61,5.69
2010-01-21,9.32,9.13,9.46,9.02,82159,199921389.0,4.73,-1.93,-0.18,3.57
2010-01-22,9.02,9.35,9.48,8.96,100669,247851574.0,5.7,2.41,0.22,4.38
2010-01-25,9.35,9.09,9.53,9.08,65502,160520251.0,4.81,-2.78,-0.26,2.85
2010-01-26,9.1,8.14,9.19,8.14,137603,308160988.0,11.55,-10.45,-0.95,5.98
2010-01-27,8.24,8.13,8.36,7.91,56492,123240239.0,5.53,-0.12,-0.01,2.46
2010-01-28,8.13,8.15,8.2,7.98,39079,84512105.0,2.71,0.25,0.02,1.7
2010-01-29,8.03,8.12,8.33,8.03,40599,88378345.0,3.68,-0.37,-0.03,1.77
2010-02-01,8.06,8.21,8.23,7.62,65257,137106579.0,7.51,1.11,0.09,2.84
2010-02-02,8.21,8.12,8.45,8.11,53834,118897183.0,4.14,-1.1,-0.09,2.34
2010-02-03,8.06,8.32,8.34,7.74,51283,111047619.0,7.39,2.46,0.2,2.23
2010-02-04,8.21,8.34,8.43,8.06,51658,114621292.0,4.45,0.24,0.02,2.25
2010-02-05,8.07,7.85,8.13,7.74,51331,109063285.0,4.68,-5.88,-0.49,2.23
2010-02-08,7.81,7.76,7.91,7.62,28961,59993117.0,3.69,-1.15,-0.09,1.26
2010-02-09,7.76,7.81,7.89,7.66,17673,36934399.0,2.96,0.64,0.05,0.77
2010-02-10,7.86,8.1,8.13,7.83,37569,79777596.0,3.84,3.71,0.29,1.63
2010-02-11,8.09,8.61,8.79,8.08,87463,199215604.0,8.77,6.3,0.51,3.8
2010-02-12,8.5,8.59,8.69,8.37,47918,109036711.0,3.72,-0.23,-0.02,2.08
2010-02-22,8.37,8.32,8.56,8.31,25830,57781212.0,2.91,-3.14,-0.27,1.12
2010-02-23,8.33,8.1,8.33,7.91,39868,85886982.0,5.05,-2.64,-0.22,1.73
2010-02-24,7.99,8.51,8.52,7.97,52424,117023135.0,6.79,5.06,0.41,2.28
2010-02-25,8.6,8.85,8.9,8.51,69131,160666539.0,4.58,4.0,0.34,3.01
2010-02-26,8.88,8.87,9.12,8.8,61292,145987281.0,3.62,0.23,0.02,2.67
2010-03-01,8.8,9.13,9.14,8.64,56353,134506321.0,5.64,2.93,0.26,2.45
2010-03-02,9.11,9.42,9.57,9.04,84740,211154346.0,5.81,3.18,0.29,3.68
2010-03-03,9.47,9.44,9.53,9.3,79794,199078718.0,2.44,0.21,0.02,3.47
