日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-03-23,5.94,6.17,6.18,5.94,303490,1164193763.26,4.91,26.18,1.28,71.58
2010-03-24,6.15,6.62,6.68,6.14,225257,911791762.45,8.75,7.29,0.45,53.13
2010-03-25,6.59,6.41,6.65,6.35,150642,620559292.32,4.53,-3.17,-0.21,35.53
2010-03-26,6.3,6.62,6.68,6.15,127553,518268630.79,8.27,3.28,0.21,30.08
2010-03-29,6.98,6.83,7.14,6.76,152861,667369678.69,5.74,3.17,0.21,36.05
2010-03-30,6.78,6.98,7.2,6.7,109559,482485352.76,7.32,2.2,0.15,25.84
2010-03-31,6.9,7.18,7.24,6.9,77483,345047151.47,4.87,2.87,0.2,18.27
2010-04-01,7.14,7.05,7.41,7.05,86602,392741622.65,5.01,-1.81,-0.13,20.42
2010-04-02,6.93,7.17,7.25,6.86,55603,248469426.06,5.53,1.7,0.12,13.11
2010-04-06,7.22,7.22,7.25,7.06,41876,189213024.74,2.65,0.7,0.05,9.88
2010-04-07,7.28,7.57,7.82,7.28,71849,340500807.61,7.48,4.85,0.35,16.95
2010-04-08,7.58,7.32,7.89,7.31,68707,327616762.15,7.66,-3.3,-0.25,16.2
2010-04-09,7.36,7.47,7.49,7.22,43300,200844117.55,3.69,2.05,0.15,10.21
2010-04-12,7.49,7.98,8.09,7.48,67477,329863208.24,8.17,6.83,0.51,15.91
2010-04-13,7.97,7.24,7.97,7.17,73945,347946248.76,10.03,-9.27,-0.74,17.44
2010-04-14,7.17,7.32,7.47,7.13,43272,200270730.68,4.7,1.1,0.08,10.21
2010-04-15,7.28,6.85,7.44,6.69,54099,238545279.47,10.25,-6.42,-0.47,12.76
2010-04-16,6.76,6.86,6.98,6.66,21582,93012627.65,4.67,0.15,0.01,5.09
2010-04-19,6.83,6.65,6.93,6.62,23831,102061543.7,4.52,-3.06,-0.21,5.62
2010-04-20,6.65,6.7,6.74,6.45,23193,97141633.67,4.36,0.75,0.05,5.47
2010-04-21,6.68,6.91,6.98,6.64,26130,112560820.37,5.07,3.13,0.21,6.16
2010-04-22,6.88,6.9,7.07,6.83,27060,118833741.15,3.47,-0.14,-0.01,6.38
2010-04-23,6.84,6.69,6.98,6.69,22275,95730266.19,4.2,-3.04,-0.21,5.25
2010-04-26,6.76,6.45,6.77,6.42,25552,106714873.62,5.23,-3.59,-0.24,6.03
2010-04-27,6.37,6.17,6.4,6.03,18545,73130431.24,5.74,-4.34,-0.28,4.37
2010-04-28,6.24,6.64,6.72,6.22,34036,140700325.85,8.1,7.62,0.47,8.03
2010-04-30,6.34,6.32,6.44,6.03,19605,78339409.07,6.17,-4.82,-0.32,4.62
2010-05-04,6.18,6.42,6.52,6.11,10411,42294712.83,6.49,1.58,0.1,2.46
2010-05-05,6.35,6.71,6.71,6.28,13503,56239824.39,6.7,4.52,0.29,3.18
2010-05-06,6.71,6.18,6.77,6.03,18921,77783840.86,11.03,-7.9,-0.53,4.46
2010-05-07,5.97,6.21,6.31,5.95,17573,68979841.73,5.83,0.49,0.03,4.14
2010-05-10,6.18,6.0,6.25,5.81,13388,51679079.78,7.09,-3.38,-0.21,3.16
2010-05-11,6.16,5.57,6.2,5.53,23762,88750150.82,11.17,-7.17,-0.43,5.6
