日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-12-15,7.59,9.15,9.15,7.59,162,182073.0,24.8,45.47,2.86,0.03
2016-12-16,10.08,10.08,10.08,10.08,163,201463.0,0.0,10.16,0.93,0.03
2016-12-19,11.11,11.11,11.11,11.11,161,218477.0,0.0,10.22,1.03,0.03
2016-12-20,12.24,12.24,12.24,12.24,219,326280.0,0.0,10.17,1.13,0.04
2016-12-21,13.48,13.48,13.48,13.48,196,321816.0,0.0,10.13,1.24,0.04
2016-12-22,14.85,14.85,14.85,14.85,339,612667.0,0.0,10.16,1.37,0.06
2016-12-23,16.36,16.36,16.36,16.36,905,1797361.0,0.0,10.17,1.51,0.17
2016-12-26,18.01,18.01,18.01,18.01,2773,6061450.0,0.0,10.09,1.65,0.51
2016-12-27,19.84,19.84,19.84,19.84,4538,10914756.0,0.0,10.16,1.83,0.83
2016-12-28,21.85,21.31,21.85,21.05,336438,874837424.0,4.03,7.41,1.47,61.45
2016-12-29,20.17,19.46,21.29,19.22,238373,579501840.0,9.71,-8.68,-1.85,43.54
2016-12-30,19.76,19.89,21.42,19.49,215224,532797152.0,9.92,2.21,0.43,39.31
2017-01-03,20.68,21.9,21.9,20.21,168270,434667104.0,8.5,10.11,2.01,30.73
2017-01-04,23.13,22.43,24.11,21.88,383447,1066948976.0,10.18,2.42,0.53,70.04
2017-01-05,21.36,21.77,22.27,20.36,280020,714408224.0,8.52,-2.94,-0.66,51.15
2017-01-06,21.1,19.57,21.11,19.57,211801,518288496.0,7.07,-10.11,-2.2,38.69
2017-01-09,18.62,18.4,19.03,18.15,131467,295897296.0,4.5,-5.98,-1.17,24.01
2017-01-10,18.4,18.08,18.76,17.97,99320,221365675.0,4.29,-1.74,-0.32,18.14
2017-01-11,18.09,17.6,18.33,17.3,118085,254200913.0,5.7,-2.65,-0.48,21.57
2017-01-12,17.38,16.78,17.77,16.73,101342,211525557.0,5.91,-4.66,-0.82,18.51
2017-01-13,16.62,16.15,16.76,15.91,86097,170152981.0,5.07,-3.75,-0.63,15.73
2017-01-16,15.98,15.86,16.61,15.0,99872,193607973.0,9.97,-1.8,-0.29,18.24
2017-01-17,15.56,16.41,16.71,15.22,118799,231506300.0,9.39,3.47,0.55,21.7
2017-01-18,16.06,16.16,16.58,15.82,88039,172306421.0,4.63,-1.52,-0.25,16.08
2017-01-19,15.96,16.01,16.55,15.65,74505,145886551.0,5.57,-0.93,-0.15,13.61
2017-01-20,15.81,16.45,16.68,15.76,88133,174975688.0,5.75,2.75,0.44,16.1
2017-01-23,16.42,16.67,17.01,16.37,72669,147634873.0,3.89,1.34,0.22,13.27
2017-01-24,16.67,16.06,16.67,16.01,57389,113395389.0,3.96,-3.66,-0.61,10.48
2017-01-25,15.89,16.29,16.43,15.85,47709,93658071.0,3.61,1.43,0.23,8.71
2017-01-26,16.21,16.34,16.45,16.09,39942,78977811.0,2.21,0.31,0.05,7.3
2017-02-03,16.36,16.59,16.79,15.97,54014,108007118.0,5.02,1.53,0.25,9.87
2017-02-06,16.67,17.87,18.08,16.67,104191,221310726.0,8.5,7.72,1.28,19.03
2017-02-07,17.76,17.75,18.19,17.55,86164,186051912.0,3.58,-0.67,-0.12,15.74
2017-02-08,17.8,18.12,18.41,17.46,87477,191129173.0,5.35,2.08,0.37,15.98
2017-02-09,18.12,17.91,18.36,17.86,70804,154738090.0,2.76,-1.16,-0.21,12.93
2017-02-10,17.93,17.21,17.94,17.16,72002,152580793.0,4.36,-3.91,-0.7,13.15
2017-02-13,17.14,18.04,18.29,17.14,89683,194212391.0,6.68,4.82,0.83,16.38
2017-02-14,18.05,18.36,18.42,17.92,85508,189229877.0,2.77,1.77,0.32,15.62
2017-02-15,18.3,18.82,19.49,18.21,150495,346840896.0,6.97,2.51,0.46,27.49
2017-02-16,18.52,18.43,18.75,18.05,84935,188615892.0,3.72,-2.07,-0.39,15.51
2017-02-17,18.45,18.21,18.84,18.1,74343,166087784.0,4.02,-1.19,-0.22,13.58
2017-02-20,17.96,19.34,19.42,17.73,148947,338798176.0,9.28,6.21,1.13,27.21
2017-02-21,19.26,21.07,21.26,19.09,190635,475188496.0,11.22,8.95,1.73,34.82
2017-02-22,20.91,20.53,22.78,20.36,278373,728975536.0,11.49,-2.56,-0.54,50.84
2017-02-23,20.84,20.14,21.18,19.63,171501,422867904.0,7.55,-1.9,-0.39,31.32
2017-02-24,19.66,20.34,20.81,19.66,129025,316619456.0,5.71,0.99,0.2,23.57
