日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,7.02,6.91,7.02,6.87,24366,29824857.0,2.16,-0.58,-0.04,0.86
2010-01-05,6.91,6.76,6.94,6.59,55880,66621830.0,5.07,-2.17,-0.15,1.98
2010-01-06,6.77,6.79,6.96,6.61,54714,66007855.0,5.18,0.44,0.03,1.94
2010-01-07,6.76,6.91,7.03,6.76,47921,58541800.0,3.98,1.77,0.12,1.7
2010-01-08,6.95,6.86,6.96,6.73,25484,30775938.0,3.33,-0.72,-0.05,0.9
2010-01-11,6.89,6.95,7.09,6.79,58750,71955254.0,4.37,1.31,0.09,2.08
2010-01-12,6.93,7.19,7.25,6.89,56134,70696418.0,5.18,3.45,0.24,1.99
2010-01-13,7.09,7.15,7.15,6.89,47930,59353392.0,3.62,-0.56,-0.04,1.7
2010-01-14,7.11,7.21,7.25,7.09,51413,64919140.0,2.24,0.84,0.06,1.82
2010-01-18,7.41,7.48,7.58,7.29,72196,94582148.0,4.02,3.74,0.27,2.56
2010-01-19,7.49,7.34,7.51,7.31,52636,68148342.0,2.67,-1.87,-0.14,1.86
2010-01-20,7.35,7.01,7.35,7.0,53991,67664876.0,4.77,-4.5,-0.33,1.91
2010-01-21,6.97,7.09,7.21,6.97,26261,32888943.0,3.42,1.14,0.08,0.93
2010-01-22,7.07,6.77,7.22,6.75,36100,44520834.0,6.63,-4.51,-0.32,1.28
2010-01-25,6.84,6.83,6.99,6.76,15307,18623370.0,3.4,0.89,0.06,0.54
2010-01-26,6.82,6.44,6.92,6.39,24279,28408570.0,7.76,-5.71,-0.39,0.86
2010-01-27,6.44,6.07,6.49,5.89,60433,66115997.0,9.32,-5.75,-0.37,2.14
2010-01-28,5.96,6.03,6.05,5.93,21927,23772153.0,1.98,-0.66,-0.04,0.78
2010-01-29,6.01,6.01,6.17,5.96,29076,31993582.0,3.48,-0.33,-0.02,1.03
2010-02-01,6.08,6.14,6.23,5.71,35696,38881144.0,8.65,2.16,0.13,1.26
2010-02-02,6.16,6.2,6.34,6.13,23147,25915601.0,3.42,0.98,0.06,0.82
2010-02-03,6.26,6.39,6.41,6.03,17920,20179294.0,6.13,3.06,0.19,0.63
2010-02-04,6.37,6.33,6.48,6.23,20324,23143386.0,3.91,-0.94,-0.06,0.72
2010-02-05,6.16,6.22,6.29,6.09,25854,28852409.0,3.16,-1.74,-0.11,0.92
2010-02-08,6.25,6.22,6.36,6.19,29961,33782657.0,2.73,0.0,0.0,1.06
2010-02-09,6.27,6.25,6.32,6.19,7696,8645097.0,2.09,0.48,0.03,0.27
2010-02-10,6.32,6.47,6.56,6.23,38038,43673578.0,5.28,3.52,0.22,1.35
2010-02-11,6.73,6.75,7.09,6.67,119778,144072431.0,6.49,4.33,0.28,4.24
2010-02-12,6.83,7.36,7.49,6.7,106154,133161885.0,11.7,9.04,0.61,3.76
2010-02-22,7.25,7.21,7.54,7.19,90631,116733888.0,4.76,-2.04,-0.15,3.21
2010-02-23,7.16,7.41,7.53,7.01,90661,115994604.0,7.21,2.77,0.2,3.21
2010-02-24,7.35,7.47,7.49,7.28,72574,94150762.0,2.83,0.81,0.06,2.57
2010-02-25,7.48,7.57,7.6,7.43,89002,116778476.0,2.28,1.34,0.1,3.15
2010-02-26,7.63,7.38,7.63,7.37,68731,90160696.0,3.43,-2.51,-0.19,2.44
2010-03-01,7.35,7.37,7.49,7.3,55916,72351079.0,2.57,-0.14,-0.01,1.98
2010-03-02,7.37,7.75,7.88,7.31,120189,160253829.0,7.73,5.16,0.38,4.26
2010-03-03,7.73,7.73,7.79,7.59,71771,96190441.0,2.58,-0.26,-0.02,2.54
2010-03-04,7.73,7.45,7.95,7.31,81421,108596282.0,8.28,-3.62,-0.28,2.88
2010-03-08,7.43,7.45,7.53,7.3,39356,51124639.0,3.09,0.0,0.0,1.39
2010-03-09,7.47,7.5,7.73,7.3,58489,77109064.0,5.77,0.67,0.05,2.07
2010-03-10,7.46,7.43,7.64,7.36,41009,53581628.0,3.73,-0.93,-0.07,1.45
2010-03-11,7.43,7.44,7.53,7.36,31399,40863084.0,2.29,0.13,0.01,1.11
2010-03-12,7.54,7.48,7.61,7.44,49523,65033157.0,2.28,0.54,0.04,1.75
2010-03-15,7.45,7.77,7.79,7.42,81086,107879050.0,4.95,3.88,0.29,2.87
2010-03-16,7.82,7.86,7.88,7.65,75444,102056853.0,2.96,1.16,0.09,2.67
2010-03-17,7.86,8.11,8.12,7.76,93509,129615544.0,4.58,3.18,0.25,3.31
2010-03-18,8.11,7.99,8.21,7.93,101441,141142029.0,3.45,-1.48,-0.12,3.59
2010-03-19,8.01,8.11,8.15,7.87,89712,124711152.0,3.5,1.5,0.12,3.18
2010-03-22,8.22,8.08,8.27,7.92,50528,46817959.0,4.32,-0.37,-0.03,1.19
2010-03-23,8.04,7.87,8.05,7.79,84093,76417273.0,3.22,-2.6,-0.21,1.99
2010-03-24,7.94,8.06,8.12,7.87,81296,74708771.0,3.18,2.41,0.19,1.92
2010-03-25,8.0,8.05,8.17,7.96,72208,66932667.0,2.61,-0.12,-0.01,1.71
2010-03-26,8.06,7.97,8.14,7.91,65467,60153165.0,2.86,-0.99,-0.08,1.55
2010-03-29,7.98,7.85,8.02,7.78,112384,101836755.0,3.01,-1.51,-0.12,2.65
2010-03-30,7.85,7.81,7.92,7.71,86680,78060856.0,2.68,-0.51,-0.04,2.05
2010-03-31,7.81,7.85,7.92,7.77,69305,62808651.0,1.92,0.51,0.04,1.64
2010-04-01,7.84,8.11,8.24,7.81,145975,135684351.0,5.48,3.31,0.26,3.45
2010-04-02,8.14,8.31,8.49,8.12,153256,146053190.0,4.56,2.47,0.2,3.62
2010-04-06,8.35,8.11,8.45,8.07,120006,113105683.0,4.57,-2.41,-0.2,2.83
2010-04-07,8.14,8.0,8.18,7.89,106549,97976782.0,3.58,-1.36,-0.11,2.52
2010-04-09,7.97,7.98,8.05,7.81,76292,69665972.0,3.0,-0.25,-0.02,1.8
2010-04-12,7.98,7.64,8.03,7.58,148582,132764713.0,5.64,-4.26,-0.34,3.51
2010-04-13,7.57,7.47,7.62,7.25,105581,91255298.0,4.84,-2.23,-0.17,2.49
2010-04-14,7.47,7.58,7.59,7.33,58181,50322145.0,3.48,1.47,0.11,1.37
2010-04-15,7.59,7.39,7.61,7.34,64596,55564803.0,3.56,-2.51,-0.19,1.53
2010-04-16,7.35,7.2,7.38,6.94,91444,76285081.0,5.95,-2.57,-0.19,2.16
