日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,7.17,6.96,7.23,6.92,40827,30257412.0,4.34,-2.52,-0.18,1.65
2010-01-05,6.94,6.81,7.01,6.72,67065,47972838.0,4.17,-2.16,-0.15,2.71
2010-01-06,6.81,6.8,6.93,6.71,61187,43727366.0,3.23,-0.15,-0.01,2.47
2010-01-07,6.81,6.68,6.81,6.62,58838,41557984.0,2.79,-1.76,-0.12,2.38
2010-01-08,6.65,6.76,6.77,6.61,43655,30814055.0,2.4,1.2,0.08,1.77
2010-01-11,6.85,6.68,6.86,6.63,53162,37420613.0,3.4,-1.18,-0.08,2.15
2010-01-12,6.68,6.75,6.86,6.45,92724,65335559.0,6.14,1.05,0.07,3.75
2010-01-13,6.61,6.44,6.62,6.43,75229,51665155.0,2.81,-4.59,-0.31,3.04
2010-01-14,6.43,6.54,6.57,6.42,43121,29640401.0,2.33,1.55,0.1,1.74
2010-01-15,6.54,6.61,6.76,6.54,58855,41353279.0,3.36,1.07,0.07,2.38
2010-01-18,6.61,6.78,6.82,6.61,64679,45949806.0,3.18,2.57,0.17,2.62
2010-01-19,6.82,6.85,6.87,6.69,64045,45732157.0,2.65,1.03,0.07,2.59
2010-01-20,6.87,6.53,6.88,6.5,51590,36276745.0,5.55,-4.67,-0.32,2.09
2010-01-21,6.54,6.67,6.69,6.49,52456,36435595.0,3.06,2.14,0.14,2.12
2010-01-22,6.59,6.46,6.64,6.34,43159,29559760.0,4.5,-3.15,-0.21,1.75
2010-01-25,6.45,6.28,6.51,6.25,35312,23663332.0,4.02,-2.79,-0.18,1.43
2010-01-26,6.29,5.93,6.33,5.84,36232,23310317.0,7.8,-5.57,-0.35,1.47
2010-01-27,5.92,5.89,6.05,5.75,29645,18577197.0,5.06,-0.67,-0.04,1.2
2010-01-28,5.89,5.89,5.95,5.84,19511,12207323.0,1.87,0.0,0.0,0.79
2010-01-29,5.85,5.93,6.01,5.77,43335,27137351.0,4.07,0.68,0.04,1.75
2010-02-01,5.92,5.94,5.97,5.7,34883,21558411.0,4.55,0.17,0.01,1.41
2010-02-02,5.94,5.96,6.03,5.9,34435,21788242.0,2.19,0.34,0.02,1.39
2010-02-03,5.99,6.04,6.05,5.74,34446,21665840.0,5.2,1.34,0.08,1.39
2010-02-04,5.97,6.12,6.31,5.94,43368,28160497.0,6.13,1.32,0.08,1.75
2010-02-05,6.04,5.95,6.04,5.89,30013,18936084.0,2.45,-2.78,-0.17,1.21
2010-02-08,5.97,5.94,5.98,5.84,18625,11707421.0,2.35,-0.17,-0.01,0.75
2010-02-09,5.92,5.97,6.0,5.9,17368,10952458.0,1.68,0.51,0.03,0.7
2010-02-10,6.02,6.06,6.07,5.94,22696,14445086.0,2.18,1.51,0.09,0.92
2010-02-11,6.06,6.06,6.14,6.01,23000,14812769.0,2.15,0.0,0.0,0.93
2010-02-12,6.06,6.07,6.09,5.99,25684,16424238.0,1.65,0.17,0.01,1.04
2010-02-22,6.06,5.97,6.13,5.92,21702,13918933.0,3.46,-1.65,-0.1,0.88
2010-02-23,6.02,6.07,6.09,5.88,28368,18048316.0,3.52,1.68,0.1,1.15
2010-02-24,6.05,6.71,6.71,5.98,141097,95515496.0,12.03,10.54,0.64,5.71
2010-02-25,6.84,6.81,7.02,6.7,220214,158096570.0,4.77,1.49,0.1,8.9
2010-02-26,6.79,6.72,6.88,6.53,111804,79164987.0,5.14,-1.32,-0.09,4.52
2010-03-01,6.64,6.74,6.76,6.62,79530,56144361.0,2.08,0.3,0.02,3.22
2010-03-02,6.68,6.66,6.72,6.54,58775,40979929.0,2.67,-1.19,-0.08,2.38
2010-03-03,6.66,6.63,6.68,6.57,42233,29480662.0,1.65,-0.45,-0.03,1.71
2010-03-04,6.66,6.46,6.79,6.4,75830,53159245.0,5.88,-2.56,-0.17,3.07
2010-03-05,6.46,6.43,6.53,6.3,39810,27014220.0,3.56,-0.46,-0.03,1.61
2010-03-08,6.44,6.59,6.68,6.39,40721,28187893.0,4.51,2.49,0.16,1.65
