日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2014-01-23,2.18,2.67,2.67,2.18,8513,28142587.0,27.37,49.16,0.88,5.84
2014-01-24,2.95,2.95,2.95,2.95,5234,19354518.0,0.0,10.49,0.28,3.59
2014-01-27,3.26,3.26,3.26,3.26,1814,7379799.0,0.0,10.51,0.31,1.24
2014-01-28,3.59,3.59,3.59,3.59,3233,14467585.0,0.0,10.12,0.33,2.22
2014-02-07,3.97,3.97,3.97,3.97,6958,34255957.0,0.0,10.58,0.38,4.77
2014-02-10,4.38,4.38,4.38,4.38,2171,11757914.0,0.0,10.33,0.41,1.49
2014-02-11,4.83,4.83,4.83,4.83,1645,9798014.0,0.0,10.27,0.45,1.13
2014-02-17,5.33,5.33,5.33,5.33,610,3995036.0,0.0,10.35,0.5,0.42
2014-02-18,5.87,5.87,5.87,5.87,26610,191805961.0,0.0,10.13,0.54,18.26
2014-02-19,6.47,6.47,6.47,6.47,8978,71185293.0,0.0,10.22,0.6,6.16
2014-02-25,7.13,7.13,7.13,7.02,98450,858162448.0,1.7,10.2,0.66,67.55
2014-02-26,7.03,7.47,7.61,6.95,83092,744774992.0,9.26,4.77,0.34,57.01
2014-02-27,7.52,6.89,7.53,6.71,67506,582831824.0,10.98,-7.76,-0.58,46.32
2014-02-28,6.62,6.86,7.07,6.58,46280,388049920.0,7.11,-0.44,-0.03,31.75
2014-03-03,6.74,6.85,7.07,6.54,47442,393670896.0,7.73,-0.15,-0.01,32.55
2014-03-04,6.73,6.53,7.16,6.44,57292,471763536.0,10.51,-4.67,-0.32,39.31
2014-03-05,6.49,6.73,6.89,6.42,36944,302040176.0,7.2,3.06,0.2,25.35
2014-03-06,6.67,6.66,6.76,6.31,36014,289603568.0,6.69,-1.04,-0.07,24.71
2014-03-07,6.62,6.52,6.98,6.52,34548,284683376.0,6.91,-2.1,-0.14,23.7
2014-03-10,6.12,5.99,6.37,5.93,38195,287731136.0,6.75,-8.13,-0.53,26.21
2014-03-11,6.07,6.01,6.13,5.82,23749,175394426.0,5.18,0.33,0.02,16.29
2014-03-12,5.99,5.84,6.1,5.73,20513,148766684.0,6.16,-2.83,-0.17,14.07
2014-03-13,5.81,6.03,6.07,5.81,17778,130397031.0,4.45,3.25,0.19,12.2
2014-03-14,5.95,6.15,6.24,5.91,19907,149400554.0,5.47,1.99,0.12,13.66
2014-03-17,6.11,6.12,6.17,6.01,12097,90208421.0,2.6,-0.49,-0.03,8.3
2014-03-18,6.11,6.2,6.4,6.03,24531,187022818.0,6.05,1.31,0.08,16.83
2014-03-19,6.13,6.03,6.14,5.95,14573,107719790.0,3.06,-2.74,-0.17,10.0
2014-03-20,6.01,6.1,6.37,5.98,21139,160477645.0,6.47,1.16,0.07,14.5
2014-03-21,5.99,6.31,6.38,5.91,18554,140551662.0,7.7,3.44,0.21,12.73
2014-03-24,6.22,5.77,6.34,5.74,20744,153082802.0,9.51,-8.56,-0.54,14.23
2014-03-25,5.72,5.56,5.78,5.47,19370,133365047.0,5.37,-3.64,-0.21,13.29
2014-03-26,5.55,5.67,5.71,5.51,12674,87183804.0,3.6,1.98,0.11,8.7
2014-03-27,5.62,5.42,5.65,5.39,11742,79554320.0,4.59,-4.41,-0.25,8.06
2014-03-28,5.45,5.49,5.69,5.37,12304,83698871.0,5.9,1.29,0.07,8.44
2014-03-31,5.47,5.83,6.05,5.47,18567,132278891.0,10.56,6.19,0.34,12.74
2014-04-01,5.76,6.11,6.15,5.76,15715,115220568.0,6.69,4.8,0.28,10.78
2014-04-02,6.05,6.09,6.23,5.93,13787,102967543.0,4.91,-0.33,-0.02,9.46
2014-04-03,5.87,5.88,6.03,5.7,19672,141684679.0,5.42,-3.45,-0.21,13.5
2014-04-04,5.86,5.77,5.86,5.63,9760,68809120.0,3.91,-1.87,-0.11,6.7
