日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-07-12,3.69,3.13,3.69,3.1,132950,230871076.0,31.22,65.61,1.24,87.35
2011-07-13,3.06,3.18,3.22,3.06,62534,101571721.0,5.11,1.6,0.05,41.09
2011-07-14,3.17,3.23,3.25,3.14,51978,86482967.0,3.46,1.57,0.05,34.15
2011-07-15,3.2,3.24,3.28,3.19,39128,65669679.0,2.79,0.31,0.01,25.71
2011-07-18,3.24,3.14,3.26,3.13,37834,62533011.0,4.01,-3.09,-0.1,24.86
2011-07-19,3.11,3.02,3.11,3.02,24213,38384021.0,2.87,-3.82,-0.12,15.91
2011-07-20,3.05,3.08,3.1,3.02,16686,26414691.0,2.65,1.99,0.06,10.96
2011-07-21,3.06,3.03,3.08,3.01,11096,17488766.0,2.27,-1.62,-0.05,7.29
2011-07-22,3.04,3.08,3.12,3.03,15470,24723379.0,2.97,1.65,0.05,10.16
2011-07-25,3.36,3.4,3.4,3.35,53313,93511221.0,1.62,10.39,0.32,35.03
2011-07-26,3.48,3.4,3.49,3.19,85177,147498034.0,8.82,0.0,0.0,55.96
2011-07-27,3.33,3.53,3.6,3.27,68844,122413648.0,9.71,3.82,0.13,45.23
2011-07-28,3.42,3.48,3.65,3.4,59536,107613510.0,7.08,-1.42,-0.05,39.12
2011-07-29,3.45,3.43,3.53,3.4,31963,57041229.0,3.74,-1.44,-0.05,21.0
2011-08-01,3.4,3.59,3.66,3.33,58092,106000806.0,9.62,4.66,0.16,38.17
2011-08-02,3.54,3.53,3.58,3.45,35503,64228625.0,3.62,-1.67,-0.06,23.33
2011-08-03,3.46,3.43,3.59,3.41,32639,58504513.0,5.1,-2.83,-0.1,21.45
2011-08-04,3.43,3.31,3.46,3.25,33390,57587538.0,6.12,-3.5,-0.12,21.94
2011-08-05,3.22,3.17,3.23,3.15,19754,32637467.0,2.42,-4.23,-0.14,12.98
2011-08-08,3.13,2.87,3.16,2.84,25892,39877739.0,10.09,-9.46,-0.3,17.01
2011-08-09,2.8,2.88,2.94,2.7,20846,30439085.0,8.36,0.35,0.01,13.7
2011-08-10,2.94,2.91,2.99,2.9,15889,24250300.0,3.13,1.04,0.03,10.44
2011-08-11,2.81,2.98,2.99,2.79,16743,25466073.0,6.87,2.41,0.07,11.0
2011-08-12,2.99,3.0,3.06,2.96,14386,22483503.0,3.36,0.67,0.02,9.45
2011-08-15,3.03,3.11,3.12,3.0,16980,27170878.0,4.0,3.67,0.11,11.16
2011-08-16,3.1,3.06,3.12,3.04,11582,18473674.0,2.57,-1.61,-0.05,7.61
2011-08-17,3.05,3.07,3.09,3.01,11591,18364131.0,2.61,0.33,0.01,7.62
2011-08-18,3.06,3.01,3.11,3.01,13822,22008746.0,3.26,-1.95,-0.06,9.08
2011-08-19,2.93,2.99,3.0,2.91,9321,14284076.0,2.99,-0.66,-0.02,6.12
2011-08-22,2.99,3.13,3.13,2.95,16479,26299980.0,6.02,4.68,0.14,10.83
2011-08-23,3.09,3.29,3.33,3.09,32904,54864341.0,7.67,5.11,0.16,21.62
2011-08-24,3.29,3.25,3.38,3.23,31676,54069766.0,4.56,-1.22,-0.04,20.81
2011-08-25,3.25,3.3,3.3,3.19,18591,31233430.0,3.38,1.54,0.05,12.21
2011-08-26,3.27,3.42,3.49,3.27,35092,61833257.0,6.67,3.64,0.12,23.06
2011-08-29,3.39,3.44,3.51,3.36,22252,39636283.0,4.39,0.58,0.02,14.62
2011-08-30,3.45,3.25,3.47,3.25,19535,33971227.0,6.4,-5.52,-0.19,12.84
2011-08-31,3.2,3.35,3.38,3.2,15212,26057194.0,5.54,3.08,0.1,9.99
