日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-05-05,2.89,2.81,2.98,2.81,55586,112251535.0,5.36,-11.36,-0.36,33.09
2011-05-06,2.71,2.68,2.74,2.68,21803,41796753.0,2.14,-4.63,-0.13,12.98
2011-05-09,2.68,2.75,2.77,2.68,13171,25437232.0,3.36,2.61,0.07,7.84
2011-05-10,2.74,2.77,2.77,2.72,7775,15111080.0,1.82,0.73,0.02,4.63
2011-05-11,2.76,2.74,2.78,2.74,7522,14702912.0,1.44,-1.08,-0.03,4.48
2011-05-12,2.73,2.72,2.78,2.72,6363,12362112.0,2.19,-0.73,-0.02,3.79
2011-05-13,2.72,2.8,2.84,2.72,9388,18406475.0,4.41,2.94,0.08,5.59
2011-05-16,2.8,2.8,2.86,2.8,9142,18255938.0,2.14,0.0,0.0,5.44
2011-05-17,2.78,2.82,2.85,2.76,6806,13502801.0,3.21,0.71,0.02,4.05
2011-05-18,2.81,2.79,2.83,2.78,5571,11011166.0,1.77,-1.06,-0.03,3.32
2011-05-19,2.8,2.74,2.81,2.74,6088,11909033.0,2.51,-1.79,-0.05,3.62
2011-05-20,2.72,2.7,2.75,2.69,4094,7874483.0,2.19,-1.46,-0.04,2.44
2011-05-23,2.69,2.6,2.69,2.59,7433,13976144.0,3.7,-3.7,-0.1,4.42
2011-05-24,2.6,2.64,2.67,2.56,4925,9179480.0,4.23,1.54,0.04,2.93
2011-05-25,2.62,2.56,2.64,2.55,4546,8397255.0,3.41,-3.03,-0.08,2.71
2011-05-26,2.58,2.51,2.58,2.51,4281,7776768.0,2.73,-1.95,-0.05,2.55
2011-05-27,2.51,2.47,2.52,2.47,3382,6066820.0,1.99,-1.59,-0.04,2.01
2011-05-30,2.47,2.44,2.51,2.44,2738,4888533.0,2.83,-1.21,-0.03,1.63
2011-05-31,2.46,2.49,2.49,2.42,2849,5045188.0,2.87,2.05,0.05,1.7
2011-06-01,2.48,2.51,2.52,2.47,3436,6155789.0,2.01,0.8,0.02,2.05
2011-06-02,2.48,2.45,2.48,2.42,2802,4941694.0,2.39,-2.39,-0.06,1.67
2011-06-03,2.47,2.48,2.49,2.45,1901,3386539.0,1.63,1.22,0.03,1.13
2011-06-07,2.48,2.48,2.49,2.46,2745,4886194.0,1.21,0.0,0.0,1.63
2011-06-08,2.48,2.47,2.48,2.44,2100,3719838.0,1.61,-0.4,-0.01,1.25
2011-06-09,2.47,2.42,2.48,2.42,1626,2866704.0,2.43,-2.02,-0.05,0.97
2011-06-10,2.42,2.42,2.44,2.38,2321,4043212.0,2.48,0.0,0.0,1.38
2011-06-13,2.42,2.43,2.43,2.38,1620,2826040.0,2.07,0.41,0.01,0.96
2011-06-14,2.43,2.45,2.45,2.41,1525,2685564.0,1.65,0.82,0.02,0.91
2011-06-15,2.43,2.43,2.46,2.42,1577,2771299.0,1.63,-0.82,-0.02,0.94
2011-06-16,2.43,2.39,2.43,2.37,1410,2439391.0,2.47,-1.65,-0.04,0.84
2011-06-20,2.34,2.32,2.37,2.32,1781,3018925.0,2.09,-2.93,-0.07,1.06
2011-06-21,2.34,2.34,2.35,2.32,1401,2378822.0,1.29,0.86,0.02,0.83
2011-06-22,2.34,2.34,2.35,2.31,1130,1915613.0,1.71,0.0,0.0,0.67
2011-06-23,2.33,2.4,2.41,2.31,2391,4130287.0,4.27,2.56,0.06,1.42
2011-06-24,2.38,2.46,2.48,2.38,3130,5508111.0,4.17,2.5,0.06,1.86
2011-06-27,2.47,2.47,2.51,2.45,3289,5879915.0,2.44,0.41,0.01,1.96
2011-06-28,2.46,2.48,2.48,2.46,1613,2865011.0,0.81,0.4,0.01,0.96
2011-06-29,2.49,2.43,2.49,2.43,1941,3441818.0,2.42,-2.02,-0.05,1.16
2011-06-30,2.43,2.44,2.47,2.42,2039,3593512.0,2.06,0.41,0.01,1.21
2011-07-01,2.45,2.49,2.51,2.45,2761,4940591.0,2.46,2.05,0.05,1.64
2011-07-04,2.49,2.53,2.53,2.49,3386,6114530.0,1.61,1.61,0.04,2.02
2011-07-05,2.54,2.52,2.54,2.51,2899,5245177.0,1.19,-0.4,-0.01,1.73
2011-07-06,2.53,2.57,2.58,2.52,4536,8289991.0,2.38,1.98,0.05,2.7
2011-07-07,2.56,2.65,2.7,2.56,10472,19753425.0,5.45,3.11,0.08,6.23
2011-07-08,2.63,2.64,2.69,2.62,4448,8393838.0,2.64,-0.38,-0.01,2.65
2011-07-11,2.63,2.68,2.69,2.63,4094,7779884.0,2.27,1.52,0.04,2.44
2011-07-12,2.64,2.58,2.68,2.57,4111,7661021.0,4.1,-3.73,-0.1,2.45
2011-07-13,2.58,2.71,2.72,2.54,7688,14568923.0,6.98,5.04,0.13,4.58
2011-07-14,2.71,2.72,2.73,2.68,5399,10372726.0,1.85,0.37,0.01,3.21
2011-07-15,2.71,2.76,2.81,2.71,7218,14144452.0,3.68,1.47,0.04,4.3
2011-07-18,2.76,2.75,2.8,2.74,4336,8473927.0,2.17,-0.36,-0.01,2.58
2011-07-19,2.73,2.66,2.75,2.64,3652,6958343.0,4.0,-3.27,-0.09,2.17
2011-07-20,2.7,2.68,2.7,2.64,3269,6211158.0,2.26,0.75,0.02,1.95
2011-07-21,2.68,2.67,2.7,2.66,2387,4538039.0,1.49,-0.37,-0.01,1.42
2011-07-22,2.67,2.71,2.74,2.67,3332,6401710.0,2.62,1.5,0.04,1.98
2011-07-26,2.51,2.57,2.57,2.46,10519,18979137.0,4.06,-5.17,-0.14,6.26
2011-07-27,2.55,2.69,2.7,2.49,8336,15475496.0,8.17,4.67,0.12,4.96
2011-07-28,2.65,2.64,2.73,2.62,6478,12227585.0,4.09,-1.86,-0.05,3.86
2011-07-29,2.62,2.55,2.67,2.52,6571,12112146.0,5.68,-3.41,-0.09,3.91
2011-08-01,2.53,2.59,2.62,2.47,4603,8433755.0,5.88,1.57,0.04,2.74
2011-08-02,2.58,2.64,2.65,2.52,4884,8995263.0,5.02,1.93,0.05,2.91
2011-08-03,2.61,2.66,2.72,2.59,6694,12733412.0,4.92,0.76,0.02,3.98
2011-08-04,2.66,2.64,2.7,2.64,3402,6446271.0,2.26,-0.75,-0.02,2.02
2011-08-05,2.56,2.67,2.71,2.54,13247,25147651.0,6.44,1.14,0.03,6.31
2011-08-08,2.66,2.46,2.77,2.43,17983,33387586.0,12.73,-7.87,-0.21,8.56
2011-08-09,2.36,2.44,2.46,2.35,10029,17448451.0,4.47,-0.81,-0.02,4.78
2011-08-10,2.46,2.48,2.52,2.45,10048,17965138.0,2.87,1.64,0.04,4.78
2011-08-11,2.42,2.63,2.67,2.39,15229,27507408.0,11.29,6.05,0.15,7.25
2011-08-12,2.59,2.65,2.68,2.56,18727,34904821.0,4.56,0.76,0.02,8.92
2011-08-15,2.65,2.66,2.69,2.63,10576,20006950.0,2.26,0.38,0.01,5.04
2011-08-16,2.67,2.7,2.74,2.65,16419,31466509.0,3.38,1.5,0.04,7.82
2011-08-17,2.73,2.69,2.74,2.67,14502,27749210.0,2.59,-0.37,-0.01,6.91
2011-08-18,2.67,2.52,2.67,2.51,18126,33390758.0,5.95,-6.32,-0.17,8.63
2011-08-19,2.43,2.57,2.58,2.43,11983,21695570.0,5.95,1.98,0.05,5.71
2011-08-22,2.53,2.6,2.63,2.53,7492,13902361.0,3.89,1.17,0.03,3.57
2011-08-23,2.6,2.74,2.76,2.57,17572,33499089.0,7.31,5.38,0.14,8.37
2011-08-24,2.79,2.71,2.8,2.71,13531,26366990.0,3.28,-1.09,-0.03,6.44
2011-08-25,2.71,2.83,2.83,2.7,15146,29607476.0,4.8,4.43,0.12,7.21
2011-08-26,2.81,2.89,2.98,2.79,21265,43454994.0,6.71,2.12,0.06,10.13
2011-08-29,2.89,2.93,3.01,2.87,16361,33728098.0,4.84,1.38,0.04,7.79
2011-08-30,2.95,2.83,2.98,2.83,11864,24126375.0,5.12,-3.41,-0.1,5.65
2011-08-31,2.81,2.82,2.85,2.77,7678,15184687.0,2.83,-0.35,-0.01,3.66
2011-09-02,2.78,2.73,2.79,2.69,13096,25297776.0,3.55,-3.19,-0.09,6.24
2011-09-05,2.68,2.73,2.75,2.68,8112,15613935.0,2.56,0.0,0.0,3.86
2011-09-06,2.71,2.63,2.71,2.59,8687,16331246.0,4.4,-3.66,-0.1,4.14
2011-09-07,2.65,2.72,2.73,2.64,6002,11455194.0,3.42,3.42,0.09,2.86
2011-09-08,2.72,2.64,2.73,2.62,6430,12268810.0,4.04,-2.94,-0.08,3.06
2011-09-09,2.67,2.57,2.67,2.54,5773,10732533.0,4.92,-2.65,-0.07,2.75
2011-09-13,2.53,2.51,2.54,2.48,4262,7678893.0,2.33,-2.33,-0.06,2.03
2011-09-14,2.52,2.55,2.56,2.45,4861,8742988.0,4.38,1.59,0.04,2.31
2011-09-15,2.55,2.52,2.57,2.51,5350,9733058.0,2.35,-1.18,-0.03,2.55
2011-09-16,2.54,2.51,2.56,2.51,2307,4180928.0,1.98,-0.4,-0.01,1.1
2011-09-19,2.47,2.44,2.49,2.42,3444,6106479.0,2.79,-2.79,-0.07,1.64
2011-09-20,2.46,2.46,2.48,2.42,2763,4894071.0,2.46,0.82,0.02,1.32
2011-09-21,2.45,2.55,2.56,2.45,4389,7943185.0,4.47,3.66,0.09,2.09
2011-09-22,2.52,2.42,2.54,2.42,3888,6942787.0,4.71,-5.1,-0.13,1.85
2011-09-23,2.41,2.42,2.42,2.39,2982,5179084.0,1.24,0.0,0.0,1.42
2011-09-26,2.4,2.43,2.45,2.4,2737,4785843.0,2.07,0.41,0.01,1.3
2011-09-27,2.44,2.45,2.47,2.42,1641,2893628.0,2.06,0.82,0.02,0.78
2011-09-28,2.41,2.4,2.47,2.39,2755,4834686.0,3.27,-2.04,-0.05,1.31
2011-09-29,2.4,2.33,2.4,2.31,3419,5829322.0,3.75,-2.92,-0.07,1.63
2011-09-30,2.34,2.29,2.35,2.29,2256,3790666.0,2.58,-1.72,-0.04,1.07
2011-10-10,2.3,2.3,2.32,2.27,812,1358509.0,2.18,0.44,0.01,0.39
2011-10-11,2.36,2.31,2.39,2.27,1980,3358073.0,5.22,0.43,0.01,0.94
2011-10-12,2.28,2.39,2.4,2.27,2772,4752052.0,5.63,3.46,0.08,1.32
