日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-11-02,3.54,3.57,3.74,3.54,119106,407303744.42,5.93,5.93,0.2,57.26
2010-11-03,3.47,3.44,3.54,3.43,43834,143762068.15,3.08,-3.64,-0.13,21.07
2010-11-04,3.45,3.47,3.5,3.44,23112,75971602.59,1.74,0.87,0.03,11.11
2010-11-05,3.48,3.48,3.51,3.45,23119,76160845.75,1.73,0.29,0.01,11.12
2010-11-08,3.5,3.53,3.54,3.48,27527,91489899.01,1.72,1.44,0.05,13.23
2010-11-09,3.54,3.57,3.58,3.51,29421,98732981.34,1.98,1.13,0.04,14.14
2010-11-10,3.54,3.59,3.65,3.54,32828,111745781.9,3.08,0.56,0.02,15.78
2010-11-11,3.58,3.52,3.61,3.52,25575,86080507.48,2.51,-1.95,-0.07,12.3
2010-11-12,3.51,3.39,3.51,3.38,25378,82800205.87,3.69,-3.69,-0.13,12.2
2010-11-15,3.43,3.45,3.48,3.39,10131,32918951.19,2.65,1.77,0.06,4.87
2010-11-16,3.43,3.43,3.48,3.4,13049,42589140.24,2.32,-0.58,-0.02,6.27
2010-11-17,3.43,3.43,3.48,3.41,10152,33164734.09,2.04,0.0,0.0,4.88
2010-11-18,3.45,3.46,3.48,3.44,7529,24657078.11,1.17,0.87,0.03,3.62
2010-11-19,3.47,3.47,3.48,3.42,9401,30720110.74,1.73,0.29,0.01,4.52
2010-11-22,3.46,3.5,3.53,3.46,14446,47834074.63,2.02,0.86,0.03,6.95
2010-11-23,3.48,3.47,3.51,3.44,10310,33863700.63,2.0,-0.86,-0.03,4.96
2010-11-24,3.45,3.54,3.55,3.44,18644,61913726.43,3.17,2.02,0.07,8.96
2010-11-25,3.57,3.49,3.58,3.48,17844,59534314.68,2.82,-1.41,-0.05,8.58
2010-11-26,3.48,3.49,3.51,3.47,9162,30284535.33,1.15,0.0,0.0,4.4
2010-11-29,3.51,3.47,3.51,3.46,8941,29450900.08,1.43,-0.57,-0.02,4.3
2010-11-30,3.47,3.43,3.49,3.39,10410,33905204.16,2.88,-1.15,-0.04,5.0
2010-12-01,3.43,3.42,3.44,3.4,5501,17800383.35,1.17,-0.29,-0.01,2.64
2010-12-02,3.43,3.45,3.47,3.43,7551,24695870.85,1.17,0.88,0.03,3.63
