日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,2.42,2.25,2.47,2.24,277488,615896167.0,9.54,-6.64,-0.16,0.87
2010-01-05,2.25,2.03,2.25,1.89,629569,1330525000.0,16.0,-9.78,-0.22,1.97
2010-01-06,2.01,2.02,2.17,1.89,467975,991802417.0,13.79,-0.49,-0.01,1.47
2010-01-07,2.04,2.02,2.12,1.9,422346,893639184.0,10.89,0.0,0.0,1.32
2010-01-08,1.98,2.11,2.14,1.95,319176,681425948.0,9.41,4.46,0.09,1.0
2010-01-11,2.18,1.95,2.21,1.9,439246,927187793.0,14.69,-7.58,-0.16,1.38
2010-01-12,1.96,2.06,2.09,1.72,571170,1193604326.0,18.97,5.64,0.11,1.79
2010-01-13,1.84,1.77,1.9,1.74,444263,913591871.0,7.77,-14.08,-0.29,1.39
2010-01-14,1.77,1.82,1.88,1.72,235774,484027105.0,9.04,2.82,0.05,0.74
2010-01-15,1.84,1.95,2.07,1.84,412002,867996695.0,12.64,7.14,0.13,1.29
2010-01-18,1.91,2.07,2.1,1.91,317079,675913790.0,9.74,6.15,0.12,0.99
2010-01-19,2.11,2.05,2.11,2.02,236786,504505732.0,4.35,-0.97,-0.02,0.74
2010-01-20,2.06,1.79,2.09,1.73,326535,679790167.0,17.56,-12.68,-0.26,1.02
2010-01-21,1.78,1.82,1.86,1.67,289843,590212326.0,10.61,1.68,0.03,0.91
2010-01-22,1.64,1.62,1.73,1.56,285563,572569054.0,9.34,-10.99,-0.2,0.9
2010-01-25,1.61,1.6,1.69,1.58,203018,406550143.0,6.79,-1.23,-0.02,0.64
2010-01-26,1.61,1.29,1.64,1.25,322208,618465794.0,24.38,-19.38,-0.31,1.01
2010-01-27,1.31,1.29,1.45,1.17,248239,473008255.0,21.71,0.0,0.0,0.78
2010-01-28,1.24,1.36,1.41,1.18,195951,372301594.0,17.83,5.43,0.07,0.61
2010-01-29,1.29,1.32,1.48,1.23,191910,370160465.0,18.38,-2.94,-0.04,0.6
2010-02-01,1.26,1.45,1.48,1.09,311844,593168550.0,29.55,9.85,0.13,0.98
2010-02-02,1.48,1.42,1.6,1.41,257621,505928452.0,13.1,-2.07,-0.03,0.81
2010-02-03,1.41,1.59,1.6,1.23,381585,743348436.0,26.06,11.97,0.17,1.2
2010-02-04,1.56,1.58,1.71,1.49,340868,681446502.0,13.84,-0.63,-0.01,1.07
2010-02-05,1.43,1.32,1.47,1.23,333592,637528311.0,15.19,-16.46,-0.26,1.05
2010-02-08,1.33,1.18,1.34,1.13,267598,500330583.0,15.91,-10.61,-0.14,0.84
2010-02-09,1.15,1.18,1.23,1.14,155125,289499890.0,7.63,0.0,0.0,0.49
2010-02-10,1.22,1.31,1.32,1.19,184978,348679150.0,11.02,11.02,0.13,0.58
2010-02-11,1.3,1.41,1.47,1.26,207632,401698047.0,16.03,7.63,0.1,0.65
2010-02-12,1.43,1.45,1.47,1.41,119342,232090254.0,4.26,2.84,0.04,0.37
2010-02-22,1.36,1.34,1.45,1.34,120496,232209166.0,7.59,-7.59,-0.11,0.38
2010-02-23,1.34,1.29,1.35,1.13,232067,435355355.0,16.42,-3.73,-0.05,0.73
2010-02-24,1.2,1.41,1.42,1.19,164465,313955319.0,17.83,9.3,0.12,0.52
2010-02-25,1.48,1.61,1.64,1.43,379091,751399975.0,14.89,14.18,0.2,1.19
2010-02-26,1.62,1.6,1.66,1.56,162462,324118882.0,6.21,-0.62,-0.01,0.51
2010-03-01,1.58,1.57,1.64,1.48,220707,437151395.0,10.0,-1.88,-0.03,0.69
2010-03-03,1.63,1.51,1.66,1.45,225053,444652776.0,13.38,-3.82,-0.06,0.71
2010-03-04,1.54,1.36,1.66,1.33,252536,497356884.0,21.85,-9.93,-0.15,0.79
2010-03-05,1.4,1.34,1.44,1.28,144364,276478808.0,11.76,-1.47,-0.02,0.45
2010-03-08,1.36,1.44,1.47,1.31,148100,286206882.0,11.94,7.46,0.1,0.46
2010-03-09,1.48,1.72,1.82,1.4,576447,1162363902.0,29.17,19.44,0.28,1.81
2010-03-10,1.69,1.6,1.74,1.58,236291,474643242.0,9.3,-6.98,-0.12,0.74
2010-03-11,1.6,1.55,1.68,1.49,164881,327330835.0,11.88,-3.13,-0.05,0.52
2010-03-12,1.53,1.44,1.59,1.43,149627,293147147.0,10.32,-7.1,-0.11,0.47
2010-03-15,1.45,1.5,1.56,1.38,150142,293456217.0,12.5,4.17,0.06,0.47
2010-03-16,1.51,1.59,1.63,1.49,143229,283479458.0,9.33,6.0,0.09,0.45
2010-03-17,1.61,1.76,1.81,1.57,352996,716786257.0,15.09,10.69,0.17,1.11
2010-03-18,1.79,1.85,2.01,1.79,410338,856886939.0,12.5,5.11,0.09,1.29
2010-03-19,1.89,1.91,2.02,1.86,244058,510992486.0,8.65,3.24,0.06,0.77
2010-03-22,1.94,1.82,1.94,1.77,275397,568732983.0,8.9,-4.71,-0.09,0.86
2010-03-23,1.81,1.69,1.82,1.65,242831,492780393.0,9.34,-7.14,-0.13,0.76
2010-03-24,1.71,1.69,1.82,1.64,205673,416551096.0,10.65,0.0,0.0,0.65
2010-03-25,1.69,1.56,1.69,1.54,184641,366621771.0,8.88,-7.69,-0.13,0.58
2010-03-26,1.53,1.69,1.7,1.53,150503,301887553.0,10.9,8.33,0.13,0.47
2010-03-29,1.69,1.9,1.94,1.66,403825,837331182.0,16.57,12.43,0.21,1.27
2010-03-30,1.92,1.89,2.0,1.88,282751,592604048.0,6.32,-0.53,-0.01,0.89
2010-03-31,1.9,1.85,1.98,1.81,175067,364104930.0,8.99,-2.12,-0.04,0.55
2010-04-01,1.88,2.06,2.07,1.86,358673,757218095.0,11.35,11.35,0.21,1.13
2010-04-02,2.09,2.1,2.17,2.05,299696,643444983.0,5.83,1.94,0.04,0.94
2010-04-06,2.12,1.84,2.13,1.72,503206,1044370404.0,19.52,-12.38,-0.26,1.58
2010-04-07,1.81,1.67,1.81,1.62,542012,1093498590.0,10.33,-9.24,-0.17,1.7
2010-04-08,1.66,1.47,1.67,1.4,574869,1130171327.0,16.17,-11.98,-0.2,1.8
2010-04-09,1.46,1.49,1.5,1.41,380419,741591819.0,6.12,1.36,0.02,1.19
2010-04-12,1.54,1.22,1.55,1.13,843813,1592189177.0,28.19,-18.12,-0.27,2.65
2010-04-13,1.22,1.28,1.29,1.16,365566,688179385.0,10.66,4.92,0.06,1.15
2010-04-14,1.26,1.23,1.27,1.14,251302,470171081.0,10.16,-3.91,-0.05,0.79
