日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-07-15,9.33,11.36,11.36,9.33,289,1174814.0,26.54,48.5,3.71,0.22
2019-07-16,12.58,12.58,12.58,12.58,108,486108.0,0.0,10.74,1.22,0.08
2019-07-17,13.92,13.92,13.92,13.92,146,722846.0,0.0,10.65,1.34,0.11
2019-07-18,15.39,15.39,15.39,15.39,457,2488822.0,0.0,10.56,1.47,0.34
2019-07-19,17.01,17.01,17.01,17.01,452,2707932.0,0.0,10.53,1.62,0.34
2019-07-22,18.79,18.79,18.79,18.79,741,4880949.0,0.0,10.46,1.78,0.56
2019-07-23,20.75,20.75,20.75,20.75,964,6989848.0,0.0,10.43,1.96,0.72
2019-07-24,22.91,22.91,22.91,22.91,523,4170402.0,0.0,10.41,2.16,0.39
2019-07-25,25.28,25.28,25.28,25.28,1558,13667410.0,0.0,10.34,2.37,1.17
2019-07-26,27.88,27.88,27.88,27.88,1629,15719775.0,0.0,10.28,2.6,1.22
2019-07-29,30.75,30.75,30.75,30.75,1290,13690133.0,0.0,10.29,2.87,0.97
2019-07-30,33.91,33.91,33.91,33.91,1307,15262120.0,0.0,10.28,3.16,0.98
2019-07-31,37.38,37.38,37.38,37.38,1529,19636328.0,0.0,10.23,3.47,1.15
2019-08-01,41.2,41.2,41.2,41.2,28674,405021104.0,0.0,10.22,3.82,21.51
2019-08-02,41.41,40.73,43.79,40.3,104382,1491232928.0,8.47,-1.14,-0.47,78.29
2019-08-05,37.85,36.58,38.44,36.58,23969,307413536.0,4.57,-10.19,-4.15,17.98
2019-08-06,32.84,33.54,35.52,32.84,65129,750229376.0,7.33,-8.31,-3.04,48.85
2019-08-07,33.72,30.47,33.89,30.44,57810,638483008.0,10.29,-9.15,-3.07,43.36
2019-08-08,30.28,30.48,31.35,29.67,38360,404176112.0,5.51,0.03,0.01,28.77
2019-08-09,30.65,28.3,30.97,27.83,44247,445060816.0,10.3,-7.15,-2.18,33.18
2019-08-12,28.27,28.63,28.69,27.89,28260,277031712.0,2.83,1.17,0.33,21.2
2019-08-13,28.34,28.14,28.54,27.03,33471,323019712.0,5.27,-1.71,-0.49,25.1
2019-08-14,28.78,27.47,28.83,27.16,30482,295219536.0,5.93,-2.38,-0.67,22.86
2019-08-15,26.33,27.08,27.32,25.97,28703,263677671.0,4.91,-1.42,-0.39,21.53
2019-08-16,27.11,27.09,28.19,26.96,31444,300514624.0,4.54,0.04,0.01,23.58
2019-08-19,27.4,27.78,27.98,26.58,27234,258004088.0,5.17,2.55,0.69,20.43
2019-08-20,27.63,29.67,30.07,27.38,41198,409485840.0,9.68,6.8,1.89,30.9
2019-08-21,28.94,28.43,29.51,28.34,26885,267910639.0,3.94,-4.18,-1.24,20.16
2019-08-22,28.28,27.71,29.46,27.59,21613,213129696.0,6.58,-2.53,-0.72,16.21
2019-08-23,27.46,27.7,28.48,26.88,20900,200120282.0,5.77,-0.04,-0.01,15.67
2019-08-26,26.79,26.83,27.22,26.49,14410,133903160.0,2.64,-3.14,-0.87,10.81
2019-08-27,27.01,27.17,27.57,26.85,14853,139834798.0,2.68,1.27,0.34,11.14
2019-08-28,28.04,28.57,29.52,28.04,30420,301080672.0,5.45,5.15,1.4,22.81
2019-08-29,28.31,27.59,28.31,27.52,19975,192156238.0,2.77,-3.43,-0.98,14.98
2019-08-30,27.8,26.31,27.99,26.25,27033,251792412.0,6.31,-4.64,-1.28,20.27
2019-09-02,26.19,26.92,27.0,26.1,15341,141720292.0,3.42,2.32,0.61,11.51
2019-09-03,26.83,27.87,28.27,26.67,23494,223382933.0,5.94,3.53,0.95,17.62
