日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,4.22,4.16,4.37,4.14,142095,137271719.0,5.49,-0.72,-0.03,4.42
2010-01-05,4.18,4.24,4.29,4.08,120915,115253420.0,5.05,1.92,0.08,3.76
2010-01-06,4.22,4.2,4.36,4.17,124635,120734520.0,4.48,-0.94,-0.04,3.88
2010-01-07,4.18,4.17,4.33,4.13,121412,116752865.0,4.76,-0.71,-0.03,3.78
2010-01-08,4.16,4.4,4.43,4.13,159987,156147651.0,7.19,5.52,0.23,4.98
2010-01-11,4.44,4.5,4.62,4.36,217391,220535229.0,5.91,2.27,0.1,6.76
2010-01-12,4.54,4.56,4.59,4.45,114900,116588308.0,3.11,1.33,0.06,3.57
2010-01-13,4.46,4.42,4.6,4.39,137671,138991797.0,4.61,-3.07,-0.14,4.28
2010-01-14,4.43,4.52,4.58,4.42,121029,122798172.0,3.62,2.26,0.1,3.76
2010-01-15,4.53,4.54,4.64,4.5,83092,84992345.0,3.1,0.44,0.02,2.58
2010-01-18,4.6,4.76,4.83,4.53,161561,169826653.0,6.61,4.85,0.22,5.03
2010-01-19,4.79,4.78,4.87,4.71,171722,183171148.0,3.36,0.42,0.02,5.34
2010-01-20,4.75,4.51,4.77,4.44,165490,171470507.0,6.9,-5.65,-0.27,5.15
2010-01-21,4.62,4.81,5.06,4.57,345026,373000737.0,10.86,6.65,0.3,10.73
2010-01-22,4.73,4.65,4.9,4.51,291172,307481245.0,8.11,-3.33,-0.16,9.06
2010-01-25,4.53,4.39,4.58,4.38,137057,137524705.0,4.3,-5.59,-0.26,4.26
2010-01-26,4.41,4.15,4.43,4.07,114287,109790214.0,8.2,-5.47,-0.24,3.56
2010-01-27,4.14,4.07,4.24,4.06,88920,84347881.0,4.34,-1.93,-0.08,2.77
2010-01-28,4.06,4.19,4.19,4.03,80754,75974497.0,3.93,2.95,0.12,2.51
2010-01-29,4.13,4.22,4.36,4.12,100522,97305362.0,5.73,0.72,0.03,3.13
2010-02-01,4.17,4.3,4.32,4.08,107784,103132087.0,5.69,1.9,0.08,3.35
2010-02-02,4.29,4.23,4.4,4.22,91859,90029600.0,4.19,-1.63,-0.07,2.86
2010-02-03,4.25,4.37,4.37,4.08,107030,103170808.0,6.86,3.31,0.14,3.33
2010-02-04,4.29,4.51,4.64,4.28,167658,170022439.0,8.24,3.2,0.14,5.22
2010-02-05,4.38,4.43,4.59,4.33,144356,145054188.0,5.76,-1.77,-0.08,4.49
2010-02-08,4.47,4.66,4.75,4.41,188590,195623642.0,7.67,5.19,0.23,5.87
2010-02-09,4.71,4.6,4.71,4.52,109290,112221700.0,4.08,-1.29,-0.06,3.4
2010-02-10,4.65,4.62,4.65,4.55,70149,72257788.0,2.17,0.43,0.02,2.18
2010-02-11,4.61,4.51,4.69,4.45,80246,81960074.0,5.19,-2.38,-0.11,2.5
