日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,9.23,9.31,9.41,9.16,22961,77667153.79,2.74,1.97,0.18,5.74
2010-01-05,9.34,9.62,9.76,9.12,30055,103067043.19,6.87,3.33,0.31,7.51
2010-01-06,9.63,9.52,9.76,9.51,22166,77034119.2,2.6,-1.04,-0.1,5.54
2010-01-07,9.52,9.15,9.59,9.1,20249,68409712.55,5.15,-3.89,-0.37,5.06
2010-01-08,9.03,9.32,9.33,9.0,16609,55273537.77,3.61,1.86,0.17,4.15
2010-01-11,9.28,9.76,9.82,9.27,34588,120218366.39,5.9,4.72,0.44,8.65
2010-01-12,9.83,9.93,10.29,9.78,48839,175650781.98,5.23,1.74,0.17,12.21
2010-01-13,9.7,10.24,10.36,9.67,55656,201649527.51,6.95,3.12,0.31,13.91
2010-01-14,10.39,11.46,11.46,10.38,36336,143099004.25,10.55,11.91,1.22,9.08
2010-01-15,12.23,11.33,12.25,11.06,104439,424718207.13,10.38,-1.13,-0.13,26.11
2010-01-18,11.4,11.38,11.83,11.3,59036,238418888.3,4.68,0.44,0.05,14.76
2010-01-19,11.3,11.3,11.55,10.93,47813,189502508.09,5.45,-0.7,-0.08,11.95
2010-01-20,11.07,10.16,11.26,10.06,60533,227564690.52,10.62,-10.09,-1.14,15.13
2010-01-21,10.13,10.4,10.53,9.96,31132,113851443.28,5.61,2.36,0.24,7.78
2010-01-22,10.08,10.11,10.31,9.8,29024,104797179.46,4.9,-2.79,-0.29,7.26
2010-01-25,9.98,10.23,10.49,9.92,28454,104354084.32,5.64,1.19,0.12,7.11
2010-01-26,10.23,9.66,10.26,9.51,24780,87858964.22,7.33,-5.57,-0.57,6.19
2010-01-27,9.66,9.44,9.98,9.43,18085,63462055.05,5.69,-2.28,-0.22,4.52
2010-01-28,9.45,9.66,9.77,9.4,19367,67034893.59,3.92,2.33,0.22,4.84
2010-01-29,9.57,9.84,10.15,9.49,23948,85336782.76,6.83,1.86,0.18,5.99
2010-02-01,9.76,9.29,9.88,9.06,24404,83119711.1,8.33,-5.59,-0.55,6.1
2010-02-02,9.4,9.22,9.51,9.17,15402,52153897.1,3.66,-0.75,-0.07,3.85
2010-02-03,9.22,9.14,9.38,8.57,17952,58710191.51,8.79,-0.87,-0.08,4.49
2010-02-04,9.16,9.08,9.38,8.93,14007,46725597.67,4.92,-0.66,-0.06,3.5
2010-02-05,8.74,8.68,8.93,8.58,16420,52557051.53,3.85,-4.41,-0.4,4.1
2010-02-08,8.72,8.8,8.88,8.67,7773,24964833.48,2.42,1.38,0.12,1.94
2010-02-09,8.77,8.76,8.85,8.64,7357,23547049.25,2.39,-0.45,-0.04,1.84
2010-02-10,8.8,9.19,9.2,8.8,14750,48483701.35,4.57,4.91,0.43,3.69
2010-02-11,9.19,9.2,9.37,9.11,12134,40743554.03,2.83,0.11,0.01,3.03
2010-02-12,9.25,9.4,9.45,9.18,10305,34836248.33,2.93,2.17,0.2,2.58
2010-02-22,9.4,9.4,9.62,9.31,15720,53723264.67,3.3,0.0,0.0,3.93
2010-02-23,9.45,9.48,9.52,9.06,14152,47634028.1,4.89,0.85,0.08,3.54
2010-02-24,9.43,10.07,10.11,9.3,29582,105377486.66,8.54,6.22,0.59,7.4
