日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2012-03-16,8.93,6.57,9.07,6.57,54156,174320117.0,54.7,43.76,2.0,32.53
2012-03-19,6.1,6.76,7.27,6.1,102505,274945440.0,17.81,2.89,0.19,61.56
2012-03-20,6.5,6.02,6.5,5.99,61620,159962079.0,7.54,-10.95,-0.74,37.01
2012-03-21,6.03,5.73,6.11,5.52,43796,108761798.0,9.8,-4.82,-0.29,26.3
2012-03-22,5.75,5.87,6.1,5.69,37942,95370486.0,7.16,2.44,0.14,22.79
2012-03-23,5.83,6.03,6.08,5.57,32640,81318443.0,8.69,2.73,0.16,19.6
2012-03-26,5.9,6.19,6.23,5.9,34144,87521953.0,5.47,2.65,0.16,20.51
2012-03-27,6.11,6.11,6.19,6.0,22990,58796441.0,3.07,-1.29,-0.08,13.81
2012-03-28,6.1,5.5,6.1,5.45,27125,66625321.0,10.64,-9.98,-0.61,16.29
2012-03-29,5.43,4.9,5.45,4.9,23913,54372310.0,10.0,-10.91,-0.6,14.36
2012-03-30,4.95,4.79,5.01,4.73,14684,32292743.0,5.71,-2.24,-0.11,8.82
2012-04-05,4.81,5.01,5.07,4.74,14979,32998260.0,6.89,4.59,0.22,9.0
2012-04-06,5.06,5.36,5.52,4.97,22599,52385896.0,10.98,6.99,0.35,13.57
2012-04-09,5.3,6.14,6.14,5.24,46891,117118109.0,16.79,14.55,0.78,28.16
2012-04-10,6.1,6.28,6.37,5.8,37473,96034091.0,9.28,2.28,0.14,22.51
2012-04-11,6.19,6.2,6.4,6.11,29624,76979520.0,4.62,-1.27,-0.08,17.79
2012-04-12,6.24,6.35,6.4,6.08,25770,66965297.0,5.16,2.42,0.15,15.48
2012-04-16,6.23,6.4,6.45,5.95,25397,66089953.0,7.87,0.79,0.05,15.25
2012-04-17,6.33,6.66,6.79,6.13,31171,83491430.0,10.31,4.06,0.26,18.72
2012-04-18,6.63,6.85,7.33,6.53,38337,107238745.0,12.01,2.85,0.19,23.03
2012-04-19,6.77,7.63,7.77,6.75,44360,129734126.0,14.89,11.39,0.78,26.64
2012-04-20,7.47,7.27,7.56,7.19,38921,113906789.0,4.85,-4.72,-0.36,23.38
2012-04-23,7.22,7.1,7.28,6.77,35559,100521410.0,7.02,-2.34,-0.17,21.36
2012-04-24,6.98,6.73,7.25,6.33,33332,90907547.0,12.96,-5.21,-0.37,20.02
2012-04-25,6.73,6.77,6.99,6.5,22991,62131301.0,7.28,0.59,0.04,13.81
2012-04-26,6.71,7.09,7.09,6.5,28905,78644623.0,8.71,4.73,0.32,17.36
2012-04-27,7.0,7.07,7.56,6.94,30466,87125109.0,8.74,-0.28,-0.02,18.3
2012-05-02,7.07,7.13,7.38,6.85,22875,64601006.0,7.5,0.85,0.06,13.74
2012-05-03,7.04,7.32,7.54,7.04,24397,69793700.0,7.01,2.66,0.19,14.65
2012-05-04,7.31,7.11,7.37,7.05,20306,57686455.0,4.37,-2.87,-0.21,12.2
2012-05-07,7.0,7.22,7.23,6.79,17116,47570714.0,6.19,1.55,0.11,10.28
2012-05-08,7.2,7.24,7.33,7.11,17128,48811085.0,3.05,0.28,0.02,10.29
2012-05-09,7.19,6.88,7.19,6.87,16105,44722012.0,4.42,-4.97,-0.36,9.67
2012-05-10,6.83,6.84,6.99,6.8,10860,29832125.0,2.76,-0.58,-0.04,6.52
2012-05-11,6.82,6.75,6.84,6.64,13963,37700528.0,2.92,-1.32,-0.09,8.39
2012-05-14,6.83,6.76,6.87,6.7,8454,22962468.0,2.52,0.15,0.01,5.08
2012-05-15,6.7,7.17,7.19,6.65,16528,45812166.0,7.99,6.07,0.41,9.93
2012-05-16,7.13,7.29,7.49,7.07,21818,62568380.0,5.86,1.67,0.12,13.1
2012-05-17,7.25,7.3,7.37,7.11,14606,41597856.0,3.57,0.14,0.01,8.77
2012-05-18,7.26,7.62,7.9,7.2,30792,90665074.0,9.59,4.38,0.32,18.49
2012-05-21,7.51,7.53,7.92,7.4,25684,76409845.0,6.82,-1.18,-0.09,15.43
2012-05-22,7.5,8.03,8.19,7.41,33761,103269427.0,10.36,6.64,0.5,20.28
2012-05-23,7.94,8.1,8.3,7.77,23047,71189738.0,6.6,0.87,0.07,13.84
2012-05-24,8.02,7.55,8.13,7.51,24828,74550198.0,7.65,-6.79,-0.55,14.91
2012-05-25,7.49,7.31,7.63,7.27,14852,43033355.0,4.77,-3.18,-0.24,8.92
2012-05-28,7.3,7.52,7.53,7.03,16585,47582391.0,6.84,2.87,0.21,9.96
2012-05-29,7.49,7.58,7.66,7.32,15931,46684642.0,4.52,0.8,0.06,9.57
2012-05-30,7.58,7.34,7.58,7.34,13315,38673395.0,3.17,-3.17,-0.24,8.0
